frontier_id,score_feature,split,bucket_id,bucket_fraction,event_n,event_inside_window_n,low_to_high_precision,episode_recall_low_to_high,bad_side_10_20_rate,precision_lift_vs_C0_risk_on_baseline,precision_lift_vs_R_core_risk_on_baseline,frontier_status
density_only_frontier,same_day_c0_event_count_all,train,top20,0.2,1818,149,0.08195819581958196,0.5022222222222222,0.4130913091309131,1.130396843671078,1.060601656424411,ok
density_only_frontier,same_day_c0_event_count_all,validation,top10,0.1,367,5,0.013623978201634877,0.22727272727272727,0.3569482288828338,0.6815157467841074,0.8096276112624886,ok
density_only_frontier,same_day_c0_event_count_all,validation,top20,0.2,593,10,0.016863406408094434,0.3181818181818182,0.37268128161888703,0.8435624926467704,1.0021360314783585,ok
density_only_frontier,same_day_c0_event_count_all,robustness,top10,0.1,545,61,0.11192660550458716,0.287292817679558,0.3211009174311927,1.4093677163401934,1.3715942966746009,ok
density_only_frontier,same_day_c0_event_count_all,robustness,top20,0.2,1139,126,0.1106233538191396,0.5082872928176796,0.31167690956979804,1.3929573120091117,1.3556237187156528,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,all,top10,0.1,2496,164,0.06570512820512821,0.2827102803738318,0.4234775641025641,0.9783267020335986,0.9400840601467925,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,all,top20,0.2,4877,342,0.07012507689153168,0.5116822429906542,0.4025015378306336,1.0441382138539097,1.0033230099861803,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,train,top10,0.1,1423,109,0.07659873506676036,0.3688888888888889,0.48278285312719604,1.0564772379722778,0.9912461405404694,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,train,top20,0.2,2659,209,0.07860097781120721,0.5866666666666667,0.45693869875893195,1.0840928883163679,1.0171566910362224,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,validation,top10,0.1,280,3,0.010714285714285714,0.13636363636363635,0.3607142857142857,0.5359634551495016,0.6367142857142857,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,validation,top20,0.2,604,11,0.018211920529801324,0.4090909090909091,0.35596026490066224,0.911019559525643,1.0822737306843266,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,robustness,top10,0.1,793,52,0.06557377049180328,0.19337016574585636,0.33921815889029006,0.8256978289765174,0.8035677416690755,ok
entropy_path_disorder_only_frontier,return_sign_entropy_20d,robustness,top20,0.2,1614,122,0.07558859975216853,0.430939226519337,0.3302354399008674,0.9518034763387923,0.9262935460813599,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,all,top10,0.1,1501,83,0.0552964690206529,0.17990654205607476,0.3451032644903398,0.8233453559695835,0.7911609113131518,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,all,top20,0.2,3034,198,0.06526038233355307,0.3855140186915888,0.32432432432432434,0.9717045893664902,0.9337208048559938,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,train,top10,0.1,831,50,0.06016847172081829,0.2,0.3778580024067389,0.8298651506610536,0.778625982837682,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,train,top20,0.2,1661,109,0.06562311860325105,0.38666666666666666,0.3576158940397351,0.9050975976126138,0.8492132799452667,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,validation,top10,0.1,232,2,0.008620689655172414,0.09090909090909091,0.25,0.4312349639133921,0.5122988505747126,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,validation,top20,0.2,478,6,0.012552301255230125,0.2727272727272727,0.24686192468619247,0.6279069767441859,0.7459414225941422,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,robustness,top10,0.1,438,31,0.07077625570776255,0.16574585635359115,0.3333333333333333,0.8912069603850424,0.8673211184339165,ok
volume_acceleration_decay_only_frontier,volume_slope_accel_5_15d,robustness,top20,0.2,895,83,0.09273743016759776,0.39779005524861877,0.3039106145251397,1.1677396950022647,1.1364423117515445,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,all,top10,0.1,2986,274,0.09176155391828533,0.46261682242990654,0.4169457468184863,1.3662978959281245,1.3128895191189616,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,all,top20,0.2,2986,274,0.09176155391828533,0.46261682242990654,0.4169457468184863,1.3662978959281245,1.3128895191189616,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,train,top10,0.1,1683,165,0.09803921568627451,0.5377777777777778,0.5002970885323826,1.3521920396065403,1.2687023367413996,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,train,top20,0.2,1683,165,0.09803921568627451,0.5377777777777778,0.5002970885323826,1.3521920396065403,1.2687023367413996,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,validation,top10,0.1,314,8,0.025477707006369428,0.3181818181818182,0.3184713375796178,1.2744778551325728,1.5140552016985138,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,validation,top20,0.2,314,8,0.025477707006369428,0.3181818181818182,0.3184713375796178,1.2744778551325728,1.5140552016985138,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,robustness,top10,0.1,989,101,0.10212335692618807,0.3867403314917127,0.3063700707785642,1.2859262700516492,1.2514612882768388,ok
r_core_interaction_only_frontier,prior_r_core_event_count_20d,robustness,top20,0.2,989,101,0.10212335692618807,0.3867403314917127,0.3063700707785642,1.2859262700516492,1.2514612882768388,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,all,top10,0.1,1571,100,0.06365372374283895,0.19626168224299065,0.5576066199872692,0.9477819969709607,0.9107333429563249,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,all,top20,0.2,3167,223,0.07041364066940323,0.3855140186915888,0.49668455952005053,1.048434829001666,1.007451671101731,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,train,top10,0.1,836,63,0.07535885167464115,0.24888888888888888,0.6052631578947368,1.0393763213530656,0.9752011023804108,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,train,top20,0.2,1661,142,0.08549066827212523,0.4666666666666667,0.5562913907284768,1.1791179712017539,1.106314548185577,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,validation,top10,0.1,231,2,0.008658008658008658,0.09090909090909091,0.49783549783549785,0.43310178193899124,0.5145165945165945,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,validation,top20,0.2,493,8,0.016227180527383367,0.36363636363636365,0.4198782961460446,0.8117364026605028,0.9643272481406355,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,robustness,top10,0.1,504,35,0.06944444444444445,0.143646408839779,0.5059523809523809,0.8744369369369369,0.8510005597537085,ok
pre_event_path_rank_only_frontier,momentum_percentile_20d,robustness,top20,0.2,1013,73,0.07206317867719644,0.287292817679558,0.43632773938795655,0.9074117552893465,0.8830915976437298,ok
