feature_name,feature_group,feature_availability_time,allowed_for_primary_model,diagnostic_only,pit_status,forbidden_name_pattern_flag,feature_status
binned_return_entropy_60d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
up_down_transition_entropy_60d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
gaussian_return_entropy_60d,entropy_path_disorder,event_t0_close,False,True,pass,False,available
intraday_range_bin_entropy_20d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
volume_direction_entropy_20d,entropy_path_disorder,event_t0_close,True,False,pass,False,available
log_volume_accel_5d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
volume_z_accel_5d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
turnover_z_accel_5d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
log_volume_accel_10d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
volume_z_accel_10d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
turnover_z_accel_10d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
recent_log_volume_slope_5d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
prior_log_volume_slope_15d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
volume_slope_accel_5_15d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
volume_slope_decay_ratio_5_15d,volume_acceleration_decay,event_t0_close,True,False,pass,False,available
momentum_percentile_20d,risk_on_market_context,event_t0_close,True,False,pass,False,available
momentum_percentile_60d,risk_on_market_context,event_t0_close,True,False,pass,False,available
universe_up_share,risk_on_market_context,event_t0_close,True,False,pass,False,available
universe_up_share_z,risk_on_market_context,event_t0_close,True,False,pass,False,available
universe_up_share_change_5d,risk_on_market_context,event_t0_close,True,False,pass,False,available
board_relative_cusum_20d,risk_on_market_context,event_t0_close,True,False,pass,False,available
board_return_20d,risk_on_market_context,event_t0_close,True,False,pass,False,available
stock_vs_board_20d,risk_on_market_context,event_t0_close,True,False,pass,False,available
evaluated_member_count,event_native,event_t0_close,True,False,pass,False,available
sessions_since_last_c0_event_same_instrument,freshness_decay,event_t0_close,True,False,pass,False,available
prior_c0_event_count_20d_same_instrument,density_crowding,event_t0_close,True,False,pass,False,available
same_day_c0_event_count_all,density_crowding,event_t0_close,True,False,pass,False,available
same_day_family_event_count,density_crowding,event_t0_close,True,False,pass,False,available
freshness_decay_tau_5,freshness_decay,event_t0_close,True,False,pass,False,available
freshness_decay_tau_10,freshness_decay,event_t0_close,True,False,pass,False,available
freshness_decay_tau_20,freshness_decay,event_t0_close,True,False,pass,False,available
freshness_decay_tau_40,freshness_decay,event_t0_close,True,False,pass,False,available
prior_r_core_event_count_5d,r_core_interaction,event_t0_close,True,False,pass,False,available
prior_r_core_event_count_10d,r_core_interaction,event_t0_close,True,False,pass,False,available
prior_r_core_event_count_20d,r_core_interaction,event_t0_close,True,False,pass,False,available
sessions_since_prior_r_core_event,r_core_interaction,event_t0_close,True,False,pass,False,available
has_r_core_same_day_at_t0_close,r_core_interaction,event_t0_close,True,False,pass,False,available
has_prior_r_core_within_5_sessions,r_core_interaction,event_t0_close,True,False,pass,False,available
sessions_since_nearest_prior_r_core_event,r_core_interaction,event_t0_close,True,False,pass,False,available
has_future_r_core_within_5_sessions,r_core_interaction,event_t0_close,False,True,pass,True,available
c0_before_future_r_core_within_5_sessions,r_core_interaction,event_t0_close,False,True,pass,True,available
c0_after_prior_r_core_within_5_sessions,r_core_interaction,event_t0_close,True,False,pass,False,available
r_core_active_same_risk_on_scope,r_core_interaction,event_t0_close,True,False,pass,False,available
source_interaction_bucket,event_native,event_t0_close,True,False,pass,False,all_null
instrument_prior_252d_ff10_event_count,failure_history,event_t0_close,True,False,pass,False,available
instrument_prior_252d_fr20_event_count,failure_history,event_t0_close,True,False,pass,False,available
family_prior_train_ff10_rate,failure_history,event_t0_close,True,False,pass,False,available
family_prior_train_fr20_rate,failure_history,event_t0_close,True,False,pass,False,available
family_prior_train_badside_rate,failure_history,event_t0_close,True,False,pass,False,available
