model_id,model_family,split,bucket_id,bucket_fraction,event_n,event_inside_window_n,low_to_high_precision,top10_low_to_high_precision,top20_low_to_high_precision,episode_recall_low_to_high,top20_episode_recall_low_to_high,bad_side_10_20_rate,top20_bad_side_10_20_rate,precision_lift_vs_C0_risk_on_baseline,precision_lift_vs_R_core_risk_on_baseline,precision_lift_vs_best_non_model_baseline,train_reference_top10_threshold,train_reference_top20_threshold,rank_monotonicity_status,threshold_freeze_gate_pass,frontier_status
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,train,top10,0.1,1700,301,0.17705882352941177,0.17705882352941177,,0.6311111111111111,,0.49117647058823527,,2.4420588235294116,2.2912764201549676,1.806,0.17705882352941177,0.17705882352941177,pass,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,train,top20,0.2,1700,301,0.17705882352941177,,0.17705882352941177,0.6311111111111111,0.6311111111111111,0.49117647058823527,0.49117647058823527,2.4420588235294116,2.2912764201549676,1.806,0.17705882352941177,0.17705882352941177,pass,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,validation,top10,0.1,435,12,0.027586206896551724,0.027586206896551724,,0.4090909090909091,,0.3931034482758621,,1.3799518845228547,1.6393563218390803,0.9655172413793104,0.17705882352941177,0.17705882352941177,weak,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,validation,top20,0.2,435,12,0.027586206896551724,,0.027586206896551724,0.4090909090909091,0.4090909090909091,0.3931034482758621,0.3931034482758621,1.3799518845228547,1.6393563218390803,0.9655172413793104,0.17705882352941177,0.17705882352941177,weak,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,robustness,top10,0.1,1535,182,0.11856677524429968,0.11856677524429968,,0.6187845303867403,,0.4058631921824104,,1.4929800158464652,1.4529656462557128,1.0718060079623597,0.17705882352941177,0.17705882352941177,pass,True,ok
shallow_decision_tree_max_depth_3,shallow_decision_tree_max_depth_3,robustness,top20,0.2,1535,182,0.11856677524429968,,0.11856677524429968,0.6187845303867403,0.6187845303867403,0.4058631921824104,0.4058631921824104,1.4929800158464652,1.4529656462557128,1.0718060079623597,0.17705882352941177,0.17705882352941177,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,all,top10,0.1,1705,216,0.12668621700879765,0.12668621700879765,,0.3411214953271028,,0.5595307917888563,,1.8863140863585801,1.8125783558089588,1.3806023503221525,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,all,top20,0.2,3188,363,0.11386449184441656,,0.11386449184441656,0.5163551401869159,0.5163551401869159,0.5297992471769134,0.5297992471769134,1.6954030199454853,1.6291299739263874,1.2408736228008317,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,train,top10,0.1,831,128,0.15403128760529483,0.15403128760529483,,0.38666666666666666,,0.5968712394705175,,2.124454785692297,1.993282516064466,1.5711191335740073,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,train,top20,0.2,1661,229,0.1378687537627935,,0.1378687537627935,0.6044444444444445,0.6044444444444445,0.571944611679711,0.571944611679711,1.901535319754941,1.7841269826373036,1.4062612883804937,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,validation,top10,0.1,116,1,0.008620689655172414,0.008620689655172414,,0.045454545454545456,,0.5517241379310345,,0.4312349639133921,0.5122988505747126,0.3017241379310345,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,validation,top20,0.2,273,8,0.029304029304029304,,0.029304029304029304,0.3181818181818182,0.3181818181818182,0.5238095238095238,0.5238095238095238,1.465882954255047,1.7414407814407813,1.0256410256410258,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,robustness,top10,0.1,758,87,0.11477572559366754,0.11477572559366754,,0.32044198895027626,,0.5197889182058048,,1.445243528488911,1.4065085768594272,1.037536122628471,0.9285688243112009,0.7857985310204261,pass,True,ok
scorecard_quantile_binning,scorecard_quantile_binning,robustness,top20,0.2,1254,126,0.10047846889952153,,0.10047846889952153,0.430939226519337,0.430939226519337,0.47527910685805425,0.47527910685805425,1.2652140178455966,1.231304159184313,0.9082934609250398,0.9285688243112009,0.7857985310204261,pass,True,ok
