feature_name,feature_group,feature_availability_time,pit_status,allowed_for_primary_model,coverage_rate,notes
volume_zscore_20d,volume_acceleration_decay,event_t0_close,pass,False,1.0,
gap_open_prev_day,event_native,event_t0_close,pass,True,1.0,
trend_ma_5_20_spread,pre_event_path,event_t0_close,pass,True,1.0,
trend_ma_20_60_spread,pre_event_path,event_t0_close,pass,True,1.0,
max_drawdown_20d,pre_event_path,event_t0_close,pass,True,1.0,
rebound_from_20d_low,event_native,event_t0_close,pass,True,1.0,
max_drawdown_60d,pre_event_path,event_t0_close,pass,True,1.0,
rebound_from_60d_low,event_native,event_t0_close,pass,True,1.0,
return_sign_entropy_20d,entropy_path_disorder,event_t0_close,pass,True,1.0,
binned_return_entropy_20d,entropy_path_disorder,event_t0_close,pass,True,1.0,
up_down_transition_entropy_20d,entropy_path_disorder,event_t0_close,pass,True,1.0,
gaussian_return_entropy_20d,entropy_path_disorder,event_t0_close,pass,False,1.0,
return_sign_entropy_60d,entropy_path_disorder,event_t0_close,pass,True,1.0,
binned_return_entropy_60d,entropy_path_disorder,event_t0_close,pass,True,1.0,
up_down_transition_entropy_60d,entropy_path_disorder,event_t0_close,pass,True,1.0,
gaussian_return_entropy_60d,entropy_path_disorder,event_t0_close,pass,False,1.0,
intraday_range_bin_entropy_20d,entropy_path_disorder,event_t0_close,pass,True,1.0,
volume_direction_entropy_20d,entropy_path_disorder,event_t0_close,pass,True,1.0,
log_volume_accel_5d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
volume_z_accel_5d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
turnover_z_accel_5d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
log_volume_accel_10d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
volume_z_accel_10d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
turnover_z_accel_10d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
recent_log_volume_slope_5d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
prior_log_volume_slope_15d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
volume_slope_accel_5_15d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
volume_slope_decay_ratio_5_15d,volume_acceleration_decay,event_t0_close,pass,True,1.0,
momentum_percentile_20d,risk_on_market_context,event_t0_close,pass,True,1.0,
momentum_percentile_60d,risk_on_market_context,event_t0_close,pass,True,1.0,
universe_up_share,risk_on_market_context,event_t0_close,pass,True,1.0,
universe_up_share_z,risk_on_market_context,event_t0_close,pass,True,0.9827962681135446,
universe_up_share_change_5d,risk_on_market_context,event_t0_close,pass,True,0.9918613114537154,
board_relative_cusum_20d,risk_on_market_context,event_t0_close,pass,True,0.9833917819096143,
board_return_20d,risk_on_market_context,event_t0_close,pass,True,0.9833917819096143,
stock_vs_board_20d,risk_on_market_context,event_t0_close,pass,True,0.9833917819096143,
evaluated_member_count,event_native,event_t0_close,pass,True,1.0,
sessions_since_last_c0_event_same_instrument,freshness_decay,event_t0_close,pass,True,0.9133196585720903,
prior_c0_event_count_20d_same_instrument,density_crowding,event_t0_close,pass,True,1.0,
same_day_c0_event_count_all,density_crowding,event_t0_close,pass,True,1.0,
same_day_family_event_count,density_crowding,event_t0_close,pass,True,1.0,
freshness_decay_tau_5,freshness_decay,event_t0_close,pass,True,1.0,
freshness_decay_tau_10,freshness_decay,event_t0_close,pass,True,1.0,
freshness_decay_tau_20,freshness_decay,event_t0_close,pass,True,1.0,
freshness_decay_tau_40,freshness_decay,event_t0_close,pass,True,1.0,
prior_r_core_event_count_5d,r_core_interaction,event_t0_close,pass,True,1.0,
prior_r_core_event_count_10d,r_core_interaction,event_t0_close,pass,True,1.0,
prior_r_core_event_count_20d,r_core_interaction,event_t0_close,pass,True,1.0,
sessions_since_prior_r_core_event,r_core_interaction,event_t0_close,pass,True,0.9333686230397671,
has_r_core_same_day_at_t0_close,r_core_interaction,event_t0_close,pass,True,1.0,
has_prior_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,True,1.0,
sessions_since_nearest_prior_r_core_event,r_core_interaction,event_t0_close,pass,True,0.9696949646000133,
has_future_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,False,1.0,
c0_before_future_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,False,1.0,
c0_after_prior_r_core_within_5_sessions,r_core_interaction,event_t0_close,pass,True,1.0,
r_core_active_same_risk_on_scope,r_core_interaction,event_t0_close,pass,True,1.0,
source_interaction_bucket,event_native,event_t0_close,pass,True,0.0,
instrument_prior_252d_ff10_event_count,failure_history,event_t0_close,pass,True,1.0,
instrument_prior_252d_fr20_event_count,failure_history,event_t0_close,pass,True,1.0,
family_prior_train_ff10_rate,failure_history,event_t0_close,pass,True,1.0,
family_prior_train_fr20_rate,failure_history,event_t0_close,pass,True,1.0,
family_prior_train_badside_rate,failure_history,event_t0_close,pass,True,1.0,
