feature_name,split,coverage_rate,pearson_corr_vs_matching_volatility,spearman_corr_vs_matching_volatility,pearson_corr_vs_abs_return_lookback,spearman_corr_vs_abs_return_lookback,pearson_corr_vs_turnover_zscore_20d,spearman_corr_vs_turnover_zscore_20d,pearson_corr_vs_volatility_20d,spearman_corr_vs_volatility_20d,pearson_corr_vs_abs_return_20d,spearman_corr_vs_abs_return_20d,invalid_volume_rate,winsorization_lower_cutoff,winsorization_upper_cutoff,max_abs_redundancy_corr,redundancy_status,allowed_for_primary_model_after_audit
binned_return_entropy_60d,all,1.0,-0.15317328759379628,-0.08959866948664648,-0.18193083661053075,-0.10061343540350962,-0.15703402712198658,-0.14175503335467146,-0.15317328759379628,-0.08959866948664648,-0.18193083661053075,-0.10061343540350962,,,,0.17953448156161675,pass,True
binned_return_entropy_60d,train,1.0,-0.13847935711451148,-0.08602526326777274,-0.17197041857187959,-0.08689593716489641,-0.2022622318703818,-0.1796988793153744,-0.13847935711451148,-0.08602526326777274,-0.17197041857187959,-0.08689593716489641,,,,0.1648980028448726,pass,True
binned_return_entropy_60d,validation,1.0,-0.1244557920234526,-0.08664854512364938,-0.19287190127342463,-0.07567549210536843,-0.1214515956777371,-0.09370763767785126,-0.1244557920234526,-0.08664854512364938,-0.19287190127342463,-0.07567549210536843,,,,0.19289476256228846,pass,True
binned_return_entropy_60d,robustness,1.0,-0.1757326450754717,-0.10779864828760985,-0.17452230870103086,-0.1110127485572679,-0.07642975070318597,-0.06403254840093602,-0.1757326450754717,-0.10779864828760985,-0.17452230870103086,-0.1110127485572679,,,,0.1757326450754717,pass,True
up_down_transition_entropy_60d,all,1.0,-0.31105467080722565,-0.33281443903019264,-0.12090984696414767,-0.15380166230051734,0.04519108715189513,0.03721596520280716,-0.31105467080722565,-0.33281443903019264,-0.12090984696414767,-0.15380166230051734,,,,0.4065417567507276,pass,True
up_down_transition_entropy_60d,train,1.0,-0.34423497586449187,-0.35405166965674945,-0.12022453837248252,-0.15135857328137164,0.08937508044786086,0.08159179564466987,-0.34423497586449187,-0.35405166965674945,-0.12022453837248252,-0.15135857328137164,,,,0.4549215195343834,pass,True
up_down_transition_entropy_60d,validation,1.0,-0.3816148216319378,-0.3901611801011046,-0.14953780576213302,-0.14244020680406286,-0.03030659571619306,-0.027027650908107263,-0.3816148216319378,-0.3901611801011046,-0.14953780576213302,-0.14244020680406286,,,,0.45403285870362703,pass,True
up_down_transition_entropy_60d,robustness,1.0,-0.2669862004084985,-0.3135465116514043,-0.11850500949592345,-0.16367649831045106,-0.009722019024048494,-0.015140116943891327,-0.2669862004084985,-0.3135465116514043,-0.11850500949592345,-0.16367649831045106,,,,0.34988902887911427,pass,True
gaussian_return_entropy_60d,all,1.0,0.7913870329838928,0.8275969849602607,0.41144946702429713,0.3870357119462394,0.02234891909113203,0.021513007321207544,0.7913870329838928,0.8275969849602607,0.41144946702429713,0.3870357119462394,,,,1.0,diagnostic_only_redundant_with_volatility,False
gaussian_return_entropy_60d,train,1.0,0.7862501262154469,0.8198152791528308,0.3747982901169719,0.3540963906356764,-0.05376174684855142,-0.05962328292916012,0.7862501262154469,0.8198152791528308,0.3747982901169719,0.3540963906356764,,,,1.0,diagnostic_only_redundant_with_volatility,False
gaussian_return_entropy_60d,validation,1.0,0.811482728965877,0.8422482416734279,0.40287590748166324,0.3515275966727254,0.10415171427077595,0.09459891971328527,0.811482728965877,0.8422482416734279,0.40287590748166324,0.3515275966727254,,,,1.0,diagnostic_only_redundant_with_volatility,False
gaussian_return_entropy_60d,robustness,1.0,0.791119509840306,0.8224855484121419,0.4613066425871145,0.43812491403080733,0.08021808957984122,0.08922801230478467,0.791119509840306,0.8224855484121419,0.4613066425871145,0.43812491403080733,,,,1.0,diagnostic_only_redundant_with_volatility,False
intraday_range_bin_entropy_20d,all,1.0,0.08311069899226514,0.23033574731700576,-0.07688846166261024,0.10308947237136488,0.08772799278599663,0.10330783940745068,0.08311069899226514,0.23033574731700576,-0.07688846166261024,0.10308947237136488,,,,0.23033574731700576,pass,True
intraday_range_bin_entropy_20d,train,1.0,0.0011831166256212999,0.09887078240292693,-0.11660947878975926,0.03169411064819534,0.04380542454863103,0.06526479370419526,0.0011831166256212999,0.09887078240292693,-0.11660947878975926,0.03169411064819534,,,,0.23150545458708072,pass,True
intraday_range_bin_entropy_20d,validation,1.0,0.30521453771666923,0.45305020201292806,0.026960879781333776,0.16345040195167054,0.14062948223771912,0.16415201894836748,0.30521453771666923,0.45305020201292806,0.026960879781333776,0.16345040195167054,,,,0.45305020201292806,pass,True
intraday_range_bin_entropy_20d,robustness,1.0,0.11083831368313414,0.3431852486498348,-0.05858450989003748,0.19653157906131632,0.1343123281809504,0.14812866076222875,0.11083831368313414,0.3431852486498348,-0.05858450989003748,0.19653157906131632,,,,0.3431852486498348,pass,True
volume_direction_entropy_20d,all,1.0,-0.08668643287321989,-0.05943973686929282,-0.16070475597634645,-0.12002827935631212,-0.17562532947407425,-0.1379636120276817,-0.08668643287321989,-0.05943973686929282,-0.16070475597634645,-0.12002827935631212,,,,0.15974333308070612,pass,True
volume_direction_entropy_20d,train,1.0,-0.036964384807716834,-0.03289352022208521,-0.1579070543051008,-0.13304392115205543,-0.18632054170716755,-0.1512998041774849,-0.036964384807716834,-0.03289352022208521,-0.1579070543051008,-0.13304392115205543,,,,0.1568919667077335,pass,True
volume_direction_entropy_20d,validation,1.0,-0.09895030823223877,-0.02629101366349364,-0.21318712859253217,-0.08122922892953766,-0.14995502391296356,-0.10478529197790022,-0.09895030823223877,-0.02629101366349364,-0.21318712859253217,-0.08122922892953766,,,,0.21185382174758208,pass,True
volume_direction_entropy_20d,robustness,1.0,-0.14239027696212153,-0.09140344783813428,-0.148787776317391,-0.10122306180312644,-0.14560797090383504,-0.11017535801153992,-0.14239027696212153,-0.09140344783813428,-0.148787776317391,-0.10122306180312644,,,,0.147866020220413,pass,True
