source_pool,model_id,threshold_id,split,pit_transition_context,transition_outcome_label,transition_outcome_direction,selection_bucket,event_n,unique_segment_n,horizon_complete_event_n,cost_bad_10_20_rate,fast_fail_bad_10d_rate,false_repair_bad_20d_rate,readout_only_not_used_for_training
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_off,transition_continuation,risk_off_continuation_buffer,rejected,506,9,506,0.4841897233201581,0.35375494071146246,0.4525691699604743,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,all_prefilter,1693,4,1693,0.24394565859421147,0.1364441819255759,0.2262256349675133,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,selected,1450,4,1450,0.21310344827586206,0.11241379310344828,0.19724137931034483,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_off,transition_conversion,risk_off_to_risk_on_recovery_conversion,rejected,243,4,243,0.4279835390946502,0.27983539094650206,0.3991769547325103,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,all_prefilter,3735,8,3733,0.2973479774979909,0.18001607286364854,0.28181087597106885,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,selected,2563,8,2563,0.19703472493172064,0.09129925868123293,0.18650019508388607,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_on,transition_continuation,risk_on_continuation_buffer,rejected,1172,8,1170,0.5170940170940171,0.37435897435897436,0.4905982905982906,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,all_prefilter,1033,4,1033,0.40174249757986447,0.26137463697967084,0.38915779283639884,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,selected,801,4,801,0.34581772784019976,0.20474406991260924,0.3383270911360799,True
transition_previous_regime_primary,transition_cost_rejector_prev_context,transition_cost_rejector_prev_context__keep_0700,validation,transition_from_risk_on,transition_conversion,risk_on_to_risk_off_deterioration_conversion,rejected,232,4,232,0.5948275862068966,0.45689655172413796,0.5646551724137931,True
