feature_name,source_artifact,source_hash,as_of_policy,source_kind,feature_join_key,feature_as_of_date_policy,max_feature_as_of_date_minus_event_t0_date,uses_future_information,allowed_as_t0_feature,allowed_for_model,model_role,missing_rate_train,missing_rate_validation,missing_rate_robustness,blocked_reason
close_to_high_120,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
range_width_ratio_20d_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
direction_entropy_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
relative_cusum_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
momentum_percentile_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
universe_up_share,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
universe_up_share_z,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.04652660387990019,0.0,0.0,
universe_up_share_change_5d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.006439668357079611,0.0,0.0,
stock_vs_board_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.02430974804797553,0.0,0.0,
board_relative_cusum_20d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.02430974804797553,0.0,0.0,
atr_pct_rank_60d,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
ema60_positive_run,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
family_count,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
channel_count,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_return_1d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_return_5d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_return_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_return_60d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_stock_vs_market_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_close_to_high_60,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_momentum_percentile_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_momentum_percentile_60d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_universe_up_share,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_universe_new_high_60_share,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_universe_up_share_z,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.04652660387990019,0.0,0.0,
panel_universe_up_share_change_5d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.006439668357079611,0.0,0.0,
panel_board_relative_1d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.0,0.0,0.0,
panel_board_relative_cusum_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.02430974804797553,0.0,0.0,
panel_board_return_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.02430974804797553,0.0,0.0,
panel_stock_vs_board_20d,cross_section_feature_panel,0780c31e1852c90bc7fb453678a8738d64d6de33e3429b22454cc87f6b929d88,latest_same_or_prior_event_t0_date,cross_section_feature_panel,instrument,latest_same_or_prior_event_t0_date,0.0,False,True,True,baseline_model_feature,0.02430974804797553,0.0,0.0,
source_pool,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,False,False,blocked,0.0,0.0,0.0,forced_drop_regime_or_binding_proxy_or_i_constant
board_bucket,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
event_regime_bucket,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,False,False,blocked,0.0,0.0,0.0,forced_drop_regime_or_binding_proxy_or_i_constant
primary_family_id,event_envelope,1bb1c445d494cb59c57a9fbb5057dfc8b61e34e8f0f8187c27bd9ce209273cb8,event_t0_date,event_envelope,event_id,event_t0_date,,False,True,True,baseline_model_feature,0.0,0.0,0.0,
pit_transition_context,transition_previous_regime_event_assignment_or_segment_catalog,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id_or_transition_segment_id,feature_available_date_lte_event_t0_date,0.0,False,True,True,context_model_feature,0.0,0.0,0.0,
previous_non_transition_trading_day_n,transition_previous_regime_event_assignment_or_segment_catalog,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id_or_transition_segment_id,feature_available_date_lte_event_t0_date,0.0,False,True,True,context_model_feature,0.0,0.0,0.0,
previous_non_transition_duration_bucket,transition_previous_regime_event_assignment_or_segment_catalog,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id_or_transition_segment_id,feature_available_date_lte_event_t0_date,0.0,False,True,True,context_model_feature,0.0,0.0,0.0,
segment_age_at_event_t0,transition_previous_regime_event_assignment_or_segment_catalog,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id_or_transition_segment_id,feature_available_date_lte_event_t0_date,0.0,False,True,True,context_model_feature,0.0,0.0,0.0,
observed_segment_trading_day_n_asof_t0,transition_previous_regime_event_assignment_or_segment_catalog,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id_or_transition_segment_id,feature_available_date_lte_event_t0_date,0.0,False,True,True,context_model_feature,0.0,0.0,0.0,
days_since_previous_regime_end_asof_event,transition_previous_regime_event_assignment_or_segment_catalog,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id_or_transition_segment_id,feature_available_date_lte_event_t0_date,0.0,False,True,True,context_model_feature,0.0,0.0,0.0,
previous_non_transition_regime,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,event_t0_visible_previous_regime_context,previous_regime_context,event_id,feature_available_date_lte_event_t0_date,0.0,False,False,False,audit_only_collinear_with_pit_transition_context,0.0,0.0,0.0,collinear_with_pit_transition_context_after_unknown_filter
final_segment_calendar_day_n,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
final_segment_trading_day_n,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
next_non_transition_regime,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
segment_end_date,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
segment_remaining_days_ex_post,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
transition_outcome_direction,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
transition_outcome_label,transition_previous_regime_event_assignment,d9b2997fdf5f055f45575ad46c57db8f2d82cc8c1944a681c03e34aa89f08e61,future_or_expost_forbidden,forbidden_future_outcome_or_segment_complete_field,event_id,future_or_expost,,True,False,False,forbidden_readout_only,0.0,0.0,0.0,forbidden_future_or_complete_segment_field
