primary_family,horizon,split,style_evaluable_date_count,style_explained_score_r2,style_explained_spread_share,neutralized_spread_retention,raw_neutralized_family_rankIC_sign_agree,style_exposure_clean_gate
range_volatility,H10,robustness,12,0.49650135177689564,1.9527303153374722,1.0250133294598267,True,False
range_volatility,H10,train,75,0.5136275762722822,2.6284732500471053,-0.052501411658642916,True,False
range_volatility,H10,validation,9,0.49701220165357163,-17.638437892648373,-10.68957769416394,True,False
range_volatility,H20,robustness,11,0.4536972859491858,0.004856993966617974,0.08616222397837373,True,False
range_volatility,H20,train,72,0.5259745772803418,-0.23338167115178354,-0.8586953373380735,True,False
range_volatility,H20,validation,10,0.47238207283108713,-0.4115787005835596,0.3499348000705931,True,False
range_volatility,H3,robustness,13,0.5083331224127055,-0.1794369755004886,0.4429959217041239,True,False
range_volatility,H3,train,75,0.5136000235535685,-0.8623433005746167,1.1783863519915796,True,False
range_volatility,H3,validation,10,0.4792353863613413,0.29955914882735113,0.40620668352527095,True,False
range_volatility,H5,robustness,13,0.5104275937376725,-0.18189261267827714,1.0441680726032336,True,False
range_volatility,H5,train,76,0.5143895470560189,0.3951450946811712,1.2534709066982703,True,False
range_volatility,H5,validation,10,0.48228798691160235,0.6335307993431091,1.1016490919090212,True,False
volume_price_correlation,H1,robustness,13,0.4475254820396488,-0.7113062074295005,0.6119743908980665,True,False
volume_price_correlation,H1,train,77,0.5108645790257187,0.10815446862015395,0.8628415548461513,True,False
volume_price_correlation,H1,validation,10,0.4902353014145053,0.416461967626915,0.6226286303145898,True,False
volume_price_correlation,H10,robustness,12,0.5071776588970403,0.6662854085337263,1.1871791204563955,True,False
volume_price_correlation,H10,train,75,0.5210856028779329,1.452178412713692,-7.45309898127698,True,False
volume_price_correlation,H10,validation,10,0.4917495188966304,-0.7254054011300628,0.4196465083375852,True,False
volume_price_correlation,H20,robustness,10,0.5132278124093992,-0.43414322893755386,0.22773681300488113,True,False
volume_price_correlation,H20,train,73,0.5292228650847138,-1.2410323315940828,1.3182056060543437,True,False
volume_price_correlation,H20,validation,10,0.48959507140224856,-0.5123476276252135,0.38922154862303454,True,False
volume_price_correlation,H3,robustness,13,0.44415137548757,-0.001741463686180137,0.05992773982536925,True,False
volume_price_correlation,H3,train,76,0.5101851873468228,-0.11246008315310747,1.0392886137848651,True,False
volume_price_correlation,H3,validation,10,0.4902353014145053,0.6071972137894013,-0.3463133357518167,True,False
volume_price_correlation,H5,robustness,13,0.5104873176177621,-0.9531466478921122,0.1664740391148261,True,False
volume_price_correlation,H5,train,76,0.5201665129644079,-0.6769499987918334,0.46692909398066323,True,False
volume_price_correlation,H5,validation,10,0.48543648615640217,1.095748608177669,-0.6671895532110695,True,False
volume_surge_money_flow,H1,robustness,13,0.41594219466399196,1.1395495779884945,0.47160058898096346,True,False
volume_surge_money_flow,H1,train,77,0.5307759043110942,0.06230915444159441,0.5146995471728939,True,False
volume_surge_money_flow,H1,validation,9,0.5010945241026595,0.20228383287189067,0.420815010295748,True,False
volume_surge_money_flow,H10,robustness,12,0.5663874525820071,-0.9756195550811175,1.226357365302527,True,False
volume_surge_money_flow,H10,train,75,0.580183372208879,-0.011517283947384218,1.1365920091027442,True,False
volume_surge_money_flow,H10,validation,10,0.5810787211410926,-1.9437982468345218,5.354691328019643,True,False
volume_surge_money_flow,H20,robustness,11,0.5414441415773854,-0.17467494592474844,0.943851624252228,True,False
volume_surge_money_flow,H20,train,73,0.5619002901005532,-0.7321031151739854,0.710767746496486,True,False
volume_surge_money_flow,H20,validation,10,0.5123895451826603,0.87851899774875,-0.08368006821051521,True,False
volume_surge_money_flow,H3,robustness,12,0.43228294856227095,1.2615097832259072,1.7940535935870354,True,False
