split,anchor_family_id,diagnostic_axis,diagnostic_bucket,predeclared_partition_id,diagnostic_bucket_source,baseline_id,anchor_event_count,baseline_event_count,unique_instrument_year_count,anchor_mean_after_cost_return_H20,baseline_mean_after_cost_return_H20,mean_diff_vs_baseline,anchor_p05_after_cost_return_H20,baseline_p05_after_cost_return_H20,p05_diff_vs_baseline,anchor_instrument_year_positive_rate,baseline_instrument_year_positive_rate,interpretation_status
robustness,pullback_hold_restrengthen,industry_bucket,石油石化,P05_PART_b026189cf5cb,baseline_event,all_launch_direct_baseline,0,23,9,,-0.012462640785645001,,,-0.13209642357175186,,,0.2222222222222222,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,计算机,P05_PART_3c695642a3b4,baseline_event,all_launch_direct_baseline,6,56,4,0.016882866630871646,-0.03192701467790696,0.04880988130877861,-0.12012412699016711,-0.22187981039927115,0.10175568340910404,0.5,0.17647058823529413,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,轻工制造,P05_PART_e1d9610a174b,baseline_event,all_launch_direct_baseline,0,4,1,,0.059986669004382764,,,-0.0014124415128425102,,,1.0,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,通信,P05_PART_2199aca9574e,baseline_event,all_launch_direct_baseline,1,30,1,0.03547677633873526,-0.02589593082476921,0.061372707163504465,0.03547677633873526,-0.13860643568428752,0.17408321202302277,1.0,0.0,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,钢铁,P05_PART_5fbb8c288926,baseline_event,all_launch_direct_baseline,1,17,1,-0.05996039904138783,-0.00774008644492473,-0.0522203125964631,-0.05996039904138783,-0.08630719928243706,0.026346800241049233,0.0,0.5,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,银行,P05_PART_554709790ba9,baseline_event,all_launch_direct_baseline,2,92,2,-0.007484381866575452,-0.019287095129518886,0.011802713262943434,-0.027861594748904067,-0.10633807923463538,0.07847648448573132,0.5,0.23333333333333334,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,非银金融,P05_PART_fa21c42ca5ce,baseline_event,all_launch_direct_baseline,1,146,1,-0.06968211481375874,0.04620537656253761,-0.11588749137629636,-0.06968211481375874,-0.1407650368234994,0.07108292200974065,0.0,0.717948717948718,too_sparse
robustness,pullback_hold_restrengthen,industry_bucket,食品饮料,P05_PART_d33431c59d85,baseline_event,all_launch_direct_baseline,4,45,3,-0.005461734808143409,-0.04524086440815744,0.03977912960001403,-0.19124084580465198,-0.1610651139628331,-0.030175731841818876,0.3333333333333333,0.11764705882352941,too_sparse
robustness,second_breakout,all,all,not_applicable,linked_anchor,matched_delay_baseline,57,57,55,-0.012158399317311074,-0.002151255846180645,-0.01000714347113043,-0.1549939183356048,-0.11131782810209934,-0.043676090233505466,0.41818181818181815,0.34545454545454546,interpretable
robustness,second_breakout,anchor_window_position_bucket,0.025_0.1,P05_PART_bfc88333615b,linked_anchor,matched_delay_baseline,16,16,16,-0.006788260599865084,0.004825860865324327,-0.011614121465189411,-0.1415994521055383,-0.11206365185861936,-0.02953580024691893,0.5,0.5,too_sparse
