anchor_family_id,split,translation_metric_id,metric_source,lifecycle_anchor_recall,canonical_launch_denominator,deduped_anchor_candidate_count,forward_executable_anchor_count,forward_gate_eligible_anchor_count,matched_delay_pair_exclusion_count,metric_numerator,metric_denominator,metric_value,metric_interpretation
pullback_hold_restrengthen,validation,trigger_budget_shortfall_rate,p0_5_trigger_decomposition.csv,0.3445945945945945,536,91,91,77,0,0.030223880597014946,1.0,0.030223880597014946,shortfall to 20pct trigger budget floor
second_breakout,validation,lifecycle_anchor_recall,ep3_gate_audit.csv,0.4611486486486486,536,70,70,64,0,,,0.4611486486486486,upstream lifecycle gate value
second_breakout,validation,forward_executable_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,536,70,70,64,0,70.0,536.0,0.13059701492537312,executable anchor triggers per canonical launch episode
second_breakout,validation,forward_gate_eligible_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,536,70,70,64,0,64.0,536.0,0.11940298507462686,H20 gate-eligible executable anchors per canonical launch episode
second_breakout,validation,execution_block_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,536,70,70,64,0,0.0,70.0,0.0,deduped anchors blocked at next open
second_breakout,validation,label_horizon_ineligible_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,536,70,70,64,0,6.0,70.0,0.08571428571428572,executable anchors excluded from primary H20 gate
second_breakout,validation,matched_delay_underperformance_rate,p0_5_anchor_event_diagnostic_panel+p0_5_baseline_event_diagnostic_panel,0.4611486486486486,536,70,70,64,1,31.0,63.0,0.49206349206349204,share of paired anchors not beating matched-delay baseline
second_breakout,validation,winner_capture_rate_50h120,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,536,70,70,64,0,8.0,64.0,0.125,gate-eligible anchor winner capture
second_breakout,validation,trigger_budget_shortfall_rate,p0_5_trigger_decomposition.csv,0.4611486486486486,536,70,70,64,0,0.06940298507462689,1.0,0.06940298507462689,shortfall to 20pct trigger budget floor
pullback_hold_restrengthen,robustness,lifecycle_anchor_recall,ep3_gate_audit.csv,0.3445945945945945,775,100,100,57,0,,,0.3445945945945945,upstream lifecycle gate value
pullback_hold_restrengthen,robustness,forward_executable_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,775,100,100,57,0,100.0,775.0,0.12903225806451613,executable anchor triggers per canonical launch episode
pullback_hold_restrengthen,robustness,forward_gate_eligible_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,775,100,100,57,0,57.0,775.0,0.07354838709677419,H20 gate-eligible executable anchors per canonical launch episode
pullback_hold_restrengthen,robustness,execution_block_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,775,100,100,57,0,0.0,100.0,0.0,deduped anchors blocked at next open
pullback_hold_restrengthen,robustness,label_horizon_ineligible_rate,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,775,100,100,57,0,43.0,100.0,0.43,executable anchors excluded from primary H20 gate
pullback_hold_restrengthen,robustness,matched_delay_underperformance_rate,p0_5_anchor_event_diagnostic_panel+p0_5_baseline_event_diagnostic_panel,0.3445945945945945,775,100,100,57,0,22.0,57.0,0.38596491228070173,share of paired anchors not beating matched-delay baseline
pullback_hold_restrengthen,robustness,winner_capture_rate_50h120,p0_5_anchor_event_diagnostic_panel,0.3445945945945945,775,100,100,57,0,7.0,57.0,0.12280701754385964,gate-eligible anchor winner capture
pullback_hold_restrengthen,robustness,trigger_budget_shortfall_rate,p0_5_trigger_decomposition.csv,0.3445945945945945,775,100,100,57,0,0.07096774193548389,1.0,0.07096774193548389,shortfall to 20pct trigger budget floor
second_breakout,robustness,lifecycle_anchor_recall,ep3_gate_audit.csv,0.4611486486486486,775,132,132,58,0,,,0.4611486486486486,upstream lifecycle gate value
second_breakout,robustness,forward_executable_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,775,132,132,58,0,132.0,775.0,0.1703225806451613,executable anchor triggers per canonical launch episode
second_breakout,robustness,forward_gate_eligible_anchor_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,775,132,132,58,0,58.0,775.0,0.07483870967741936,H20 gate-eligible executable anchors per canonical launch episode
second_breakout,robustness,execution_block_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,775,132,132,58,0,0.0,132.0,0.0,deduped anchors blocked at next open
second_breakout,robustness,label_horizon_ineligible_rate,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,775,132,132,58,0,74.0,132.0,0.5606060606060606,executable anchors excluded from primary H20 gate
second_breakout,robustness,matched_delay_underperformance_rate,p0_5_anchor_event_diagnostic_panel+p0_5_baseline_event_diagnostic_panel,0.4611486486486486,775,132,132,58,1,35.0,57.0,0.6140350877192983,share of paired anchors not beating matched-delay baseline
second_breakout,robustness,winner_capture_rate_50h120,p0_5_anchor_event_diagnostic_panel,0.4611486486486486,775,132,132,58,0,4.0,58.0,0.06896551724137931,gate-eligible anchor winner capture
second_breakout,robustness,trigger_budget_shortfall_rate,p0_5_trigger_decomposition.csv,0.4611486486486486,775,132,132,58,0,0.029677419354838724,1.0,0.029677419354838724,shortfall to 20pct trigger budget floor
