artifact_id,artifact_path,artifact_type,exists,nonempty,sha256,expected_hash,hash_verified,size_bytes,row_count,schema_hash,input_artifact_gate
nineteen_b2_ablation_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/suppressor_ablation_readout.csv,csv,True,True,7fd3370c79ad9e5b5fcded429b87f6c561e0f85e732ae0a1e4a24df19e44b8fe,7fd3370c79ad9e5b5fcded429b87f6c561e0f85e732ae0a1e4a24df19e44b8fe,True,20508,30,a38a014f21fbe53b49b434b76ef17854a34ccd8eb2f849ff9a65670335d77919,pass
nineteen_b2_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/entry_universe_19b2_decision.csv,csv,True,True,e1247063e3b36b7e881d0ab7b6f18129f63c4d0abb6a966a0a1a55e33e1523b6,e1247063e3b36b7e881d0ab7b6f18129f63c4d0abb6a966a0a1a55e33e1523b6,True,2480,1,60d55cf2859d41f58312f1c6b1ea0eb11574bb2e10026e2622ad7122feb604c2,pass
nineteen_b2_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/manifest_19b2_b2_high_vol_extension_left_tail_suppressor_ablation.json,json,True,True,8847afa83da49cf2db67d19cbdeb943dab7c8b61547a2e16b0d7226cd38c53a4,8847afa83da49cf2db67d19cbdeb943dab7c8b61547a2e16b0d7226cd38c53a4,True,29478,,01a940c825c5895bccea1d205d20dfffa8f39f09ac1479400770767ed7e9a21a,pass
nineteen_b2_output_hashes,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/output_hashes_19b2_b2_high_vol_extension_left_tail_suppressor_ablation.json,json,True,True,fc9b1f4f104f3241d601fcfe683982ce1010efabc2b18758b0b50e53f308d7aa,,True,2008,,01a940c825c5895bccea1d205d20dfffa8f39f09ac1479400770767ed7e9a21a,pass
nineteen_b2_variant_grid,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B2_b2_high_vol_extension_left_tail_suppressor_ablation/suppressor_variant_grid.csv,csv,True,True,aa3bf85c10b4615f25ee2cf76493d22979ad171ba85960565222ca51b24a9541,aa3bf85c10b4615f25ee2cf76493d22979ad171ba85960565222ca51b24a9541,True,5229,30,b6d01986dbccf98087fba121e04c6f72380f69d453a649deb57c39e730bfc235,pass
nineteen_b_candidate_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_candidate_row_manifest.csv,csv,True,True,6c431cc4c3aaa98e562bca2a8532df88a1e686104bb7047dfbdd2195cfcd92ca,6c431cc4c3aaa98e562bca2a8532df88a1e686104bb7047dfbdd2195cfcd92ca,True,6019313,19868,472bb3f71b4284e520be63c78684a551d1be2433d52ce046ad3e498b2fbcc45e,pass
nineteen_b_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/entry_universe_19b_decision.csv,csv,True,True,62a567a3e4af61e4bca12b386256be4aa8ea88dd0d3baf835e00c49171039f9d,62a567a3e4af61e4bca12b386256be4aa8ea88dd0d3baf835e00c49171039f9d,True,1866,1,eeadfe823cfec900cc182e064dd09e9c4aa73ee6f35ce273be69f4578116d7b7,pass
nineteen_b_metric_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_metric_readout.csv,csv,True,True,6f0630a5297839eec4abad0a386ef75897ed2e1eabc6cd49fa44045238730fdf,6f0630a5297839eec4abad0a386ef75897ed2e1eabc6cd49fa44045238730fdf,True,3074,2,74010a0debe1676ead3b767c9591726761cc5ea91e5fd34cc1b8d96bef3ce807,pass
nineteen_b_mfe_mae_joint_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/mfe_mae_joint_readout.csv,csv,True,True,53e2565be872d837ddce5ecfcdbc713827e2f28f40b767e2b5b52430d78f80a6,53e2565be872d837ddce5ecfcdbc713827e2f28f40b767e2b5b52430d78f80a6,True,4386568,13605,2ee7b35f918c2b2776af1075d2ea339a4bf59265cb75f4dbf10907305af1ccf7,pass
nineteen_b_outcome_boundary_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/robustness_outcome_boundary_audit.csv,csv,True,True,eba39e58fd017e64aed0fcfb45f8a13216c42ccf0e0d625d66a1c279221530ca,eba39e58fd017e64aed0fcfb45f8a13216c42ccf0e0d625d66a1c279221530ca,True,388,1,70866ca9cdfa00d1147e2b95886bbc79575d8514448e327661bd4045760ee9be,pass
nineteen_b_output_hashes,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19B_robust_right_tail_enrichment_and_false_positive_burden_readout/output_hashes_19b_robust_right_tail_enrichment_and_false_positive_burden_readout.json,json,True,True,bcec8a443d9cb3698c417b9716aef4787d9f1ccae235f98e8858c0f3f76e3ba8,,True,2932,,01a940c825c5895bccea1d205d20dfffa8f39f09ac1479400770767ed7e9a21a,pass
research_plan,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/research_plan.md,md,True,True,04f716b913c7e84a3c4a62e77c2baa7c35759bdb014856a9560b19064eb3de72,,True,66912,,fbaa7d94379f54e27a986430ed93039a79dbb4807f1ea292f45de24f04c909ea,pass
split_construction_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/split_construction_freeze.csv,csv,True,True,ac041fd8b2ffd8c0f70d2fa828f8e4466e9468b1cbf9332e7144b96a0d86b48c,,True,326,3,5b71af9443229bb678bdab0c0b3dabeb815b132059be27164b43e0784bfe50e2,pass
stock_qfq_dir,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/raw/akshare/day/qfq,directory,True,True,,,True,0,,,pass
topn_executable_universe,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/data/processed/universe/pit_topn_400_100_executable_daily.csv,csv,True,True,e73968ddf54b646ab2d831467a0e2882970e5f96880df12c41bd01a39c243965,,True,495306944,1140000,e01ec24b643f249aae1ec4324fccad1939b160e68df905cbce8d7e3767247859,pass
validation_stress_rule_freeze,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/19_entry_universe_pit_tradability_preflight/outputs/19A_entry_universe_pit_lineage_tradability_and_data_contract/validation_stress_rule_freeze.csv,csv,True,True,09ad8086dcabb4a7d9c7fb008b9f4e9c224b25c2ebca98cb9975588b9557de64,,True,334,1,edc2efa34fe8b0cca1422326740d3c43997ec4ae6f48da128191cbe124b59333,pass
