instrument,artifact_path,sha256,size_bytes,row_count,schema_hash,min_date,max_date,read_for_forward_outcome
SH600019,data/raw/akshare/day/qfq/SH600019.csv,576857bed2b2323ee3bbc381e9f6a627afc71870d5ff5baf36d7e7a9f8f26e36,253253,2262,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600020,data/raw/akshare/day/qfq/SH600020.csv,142bbbdde5adc937a41a68c3275d87c3ddc510069dcd70e7082fce7526de1b98,251523,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600021,data/raw/akshare/day/qfq/SH600021.csv,84ce6a42f9fa51acc09bc322a612801304e135cbb2370715022f90b6b712bd94,254215,2275,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600022,data/raw/akshare/day/qfq/SH600022.csv,74d478369646cbfbc523d9d3d4f56235fc2b70ca60271ef449c4a7356c2a48ce,243279,2184,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600023,data/raw/akshare/day/qfq/SH600023.csv,1fd898999a04eead362a282dd4cba1bee5b8c438a331a1ca657c1c86ee7b9640,253304,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600025,data/raw/akshare/day/qfq/SH600025.csv,8671c701c1dbafe4dd20c957ba77f8f27d32afe2c1c8fc95e89004888ce3c196,227721,2048,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-12-15,2026-05-29,False
SH600026,data/raw/akshare/day/qfq/SH600026.csv,f30b34554f1cfc02bd77e4c0a007ae109b70369045cae5dba26d9f0a002ba68e,256900,2276,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600027,data/raw/akshare/day/qfq/SH600027.csv,205f59aca84cb0a99041270bf586d6ee3ecf0cef43f3ba164fc8567716f759d2,252894,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600028,data/raw/akshare/day/qfq/SH600028.csv,dc6498fad28a04e00c48cd292978d5754854437e714617a0b7046ae026dd5ac1,256459,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600029,data/raw/akshare/day/qfq/SH600029.csv,eea4a9817c67854aea34e2b588b2e7f2a421d478b554920b199c90332dd4a3b4,254883,2278,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600030,data/raw/akshare/day/qfq/SH600030.csv,e7cb9d17ed4c7c92d12c805e890b79b99f0ce8c6faa8c17ff21d3c038e49b782,264538,2264,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600031,data/raw/akshare/day/qfq/SH600031.csv,ec1ac27282e3b7de88fcbb6b7cd93c04c3b61036bef810eeed898653416e6cf1,263236,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600032,data/raw/akshare/day/qfq/SH600032.csv,e83c04aecdfed279c5d8b008fa027eca523fd18515a036daf27b16173f2e5764,136232,1215,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2021-05-25,2026-05-29,False
SH600033,data/raw/akshare/day/qfq/SH600033.csv,26a259965f3c088a6e5e881f9d1a2ce5411314d096223cc86feb16b4857f3ae2,251315,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600035,data/raw/akshare/day/qfq/SH600035.csv,b123af99a7c6ed256e87017cfd53764bbe6fc7b44f5e7b3b92373069ceba0f88,250908,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600036,data/raw/akshare/day/qfq/SH600036.csv,a1e4e5a1fe6602d4df5a2b33b630ed8f3d987fad33876eb16ed95a7e69e19d71,265809,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600037,data/raw/akshare/day/qfq/SH600037.csv,8b43c05ee72c434d70374b30aee28566479dd39efa3287b5dec9a0450cc27f29,253585,2275,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600038,data/raw/akshare/day/qfq/SH600038.csv,8cbe09f4e471065a8aa8aa12acd14ccd10d07b69e0bb96b4cc9c1c7b3974fed2,260551,2271,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600039,data/raw/akshare/day/qfq/SH600039.csv,7a3ce611f5248ef5cf8835d823bf44ece4c5f5b074186821dbaf0c4557dcaae6,252296,2269,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600048,data/raw/akshare/day/qfq/SH600048.csv,9ab7cc56075bd1c4f00181b1b3a35402798bfe3f598ea481b04252ca036253e6,261133,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600050,data/raw/akshare/day/qfq/SH600050.csv,0701ac83cf3bea8d9a10fe91a11ff9c2085720afd14443d58a3d359abe809abc,246177,2186,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600051,data/raw/akshare/day/qfq/SH600051.csv,7c7c86eb0d43db053037b481f5e51b735019663cd1e4bb8b17ba180ccace9d49,242688,2210,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600052,data/raw/akshare/day/qfq/SH600052.csv,2fb5118129e9e60f6e2e1a3d0fb9612e28ca40e5fc8c7ebbc4bbc70a42d0a45e,241405,2198,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600053,data/raw/akshare/day/qfq/SH600053.csv,579456ab9e6e3b2d61ea8461d5cd928911b32423fb4e02d9e565fb38ef510e2e,258854,2274,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600054,data/raw/akshare/day/qfq/SH600054.csv,dec86e3836842268110e7e1b2bf941d36ba64cca98190d7cdc377b3797e356ae,256390,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600055,data/raw/akshare/day/qfq/SH600055.csv,43fb95b362d9985253a32444fc277a08fbcbb608cc683dc973298fc02a2a97cd,258310,2272,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600056,data/raw/akshare/day/qfq/SH600056.csv,71ffd8962a4c732d9d4d3da451323dc27f87b8486651f22a761229a9071748f7,258778,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600057,data/raw/akshare/day/qfq/SH600057.csv,8ddc50720a9332ebe32121d647077a61c729c19dae21099cc79fca8fc1d0c67c,251260,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600058,data/raw/akshare/day/qfq/SH600058.csv,48a3b24fe9426ef8b32b473d6b24c73b6a6c0dd7f840f42563902cd704fee76a,251962,2271,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600059,data/raw/akshare/day/qfq/SH600059.csv,d92624342f48632aa3cf535a715442edbfbcb4c15c3318757fdef0df6e038c05,253593,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600060,data/raw/akshare/day/qfq/SH600060.csv,0e14f61d383c627aaf24ee459387e0f9ed5f4ef3278e2e825b0054d7fa2eff2b,260020,2280,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600061,data/raw/akshare/day/qfq/SH600061.csv,a9b4687c24e891741c147cc86bd0bf1843c661ea9a47fa00c809253bdedebe93,253505,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600062,data/raw/akshare/day/qfq/SH600062.csv,8ff72c74c6f69dec5ec5d95bef7c4aa21c34d11212de428c874a0c13bfe99f51,261354,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600063,data/raw/akshare/day/qfq/SH600063.csv,41758b92bfbbf777260e9937598481c1d0fb86b6ac2f0e5d9544b098a0b0786b,252841,2280,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600064,data/raw/akshare/day/qfq/SH600064.csv,1d8f66e9fb16b0827d6c72e01217dde4186b557bac264cfdb7067287b9fe07ae,251883,2280,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600066,data/raw/akshare/day/qfq/SH600066.csv,a6e31d933661081eeef09fd06aea2fe638e55626ded53896f7aa6d7491522cd4,258964,2280,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600067,data/raw/akshare/day/qfq/SH600067.csv,72ce78415c7a5ca567c7422063e9c1c396d1519ef936ccab138b95f2f3596e15,251305,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600071,data/raw/akshare/day/qfq/SH600071.csv,0f0ef900be0f604fe44e5b7a93b1d25b3722060e0ad552e53bf8debc9d9149ed,256629,2271,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600072,data/raw/akshare/day/qfq/SH600072.csv,dea3b45a609c63efe43dd9ef49544ad86c99be4fa0c340acbd9a8a4f46838eea,259406,2260,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600073,data/raw/akshare/day/qfq/SH600073.csv,a960ba46203670454b0f92944ae5b7b3a90b469f7f025b913132536eb3a81fc3,252250,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600075,data/raw/akshare/day/qfq/SH600075.csv,c7c2111369e5bcdc14ec3e1e5a35361d394c5faba6a7d13625594fcaa4698ab4,250717,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600076,data/raw/akshare/day/qfq/SH600076.csv,604235c80bbce91f617195c6404b0436516ef7e9d3af4def32f5e610c1214c7c,242950,2201,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600078,data/raw/akshare/day/qfq/SH600078.csv,51f97155eef95a3e122232ed47449579a3b64690f1a5b29cab6e43a536eed0c2,251349,2263,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600079,data/raw/akshare/day/qfq/SH600079.csv,ccbe1d920868e99b6bf11038284dedf50f0c85e6f2cc95bdb4b0aef75cfd8c6d,260810,2268,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600080,data/raw/akshare/day/qfq/SH600080.csv,ccbd81794ca47772a7156d54108524f829f5699da770492629b8c9f930a40be8,250257,2274,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600081,data/raw/akshare/day/qfq/SH600081.csv,ae71ef2cf9ed4646b39f8f5e8da86b580e0f85bb2a1a1d31dc932043a3456e45,254814,2260,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600082,data/raw/akshare/day/qfq/SH600082.csv,7b3f21211f83310288b825d14b096546a316a36cd030ed577931dc11e8bf3399,249673,2271,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600084,data/raw/akshare/day/qfq/SH600084.csv,e0141c7ddb002fbc903a04545b88fde873485eb738f055139f79e3362d7c5a27,225006,2049,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600085,data/raw/akshare/day/qfq/SH600085.csv,e1f64e33e4be49a7285829cd8df006cd8fabac42a94b8f658f428bdcb594710e,262011,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600088,data/raw/akshare/day/qfq/SH600088.csv,0fc3316dc20bac731bc82a1b62bc967f732d3536d2a1df3af1764b346f56b3d0,258032,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600089,data/raw/akshare/day/qfq/SH600089.csv,07de8ea0421fa710dd0b66cb770db486298751105e10e8e4cf5c7f15c4338b08,259233,2275,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600094,data/raw/akshare/day/qfq/SH600094.csv,300b8ebea00a6a0b021bf34fb3ecf0cadad9c9d1768091d6538c87b39a45bdce,252309,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600095,data/raw/akshare/day/qfq/SH600095.csv,a28ab8eab308792b8d0fb08872783ba847627715617eab2ae2c5730780978a17,253167,2261,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600096,data/raw/akshare/day/qfq/SH600096.csv,c021dca00a624841b14391b8334a581e924df8aca5dd7d31bee2b84bd7943259,258259,2279,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600097,data/raw/akshare/day/qfq/SH600097.csv,3dd5c8707ab0c3bc3f85a0c93b5972aaf3dd452bd361505ff2c9bbdb384f5efc,252436,2276,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600098,data/raw/akshare/day/qfq/SH600098.csv,c6ea03c2a4e9214b4aba667e7add6c2a1687cbf7e48620d04bc8f954cb538419,251854,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600099,data/raw/akshare/day/qfq/SH600099.csv,8d3c099bf7b5b23a04df93c0ca5635ba3984e62f38c2cbc1dc6d0c1175c506cd,249935,2263,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600100,data/raw/akshare/day/qfq/SH600100.csv,024867666b22ab490bd8f57457ae0ae59f0c8ba60a20a10446374e1ecb5cb7df,243311,2175,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600101,data/raw/akshare/day/qfq/SH600101.csv,8099d19ca967dd0e8ffb4aba9c9338486f7ea1480c488b4e0ecc019e07a89d8c,252215,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600103,data/raw/akshare/day/qfq/SH600103.csv,4f0284358f9b057e432c1bba0e5e72c6ca43f33f25e3cfbcca81d4485d7b029f,252477,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600104,data/raw/akshare/day/qfq/SH600104.csv,6912fc752811506d484f23817ef134130003cde9f6def43fa903378b611c75c4,264094,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600105,data/raw/akshare/day/qfq/SH600105.csv,16575de6c0218e91dfa63308eb79e317ba230b67d701019381fa04760694310e,254282,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600106,data/raw/akshare/day/qfq/SH600106.csv,97d7c4cb7488d19099f1066f5259a2f77188cc36a173fc32d8fe8eb9d751f856,251774,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600107,data/raw/akshare/day/qfq/SH600107.csv,581342900bdf02352063b646bd6b8e6b128c7ec1b3ad5e41b642a7009aaa10c4,248838,2267,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600108,data/raw/akshare/day/qfq/SH600108.csv,742df385bd05890b376455759c68dff3e63509ab7b02199f1c8f21df9a0d71c0,252882,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600109,data/raw/akshare/day/qfq/SH600109.csv,3f2304b165fa5dff43de19e798a4a167ec809fc87d5640a139af2e364dfee8c7,256282,2271,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600110,data/raw/akshare/day/qfq/SH600110.csv,e2b30e8561722bfa6157d5fad6507a0d358233b6dfc0c083470ee6082f4ace97,254278,2265,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600111,data/raw/akshare/day/qfq/SH600111.csv,c73058434c85ffb129de3feadc44e4f522d7b409c1c767405ae0fe70545c07a2,264058,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600113,data/raw/akshare/day/qfq/SH600113.csv,7cd8a0558981fc395568bbe7e305e4243bae95d1b9fc4f59d25f24a47fe67a15,251931,2269,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600114,data/raw/akshare/day/qfq/SH600114.csv,bd456661e32919430b4468e32317ad0790142736963560af2dc50c486886babc,253635,2262,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600115,data/raw/akshare/day/qfq/SH600115.csv,85afa9a7f7fa2bce852322b2243fd2b732304928a25c9ffa006a263cd6f4aeb5,254660,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600116,data/raw/akshare/day/qfq/SH600116.csv,d7b9f29081dfd6f9a0dd2accedcbdbf3a38b5032b788c3f82d7d7d9128a0135f,251159,2269,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600117,data/raw/akshare/day/qfq/SH600117.csv,3210219165a34fd7d1d85e129640fa5a9ceec894b06c33c5bed46881e91fbc58,247003,2245,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600118,data/raw/akshare/day/qfq/SH600118.csv,a35ea1cc5c0c13e0d020b2edaee48e4f47ccfca9501f5a16923023a0b0fcebc0,262643,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600119,data/raw/akshare/day/qfq/SH600119.csv,0a4326ec749f0d1d8679e31d7d0eb00c1e88faed210c4536d4b78d66991652fd,251261,2277,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600120,data/raw/akshare/day/qfq/SH600120.csv,67d1610b07a3041e8029116f1850b3e8e0c236a2bcb6d480b4de56d9e4d4da15,252648,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600121,data/raw/akshare/day/qfq/SH600121.csv,1bc069405b14e4a7a35711fcb10ef4bb3d6682bc9322dfadd12eb26b53358fa5,252037,2279,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600123,data/raw/akshare/day/qfq/SH600123.csv,01e5ef73f3377fa86d735692ff42abc1cd1fac3b1c60342964635f22cd9c3b00,253257,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600125,data/raw/akshare/day/qfq/SH600125.csv,8a3ce7a3906e26e077918dd9307b92d0388196000bc7de8ae30e2994bfba8317,253062,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600126,data/raw/akshare/day/qfq/SH600126.csv,52f57eb669de28aed064185637a6571d4d7a07edfa95dc72ecfc0507b4fcde19,252292,2274,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600127,data/raw/akshare/day/qfq/SH600127.csv,8f661933c22c2ea14de8792f309d1b8a7c5b8304fcfb07b8131abc68a0d9fcbd,251676,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600128,data/raw/akshare/day/qfq/SH600128.csv,764eee661837ea95747a91efb506b3661ef4fac7fa10de929cf43a2fc53f9e0b,252239,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600129,data/raw/akshare/day/qfq/SH600129.csv,a3d59216c1c5b0720049147c0c95378f98aa0a9d1390457cc8a63b566793c143,260086,2278,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600130,data/raw/akshare/day/qfq/SH600130.csv,4cd91abfaca76c0c08f5b8179815b78541dc90926ddc22acfa33413db8f7a18d,249268,2279,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600131,data/raw/akshare/day/qfq/SH600131.csv,086ea619e1b4de0988b2c56b62ce3f50a6764a89b8f7c9c703f267daf59196db,258181,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600132,data/raw/akshare/day/qfq/SH600132.csv,7c0e70182aadef65e65f050ec3459f9f3b0d55e7f01f8be8590c92bf33022771,262583,2281,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600133,data/raw/akshare/day/qfq/SH600133.csv,43343df1130a28a472fdf62bbcabbdad51265f36f2acb0e37d91e7dc9620ea63,245884,2212,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
SH600135,data/raw/akshare/day/qfq/SH600135.csv,5a5527dbe5acd41d07b14403acf3023dfbdaa89fcaac5ec0b7a369c6975b280b,250936,2270,7e53f7848158194ba082d23fdf61bc8348b8f50d705d40e16a40e24e86c16ac0,2017-01-03,2026-05-29,False
