instrument_id,canonical_instrument_id,hash_input_description,hash_value,instrument_fold_id,train_signal_count,validation_signal_count,robustness_signal_count
SH601828,SH601828,utf-8 bytes of canonical_instrument_id.lower(),15116185782608977155,0,14,0,0
SH603259,SH603259,utf-8 bytes of canonical_instrument_id.lower(),13467658856035691211,1,772,483,485
SZ002739,SZ002739,utf-8 bytes of canonical_instrument_id.lower(),17632139346037374595,0,5,0,0
SH601138,SH601138,utf-8 bytes of canonical_instrument_id.lower(),11557375598842812817,2,749,483,485
SH601066,SH601066,utf-8 bytes of canonical_instrument_id.lower(),1932328016946667491,1,742,483,485
SZ002607,SZ002607,utf-8 bytes of canonical_instrument_id.lower(),5538412346182860420,0,699,0,0
SH600570,SH600570,utf-8 bytes of canonical_instrument_id.lower(),10191185172144281016,1,687,481,249
SZ002032,SZ002032,utf-8 bytes of canonical_instrument_id.lower(),5709329910779114838,3,600,2,0
SZ000876,SZ000876,utf-8 bytes of canonical_instrument_id.lower(),5157307580394157999,4,688,423,0
SH600776,SH600776,utf-8 bytes of canonical_instrument_id.lower(),6885239490983490145,0,1,0,0
SZ002841,SZ002841,utf-8 bytes of canonical_instrument_id.lower(),10893450165510342895,0,582,85,0
SZ000661,SZ000661,utf-8 bytes of canonical_instrument_id.lower(),11469950728731373082,2,673,483,58
SZ002938,SZ002938,utf-8 bytes of canonical_instrument_id.lower(),7003322846534782260,0,678,414,446
SH600352,SH600352,utf-8 bytes of canonical_instrument_id.lower(),10173905828429063081,1,111,0,0
SZ000723,SZ000723,utf-8 bytes of canonical_instrument_id.lower(),372605348022148978,3,106,98,0
SH601162,SH601162,utf-8 bytes of canonical_instrument_id.lower(),5195776601746102038,3,50,0,95
SZ002157,SZ002157,utf-8 bytes of canonical_instrument_id.lower(),10607880208382667139,4,64,0,0
SZ002311,SZ002311,utf-8 bytes of canonical_instrument_id.lower(),14441045442663092955,0,553,483,485
SH601319,SH601319,utf-8 bytes of canonical_instrument_id.lower(),5439168030764598737,2,641,483,485
SZ002939,SZ002939,utf-8 bytes of canonical_instrument_id.lower(),6220831017026079866,1,23,0,4
SH600848,SH600848,utf-8 bytes of canonical_instrument_id.lower(),13993069663876411712,2,112,0,0
SH601298,SH601298,utf-8 bytes of canonical_instrument_id.lower(),17531328707162731630,0,25,4,420
SZ000157,SZ000157,utf-8 bytes of canonical_instrument_id.lower(),16948121102474993042,2,447,417,484
SH600183,SH600183,utf-8 bytes of canonical_instrument_id.lower(),16423464729818772772,2,560,14,300
SH603501,SH603501,utf-8 bytes of canonical_instrument_id.lower(),5544914491576795998,3,568,483,485
SZ002916,SZ002916,utf-8 bytes of canonical_instrument_id.lower(),6128792060502510393,3,420,50,363
SZ000708,SZ000708,utf-8 bytes of canonical_instrument_id.lower(),13211946965002924800,0,544,483,485
SH600745,SH600745,utf-8 bytes of canonical_instrument_id.lower(),14528291542971846027,2,521,483,89
SH603986,SH603986,utf-8 bytes of canonical_instrument_id.lower(),7796871278255177202,2,534,483,415
SZ002463,SZ002463,utf-8 bytes of canonical_instrument_id.lower(),17181491423806898942,2,3,0,449
SZ002007,SZ002007,utf-8 bytes of canonical_instrument_id.lower(),2176870638710273428,3,501,13,0
SH600989,SH600989,utf-8 bytes of canonical_instrument_id.lower(),14884590139714067134,4,523,483,485
SZ002624,SZ002624,utf-8 bytes of canonical_instrument_id.lower(),11135185406411901729,4,273,0,0
SH601231,SH601231,utf-8 bytes of canonical_instrument_id.lower(),3694913962014822668,3,69,0,33
SZ000785,SZ000785,utf-8 bytes of canonical_instrument_id.lower(),17714103266806696935,0,188,0,0
SH600801,SH600801,utf-8 bytes of canonical_instrument_id.lower(),6568590851158819477,2,198,0,9
SH601236,SH601236,utf-8 bytes of canonical_instrument_id.lower(),18210613731061221275,0,408,37,0
SH601872,SH601872,utf-8 bytes of canonical_instrument_id.lower(),14678624546376695335,0,2,246,416
SZ002050,SZ002050,utf-8 bytes of canonical_instrument_id.lower(),9856661662551679777,2,467,482,485
SZ002371,SZ002371,utf-8 bytes of canonical_instrument_id.lower(),2954720785552264433,3,478,483,485
SH601698,SH601698,utf-8 bytes of canonical_instrument_id.lower(),5581670245572670495,0,473,293,485
SZ002384,SZ002384,utf-8 bytes of canonical_instrument_id.lower(),12956089171658660973,3,16,26,223
SH603658,SH603658,utf-8 bytes of canonical_instrument_id.lower(),81166218003507344,4,290,0,0
SZ002812,SZ002812,utf-8 bytes of canonical_instrument_id.lower(),5805858657954117358,3,391,482,33
SH600845,SH600845,utf-8 bytes of canonical_instrument_id.lower(),16148384032808393877,2,453,483,485
SZ000977,SZ000977,utf-8 bytes of canonical_instrument_id.lower(),722391937965086224,4,152,196,420
SZ002410,SZ002410,utf-8 bytes of canonical_instrument_id.lower(),733313288020932381,1,433,376,0
SZ002065,SZ002065,utf-8 bytes of canonical_instrument_id.lower(),11652096627120614121,1,8,0,0
SH600584,SH600584,utf-8 bytes of canonical_instrument_id.lower(),14918022501689467618,3,377,231,396
SZ002129,SZ002129,utf-8 bytes of canonical_instrument_id.lower(),8167067821193783313,3,408,483,47
SZ002180,SZ002180,utf-8 bytes of canonical_instrument_id.lower(),17966208446219756258,3,34,355,0
SH601100,SH601100,utf-8 bytes of canonical_instrument_id.lower(),17447936777306538876,1,441,483,485
SZ003816,SZ003816,utf-8 bytes of canonical_instrument_id.lower(),5867206213310214971,1,452,483,485
SZ002271,SZ002271,utf-8 bytes of canonical_instrument_id.lower(),5080934172449027788,3,434,465,0
SH601990,SH601990,utf-8 bytes of canonical_instrument_id.lower(),1048153701182966886,1,60,0,0
