family,horizon,split,fold_id,fold_unseen_full_valid_instrument_count,fold_unseen_valid_signal_date_count,anchor_valid_signal_date_counts,anchor_min_valid_signal_date_count,partial_instruments_horizon_specific,partial_instruments_excluded_from_sample_gate_by_horizon,partial_instruments_excluded_from_positive_instrument_share_by_horizon,fold_evaluable_flag
volume_price_correlation,H5,robustness_oof_unseen,0,38,181,"[41, 41, 34, 33, 32]",32,True,True,True,True
volume_price_correlation,H5,robustness_oof_unseen,1,48,232,"[47, 54, 52, 35, 44]",35,True,True,True,True
volume_price_correlation,H5,robustness_oof_unseen,2,47,230,"[43, 50, 55, 43, 39]",39,True,True,True,True
volume_price_correlation,H5,robustness_oof_unseen,3,56,278,"[53, 61, 56, 55, 53]",53,True,True,True,True
volume_price_correlation,H5,robustness_oof_unseen,4,43,212,"[43, 47, 46, 37, 39]",37,True,True,True,True
volume_price_correlation,H10,train_oof_unseen,0,34,168,"[20, 15, 13, 19, 13, 21, 16, 19, 19, 13]",13,True,True,True,True
volume_price_correlation,H10,train_oof_unseen,1,40,207,"[20, 21, 17, 19, 22, 22, 18, 24, 22, 22]",17,True,True,True,True
volume_price_correlation,H10,train_oof_unseen,2,41,235,"[28, 16, 20, 20, 33, 26, 25, 22, 21, 24]",16,True,True,True,True
volume_price_correlation,H10,train_oof_unseen,3,47,250,"[25, 21, 27, 24, 31, 20, 31, 21, 25, 25]",20,True,True,True,True
volume_price_correlation,H10,train_oof_unseen,4,38,255,"[24, 22, 23, 23, 30, 24, 26, 30, 24, 29]",22,True,True,True,True
volume_price_correlation,H10,validation_oof_unseen,0,44,154,"[15, 15, 17, 16, 13, 21, 15, 16, 15, 11]",11,True,True,True,True
volume_price_correlation,H10,validation_oof_unseen,1,50,169,"[16, 18, 16, 16, 16, 19, 20, 15, 13, 20]",13,True,True,True,True
volume_price_correlation,H10,validation_oof_unseen,2,48,163,"[17, 19, 14, 15, 12, 20, 15, 21, 17, 13]",12,True,True,True,True
volume_price_correlation,H10,validation_oof_unseen,3,54,194,"[22, 23, 17, 21, 18, 19, 17, 21, 21, 15]",15,True,True,True,True
volume_price_correlation,H10,validation_oof_unseen,4,43,157,"[17, 19, 13, 7, 11, 17, 17, 20, 17, 19]",7,True,True,True,True
volume_price_correlation,H10,robustness_oof_unseen,0,36,171,"[13, 16, 17, 14, 19, 24, 23, 16, 17, 12]",12,True,True,True,True
volume_price_correlation,H10,robustness_oof_unseen,1,48,226,"[21, 28, 24, 16, 25, 24, 24, 26, 19, 19]",16,True,True,True,True
volume_price_correlation,H10,robustness_oof_unseen,2,47,224,"[22, 24, 29, 25, 20, 20, 25, 24, 18, 17]",17,True,True,True,True
volume_price_correlation,H10,robustness_oof_unseen,3,56,276,"[24, 32, 28, 25, 27, 28, 28, 28, 30, 26]",24,True,True,True,True
volume_price_correlation,H10,robustness_oof_unseen,4,43,203,"[18, 22, 21, 18, 15, 23, 23, 24, 18, 21]",15,True,True,True,True
rank_ts_rank_structure,H3,train_oof_unseen,0,34,270,"[92, 93, 85]",85,True,True,True,True
rank_ts_rank_structure,H3,train_oof_unseen,1,41,368,"[127, 123, 118]",118,True,True,True,True
rank_ts_rank_structure,H3,train_oof_unseen,2,41,315,"[99, 114, 102]",99,True,True,True,True
rank_ts_rank_structure,H3,train_oof_unseen,3,49,365,"[116, 132, 117]",116,True,True,True,True
rank_ts_rank_structure,H3,train_oof_unseen,4,39,370,"[123, 127, 120]",120,True,True,True,True
rank_ts_rank_structure,H3,validation_oof_unseen,0,44,175,"[62, 63, 50]",50,True,True,True,True
rank_ts_rank_structure,H3,validation_oof_unseen,1,52,173,"[66, 58, 49]",49,True,True,True,True
rank_ts_rank_structure,H3,validation_oof_unseen,2,49,173,"[56, 57, 60]",56,True,True,True,True
rank_ts_rank_structure,H3,validation_oof_unseen,3,54,209,"[69, 71, 69]",69,True,True,True,True
rank_ts_rank_structure,H3,validation_oof_unseen,4,45,168,"[54, 61, 53]",53,True,True,True,True
rank_ts_rank_structure,H3,robustness_oof_unseen,0,39,206,"[70, 64, 72]",64,True,True,True,True
rank_ts_rank_structure,H3,robustness_oof_unseen,1,48,267,"[90, 88, 89]",88,True,True,True,True
rank_ts_rank_structure,H3,robustness_oof_unseen,2,48,254,"[88, 86, 80]",80,True,True,True,True
rank_ts_rank_structure,H3,robustness_oof_unseen,3,56,319,"[112, 104, 103]",103,True,True,True,True
rank_ts_rank_structure,H3,robustness_oof_unseen,4,43,241,"[84, 75, 82]",75,True,True,True,True
rank_ts_rank_structure,H5,train_oof_unseen,0,34,268,"[53, 59, 50, 56, 50]",50,True,True,True,True
rank_ts_rank_structure,H5,train_oof_unseen,1,40,360,"[74, 72, 75, 66, 73]",66,True,True,True,True
rank_ts_rank_structure,H5,train_oof_unseen,2,41,310,"[62, 64, 65, 57, 62]",57,True,True,True,True
rank_ts_rank_structure,H5,train_oof_unseen,3,49,363,"[74, 69, 73, 78, 69]",69,True,True,True,True
rank_ts_rank_structure,H5,train_oof_unseen,4,39,364,"[80, 68, 71, 70, 75]",68,True,True,True,True
rank_ts_rank_structure,H5,validation_oof_unseen,0,44,174,"[38, 39, 26, 33, 38]",26,True,True,True,True
rank_ts_rank_structure,H5,validation_oof_unseen,1,51,171,"[39, 34, 32, 33, 33]",32,True,True,True,True
rank_ts_rank_structure,H5,validation_oof_unseen,2,48,171,"[37, 34, 30, 34, 36]",30,True,True,True,True
rank_ts_rank_structure,H5,validation_oof_unseen,3,54,207,"[41, 39, 41, 41, 45]",39,True,True,True,True
rank_ts_rank_structure,H5,validation_oof_unseen,4,44,165,"[35, 36, 28, 32, 34]",28,True,True,True,True
rank_ts_rank_structure,H5,robustness_oof_unseen,0,38,203,"[37, 48, 43, 41, 34]",34,True,True,True,True
rank_ts_rank_structure,H5,robustness_oof_unseen,1,48,264,"[45, 59, 55, 55, 50]",45,True,True,True,True
rank_ts_rank_structure,H5,robustness_oof_unseen,2,47,251,"[49, 48, 52, 54, 48]",48,True,True,True,True
rank_ts_rank_structure,H5,robustness_oof_unseen,3,56,317,"[67, 63, 63, 61, 63]",61,True,True,True,True
rank_ts_rank_structure,H5,robustness_oof_unseen,4,43,237,"[45, 53, 50, 45, 44]",44,True,True,True,True
rank_ts_rank_structure,H10,train_oof_unseen,0,34,254,"[27, 28, 22, 28, 21, 24, 25, 26, 25, 28]",21,True,True,True,True
rank_ts_rank_structure,H10,train_oof_unseen,1,40,340,"[38, 35, 31, 32, 37, 31, 33, 41, 30, 32]",30,True,True,True,True
rank_ts_rank_structure,H10,train_oof_unseen,2,41,296,"[33, 33, 26, 28, 28, 25, 29, 37, 26, 31]",25,True,True,True,True
rank_ts_rank_structure,H10,train_oof_unseen,3,47,346,"[39, 30, 29, 41, 34, 32, 35, 38, 35, 33]",29,True,True,True,True
rank_ts_rank_structure,H10,train_oof_unseen,4,38,350,"[41, 27, 31, 33, 36, 37, 36, 39, 35, 35]",27,True,True,True,True
rank_ts_rank_structure,H10,validation_oof_unseen,0,44,166,"[13, 20, 12, 18, 21, 25, 17, 12, 13, 15]",12,True,True,True,True
rank_ts_rank_structure,H10,validation_oof_unseen,1,50,168,"[16, 18, 15, 15, 14, 23, 13, 17, 17, 20]",13,True,True,True,True
rank_ts_rank_structure,H10,validation_oof_unseen,2,48,167,"[17, 20, 15, 15, 19, 19, 13, 15, 19, 15]",13,True,True,True,True
rank_ts_rank_structure,H10,validation_oof_unseen,3,54,203,"[21, 21, 20, 17, 22, 20, 18, 20, 22, 22]",17,True,True,True,True
rank_ts_rank_structure,H10,validation_oof_unseen,4,43,162,"[14, 22, 13, 14, 17, 20, 14, 15, 16, 17]",13,True,True,True,True
rank_ts_rank_structure,H10,robustness_oof_unseen,0,36,189,"[17, 26, 26, 21, 18, 16, 19, 15, 17, 14]",14,True,True,True,True
rank_ts_rank_structure,H10,robustness_oof_unseen,1,48,254,"[21, 29, 25, 26, 19, 21, 28, 29, 28, 28]",19,True,True,True,True
rank_ts_rank_structure,H10,robustness_oof_unseen,2,47,241,"[24, 22, 24, 24, 22, 23, 24, 26, 27, 25]",22,True,True,True,True
rank_ts_rank_structure,H10,robustness_oof_unseen,3,56,309,"[31, 32, 31, 28, 31, 36, 30, 30, 30, 30]",28,True,True,True,True
rank_ts_rank_structure,H10,robustness_oof_unseen,4,43,232,"[22, 31, 26, 21, 23, 21, 22, 23, 23, 20]",20,True,True,True,True
