family,fold_id,factor_id,direction_source_split,direction_source_instrument_scope,direction_label_horizon,fold_direction_valid_instrument_count,factor_nonconstant_observation_share,factor_direction_stat_full_daily,factor_direction_stat_anchor_offset_0,factor_direction_stat_anchor_offset_1,factor_direction_stat_anchor_offset_2,factor_direction_stat_anchor_median,factor_direction_anchor_positive_sign_count,factor_direction_anchor_negative_sign_count,full_daily_direction_sign_agree_count,direction_anchor_stability_pass,direction,direction_status,direction_insufficient_factor_dropped
volume_surge_money_flow,4,alpha086,train,seen_folds_not_4,H3,185,1.0,-0.010960375699808088,-0.028318642965769896,-0.007621580441515823,-0.010234703037782405,-0.010234703037782405,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha098,train,seen_folds_not_4,H3,185,1.0,0.011942437411068187,0.00820013456337229,0.0179384651541323,0.008916165362313067,0.008916165362313067,3,0,3,True,1.0,direction_available,False
volume_surge_money_flow,4,alpha100,train,seen_folds_not_4,H3,185,1.0,-0.04889904580514738,-0.0475359359874057,-0.043748341682372335,-0.05286043650103148,-0.0475359359874057,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha135,train,seen_folds_not_4,H3,185,1.0,-0.05312476592033596,-0.055037967112820496,-0.04276585987627237,-0.05685030188823412,-0.055037967112820496,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha145,train,seen_folds_not_4,H3,185,1.0,-0.012404473836100608,-0.005377039543246447,-0.012559692888039228,-0.014391117376335368,-0.012559692888039228,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha146,train,seen_folds_not_4,H3,184,1.0,-0.0009749480106180691,-0.0070741587152322654,0.002319977114335016,-0.007311993653681152,-0.0070741587152322654,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha168,train,seen_folds_not_4,H3,185,1.0,-0.01057322280482569,-0.03155120922975351,-0.005712385815492492,0.0009379497713197185,-0.005712385815492492,1,2,2,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha169,train,seen_folds_not_4,H3,185,1.0,-0.012075917862610619,-0.01368684776656611,-0.004333137820218133,-0.012395801584924563,-0.012395801584924563,0,3,3,True,-1.0,direction_available,False
volume_surge_money_flow,4,alpha178,train,seen_folds_not_4,H3,185,1.0,-0.0037759390426393416,0.005637626037176168,-0.008306131922855252,0.0064378013145003545,0.005637626037176168,2,1,1,False,1.0,factor_direction_sample_insufficient,True
volume_surge_money_flow,4,alpha181,train,seen_folds_not_4,H3,184,1.0,0.043444904683454216,0.04370279490387145,0.04522683777019168,0.045237539513709984,0.04522683777019168,3,0,3,True,1.0,direction_available,False
volume_price_correlation,0,alpha022,train,seen_folds_not_0,H3,191,1.0,-0.011594369622240952,-0.006425136474993671,-0.007850805492473254,-0.02009401510725376,-0.007850805492473254,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,0,alpha031,train,seen_folds_not_0,H3,191,1.0,-0.02642531970909139,-0.013260645558052576,-0.034025569839350976,-0.025974882952802186,-0.025974882952802186,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,0,alpha185,train,seen_folds_not_0,H3,191,1.0,0.004558855745164257,-0.0028421220945222076,0.010369702458339293,0.005892807833060317,0.005892807833060317,2,1,2,True,1.0,direction_available,False
volume_price_correlation,1,alpha022,train,seen_folds_not_1,H3,186,1.0,-0.015571124807913783,-0.00857246428448637,-0.014390160536516932,-0.02025055296619551,-0.014390160536516932,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,1,alpha031,train,seen_folds_not_1,H3,186,1.0,-0.030712587614854597,-0.01759307683731881,-0.041731577756928914,-0.029273798548563882,-0.029273798548563882,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,1,alpha185,train,seen_folds_not_1,H3,186,1.0,0.004138838321098521,-0.0051028315966455025,0.013265730185350998,0.0038561003926902114,0.0038561003926902114,2,1,2,True,1.0,direction_available,False
volume_price_correlation,2,alpha022,train,seen_folds_not_2,H3,187,1.0,-0.019428698506413853,-0.006425136474993671,-0.017781739053288313,-0.020981971889992845,-0.017781739053288313,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,2,alpha031,train,seen_folds_not_2,H3,187,1.0,-0.03034917001058675,-0.016056680032913297,-0.04226878846065263,-0.031138689483877862,-0.031138689483877862,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,2,alpha185,train,seen_folds_not_2,H3,187,1.0,0.003763759983934792,-0.0013407593240469574,0.006644584728312295,0.01078306873917308,0.006644584728312295,2,1,2,True,1.0,direction_available,False
volume_price_correlation,3,alpha022,train,seen_folds_not_3,H3,175,1.0,-0.014890212418078091,-0.006280681266147769,-0.011052538905600425,-0.02009401510725376,-0.011052538905600425,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,3,alpha031,train,seen_folds_not_3,H3,175,1.0,-0.0288243834307207,-0.013260645558052576,-0.036284761473624125,-0.031841233504725196,-0.031841233504725196,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,3,alpha185,train,seen_folds_not_3,H3,175,1.0,0.0064145245418836695,-0.0008934855062031822,0.012790076589607804,0.007444612264690968,0.007444612264690968,2,1,2,True,1.0,direction_available,False
volume_price_correlation,4,alpha022,train,seen_folds_not_4,H3,185,1.0,-0.011675762645723394,-0.0021229879090600397,-0.007850805492473254,-0.015074868960793261,-0.007850805492473254,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,4,alpha031,train,seen_folds_not_4,H3,185,1.0,-0.029506617336449933,-0.012419984844646776,-0.03713220476792893,-0.02598520513259378,-0.02598520513259378,0,3,3,True,-1.0,direction_available,False
volume_price_correlation,4,alpha185,train,seen_folds_not_4,H3,185,1.0,0.004558855745164257,-0.0028421220945222076,0.010369702458339293,0.006867447058375505,0.006867447058375505,2,1,2,True,1.0,direction_available,False
rank_ts_rank_structure,0,alpha038,train,seen_folds_not_0,H3,191,1.0,-0.022487788057865263,-0.024770582980108934,-0.018308444806293643,-0.0273210345703898,-0.024770582980108934,0,3,3,True,-1.0,direction_available,False
rank_ts_rank_structure,1,alpha038,train,seen_folds_not_1,H3,186,1.0,-0.02335408360035935,-0.028000185996601114,-0.018863073295587226,-0.0238412493947191,-0.0238412493947191,0,3,3,True,-1.0,direction_available,False
rank_ts_rank_structure,2,alpha038,train,seen_folds_not_2,H3,187,1.0,-0.023907036317085285,-0.025749691159025957,-0.02069116207050866,-0.025717917938067204,-0.025717917938067204,0,3,3,True,-1.0,direction_available,False
rank_ts_rank_structure,3,alpha038,train,seen_folds_not_3,H3,175,1.0,-0.019829770754240937,-0.024770582980108934,-0.018308444806293643,-0.018908340631477137,-0.018908340631477137,0,3,3,True,-1.0,direction_available,False
rank_ts_rank_structure,4,alpha038,train,seen_folds_not_4,H3,185,1.0,-0.022487788057865263,-0.02666825145824827,-0.017010600045586896,-0.0273210345703898,-0.02666825145824827,0,3,3,True,-1.0,direction_available,False
