replay_key,split_bucket,cost_bps,source_table,source_value_column,panel_groupby_columns,panel_value_column,source_value,panel_replay_value,abs_diff,tolerance,replay_status,blocking_reason
six_cell:non_late_rescue_context:defended_neutral:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,16.046204265004057,16.046204265004057,0.0,1e-09,pass,
six_cell:non_late_rescue_context:defended_neutral:drawdown_avoided_abs_sum,train,100,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,32.05039567123268,32.05039567123268,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_positive:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,3935.0,3935.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_positive:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,467.56774143893335,467.56774143893335,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_positive:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,467.56774143893335,467.56774143893335,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_positive:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_positive:drawdown_avoided_abs_sum,train,100,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_negative:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1242.0,1242.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_negative:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-123.129259972265,-123.12925997226499,1.4210854715202004e-14,1e-09,pass,
six_cell:non_late_rescue_context:continued_negative:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-123.129259972265,-123.12925997226499,1.4210854715202004e-14,1e-09,pass,
six_cell:non_late_rescue_context:continued_negative:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_negative:drawdown_avoided_abs_sum,train,100,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_neutral:cell_step_n,train,100,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1775.0,1775.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_neutral:continue_return_sum,train,100,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-70.0125214222882,-70.0125214222882,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_neutral:policy_net_return_sum,train,100,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,-70.0125214222882,-70.0125214222882,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_neutral:incremental_return_sum,train,100,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:non_late_rescue_context:continued_neutral:drawdown_avoided_abs_sum,train,100,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:cell_step_n,train,0,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1620.0,1620.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:continue_return_sum,train,0,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,231.89819728105437,231.89819728105434,2.842170943040401e-14,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:policy_net_return_sum,train,0,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:incremental_return_sum,train,0,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,-231.89819728105437,-231.89819728105434,2.842170943040401e-14,1e-09,pass,
six_cell:known_failed_context_any:defended_positive:drawdown_avoided_abs_sum,train,0,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,48.94982689901802,48.94982689901802,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:cell_step_n,train,0,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,1788.0,1788.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:continue_return_sum,train,0,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-199.3449131583269,-199.3449131583269,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:policy_net_return_sum,train,0,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:incremental_return_sum,train,0,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,199.3449131583269,199.3449131583269,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_negative:drawdown_avoided_abs_sum,train,0,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,298.9454980116274,298.9454980116274,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:cell_step_n,train,0,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,890.0,890.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:continue_return_sum,train,0,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,-38.930648781697954,-38.930648781697954,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:policy_net_return_sum,train,0,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,0.0,0.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:incremental_return_sum,train,0,six_cell_utility_reconciliation.csv,incremental_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",incremental_net_return_h20,38.930648781697954,38.930648781697954,0.0,1e-09,pass,
six_cell:known_failed_context_any:defended_neutral:drawdown_avoided_abs_sum,train,0,six_cell_utility_reconciliation.csv,drawdown_avoided_abs_sum,"split_bucket,context_stratum,cost_bps,cell_id",drawdown_avoided_abs,59.51316365617448,59.513163656174484,7.105427357601002e-15,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:cell_step_n,train,0,six_cell_utility_reconciliation.csv,cell_step_n,"split_bucket,context_stratum,cost_bps,cell_id",step_id,5790.0,5790.0,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:continue_return_sum,train,0,six_cell_utility_reconciliation.csv,continue_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",continue_return_h20,577.602710255369,577.602710255369,0.0,1e-09,pass,
six_cell:known_failed_context_any:continued_positive:policy_net_return_sum,train,0,six_cell_utility_reconciliation.csv,policy_net_return_sum,"split_bucket,context_stratum,cost_bps,cell_id",policy_net_return_h20,577.602710255369,577.602710255369,0.0,1e-09,pass,
