variant_id,support_comparator_scope,support_comparator_n,candidate_n_after,candidate_instrument_n_after,winner_instrument_n_after,max_SMD_after,max_SMD_feature_after,SMD_match_market_cap_after,SMD_match_amount20_after,SMD_match_vol60_after,SMD_match_return20_after,top10_instrument_winner_share_after,top20_instrument_winner_share_after,support_descriptive_gate,concentration_descriptive_gate,diagnostic_only_flag,blocking_reason
A_EMA60_top10,eligible_universe_primary,212415,1385,502,163,1.5223582235496014,match_return20,0.14970837436939824,0.5323299394950328,1.000127015932926,1.5223582235496014,0.19895287958115182,0.33507853403141363,pass,pass,True,
A_EMA60_top20,eligible_universe_primary,212415,1234,472,155,1.560326935793224,match_return20,0.1629253077509781,0.5288694389514479,0.9771514758509506,1.560326935793224,0.18694362017804153,0.3264094955489614,pass,pass,True,
A_EMA60_top30,eligible_universe_primary,212415,1071,440,144,1.6327244491801465,match_return20,0.15702635102749415,0.5347670129153212,0.9565812543575352,1.6327244491801465,0.1972318339100346,0.3356401384083045,pass,pass,True,
B_vol80_extension80,eligible_universe_primary,212415,1388,507,167,1.4698260918607224,match_return20,0.14714919311038743,0.5049624247861153,0.9592370708464808,1.4698260918607224,0.17333333333333334,0.31466666666666665,pass,pass,True,
B_vol70_extension85,eligible_universe_primary,212415,1386,504,167,1.4692546320591156,match_return20,0.14791972118565055,0.5132557784686259,0.9643227140678006,1.4692546320591156,0.18351063829787234,0.324468085106383,pass,pass,True,
B_vol85_extension70,eligible_universe_primary,212415,1393,504,168,1.4678470696412853,match_return20,0.14290354568201855,0.5045746832304125,0.9605330733087114,1.4678470696412853,0.18157894736842106,0.3157894736842105,pass,pass,True,
B_atr80_ema80,eligible_universe_primary,212415,1435,510,172,1.4058736115394208,match_return20,0.14674179368080897,0.5227168931313276,0.9970480712566099,1.4058736115394208,0.20199501246882792,0.3341645885286783,pass,pass,True,
B_vol60_80_ret60_80,eligible_universe_primary,212415,1366,500,168,1.505352618651611,match_return20,0.1463324483272863,0.507791099307571,0.9386670252536721,1.505352618651611,0.1711229946524064,0.3048128342245989,pass,pass,True,
C_basis_top10,eligible_universe_primary,212415,1396,506,169,1.4944836811203823,match_return20,0.1428394772271355,0.5121958720064115,0.965284079617273,1.4944836811203823,0.18489583333333334,0.3229166666666667,pass,pass,True,
C_basis_top15,eligible_universe_primary,212415,1319,493,166,1.5000153996719594,match_return20,0.13382303355567107,0.487576082827635,0.9109883812354284,1.5000153996719594,0.1797752808988764,0.3146067415730337,pass,pass,True,
C_basis_top20,eligible_universe_primary,212415,1241,483,162,1.4919740244870623,match_return20,0.12851287110766646,0.48038689944666807,0.8551818914457926,1.4919740244870623,0.1702127659574468,0.3069908814589666,pass,pass,True,
C_basis_top25,eligible_universe_primary,212415,1164,475,153,1.4726669828464283,match_return20,0.1353292653131794,0.4380999794932317,0.7933005055162856,1.4726669828464283,0.17333333333333334,0.3,pass,pass,True,
C_basis_top30,eligible_universe_primary,212415,1086,463,148,1.458309351801239,match_return20,0.12696776963031287,0.4060238621497071,0.7324642419031502,1.458309351801239,0.18115942028985507,0.3079710144927536,pass,pass,True,
D_atr20_over_vol60_top20,eligible_universe_primary,212415,1241,471,160,1.3214096670825604,match_return20,0.17532880697007244,0.5306483498358823,1.2042155696982062,1.3214096670825604,0.22841225626740946,0.3565459610027855,pass,pass,True,
D_rank_spread_top20,eligible_universe_primary,212415,1241,449,161,1.3809575760821258,match_return20,0.15854075248382876,0.6132587502087032,1.312333938629114,1.3809575760821258,0.22163588390501318,0.35092348284960423,pass,pass,True,
