event_split,market_regime_bucket,board_bucket,primary_channel,event_count,executable_event_count,outcome_complete_120d_count,label_completeness_rate,event_big_winner_120d_rate,near_winner_rate,confirm_20_rate,failure_10_rate,forward_20_return_mean,forward_60_return_mean
train,risk_on,main_board,E6_continuation_discriminator,1035,1033,1033,0.9980676328502416,0.15488867376573087,0.14230396902226525,0.31364956437560504,0.1984511132623427,0.009021676104727228,-0.02064222174891083
train,transition,chinext,E1_early_ema60_repair,180,180,180,1.0,0.25555555555555554,0.18333333333333332,0.2777777777777778,0.28888888888888886,0.0047836677130802885,0.01969054748008758
train,transition,chinext,E3_rank_persistence,67,67,67,1.0,0.23880597014925373,0.19402985074626866,0.2835820895522388,0.208955223880597,-0.0015681198455963464,0.02549838351500953
train,transition,chinext,E6_continuation_discriminator,139,139,139,1.0,0.2158273381294964,0.19424460431654678,0.28776978417266186,0.3381294964028777,-0.006554390005161397,-0.000567817759296374
train,transition,main_board,E1_early_ema60_repair,677,677,677,1.0,0.14032496307237813,0.1432791728212703,0.2481536189069424,0.14032496307237813,0.009141292618240416,0.023209666775402392
train,transition,main_board,E3_rank_persistence,316,316,316,1.0,0.13924050632911392,0.2310126582278481,0.21835443037974683,0.14873417721518986,-0.0015335690296707648,0.03717817558427237
train,transition,main_board,E6_continuation_discriminator,443,443,443,1.0,0.13769751693002258,0.16252821670428894,0.255079006772009,0.1489841986455982,0.015425710362962726,0.03160738870641705
validation,risk_off,chinext,E1_early_ema60_repair,115,115,115,1.0,0.14782608695652175,0.1826086956521739,0.2956521739130435,0.30434782608695654,-0.016107727186424354,0.02429158260546413
validation,risk_off,chinext,E3_rank_persistence,65,65,65,1.0,0.1076923076923077,0.07692307692307693,0.3076923076923077,0.24615384615384617,-0.018274316989527296,-0.009116698106247689
validation,risk_off,chinext,E6_continuation_discriminator,88,88,88,1.0,0.13636363636363635,0.18181818181818182,0.2840909090909091,0.20454545454545456,-0.009566964234775873,0.034528181355255545
validation,risk_off,main_board,E1_early_ema60_repair,551,550,550,0.9981851179673321,0.10727272727272727,0.14,0.27636363636363637,0.1781818181818182,0.009136140791541536,0.0347634015679437
validation,risk_off,main_board,E2_money_vwap_repair_confirmation,2,2,2,1.0,0.5,0.5,0.5,0.5,0.02537398318845946,0.26376700100062267
validation,risk_off,main_board,E3_rank_persistence,224,224,224,1.0,0.12053571428571429,0.14732142857142858,0.16517857142857142,0.21428571428571427,-0.004842364723891839,0.0380752807668435
validation,risk_off,main_board,E6_continuation_discriminator,376,376,376,1.0,0.1196808510638298,0.1675531914893617,0.2473404255319149,0.2154255319148936,0.007724655732746943,0.045659965234192655
validation,risk_on,chinext,E1_early_ema60_repair,75,75,75,1.0,0.08,0.06666666666666667,0.16,0.25333333333333335,-0.04011602045339636,-0.07654275489876726
validation,risk_on,chinext,E3_rank_persistence,55,55,55,1.0,0.10909090909090909,0.12727272727272726,0.14545454545454545,0.23636363636363636,-0.06399577533173911,-0.0988817298474235
validation,risk_on,chinext,E6_continuation_discriminator,63,63,63,1.0,0.07936507936507936,0.12698412698412698,0.19047619047619047,0.23809523809523808,-0.035956497382238925,-0.0885389215470365
validation,risk_on,main_board,E1_early_ema60_repair,339,339,339,1.0,0.05309734513274336,0.0943952802359882,0.1887905604719764,0.10324483775811209,-0.01527462109607144,-0.03346893822380978
validation,risk_on,main_board,E2_money_vwap_repair_confirmation,2,2,2,1.0,0.0,0.5,0.0,0.0,0.04531242361513066,-0.0038788915226431464
validation,risk_on,main_board,E3_rank_persistence,252,252,252,1.0,0.023809523809523808,0.0873015873015873,0.09523809523809523,0.12698412698412698,-0.027647364284157743,-0.055851489294462306
validation,risk_on,main_board,E6_continuation_discriminator,286,286,286,1.0,0.045454545454545456,0.07692307692307693,0.11538461538461539,0.12937062937062938,-0.035692856919340744,-0.06775479365599645
validation,transition,chinext,E1_early_ema60_repair,151,151,151,1.0,0.059602649006622516,0.13245033112582782,0.26490066225165565,0.19205298013245034,0.0007171034282467883,-0.09655867297315261
validation,transition,chinext,E3_rank_persistence,47,47,47,1.0,0.02127659574468085,0.10638297872340426,0.3404255319148936,0.14893617021276595,-0.008632777636259912,-0.10353590159273876
validation,transition,chinext,E6_continuation_discriminator,93,93,93,1.0,0.021505376344086023,0.15053763440860216,0.27956989247311825,0.20430107526881722,-0.015741917827110843,-0.12414925017512846
validation,transition,main_board,E1_early_ema60_repair,569,569,569,1.0,0.043936731107205626,0.10193321616871705,0.20035149384885764,0.1265377855887522,-0.01026977631267118,-0.03906257492324948
validation,transition,main_board,E3_rank_persistence,340,340,340,1.0,0.052941176470588235,0.08235294117647059,0.21176470588235294,0.08529411764705883,-0.004951252080195657,-0.0439517004997064
validation,transition,main_board,E6_continuation_discriminator,453,453,453,1.0,0.046357615894039736,0.08830022075055188,0.2052980132450331,0.1368653421633554,-0.013988066371815787,-0.03878960150100981
