reporting_view,split,path_regime_state,overlap_type,seed_flag_a,seed_flag_b,seed_flag_overlap_n,winner_n,overlap_count,overlap_rate,power_flag
split_only,robustness,all,overlap_n,,,3,1761,216,0.12265758091993186,ok
split_only,robustness,all,overlap_n,,,4,1761,52,0.029528676888131742,ok
split_only,robustness,all,overlap_n,,,5,1761,0,0.0,ok
split_only,robustness,all,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,1761,0,0.0,ok
split_only,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,1761,345,0.19591141396933562,ok
split_only,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,1761,128,0.07268597387847814,ok
split_only,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,1761,92,0.05224304372515616,ok
split_only,robustness,all,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,1761,276,0.1567291311754685,ok
split_only,robustness,all,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,1761,188,0.10675752413401476,ok
split_only,robustness,all,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,1761,0,0.0,ok
split_only,robustness,all,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,1761,277,0.1572969903463941,ok
split_only,robustness,all,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,1761,0,0.0,ok
split_only,robustness,all,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,1761,74,0.04202157864849517,ok
split_only,train,all,overlap_n,,,0,1080,264,0.24444444444444444,ok
split_only,train,all,overlap_n,,,1,1080,416,0.3851851851851852,ok
split_only,train,all,overlap_n,,,2,1080,260,0.24074074074074073,ok
split_only,train,all,overlap_n,,,3,1080,119,0.11018518518518519,ok
split_only,train,all,overlap_n,,,4,1080,21,0.019444444444444445,ok
split_only,train,all,overlap_n,,,5,1080,0,0.0,ok
split_only,train,all,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,1080,0,0.0,ok
split_only,train,all,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,1080,174,0.16111111111111112,ok
split_only,train,all,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,1080,73,0.06759259259259259,ok
split_only,train,all,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,1080,70,0.06481481481481481,ok
split_only,train,all,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,1080,108,0.1,ok
split_only,train,all,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,1080,92,0.08518518518518518,ok
split_only,train,all,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,1080,0,0.0,ok
split_only,train,all,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,1080,180,0.16666666666666666,ok
split_only,train,all,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,1080,0,0.0,ok
split_only,train,all,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,1080,46,0.04259259259259259,ok
split_only,validation,all,overlap_n,,,0,234,44,0.18803418803418803,ok
split_only,validation,all,overlap_n,,,1,234,112,0.47863247863247865,ok
split_only,validation,all,overlap_n,,,2,234,54,0.23076923076923078,ok
split_only,validation,all,overlap_n,,,3,234,24,0.10256410256410256,ok
split_only,validation,all,overlap_n,,,4,234,0,0.0,ok
split_only,validation,all,overlap_n,,,5,234,0,0.0,ok
split_only,validation,all,pairwise,seed_early_momentum_flag,seed_late_bloomer_flag,2,234,0,0.0,ok
split_only,validation,all,pairwise,seed_gap_or_event_driven_flag,seed_shakeout_reversal_flag,2,234,42,0.1794871794871795,ok
split_only,validation,all,pairwise,seed_gap_or_event_driven_flag,seed_volatile_chop_flag,2,234,13,0.05555555555555555,ok
split_only,validation,all,pairwise,seed_gap_or_event_driven_flag,seed_early_momentum_flag,2,234,8,0.03418803418803419,ok
split_only,validation,all,pairwise,seed_gap_or_event_driven_flag,seed_late_bloomer_flag,2,234,27,0.11538461538461539,ok
split_only,validation,all,pairwise,seed_shakeout_reversal_flag,seed_volatile_chop_flag,2,234,16,0.06837606837606838,ok
split_only,validation,all,pairwise,seed_shakeout_reversal_flag,seed_early_momentum_flag,2,234,0,0.0,ok
split_only,validation,all,pairwise,seed_shakeout_reversal_flag,seed_late_bloomer_flag,2,234,17,0.07264957264957266,ok
split_only,validation,all,pairwise,seed_volatile_chop_flag,seed_early_momentum_flag,2,234,0,0.0,ok
split_only,validation,all,pairwise,seed_volatile_chop_flag,seed_late_bloomer_flag,2,234,3,0.01282051282051282,ok
split_regime,all,all,overlap_n,,,0,3075,618,0.20097560975609757,ok
split_regime,all,all,overlap_n,,,1,3075,1291,0.41983739837398376,ok
split_regime,all,all,overlap_n,,,2,3075,734,0.23869918699186993,ok
split_regime,all,all,overlap_n,,,3,3075,359,0.1167479674796748,ok
split_regime,all,all,overlap_n,,,4,3075,73,0.023739837398373983,ok
split_regime,all,all,overlap_n,,,5,3075,0,0.0,ok
