reporting_view,split,path_regime_state,comparison_axis,comparison_id,baseline_split,baseline_path_regime_state,metric,winner_n,non_null_metric_n,baseline_winner_n,baseline_non_null_metric_n,standardized_mean_delta,ks_statistic,psi,psi_bin_power_flag,power_flag,p01_delta,p05_delta,p10_delta,p25_delta,p50_delta,p75_delta,p90_delta,p95_delta,p99_delta
split_regime,robustness,risk_off,split_regime_vs_all,robustness_risk_off_vs_all,all,all,deepest_pre_target_ret_low,811,811,3075,3075,0.2306517309521143,0.12745762032219582,0.08249079346842934,ok,ok,0.057567676702795834,0.0557936961989528,0.0419029220543915,0.030045842224197872,0.014395017537806809,0.003654377577677115,0.0010962633108988146,0.0022635208474535706,0.0324617255255361
split_regime,robustness,risk_on,split_regime_vs_all,robustness_risk_on_vs_all,all,all,deepest_pre_target_ret_low,827,827,3075,3075,-0.2920056795597751,0.13934231869525468,0.1017956600909595,ok,ok,-0.035447958872045326,-0.02391039995707875,-0.04466374301163517,-0.04303983354341445,-0.019630280934790467,-0.009235171349015414,-0.0027748520815026514,0.00033444816053503773,0.023088302374363504
split_regime,robustness,transition,split_regime_vs_all,robustness_transition_vs_all,all,all,deepest_pre_target_ret_low,123,123,3075,3075,0.16621198019627723,0.12162601626016262,0.07810071825115406,low_power,ok,0.08752062809083794,0.031161558768068892,0.008874378151472129,0.029542972322840144,0.008630295475894889,0.002617206533900074,0.006901068587595251,0.017995138703862212,0.03837212668022717
split_regime,train,risk_off,split_regime_vs_all,train_risk_off_vs_all,all,all,deepest_pre_target_ret_low,440,440,3075,3075,0.22755662213691014,0.10785291943828529,0.0809236995406564,low_power,ok,0.08500387737829479,0.058456366664479786,0.04720981214163189,0.023011291085584112,0.0075296286827671866,0.005382651272142963,0.012566528230919492,0.012595307039038876,0.001407186178168554
split_regime,train,risk_on,split_regime_vs_all,train_risk_on_vs_all,all,all,deepest_pre_target_ret_low,388,388,3075,3075,-0.2950255191880409,0.12762383706311292,0.07730273316585315,ok,ok,-0.02299036348043776,-0.03194643192164909,-0.04902143868436995,-0.03525973521883474,-0.013830066596918988,-0.00985960773416164,-0.003940366725730982,-0.012050807331508845,-0.06706810593627603
split_regime,train,transition,split_regime_vs_all,train_transition_vs_all,all,all,deepest_pre_target_ret_low,252,252,3075,3075,-0.0010822335731625052,0.06053426248548199,0.027589002866661605,low_power,ok,0.08159699836263476,0.034946482010527746,0.019962051130080205,-0.0010641926643008282,-0.0057899473570041105,-0.004662281219371289,-0.0063823691677336375,-0.007378311466424443,-0.011118234455069154
split_regime,validation,risk_off,split_regime_vs_all,validation_risk_off_vs_all,all,all,deepest_pre_target_ret_low,142,142,3075,3075,0.25399744114421835,0.15439825947555247,0.10360092944372781,low_power,ok,0.08208328845706309,0.08399872280063458,0.05736397368980872,0.032374427773709136,0.022958315558202824,-0.001313937670751969,-0.0019435848224928776,-0.002614125463627888,-0.025502071293126524
split_regime,validation,risk_on,split_regime_vs_all,validation_risk_on_vs_all,all,all,deepest_pre_target_ret_low,53,53,3075,3075,0.19756329407824114,0.17654241448074856,0.06372834565958987,low_power,low_power,0.13107966755019246,0.073123798456313,0.06467515659610594,0.027320027462400365,-0.00016464478673794414,-0.004644260664347255,0.0011364278247476206,-0.0027724482164505626,-0.0731353956600829
split_regime,validation,transition,split_regime_vs_all,validation_transition_vs_all,all,all,deepest_pre_target_ret_low,39,39,3075,3075,0.052956127337384105,0.15144465290806752,0.20658602727123876,low_power,low_power,0.032456392450272764,-0.004724274217603713,0.013213019042421253,0.006444778720045452,-0.01581596440742039,0.016646939602061928,0.018296968160261714,0.024780690140012107,-0.0449135901797917
split_only,robustness,all,split_vs_all,robustness_vs_all,all,all,deepest_pre_target_ret_low,1761,1761,3075,3075,-0.019299301322900045,0.018603066439523003,0.004246515468151932,ok,ok,-0.017313135949357128,-0.0060122258180511645,-0.004711498008304393,-0.0027839167500371964,0.00111264375123854,-8.86766363915048e-05,4.531933659254143e-05,0.002933958615861265,0.03744957610956291
split_only,train,all,split_vs_all,train_vs_all,all,all,deepest_pre_target_ret_low,1080,1080,3075,3075,-0.013534917189959434,0.02268744354110208,0.005073417641366495,ok,ok,0.011907109610598487,0.0034129885357120637,0.0027094850622265965,-0.00038585674620425503,-0.0024294407079143987,0.00011918077241612757,-0.0005940837042945147,-0.003736707559603071,-0.021064673946031995
split_only,validation,all,split_vs_all,validation_vs_all,all,all,deepest_pre_target_ret_low,234,234,3075,3075,0.20770846237087076,0.12001250781738586,0.10135894174048844,low_power,ok,0.04153672435127331,0.06484967558129617,0.05736397368980872,0.02586930010589797,0.017864082596456998,0.0023253118716836385,-0.0009587255213644964,0.001972425662226957,-0.030903131975523787
regime_only,all,risk_off,regime_pairwise,risk_off_vs_transition,all,transition,limit_like_up_day_count_to_target,1393,1393,414,414,-0.06175010413318149,0.03213618125132223,0.03147592658230711,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
regime_only,all,risk_on,regime_pairwise,risk_on_vs_risk_off,all,risk_off,limit_like_up_day_count_to_target,1268,1268,1393,1393,-0.04403786263519331,0.05918223383705368,0.04178130743005184,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_only,all,risk_on,regime_pairwise,risk_on_vs_transition,all,transition,limit_like_up_day_count_to_target,1268,1268,414,414,-0.10119701971847847,0.08116932595742088,0.0412882100355661,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
regime_only,all,risk_off,regime_vs_all,risk_off_vs_all,all,all,limit_like_up_day_count_to_target,1393,1393,3075,3075,0.008531095451473295,0.021444037843106334,0.009777933602140554,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_only,all,risk_on,regime_vs_all,risk_on_vs_all,all,all,limit_like_up_day_count_to_target,1268,1268,3075,3075,-0.033785476054921104,0.03773819599394734,0.012315685120111853,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_only,all,transition,regime_vs_all,transition_vs_all,all,all,limit_like_up_day_count_to_target,414,414,3075,3075,0.07477335186893158,0.043431129963473536,0.01863419529734254,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
split_only,train,all,split_pairwise,train_vs_robustness,robustness,all,limit_like_up_day_count_to_target,1080,1080,1761,1761,0.1227105702467984,0.08945517067322861,0.10101277314558302,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
split_only,train,all,split_pairwise,train_vs_validation,validation,all,limit_like_up_day_count_to_target,1080,1080,234,234,-0.015187659482716274,0.10370370370370374,0.12782543163908727,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split_only,validation,all,split_pairwise,validation_vs_robustness,robustness,all,limit_like_up_day_count_to_target,234,234,1761,1761,0.1386832951742932,0.06360022714366836,0.023990454010712037,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
split_regime,all,risk_off,split_regime_vs_all,all_risk_off_vs_all,all,all,limit_like_up_day_count_to_target,1393,1393,3075,3075,0.008531095451473295,0.021444037843106334,0.009777933602140554,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split_regime,all,risk_on,split_regime_vs_all,all_risk_on_vs_all,all,all,limit_like_up_day_count_to_target,1268,1268,3075,3075,-0.033785476054921104,0.03773819599394734,0.012315685120111853,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
split_regime,all,transition,split_regime_vs_all,all_transition_vs_all,all,all,limit_like_up_day_count_to_target,414,414,3075,3075,0.07477335186893158,0.043431129963473536,0.01863419529734254,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
split_regime,robustness,risk_off,split_regime_vs_all,robustness_risk_off_vs_all,all,all,limit_like_up_day_count_to_target,811,811,3075,3075,-0.01777504728514781,0.0214686275099496,0.005150150081339155,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
split_regime,robustness,risk_on,split_regime_vs_all,robustness_risk_on_vs_all,all,all,limit_like_up_day_count_to_target,827,827,3075,3075,-0.06807537413091741,0.06493447763981874,0.04447278411106559,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
split_regime,robustness,transition,split_regime_vs_all,robustness_transition_vs_all,all,all,limit_like_up_day_count_to_target,123,123,3075,3075,-0.15178864123055483,0.09691056910569107,0.08275704703334998,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
split_regime,train,risk_off,split_regime_vs_all,train_risk_off_vs_all,all,all,limit_like_up_day_count_to_target,440,440,3075,3075,0.06646117484937251,0.07860679970436069,0.07034993946352795,low_power,ok,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
split_regime,train,risk_on,split_regime_vs_all,train_risk_on_vs_all,all,all,limit_like_up_day_count_to_target,388,388,3075,3075,0.001699601517256231,0.060315983572206855,0.051506497430363424,low_power,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
