canonical_unit_id,horizon,split,blocked_reason,blocked_count,signal_event_count,blocked_share
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,not_universe_member,47,944,0.04978813559322034
r01_launch_breakout_money_surge_fast_fail_v0,H5,robustness,split_boundary,11,944,0.011652542372881356
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,missing_exit_open,2,1446,0.0013831258644536654
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,missing_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,not_universe_member,59,1446,0.04080221300138313
r01_launch_breakout_money_surge_fast_fail_v0,H5,train,split_boundary,12,1446,0.008298755186721992
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,not_universe_member,28,636,0.0440251572327044
r01_launch_breakout_money_surge_fast_fail_v0,H5,validation,split_boundary,5,636,0.007861635220125786
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,missing_exit_open,1,944,0.001059322033898305
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,not_universe_member,58,944,0.0614406779661017
r01_launch_breakout_money_surge_natural_exit_v0,H10,robustness,split_boundary,26,944,0.02754237288135593
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,missing_exit_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,missing_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,not_universe_member,84,1446,0.058091286307053944
r01_launch_breakout_money_surge_natural_exit_v0,H10,train,split_boundary,14,1446,0.009681881051175657
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,not_universe_member,37,636,0.05817610062893082
r01_launch_breakout_money_surge_natural_exit_v0,H10,validation,split_boundary,7,636,0.0110062893081761
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,missing_exit_open,1,944,0.001059322033898305
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,not_universe_member,60,944,0.0635593220338983
r01_launch_breakout_money_surge_natural_exit_v0,H20,robustness,split_boundary,40,944,0.0423728813559322
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,missing_exit_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,missing_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,not_universe_member,110,1446,0.07607192254495158
r01_launch_breakout_money_surge_natural_exit_v0,H20,train,split_boundary,33,1446,0.022821576763485476
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,not_universe_member,43,636,0.06761006289308176
r01_launch_breakout_money_surge_natural_exit_v0,H20,validation,split_boundary,12,636,0.018867924528301886
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,not_universe_member,47,944,0.04978813559322034
r01_launch_breakout_money_surge_natural_exit_v0,H5,robustness,split_boundary,11,944,0.011652542372881356
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,missing_exit_open,2,1446,0.0013831258644536654
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,missing_open,1,1446,0.0006915629322268327
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,not_universe_member,61,1446,0.042185338865836794
r01_launch_breakout_money_surge_natural_exit_v0,H5,train,split_boundary,12,1446,0.008298755186721992
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,not_universe_member,29,636,0.04559748427672956
r01_launch_breakout_money_surge_natural_exit_v0,H5,validation,split_boundary,5,636,0.007861635220125786
