vintage_id,signal_month,first_holding_month,final_holding_month,split,grouping,J,K,skip_mode,vintage_month_count,expected_vintage_month_count,loser_cumulative_return,winner_cumulative_return,contrarian_cumulative_spread,momentum_cumulative_spread,vintage_holding_status,block_reason
decile_J12_K12_no_skip_2024-04,2024-04,2024-05,2025-04,robustness,decile,12,12,no_skip,12,12,0.010401385363121296,-0.04656361631493078,0.056965001678052074,-0.056965001678052074,complete,
decile_J12_K12_no_skip_2024-05,2024-05,2024-06,2025-05,robustness,decile,12,12,no_skip,12,12,0.0032436223888108184,-0.07713943526380318,0.080383057652614,-0.080383057652614,complete,
decile_J12_K12_no_skip_2024-06,2024-06,2024-07,2025-06,robustness,decile,12,12,no_skip,12,12,0.12256687574277403,0.015224184796754026,0.10734269094602,-0.10734269094602,complete,
decile_J12_K12_no_skip_2024-07,2024-07,2024-08,2025-07,robustness,decile,12,12,no_skip,12,12,0.21186024496836708,0.09538792414379205,0.11647232082457504,-0.11647232082457504,complete,
decile_J12_K12_no_skip_2024-08,2024-08,2024-09,2025-08,robustness,decile,12,12,no_skip,12,12,0.411095349107677,0.2002935682197129,0.21080178088796409,-0.21080178088796409,complete,
decile_J12_K12_no_skip_2024-09,2024-09,2024-10,2025-09,robustness,decile,12,12,no_skip,12,12,0.2145648014384396,0.3211530130268052,-0.10658821158836562,0.10658821158836562,complete,
decile_J12_K12_no_skip_2024-10,2024-10,2024-11,2025-10,robustness,decile,12,12,no_skip,12,12,0.20858243487809092,0.20218603863549434,0.00639639624259658,-0.00639639624259658,complete,
decile_J12_K12_no_skip_2024-11,2024-11,2024-12,2025-11,robustness,decile,12,12,no_skip,12,12,0.04703997007866545,0.3630924836399412,-0.3160525135612757,0.3160525135612757,complete,
decile_J12_K12_no_skip_2024-12,2024-12,2025-01,2025-12,robustness,decile,12,12,no_skip,12,12,0.18252572428306935,0.26862879455838207,-0.08610307027531272,0.08610307027531272,complete,
decile_J12_K12_no_skip_2025-01,2025-01,2025-02,2026-01,robustness,decile,12,12,no_skip,12,12,0.13808538072452436,0.47184799625975926,-0.3337626155352349,0.3337626155352349,complete,
decile_J12_K12_no_skip_2025-02,2025-02,2025-03,2026-02,robustness,decile,12,12,no_skip,12,12,0.21876658156820694,0.45564331181014905,-0.2368767302419421,0.2368767302419421,complete,
decile_J12_K12_no_skip_2025-03,2025-03,2025-04,2026-03,robustness,decile,12,12,no_skip,12,12,0.19521980817411966,0.3120482881282094,-0.11682847995408974,0.11682847995408974,complete,
decile_J12_K12_no_skip_2025-04,2025-04,2025-05,2026-04,robustness,decile,12,12,no_skip,12,12,0.3010063968969616,0.20534538152856352,0.0956610153683981,-0.0956610153683981,complete,
decile_J12_K12_skip1_2018-05,2018-05,2018-07,2019-06,train,decile,12,12,skip1,12,12,0.16949942913148264,0.13541845312531153,0.034080976006171104,-0.034080976006171104,complete,
decile_J12_K12_skip1_2018-06,2018-06,2018-08,2019-07,train,decile,12,12,skip1,12,12,0.24213190945907015,0.1303435131730275,0.11178839628604265,-0.11178839628604265,complete,
decile_J12_K12_skip1_2018-07,2018-07,2018-09,2019-08,train,decile,12,12,skip1,12,12,0.20841732781244926,0.4024853759458997,-0.19406804813345047,0.19406804813345047,complete,
decile_J12_K12_skip1_2018-08,2018-08,2018-10,2019-09,train,decile,12,12,skip1,12,12,0.12095864472194107,0.21263381446516738,-0.09167516974322631,0.09167516974322631,complete,
decile_J12_K12_skip1_2018-09,2018-09,2018-11,2019-10,train,decile,12,12,skip1,12,12,0.21945932830985426,0.4681951802607054,-0.24873585195085113,0.24873585195085113,complete,
decile_J12_K12_skip1_2019-01,2019-01,2019-03,2020-02,train,decile,12,12,skip1,12,12,-0.0692697623305153,0.2573913735142854,-0.3266611358448007,0.3266611358448007,complete,
decile_J12_K12_skip1_2019-02,2019-02,2019-04,2020-03,train,decile,12,12,skip1,12,12,-0.14460721874475846,0.16977554317850507,-0.31438276192326353,0.31438276192326353,complete,
decile_J12_K12_skip1_2019-03,2019-03,2019-05,2020-04,train,decile,12,12,skip1,12,12,-0.07168730879134821,0.35598846624640457,-0.4276757750377528,0.4276757750377528,complete,
decile_J12_K12_skip1_2019-04,2019-04,2019-06,2020-05,train,decile,12,12,skip1,12,12,0.06707100499943963,0.39680054138111287,-0.32972953638167324,0.32972953638167324,complete,
decile_J12_K12_skip1_2019-05,2019-05,2019-07,2020-06,train,decile,12,12,skip1,12,12,0.03395657225553017,0.5517567067095457,-0.5178001344540155,0.5178001344540155,complete,
decile_J12_K12_skip1_2019-06,2019-06,2019-08,2020-07,train,decile,12,12,skip1,12,12,0.3306700157073812,0.6715423943184093,-0.34087237861102815,0.34087237861102815,complete,
decile_J12_K12_skip1_2019-07,2019-07,2019-09,2020-08,train,decile,12,12,skip1,12,12,0.14151629089897932,0.7962951637290856,-0.6547788728301063,0.6547788728301063,complete,
decile_J12_K12_skip1_2019-08,2019-08,2019-10,2020-09,train,decile,12,12,skip1,12,12,-0.06863723197842997,0.7279646077274398,-0.7966018397058697,0.7966018397058697,complete,
decile_J12_K12_skip1_2019-09,2019-09,2019-11,2020-10,train,decile,12,12,skip1,12,12,0.08029221685163401,0.7222092542492557,-0.6419170373976217,0.6419170373976217,complete,
decile_J12_K12_skip1_2019-10,2019-10,2019-12,2020-11,train,decile,12,12,skip1,12,12,0.02559566371092581,0.7545854407430628,-0.728989777032137,0.728989777032137,complete,
decile_J12_K12_skip1_2019-11,2019-11,2020-01,2020-12,train,decile,12,12,skip1,12,12,0.003932289751801266,0.7661422922772387,-0.7622100025254375,0.7622100025254375,complete,
decile_J12_K12_skip1_2019-12,2019-12,2020-02,2021-01,train,decile,12,12,skip1,12,12,0.04025645827927615,0.4425000813239417,-0.40224362304466554,0.40224362304466554,complete,
decile_J12_K12_skip1_2020-01,2020-01,2020-03,2021-02,train,decile,12,12,skip1,12,12,0.08742082466318934,0.22073842008769629,-0.13331759542450694,0.13331759542450694,complete,
decile_J12_K12_skip1_2020-02,2020-02,2020-04,2021-03,train,decile,12,12,skip1,12,12,0.1329903023513852,0.11373613229906021,0.019254170052324993,-0.019254170052324993,complete,
decile_J12_K12_skip1_2020-03,2020-03,2020-05,2021-04,train,decile,12,12,skip1,12,12,0.1540469475794668,0.08265637164903628,0.07139057593043052,-0.07139057593043052,complete,
decile_J12_K12_skip1_2020-04,2020-04,2020-06,2021-05,train,decile,12,12,skip1,12,12,0.20228075010123447,0.18611413783292785,0.016166612268306624,-0.016166612268306624,complete,
decile_J12_K12_skip1_2020-05,2020-05,2020-07,2021-06,train,decile,12,12,skip1,12,12,0.14646500157103381,0.2556569804960529,-0.10919197892501908,0.10919197892501908,complete,
decile_J12_K12_skip1_2020-06,2020-06,2020-08,2021-07,train,decile,12,12,skip1,12,12,-0.0002885559168958052,0.07529467999543593,-0.07558323591233174,0.07558323591233174,complete,
decile_J12_K12_skip1_2020-07,2020-07,2020-09,2021-08,train,decile,12,12,skip1,12,12,0.1130585626084335,0.006391124462226783,0.10666743814620672,-0.10666743814620672,complete,
decile_J12_K12_skip1_2020-08,2020-08,2020-10,2021-09,train,decile,12,12,skip1,12,12,0.27521938272847946,0.05703646413768926,0.2181829185907902,-0.2181829185907902,complete,
decile_J12_K12_skip1_2020-09,2020-09,2020-11,2021-10,train,decile,12,12,skip1,12,12,0.0787800448488909,0.68252634761349,-0.6037463027645991,0.6037463027645991,complete,
decile_J12_K12_skip1_2020-10,2020-10,2020-12,2021-11,train,decile,12,12,skip1,12,12,-0.022217443131216097,0.6596969020180483,-0.6819143451492644,0.6819143451492644,complete,
decile_J12_K12_skip1_2020-11,2020-11,2021-01,2021-12,train,decile,12,12,skip1,12,12,0.020271501634062883,0.2938785284674712,-0.2736070268334083,0.2736070268334083,complete,
decile_J12_K12_skip1_2020-12,2020-12,2021-02,2022-01,train,decile,12,12,skip1,12,12,-0.005207080153317167,-0.009334939419955224,0.0041278592666380565,-0.0041278592666380565,complete,
decile_J12_K12_skip1_2021-01,2021-01,2021-03,2022-02,train,decile,12,12,skip1,12,12,0.010799726025659595,0.04107976277946701,-0.030280036753807416,0.030280036753807416,complete,
decile_J12_K12_skip1_2021-02,2021-02,2021-04,2022-03,train,decile,12,12,skip1,12,12,-0.009489550046290596,0.013818231200696918,-0.023307781246987513,0.023307781246987513,complete,
decile_J12_K12_skip1_2021-03,2021-03,2021-05,2022-04,train,decile,12,12,skip1,12,12,-0.10516088639641685,-0.1273414582738852,0.022180571877468358,-0.022180571877468358,complete,
decile_J12_K12_skip1_2021-04,2021-04,2021-06,2022-05,train,decile,12,12,skip1,12,12,-0.13632437549243814,-0.144532857174558,0.00820848168211985,-0.00820848168211985,complete,
decile_J12_K12_skip1_2021-05,2021-05,2021-07,2022-06,train,decile,12,12,skip1,12,12,-0.14931320050275743,0.024399768359853136,-0.17371296886261056,0.17371296886261056,complete,
decile_J12_K12_skip1_2021-06,2021-06,2021-08,2022-07,train,decile,12,12,skip1,12,12,-0.11275612965635384,-0.06187819232798708,-0.05087793732836676,0.05087793732836676,complete,
decile_J12_K12_skip1_2021-07,2021-07,2021-09,2022-08,train,decile,12,12,skip1,12,12,-0.0763175291088024,-0.26666817542566323,0.19035064631686083,-0.19035064631686083,complete,
decile_J12_K12_skip1_2021-08,2021-08,2021-10,2022-09,train,decile,12,12,skip1,12,12,-0.2019870059642871,-0.28850631942955485,0.08651931346526776,-0.08651931346526776,complete,
decile_J12_K12_skip1_2021-09,2021-09,2021-11,2022-10,train,decile,12,12,skip1,12,12,-0.23539236816557918,-0.3114191800616639,0.07602681189608473,-0.07602681189608473,complete,
decile_J12_K12_skip1_2021-10,2021-10,2021-12,2022-11,train,decile,12,12,skip1,12,12,-0.10686365344401494,-0.3011821677796913,0.19431851433567637,-0.19431851433567637,complete,
decile_J12_K12_skip1_2021-11,2021-11,2022-01,2022-12,validation,decile,12,12,skip1,12,12,-0.15763011341897204,-0.2694501804944015,0.11182006707542946,-0.11182006707542946,complete,
decile_J12_K12_skip1_2021-12,2021-12,2022-02,2023-01,validation,decile,12,12,skip1,12,12,-0.013244359918774373,0.013953144084010827,-0.0271975040027852,0.0271975040027852,complete,
decile_J12_K12_skip1_2022-01,2022-01,2022-03,2023-02,validation,decile,12,12,skip1,12,12,-0.0028881876263221473,-0.1371752725131229,0.13428708488680074,-0.13428708488680074,complete,
decile_J12_K12_skip1_2022-02,2022-02,2022-04,2023-03,validation,decile,12,12,skip1,12,12,0.060572168698113105,-0.10120807294794154,0.16178024164605465,-0.16178024164605465,complete,
decile_J12_K12_skip1_2022-03,2022-03,2022-05,2023-04,validation,decile,12,12,skip1,12,12,0.16073490725376383,-0.010313376226414483,0.1710482834801783,-0.1710482834801783,complete,
decile_J12_K12_skip1_2022-04,2022-04,2022-06,2023-05,validation,decile,12,12,skip1,12,12,0.091859752429156,-0.11685844824105063,0.20871820067020663,-0.20871820067020663,complete,
decile_J12_K12_skip1_2022-05,2022-05,2022-07,2023-06,validation,decile,12,12,skip1,12,12,-0.08288708896293262,-0.17528530577576318,0.09239821681283056,-0.09239821681283056,complete,
decile_J12_K12_skip1_2022-06,2022-06,2022-08,2023-07,validation,decile,12,12,skip1,12,12,0.09037928759968294,-0.18020986020881224,0.2705891478084952,-0.2705891478084952,complete,
decile_J12_K12_skip1_2022-07,2022-07,2022-09,2023-08,validation,decile,12,12,skip1,12,12,-0.025668835738205886,-0.23230429056620383,0.20663545482799794,-0.20663545482799794,complete,
decile_J12_K12_skip1_2022-08,2022-08,2022-10,2023-09,validation,decile,12,12,skip1,12,12,0.01950629124705583,-0.1277672608139091,0.14727355206096493,-0.14727355206096493,complete,
decile_J12_K12_skip1_2022-09,2022-09,2022-11,2023-10,validation,decile,12,12,skip1,12,12,0.049214174778225095,-0.13653245047544715,0.18574662525367225,-0.18574662525367225,complete,
decile_J12_K12_skip1_2022-10,2022-10,2022-12,2023-11,validation,decile,12,12,skip1,12,12,-0.14172431867606838,-0.20927863735365015,0.06755431867758177,-0.06755431867758177,complete,
decile_J12_K12_skip1_2022-11,2022-11,2023-01,2023-12,validation,decile,12,12,skip1,12,12,-0.15300549543104047,0.012857558300156224,-0.1658630537311967,0.1658630537311967,complete,
decile_J12_K12_skip1_2022-12,2022-12,2023-02,2024-01,validation,decile,12,12,skip1,12,12,-0.33264348301067315,-0.06735915848266272,-0.26528432452801043,0.26528432452801043,complete,
decile_J12_K12_skip1_2023-01,2023-01,2023-03,2024-02,validation,decile,12,12,skip1,12,12,-0.18974528760231835,0.04046678989318653,-0.23021207749550487,0.23021207749550487,complete,
decile_J12_K12_skip1_2023-02,2023-02,2023-04,2024-03,validation,decile,12,12,skip1,12,12,-0.2873509997545376,0.06758506215870974,-0.35493606191324734,0.35493606191324734,complete,
decile_J12_K12_skip1_2023-03,2023-03,2023-05,2024-04,validation,decile,12,12,skip1,12,12,-0.23122836739793273,-0.10132347619587678,-0.12990489120205595,0.12990489120205595,complete,
decile_J12_K12_skip1_2023-04,2023-04,2023-06,2024-05,validation,decile,12,12,skip1,12,12,-0.15332152102031082,-0.06338102835036352,-0.0899404926699473,0.0899404926699473,complete,
decile_J12_K12_skip1_2023-05,2023-05,2023-07,2024-06,validation,decile,12,12,skip1,12,12,-0.29795342353847243,-0.07414363258089729,-0.22380979095757514,0.22380979095757514,complete,
decile_J12_K12_skip1_2023-06,2023-06,2023-08,2024-07,validation,decile,12,12,skip1,12,12,-0.35673216380428663,-0.008266819812877801,-0.3484653439914088,0.3484653439914088,complete,
decile_J12_K12_skip1_2023-07,2023-07,2023-09,2024-08,validation,decile,12,12,skip1,12,12,-0.26103653195068854,-0.06093235358884341,-0.20010417836184513,0.20010417836184513,complete,
decile_J12_K12_skip1_2023-08,2023-08,2023-10,2024-09,validation,decile,12,12,skip1,12,12,-0.08308090981424154,0.1617743251643149,-0.24485523497855644,0.24485523497855644,complete,
decile_J12_K12_skip1_2023-09,2023-09,2023-11,2024-10,validation,decile,12,12,skip1,12,12,-0.021387592663338673,0.26477577213698233,-0.286163364800321,0.286163364800321,complete,
decile_J12_K12_skip1_2023-10,2023-10,2023-12,2024-11,validation,decile,12,12,skip1,12,12,0.013152839519911197,0.24573963272495747,-0.23258679320504627,0.23258679320504627,complete,
decile_J12_K12_skip1_2023-11,2023-11,2024-01,2024-12,robustness,decile,12,12,skip1,12,12,-0.09454086636075121,0.22610090079771927,-0.3206417671584705,0.3206417671584705,complete,
decile_J12_K12_skip1_2023-12,2023-12,2024-02,2025-01,robustness,decile,12,12,skip1,12,12,0.004709295477364872,0.3332579747618212,-0.3285486792844563,0.3285486792844563,complete,
decile_J12_K12_skip1_2024-01,2024-01,2024-03,2025-02,robustness,decile,12,12,skip1,12,12,-0.01701019684273175,0.061722499343060955,-0.0787326961857927,0.0787326961857927,complete,
decile_J12_K12_skip1_2024-02,2024-02,2024-04,2025-03,robustness,decile,12,12,skip1,12,12,-0.0597690603760086,0.06840309496133501,-0.1281721553373436,0.1281721553373436,complete,
