split,pool_id,entry_execution_date,daily_candidate_count,unique_instrument_count,volume_money_count,range_breakout_count,pullback_drawdown_count
robustness,r02_precision_pullback_drawdown,2025-11-13,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2025-12-19,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-07-25,25,25,0,0,25
train,r02_precision_pullback_drawdown,2018-10-08,3,3,0,0,3
train,r02_precision_pullback_drawdown,2019-05-21,4,4,0,0,4
train,r02_precision_pullback_drawdown,2019-11-26,7,7,0,0,7
train,r02_precision_pullback_drawdown,2020-06-19,7,7,0,0,7
train,r02_precision_pullback_drawdown,2020-09-10,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-11-25,4,4,0,0,4
train,r02_precision_pullback_drawdown,2021-01-22,2,2,0,0,2
train,r02_precision_pullback_drawdown,2021-04-08,9,9,0,0,9
train,r02_precision_pullback_drawdown,2021-07-09,3,3,0,0,3
train,r02_precision_pullback_drawdown,2021-11-25,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2022-02-11,8,8,0,0,8
validation,r02_precision_pullback_drawdown,2022-05-24,14,14,0,0,14
validation,r02_precision_pullback_drawdown,2022-08-01,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-11-03,13,13,0,0,13
validation,r02_precision_pullback_drawdown,2023-01-31,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2023-07-06,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2024-01-29,33,33,0,0,33
robustness,r02_precision_pullback_drawdown,2024-12-11,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-02-10,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2025-05-08,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-06-13,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-10-14,6,6,0,0,6
train,r02_precision_pullback_drawdown,2018-03-05,1,1,0,0,1
train,r02_precision_pullback_drawdown,2018-05-07,7,7,0,0,7
train,r02_precision_pullback_drawdown,2018-07-04,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-08-28,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-11-07,3,3,0,0,3
train,r02_precision_pullback_drawdown,2019-02-19,3,3,0,0,3
train,r02_precision_pullback_drawdown,2019-05-08,1,1,0,0,1
train,r02_precision_pullback_drawdown,2019-08-02,1,1,0,0,1
train,r02_precision_pullback_drawdown,2019-11-25,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-07-06,26,26,0,0,26
train,r02_precision_pullback_drawdown,2020-11-04,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-02-23,10,10,0,0,10
train,r02_precision_pullback_drawdown,2021-04-30,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-08-04,7,7,0,0,7
train,r02_precision_pullback_drawdown,2021-12-01,1,1,0,0,1
validation,r02_precision_pullback_drawdown,2022-04-22,1,1,0,0,1
validation,r02_precision_pullback_drawdown,2022-08-16,6,6,0,0,6
validation,r02_precision_pullback_drawdown,2022-11-22,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2023-08-16,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-01-04,12,12,0,0,12
robustness,r02_precision_pullback_drawdown,2024-07-02,13,13,0,0,13
robustness,r02_precision_pullback_drawdown,2025-07-08,4,4,0,0,4
train,r02_precision_pullback_drawdown,2018-01-24,1,1,0,0,1
train,r02_precision_pullback_drawdown,2019-02-27,6,6,0,0,6
train,r02_precision_pullback_drawdown,2019-10-15,10,10,0,0,10
validation,r02_precision_pullback_drawdown,2022-04-06,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2023-04-19,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2024-01-08,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2024-11-20,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-03-18,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2025-06-24,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2023-05-05,14,14,0,0,14
validation,r02_precision_pullback_drawdown,2023-11-03,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-09-24,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-06-04,4,4,0,0,4
train,r02_precision_pullback_drawdown,2017-10-19,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-01-05,10,10,0,0,10
train,r02_precision_pullback_drawdown,2018-04-10,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-10-24,5,5,0,0,5
train,r02_precision_pullback_drawdown,2019-06-21,13,13,0,0,13
train,r02_precision_pullback_drawdown,2019-09-09,5,5,0,0,5
train,r02_precision_pullback_drawdown,2019-12-18,18,18,0,0,18
train,r02_precision_pullback_drawdown,2020-06-03,7,7,0,0,7
train,r02_precision_pullback_drawdown,2020-11-10,10,10,0,0,10
train,r02_precision_pullback_drawdown,2021-01-15,8,8,0,0,8
train,r02_precision_pullback_drawdown,2021-05-10,8,8,0,0,8
train,r02_precision_pullback_drawdown,2021-07-06,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-08-31,4,4,0,0,4
train,r02_precision_pullback_drawdown,2021-11-24,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2023-05-09,14,14,0,0,14
robustness,r02_precision_pullback_drawdown,2024-01-26,10,10,0,0,10
robustness,r02_precision_pullback_drawdown,2024-04-08,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2024-07-03,15,15,0,0,15
robustness,r02_precision_pullback_drawdown,2024-09-30,23,23,0,0,23
train,r02_precision_pullback_drawdown,2017-10-27,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-01-03,7,7,0,0,7
train,r02_precision_pullback_drawdown,2018-04-12,9,9,0,0,9
train,r02_precision_pullback_drawdown,2018-06-06,4,4,0,0,4
train,r02_precision_pullback_drawdown,2018-07-20,1,1,0,0,1
train,r02_precision_pullback_drawdown,2018-09-21,5,5,0,0,5
train,r02_precision_pullback_drawdown,2019-01-10,6,6,0,0,6
train,r02_precision_pullback_drawdown,2019-04-03,8,8,0,0,8
train,r02_precision_pullback_drawdown,2019-09-05,8,8,0,0,8
train,r02_precision_pullback_drawdown,2020-03-06,4,4,0,0,4
train,r02_precision_pullback_drawdown,2020-10-20,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-12-21,1,1,0,0,1
train,r02_precision_pullback_drawdown,2021-06-30,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-04-07,15,15,0,0,15
validation,r02_precision_pullback_drawdown,2022-07-06,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2023-04-11,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2023-07-27,13,13,0,0,13
validation,r02_precision_pullback_drawdown,2023-09-05,22,22,0,0,22
validation,r02_precision_pullback_drawdown,2023-10-19,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-04-17,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2025-01-27,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-04-30,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2025-07-04,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2025-10-10,11,11,0,0,11
robustness,r02_precision_pullback_drawdown,2025-09-03,4,4,0,0,4
train,r02_precision_pullback_drawdown,2018-01-23,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-07-23,4,4,0,0,4
train,r02_precision_pullback_drawdown,2018-08-29,10,10,0,0,10
train,r02_precision_pullback_drawdown,2018-10-26,14,14,0,0,14
train,r02_precision_pullback_drawdown,2020-08-31,1,1,0,0,1
train,r02_precision_pullback_drawdown,2021-03-16,1,1,0,0,1
train,r02_precision_pullback_drawdown,2021-09-09,14,14,0,0,14
train,r02_precision_pullback_drawdown,2021-12-16,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-02-14,10,10,0,0,10
validation,r02_precision_pullback_drawdown,2022-07-08,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-09-08,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2023-02-14,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2023-04-14,6,6,0,0,6
validation,r02_precision_pullback_drawdown,2023-08-02,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2023-10-30,7,7,0,0,7
robustness,r02_precision_pullback_drawdown,2024-05-29,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-02-19,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-07-07,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-10-13,17,17,0,0,17
train,r02_precision_pullback_drawdown,2018-12-21,1,1,0,0,1
train,r02_precision_pullback_drawdown,2019-06-03,6,6,0,0,6
train,r02_precision_pullback_drawdown,2019-07-08,1,1,0,0,1
train,r02_precision_pullback_drawdown,2020-08-20,3,3,0,0,3
train,r02_precision_pullback_drawdown,2020-09-30,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-12-01,2,2,0,0,2
train,r02_precision_pullback_drawdown,2021-02-22,10,10,0,0,10
train,r02_precision_pullback_drawdown,2021-06-15,3,3,0,0,3
train,r02_precision_pullback_drawdown,2021-08-05,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-12-08,6,6,0,0,6
validation,r02_precision_pullback_drawdown,2022-02-10,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2022-08-26,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2023-01-04,8,8,0,0,8
validation,r02_precision_pullback_drawdown,2023-11-02,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-02-21,10,10,0,0,10
robustness,r02_precision_pullback_drawdown,2024-05-30,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-06-02,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2023-01-16,6,6,0,0,6
validation,r02_precision_pullback_drawdown,2023-03-10,1,1,0,0,1
validation,r02_precision_pullback_drawdown,2023-06-12,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2023-12-22,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-07-25,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2025-01-14,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2025-05-07,10,10,0,0,10
robustness,r02_precision_pullback_drawdown,2025-06-17,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2025-08-26,12,12,0,0,12
train,r02_precision_pullback_drawdown,2021-12-24,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-08-17,8,8,0,0,8
validation,r02_precision_pullback_drawdown,2022-11-17,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2024-12-10,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-02-20,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2025-10-31,3,3,0,0,3
train,r02_precision_pullback_drawdown,2017-11-08,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-03-21,1,1,0,0,1
train,r02_precision_pullback_drawdown,2018-07-26,11,11,0,0,11
train,r02_precision_pullback_drawdown,2019-02-01,3,3,0,0,3
train,r02_precision_pullback_drawdown,2020-01-07,6,6,0,0,6
train,r02_precision_pullback_drawdown,2020-07-07,21,21,0,0,21
train,r02_precision_pullback_drawdown,2021-02-18,9,9,0,0,9
train,r02_precision_pullback_drawdown,2021-05-11,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-02-09,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-03-30,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-09-26,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-11-28,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2023-03-03,6,6,0,0,6
validation,r02_precision_pullback_drawdown,2023-12-28,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2024-04-16,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2024-08-28,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2024-12-26,10,10,0,0,10
robustness,r02_precision_pullback_drawdown,2025-07-23,19,19,0,0,19
robustness,r02_precision_pullback_drawdown,2025-11-20,4,4,0,0,4
train,r02_precision_pullback_drawdown,2017-11-02,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-01-30,1,1,0,0,1
train,r02_precision_pullback_drawdown,2018-06-07,4,4,0,0,4
train,r02_precision_pullback_drawdown,2018-08-23,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-11-05,7,7,0,0,7
train,r02_precision_pullback_drawdown,2019-02-22,2,2,0,0,2
train,r02_precision_pullback_drawdown,2019-12-31,4,4,0,0,4
train,r02_precision_pullback_drawdown,2020-02-18,21,21,0,0,21
train,r02_precision_pullback_drawdown,2020-06-08,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-02-02,2,2,0,0,2
train,r02_precision_pullback_drawdown,2021-05-20,12,12,0,0,12
train,r02_precision_pullback_drawdown,2021-07-20,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-09-06,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-05-27,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2023-02-15,9,9,0,0,9
validation,r02_precision_pullback_drawdown,2023-04-04,6,6,0,0,6
validation,r02_precision_pullback_drawdown,2023-07-05,10,10,0,0,10
robustness,r02_precision_pullback_drawdown,2024-01-16,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2024-05-21,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-09-27,18,18,0,0,18
robustness,r02_precision_pullback_drawdown,2024-11-22,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2025-01-17,11,11,0,0,11
robustness,r02_precision_pullback_drawdown,2025-03-27,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-09-10,2,2,0,0,2
train,r02_precision_pullback_drawdown,2017-11-10,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-01-09,11,11,0,0,11
train,r02_precision_pullback_drawdown,2018-03-13,7,7,0,0,7
train,r02_precision_pullback_drawdown,2019-08-20,15,15,0,0,15
train,r02_precision_pullback_drawdown,2020-04-17,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-06-23,11,11,0,0,11
train,r02_precision_pullback_drawdown,2020-08-10,3,3,0,0,3
train,r02_precision_pullback_drawdown,2020-12-02,8,8,0,0,8
train,r02_precision_pullback_drawdown,2021-01-07,10,10,0,0,10
train,r02_precision_pullback_drawdown,2021-05-17,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-08-19,10,10,0,0,10
train,r02_precision_pullback_drawdown,2021-11-02,2,2,0,0,2
train,r02_precision_pullback_drawdown,2021-12-07,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2022-06-13,9,9,0,0,9
validation,r02_precision_pullback_drawdown,2022-11-08,31,31,0,0,31
validation,r02_precision_pullback_drawdown,2023-11-07,11,11,0,0,11
robustness,r02_precision_pullback_drawdown,2024-01-25,13,13,0,0,13
robustness,r02_precision_pullback_drawdown,2024-04-29,17,17,0,0,17
robustness,r02_precision_pullback_drawdown,2024-07-22,15,15,0,0,15
robustness,r02_precision_pullback_drawdown,2025-05-15,9,9,0,0,9
robustness,r02_precision_pullback_drawdown,2025-06-26,17,17,0,0,17
robustness,r02_precision_pullback_drawdown,2025-12-09,14,14,0,0,14
train,r02_precision_pullback_drawdown,2017-10-11,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-04-11,6,6,0,0,6
train,r02_precision_pullback_drawdown,2018-06-14,2,2,0,0,2
train,r02_precision_pullback_drawdown,2018-12-14,3,3,0,0,3
train,r02_precision_pullback_drawdown,2019-07-17,2,2,0,0,2
train,r02_precision_pullback_drawdown,2019-11-20,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-02-17,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-05-28,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-12-09,13,13,0,0,13
validation,r02_precision_pullback_drawdown,2022-03-23,10,10,0,0,10
validation,r02_precision_pullback_drawdown,2023-06-09,10,10,0,0,10
robustness,r02_precision_pullback_drawdown,2024-01-02,14,14,0,0,14
robustness,r02_precision_pullback_drawdown,2024-03-27,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-06-26,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2025-01-22,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2025-07-09,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-09-25,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2025-12-08,6,6,0,0,6
train,r02_precision_pullback_drawdown,2017-11-20,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-05-15,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-07-11,7,7,0,0,7
train,r02_precision_pullback_drawdown,2019-01-16,5,5,0,0,5
train,r02_precision_pullback_drawdown,2019-07-26,4,4,0,0,4
train,r02_precision_pullback_drawdown,2020-03-31,10,10,0,0,10
train,r02_precision_pullback_drawdown,2020-10-16,1,1,0,0,1
train,r02_precision_pullback_drawdown,2021-01-08,11,11,0,0,11
train,r02_precision_pullback_drawdown,2021-04-21,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-08-11,16,16,0,0,16
validation,r02_precision_pullback_drawdown,2022-01-24,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-07-01,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2022-09-16,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-01-23,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2024-05-20,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2024-07-16,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2024-08-21,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2024-12-13,9,9,0,0,9
robustness,r02_precision_pullback_drawdown,2025-03-20,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-05-09,11,11,0,0,11
validation,r02_precision_pullback_drawdown,2022-02-18,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2022-07-14,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-10-20,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2023-09-19,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2024-04-03,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2024-06-04,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-03-13,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2025-06-19,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2025-09-02,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2025-10-17,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2025-12-11,2,2,0,0,2
train,r02_precision_pullback_drawdown,2017-10-25,7,7,0,0,7
train,r02_precision_pullback_drawdown,2019-01-30,4,4,0,0,4
train,r02_precision_pullback_drawdown,2019-06-11,1,1,0,0,1
train,r02_precision_pullback_drawdown,2020-08-17,5,5,0,0,5
train,r02_precision_pullback_drawdown,2020-11-12,4,4,0,0,4
train,r02_precision_pullback_drawdown,2021-01-19,4,4,0,0,4
train,r02_precision_pullback_drawdown,2021-08-10,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-11-12,7,7,0,0,7
validation,r02_precision_pullback_drawdown,2022-06-17,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-11-15,9,9,0,0,9
validation,r02_precision_pullback_drawdown,2023-01-06,10,10,0,0,10
validation,r02_precision_pullback_drawdown,2023-04-10,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2023-07-26,12,12,0,0,12
validation,r02_precision_pullback_drawdown,2023-12-18,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2024-07-19,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2024-09-23,7,7,0,0,7
robustness,r02_precision_pullback_drawdown,2025-02-28,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2025-07-29,5,5,0,0,5
train,r02_precision_pullback_drawdown,2018-04-27,1,1,0,0,1
train,r02_precision_pullback_drawdown,2019-02-15,4,4,0,0,4
train,r02_precision_pullback_drawdown,2019-04-22,1,1,0,0,1
train,r02_precision_pullback_drawdown,2019-06-06,3,3,0,0,3
train,r02_precision_pullback_drawdown,2020-02-24,4,4,0,0,4
train,r02_precision_pullback_drawdown,2020-04-10,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2022-08-11,5,5,0,0,5
validation,r02_precision_pullback_drawdown,2022-11-04,10,10,0,0,10
validation,r02_precision_pullback_drawdown,2023-06-05,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2023-07-18,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-04-19,13,13,0,0,13
robustness,r02_precision_pullback_drawdown,2025-02-07,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2025-08-22,8,8,0,0,8
train,r02_precision_pullback_drawdown,2018-01-22,11,11,0,0,11
train,r02_precision_pullback_drawdown,2018-03-30,2,2,0,0,2
train,r02_precision_pullback_drawdown,2019-06-14,4,4,0,0,4
train,r02_precision_pullback_drawdown,2019-07-24,2,2,0,0,2
train,r02_precision_pullback_drawdown,2019-12-19,2,2,0,0,2
train,r02_precision_pullback_drawdown,2020-05-11,6,6,0,0,6
train,r02_precision_pullback_drawdown,2020-09-03,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-04-07,5,5,0,0,5
train,r02_precision_pullback_drawdown,2021-05-18,7,7,0,0,7
train,r02_precision_pullback_drawdown,2021-08-12,6,6,0,0,6
robustness,r02_precision_pullback_drawdown,2024-10-09,13,13,0,0,13
robustness,r02_precision_pullback_drawdown,2025-08-18,12,12,0,0,12
robustness,r02_precision_pullback_drawdown,2025-10-09,10,10,0,0,10
train,r02_precision_pullback_drawdown,2017-10-10,6,6,0,0,6
train,r02_precision_pullback_drawdown,2017-12-15,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-02-13,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-04-12,5,5,0,0,5
robustness,r02_precision_pullback_drawdown,2024-06-19,7,7,0,0,7
robustness,r02_precision_pullback_drawdown,2024-09-19,2,2,0,0,2
robustness,r02_precision_pullback_drawdown,2024-12-06,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-03-21,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2025-08-13,3,3,0,0,3
train,r02_precision_pullback_drawdown,2018-04-09,2,2,0,0,2
train,r02_precision_pullback_drawdown,2021-11-26,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-03-01,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-10-13,8,8,0,0,8
validation,r02_precision_pullback_drawdown,2023-01-12,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2023-08-07,3,3,0,0,3
robustness,r02_precision_pullback_drawdown,2024-01-03,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2024-12-23,1,1,0,0,1
robustness,r02_precision_pullback_drawdown,2025-04-10,14,14,0,0,14
train,r02_precision_pullback_drawdown,2021-07-14,6,6,0,0,6
train,r02_precision_pullback_drawdown,2021-10-22,2,2,0,0,2
validation,r02_precision_pullback_drawdown,2022-02-22,4,4,0,0,4
validation,r02_precision_pullback_drawdown,2022-04-28,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-10-18,13,13,0,0,13
validation,r02_precision_pullback_drawdown,2023-12-29,12,12,0,0,12
robustness,r02_precision_pullback_drawdown,2024-02-20,9,9,0,0,9
robustness,r02_precision_pullback_drawdown,2024-07-23,4,4,0,0,4
robustness,r02_precision_pullback_drawdown,2025-12-15,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-04-08,3,3,0,0,3
validation,r02_precision_pullback_drawdown,2022-06-09,10,10,0,0,10
validation,r02_precision_pullback_drawdown,2022-08-12,8,8,0,0,8
robustness,r02_precision_pullback_drawdown,2025-12-26,4,4,0,0,4
train,r02_precision_pullback_drawdown,2017-10-12,12,12,0,0,12
train,r02_precision_pullback_drawdown,2018-01-11,2,2,0,0,2
