model_id,ablation_id,split,capacity_id,post_dedup_winner_n,candidate_rejected_winner_n,rule_baseline_rejected_winner_n,random_baseline_rejected_winner_n,winner_retention,wrong_kill_rate,winner_injury_status
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9600,161,5,3,4,0.968944099378882,0.031055900621118012,pass
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9600,995,28,44,35,0.9718592964824121,0.02814070351758794,pass
regularized_logistic_fast_fail_10d_l2_v1,full,train,keep_9700,1491,50,33,38,0.9664654594232059,0.0335345405767941,pass
regularized_logistic_fast_fail_10d_l2_v1,full,validation,keep_9700,161,4,3,7,0.9751552795031055,0.024844720496894408,pass
regularized_logistic_fast_fail_10d_l2_v1,full,robustness,keep_9700,995,23,39,25,0.9768844221105528,0.023115577889447236,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9000,1491,146,98,158,0.9020791415157612,0.09792085848423876,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9000,161,10,10,19,0.937888198757764,0.062111801242236024,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9000,995,87,86,109,0.9125628140703518,0.08743718592964825,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9250,1491,113,71,114,0.9242119382964453,0.07578806170355466,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9250,161,8,8,13,0.9503105590062112,0.049689440993788817,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9250,995,65,70,89,0.9346733668341709,0.06532663316582915,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9300,1491,107,65,101,0.9282360831656606,0.07176391683433937,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9300,161,8,7,12,0.9503105590062112,0.049689440993788817,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9300,995,62,67,68,0.9376884422110553,0.062311557788944726,fail
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9400,1491,89,55,87,0.9403085177733065,0.059691482226693494,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9400,161,7,6,7,0.9565217391304348,0.043478260869565216,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9400,995,54,63,62,0.9457286432160804,0.054271356783919596,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9500,1491,76,45,76,0.9490274983232729,0.05097250167672703,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9500,161,7,5,5,0.9565217391304348,0.043478260869565216,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9500,995,47,51,53,0.9527638190954774,0.04723618090452261,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9600,1491,62,37,57,0.9584171696847753,0.04158283031522468,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9600,161,4,3,4,0.9751552795031055,0.024844720496894408,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9600,995,40,44,35,0.9597989949748744,0.04020100502512563,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9700,1491,45,33,38,0.9698189134808853,0.030181086519114688,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9700,161,4,3,7,0.9751552795031055,0.024844720496894408,pass
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9700,995,32,39,25,0.9678391959798995,0.032160804020100506,pass
