population_id,rule_arm_id,input_denominator_id,denominator_id,split,readout_only_flag,threshold_id,capacity_id,post_dedup_sample_n,post_dedup_fast_fail_positive_n,post_dedup_fast_fail_winner_n,post_dedup_winner_n,random_rejected_fast_fail_positive_n,random_rejected_fast_fail_winner_n,random_rejected_fast_fail_non_winner_n,rule_baseline_rejected_fast_fail_positive_n,rule_baseline_rejected_fast_fail_winner_n,rule_baseline_rejected_fast_fail_non_winner_n,rule_baseline_status,capture_lift_power_status,winner_injury_power_status,fast_fail_ml_supported_gate_allowed,tenb_supported_row_allowed,tenb_supported_row_block_reason
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9400,keep_9400,8318,702,70,1491,43,3,40,58,4,54,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9500,keep_9500,8318,702,70,1491,40,6,34,47,3,44,pass,pass,pass,True,True,pass
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9600,keep_9600,8318,702,70,1491,24,3,21,38,2,36,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,train,False,keep_9700,keep_9700,8318,702,70,1491,25,3,22,22,1,21,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9000,keep_9000,2514,236,5,161,19,1,18,38,0,38,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9250,keep_9250,2514,236,5,161,18,1,17,29,0,29,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9300,keep_9300,2514,236,5,161,17,0,17,28,0,28,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9400,keep_9400,2514,236,5,161,19,0,19,24,0,24,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9500,keep_9500,2514,236,5,161,12,0,12,20,0,20,pass,pass,fail_low_count,False,False,winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9600,keep_9600,2514,236,5,161,7,0,7,17,0,17,pass,fail_low_count,fail_low_count,False,False,capture_lift_power_status;winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
10A__same_instrument_cooldown_10d,same_instrument_cooldown_10d,risk_on_r_core_horizon_complete,post_dedup_risk_on_r_core,validation,False,keep_9700,keep_9700,2514,236,5,161,8,0,8,13,0,13,pass,fail_low_count,fail_low_count,False,False,capture_lift_power_status;winner_injury_power_status;fast_fail_ml_supported_gate_allowed;post_dedup_fast_fail_winner_n;rule_baseline_rejected_fast_fail_winner_n
