model_id,ablation_id,split,capacity_id,baseline_id,post_dedup_sample_n,reject_n,candidate_rejected_fast_fail_positive_n,baseline_rejected_fast_fail_positive_n,candidate_capture_rate,baseline_capture_rate,capture_lift
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9250,random_baseline,2514,189,61,21,0.2584745762711864,0.08898305084745763,0.1694915254237288
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9250,rule_baseline,4970,373,76,65,0.2222222222222222,0.19005847953216373,0.03216374269005848
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9250,random_baseline,4970,373,76,21,0.2222222222222222,0.06140350877192982,0.1608187134502924
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9300,rule_baseline,8318,583,153,68,0.21794871794871795,0.09686609686609686,0.12108262108262109
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9300,random_baseline,8318,583,153,50,0.21794871794871795,0.07122507122507123,0.14672364672364674
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9300,rule_baseline,2514,176,58,28,0.2457627118644068,0.11864406779661017,0.1271186440677966
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9300,random_baseline,2514,176,58,18,0.2457627118644068,0.07627118644067797,0.1694915254237288
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9300,rule_baseline,4970,348,68,59,0.19883040935672514,0.17251461988304093,0.02631578947368421
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9300,random_baseline,4970,348,68,29,0.19883040935672514,0.0847953216374269,0.11403508771929824
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9400,rule_baseline,8318,500,133,58,0.18945868945868946,0.08262108262108261,0.10683760683760685
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9400,random_baseline,8318,500,133,47,0.18945868945868946,0.06695156695156695,0.1225071225071225
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9400,rule_baseline,2514,151,50,24,0.211864406779661,0.1016949152542373,0.11016949152542371
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9400,random_baseline,2514,151,50,7,0.211864406779661,0.029661016949152543,0.18220338983050846
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9400,rule_baseline,4970,299,61,50,0.1783625730994152,0.14619883040935672,0.03216374269005848
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9400,random_baseline,4970,299,61,15,0.1783625730994152,0.043859649122807015,0.13450292397660818
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9500,rule_baseline,8318,416,112,47,0.15954415954415954,0.06695156695156695,0.09259259259259259
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9500,random_baseline,8318,416,112,36,0.15954415954415954,0.05128205128205128,0.10826210826210826
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9500,rule_baseline,2514,126,45,20,0.1906779661016949,0.0847457627118644,0.1059322033898305
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9500,random_baseline,2514,126,45,23,0.1906779661016949,0.09745762711864407,0.09322033898305083
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9500,rule_baseline,4970,249,53,41,0.15497076023391812,0.11988304093567251,0.03508771929824561
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9500,random_baseline,4970,249,53,15,0.15497076023391812,0.043859649122807015,0.1111111111111111
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9600,rule_baseline,8318,333,89,38,0.1267806267806268,0.05413105413105413,0.07264957264957267
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9600,random_baseline,8318,333,89,27,0.1267806267806268,0.038461538461538464,0.08831908831908833
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9600,rule_baseline,2514,101,39,17,0.1652542372881356,0.07203389830508475,0.09322033898305085
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9600,random_baseline,2514,101,39,8,0.1652542372881356,0.03389830508474576,0.13135593220338984
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9600,rule_baseline,4970,199,39,29,0.11403508771929824,0.0847953216374269,0.029239766081871343
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9600,random_baseline,4970,199,39,10,0.11403508771929824,0.029239766081871343,0.0847953216374269
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9700,rule_baseline,8318,250,73,22,0.10398860398860399,0.03133903133903134,0.07264957264957264
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,train,keep_9700,random_baseline,8318,250,73,20,0.10398860398860399,0.02849002849002849,0.0754985754985755
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9700,rule_baseline,2514,76,29,13,0.1228813559322034,0.05508474576271186,0.06779661016949154
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,validation,keep_9700,random_baseline,2514,76,29,6,0.1228813559322034,0.025423728813559324,0.09745762711864407
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9700,rule_baseline,4970,150,32,23,0.0935672514619883,0.06725146198830409,0.02631578947368421
regularized_logistic_fast_fail_10d_l2_v1,drop_fs2_fs3_mechanism_overlap,robustness,keep_9700,random_baseline,4970,150,32,6,0.0935672514619883,0.017543859649122806,0.07602339181286549
