variant,metric,median,baseline_median,delta
core_plus_reversal_volatility,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.5308660675779101,-0.11637963814291477,-0.41448642943499536
core_plus_reversal_volatility,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.37761401262817523,-0.028935539518833958,-0.3486784731093413
core_plus_reversal_volatility,historical_test_paper_proxy_mdd,-0.19294212728647253,-0.16753977303769996,-0.025402354248772574
core_plus_reversal_volatility,historical_test_executable_bridge_mdd,-0.23613224501585917,-0.19285022559560072,-0.043282019420258444
core_plus_reversal_intraday_range,validation_paper_proxy_ic,0.011451129811391545,0.010963636903393146,0.0004874929079983995
core_plus_reversal_intraday_range,validation_executable_bridge_ic,0.010373512187226788,0.009374463519479959,0.000999048667746829
core_plus_reversal_intraday_range,historical_test_paper_proxy_ic,0.011341092437826304,0.009224889293839127,0.002116203143987177
core_plus_reversal_intraday_range,historical_test_executable_bridge_ic,0.013531234824243924,0.012859696269520085,0.0006715385547238391
core_plus_reversal_intraday_range,historical_test_paper_proxy_net_arr,0.14172300153725992,0.20020182540040832,-0.0584788238631484
core_plus_reversal_intraday_range,historical_test_executable_bridge_net_arr,0.18771102443270737,0.22485602492099144,-0.03714500048828406
core_plus_reversal_intraday_range,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.7054197830753066,-0.11637963814291477,-0.5890401449323919
core_plus_reversal_intraday_range,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.38798019271135614,-0.028935539518833958,-0.3590446531925222
core_plus_reversal_intraday_range,historical_test_paper_proxy_mdd,-0.18179615126293402,-0.16753977303769996,-0.014256378225234068
core_plus_reversal_intraday_range,historical_test_executable_bridge_mdd,-0.21039872079771438,-0.19285022559560072,-0.017548495202113656
core_plus_volatility_intraday_range,validation_paper_proxy_ic,0.013693544102842946,0.010963636903393146,0.0027299071994498006
core_plus_volatility_intraday_range,validation_executable_bridge_ic,0.01237944568523084,0.009374463519479959,0.0030049821657508816
core_plus_volatility_intraday_range,historical_test_paper_proxy_ic,0.011329015608509253,0.009224889293839127,0.0021041263146701263
core_plus_volatility_intraday_range,historical_test_executable_bridge_ic,0.014283823720718592,0.012859696269520085,0.0014241274511985064
core_plus_volatility_intraday_range,historical_test_paper_proxy_net_arr,0.17833672548079305,0.20020182540040832,-0.021865099919615272
core_plus_volatility_intraday_range,historical_test_executable_bridge_net_arr,0.20893647036138208,0.22485602492099144,-0.01591955455960936
core_plus_volatility_intraday_range,historical_test_paper_proxy_active_ir_vs_universe_equal_weight,-0.3246324067016484,-0.11637963814291477,-0.20825276855873362
core_plus_volatility_intraday_range,historical_test_executable_bridge_active_ir_vs_universe_equal_weight,-0.16316510564122289,-0.028935539518833958,-0.13422956612238893
core_plus_volatility_intraday_range,historical_test_paper_proxy_mdd,-0.20877263787903855,-0.16753977303769996,-0.04123286484133859
core_plus_volatility_intraday_range,historical_test_executable_bridge_mdd,-0.25114632408569537,-0.19285022559560072,-0.05829609849009465
core_plus_all_three,validation_paper_proxy_ic,0.010204200984817339,0.010963636903393146,-0.0007594359185758067
core_plus_all_three,validation_executable_bridge_ic,0.009535459252338752,0.009374463519479959,0.00016099573285879333
core_plus_all_three,historical_test_paper_proxy_ic,0.00791685341116812,0.009224889293839127,-0.0013080358826710065
core_plus_all_three,historical_test_executable_bridge_ic,0.011194580347114642,0.012859696269520085,-0.0016651159224054437
core_plus_all_three,historical_test_paper_proxy_net_arr,0.14679858404480295,0.20020182540040832,-0.05340324135560537
core_plus_all_three,historical_test_executable_bridge_net_arr,0.15334236465780227,0.22485602492099144,-0.07151366026318917
