split_bucket,cost_bps,labelable_step_n,positive_n,negative_n,neutral_n,defended_labelable_step_n,continued_labelable_step_n,full_denominator_sum_incremental_return,full_denominator_mean_incremental_return,full_denominator_mean_drawdown_avoided_abs,defended_positive_incremental_return_sum,defended_negative_incremental_return_sum,defended_neutral_incremental_return_sum,continued_negative_return_sum,continued_negative_max_drawdown_mean,defended_negative_drawdown_avoided_abs_mean,primary_return_utility_gate,drawdown_avoidance_gate,context_stratum,valid_context_power,context_utility_rebuild_gate,context_utility_status,context_caveat
train,50,9624,5012,2347,2265,2672,6952,-45.89810267361454,-0.004769129537989873,0.025862409479147887,-179.10224947743774,114.70794253881917,18.496204265004053,-123.12925997226499,-0.1511450635230336,0.16606197369796974,fail,pass,non_late_rescue_context,True,pass,readout,
train,100,9624,5012,2347,2265,2672,6952,-59.258102673614545,-0.006157325714215975,0.025862409479147887,-184.48724947743776,109.18294253881918,16.046204265004057,-123.12925997226499,-0.1511450635230336,0.16606197369796974,fail,pass,non_late_rescue_context,True,pass,readout,
train,0,15454,7410,3787,4257,4298,11156,6.3773646589705235,0.00041266757208298973,0.02636265617748285,-231.89819728105434,199.3449131583269,38.930648781697954,-207.89566282291628,-0.15251440710202027,0.16719546868659252,pass,pass,known_failed_context_any,True,pass,readout,
train,25,15454,7410,3787,4257,4298,11156,-4.367635341029479,-0.0002826216734197929,0.02636265617748285,-235.94819728105432,194.8749131583269,36.70564878169796,-207.89566282291628,-0.15251440710202027,0.16719546868659252,fail,pass,known_failed_context_any,True,pass,readout,
train,50,15454,7410,3787,4257,4298,11156,-15.112635341029492,-0.000977910918922576,0.02636265617748285,-239.99819728105433,190.40491315832693,34.48064878169795,-207.89566282291628,-0.15251440710202027,0.16719546868659252,fail,pass,known_failed_context_any,True,pass,readout,
train,100,15454,7410,3787,4257,4298,11156,-36.6026353410295,-0.0023684894099281414,0.02636265617748285,-248.0981972810544,181.4649131583269,30.030648781697955,-207.89566282291628,-0.15251440710202027,0.16719546868659252,fail,pass,known_failed_context_any,True,pass,readout,
train,0,4791,2668,1097,1026,1286,3505,-25.3499151319895,-0.005291153231473492,0.024125204222540407,-88.35932506605127,54.31722234272992,8.692187591331848,-57.79340061992909,-0.15295870674699802,0.16567830113744222,fail,pass,non_known_failed_context,True,pass,fail,
train,25,4791,2668,1097,1026,1286,3505,-28.5649151319895,-0.005962203116674911,0.024125204222540407,-89.78432506605125,53.039722342729924,8.179687591331849,-57.79340061992909,-0.15295870674699802,0.16567830113744222,fail,pass,non_known_failed_context,True,pass,fail,
train,50,4791,2668,1097,1026,1286,3505,-31.779915131989505,-0.006633253001876332,0.024125204222540407,-91.20932506605126,51.76222234272992,7.667187591331846,-57.79340061992909,-0.15295870674699802,0.16567830113744222,fail,pass,non_known_failed_context,True,pass,fail,
train,100,4791,2668,1097,1026,1286,3505,-38.209915131989504,-0.007975352772279171,0.024125204222540407,-94.05932506605127,49.20722234272992,6.642187591331848,-57.79340061992909,-0.15295870674699802,0.16567830113744222,fail,pass,non_known_failed_context,True,pass,fail,
robustness,0,2496,1346,526,624,486,2010,-11.370725397673018,-0.004555579085606177,0.01773070197058724,-31.494665042810325,16.673210602904277,3.450729042233034,-32.159818816810066,-0.1442333905565262,0.164024392171124,fail,pass,all_steps,True,pass,readout,
robustness,25,2496,1346,526,624,486,2010,-12.585725397673016,-0.005042357931760022,0.01773070197058724,-31.997165042810323,16.183210602904275,3.2282290422330338,-32.159818816810066,-0.1442333905565262,0.164024392171124,fail,pass,all_steps,True,pass,readout,
robustness,50,2496,1346,526,624,486,2010,-13.800725397673018,-0.005529136777913869,0.01773070197058724,-32.49966504281033,15.693210602904276,3.0057290422330336,-32.159818816810066,-0.1442333905565262,0.164024392171124,fail,pass,all_steps,True,pass,readout,
robustness,100,2496,1346,526,624,486,2010,-16.23072539767302,-0.006502694470221562,0.01773070197058724,-33.50466504281032,14.713210602904276,2.5607290422330333,-32.159818816810066,-0.1442333905565262,0.164024392171124,fail,pass,all_steps,True,pass,readout,
robustness,0,423,214,105,104,80,343,0.997836109849584,0.0023589506143016172,0.016554298216640898,-3.2835350417206817,3.568067892265971,0.7133032593042945,-7.837631079706272,-0.15156951394757262,0.15328409978029056,pass,pass,late_rescue_context,True,pass,readout,
robustness,25,423,214,105,104,80,343,0.797836109849584,0.0018861373755309314,0.016554298216640898,-3.3585350417206823,3.483067892265971,0.6733032593042945,-7.837631079706272,-0.15156951394757262,0.15328409978029056,pass,pass,late_rescue_context,True,pass,readout,
robustness,50,423,214,105,104,80,343,0.5978361098495837,0.0014133241367602451,0.016554298216640898,-3.4335350417206816,3.398067892265971,0.6333032593042944,-7.837631079706272,-0.15156951394757262,0.15328409978029056,pass,pass,late_rescue_context,True,pass,readout,
robustness,100,423,214,105,104,80,343,0.19783610984958344,0.0004676976592188734,0.016554298216640898,-3.5835350417206815,3.2280678922659707,0.5533032593042946,-7.837631079706272,-0.15156951394757262,0.15328409978029056,pass,pass,late_rescue_context,True,pass,readout,
robustness,0,2073,1132,421,520,406,1667,-12.368561507522603,-0.005966503380377522,0.017970749625155158,-28.211130001089646,13.105142710638304,2.7374257829287396,-24.322187737103793,-0.1422223297041544,0.16627852761117545,fail,pass,non_late_rescue_context,True,pass,readout,
robustness,25,2073,1132,421,520,406,1667,-13.3835615075226,-0.006456131938023444,0.017970749625155158,-28.638630001089645,12.700142710638303,2.5549257829287386,-24.322187737103793,-0.1422223297041544,0.16627852761117545,fail,pass,non_late_rescue_context,True,pass,readout,
robustness,50,2073,1132,421,520,406,1667,-14.398561507522604,-0.00694576049566937,0.017970749625155158,-29.066130001089643,12.295142710638306,2.372425782928739,-24.322187737103793,-0.1422223297041544,0.16627852761117545,fail,pass,non_late_rescue_context,True,pass,readout,
robustness,100,2073,1132,421,520,406,1667,-16.428561507522602,-0.007925017610961217,0.017970749625155158,-29.921130001089647,11.485142710638303,2.0074257829287387,-24.322187737103793,-0.1422223297041544,0.16627852761117545,fail,pass,non_late_rescue_context,True,pass,readout,
robustness,0,1301,663,302,336,280,1021,-5.68690481715555,-0.00437117972110342,0.019041953580662296,-17.8788544011117,10.259215148302914,1.9327344356532354,-19.19923894920128,-0.14706056321080646,0.15876418911385576,fail,pass,known_failed_context_any,True,pass,readout,
robustness,25,1301,663,302,336,280,1021,-6.386904817155549,-0.00490922737675292,0.019041953580662296,-18.1738544011117,9.976715148302914,1.8102344356532354,-19.19923894920128,-0.14706056321080646,0.15876418911385576,fail,pass,known_failed_context_any,True,pass,readout,
robustness,50,1301,663,302,336,280,1021,-7.086904817155551,-0.005447275032402422,0.019041953580662296,-18.4688544011117,9.694215148302915,1.6877344356532353,-19.19923894920128,-0.14706056321080646,0.15876418911385576,fail,pass,known_failed_context_any,True,pass,readout,
robustness,100,1301,663,302,336,280,1021,-8.486904817155551,-0.006523370343701423,0.019041953580662296,-19.058854401111695,9.129215148302913,1.4427344356532354,-19.19923894920128,-0.14706056321080646,0.15876418911385576,fail,pass,known_failed_context_any,True,pass,readout,
robustness,0,1195,683,224,288,206,989,-5.683820580517469,-0.00475633521382215,0.016303138502212638,-13.615810641698628,6.413995454601363,1.5179946065797982,-12.960579867608782,-0.14044377614759734,0.1711858734418627,fail,pass,non_known_failed_context,True,pass,fail,
robustness,25,1195,683,224,288,206,989,-6.198820580517468,-0.005187297556918383,0.016303138502212638,-13.823310641698626,6.206495454601361,1.4179946065797981,-12.960579867608782,-0.14044377614759734,0.1711858734418627,fail,pass,non_known_failed_context,True,pass,fail,
robustness,50,1195,683,224,288,206,989,-6.713820580517469,-0.005618259900014618,0.016303138502212638,-14.03081064169863,5.998995454601362,1.3179946065797983,-12.960579867608782,-0.14044377614759734,0.1711858734418627,fail,pass,non_known_failed_context,True,pass,fail,
robustness,100,1195,683,224,288,206,989,-7.743820580517469,-0.006480184586207087,0.016303138502212638,-14.445810641698628,5.583995454601361,1.1179946065797983,-12.960579867608782,-0.14044377614759734,0.1711858734418627,fail,pass,non_known_failed_context,True,pass,fail,
validation,0,664,325,180,159,183,481,-2.94396953141098,-0.00443368905332979,0.025309396612465732,-12.82987130328639,8.726611253012988,1.1592905188624207,-10.740722026086164,-0.15818618232097315,0.158337609097573,fail,pass,all_steps,True,pass,stress_readout,
validation,25,664,325,180,159,183,481,-3.4014695314109797,-0.005122695077426174,0.025309396612465732,-13.022371303286386,8.524111253012988,1.0967905188624207,-10.740722026086164,-0.15818618232097315,0.158337609097573,fail,pass,all_steps,True,pass,stress_readout,
validation,50,664,325,180,159,183,481,-3.85896953141098,-0.00581170110152256,0.025309396612465732,-13.21487130328639,8.321611253012987,1.0342905188624205,-10.740722026086164,-0.15818618232097315,0.158337609097573,fail,pass,all_steps,True,pass,stress_readout,
validation,100,664,325,180,159,183,481,-4.773969531410981,-0.007189713149715333,0.025309396612465732,-13.59987130328639,7.916611253012988,0.9092905188624206,-10.740722026086164,-0.15818618232097315,0.158337609097573,fail,pass,all_steps,True,pass,stress_readout,
validation,0,489,222,146,121,140,349,0.30121094107339763,0.000615973294628625,0.027628808208870773,-7.760854424141951,7.22664236361401,0.8354230016013402,-8.780167390150513,-0.16270292290872254,0.16112348043396085,pass,pass,late_rescue_context,True,pass,stress_readout,
validation,25,489,222,146,121,140,349,-0.048789058926602236,-9.977312663926838e-05,0.027628808208870773,-7.898354424141953,7.059142363614009,0.7904230016013403,-8.780167390150513,-0.16270292290872254,0.16112348043396085,fail,pass,late_rescue_context,True,pass,stress_readout,
validation,50,489,222,146,121,140,349,-0.3987890589266031,-0.0008155195479071638,0.027628808208870773,-8.035854424141952,6.89164236361401,0.7454230016013401,-8.780167390150513,-0.16270292290872254,0.16112348043396085,fail,pass,late_rescue_context,True,pass,stress_readout,
validation,100,489,222,146,121,140,349,-1.0987890589266034,-0.002247012390442952,0.027628808208870773,-8.310854424141953,6.556642363614009,0.6554230016013403,-8.780167390150513,-0.16270292290872254,0.16112348043396085,fail,pass,late_rescue_context,True,pass,stress_readout,
validation,0,175,103,34,38,43,132,-3.2451804724843774,-0.018543888414196442,0.01882829792308251,-5.069016879144438,1.4999688893989789,0.32386751726108043,-1.9605546359356545,-0.14034505699936314,0.14500522484486003,fail,pass,non_late_rescue_context,True,pass,stress_readout,
validation,25,175,103,34,38,43,132,-3.3526804724843773,-0.019158174128482156,0.01882829792308251,-5.124016879144437,1.464968889398979,0.3063675172610804,-1.9605546359356545,-0.14034505699936314,0.14500522484486003,fail,pass,non_late_rescue_context,True,pass,stress_readout,
validation,50,175,103,34,38,43,132,-3.460180472484378,-0.019772459842767875,0.01882829792308251,-5.179016879144438,1.4299688893989788,0.28886751726108045,-1.9605546359356545,-0.14034505699936314,0.14500522484486003,fail,pass,non_late_rescue_context,True,pass,stress_readout,
validation,100,175,103,34,38,43,132,-3.675180472484378,-0.0210010312713393,0.01882829792308251,-5.289016879144437,1.3599688893989788,0.2538675172610804,-1.9605546359356545,-0.14034505699936314,0.14500522484486003,fail,pass,non_late_rescue_context,True,pass,stress_readout,
validation,0,599,280,172,147,167,432,-1.0476856996326531,-0.0017490579292698716,0.026296859129741206,-10.363049611136057,8.314180020792872,1.0011838907105317,-10.112774362511423,-0.15821448593826887,0.1591190950358215,fail,pass,known_failed_context_any,True,pass,stress_readout,
validation,25,599,280,172,147,167,432,-1.465185699632653,-0.002446052920922626,0.026296859129741206,-10.535549611136053,8.121680020792873,0.9486838907105317,-10.112774362511423,-0.15821448593826887,0.1591190950358215,fail,pass,known_failed_context_any,True,pass,stress_readout,
validation,50,599,280,172,147,167,432,-1.8826856996326544,-0.003143047912575383,0.026296859129741206,-10.708049611136058,7.929180020792873,0.8961838907105315,-10.112774362511423,-0.15821448593826887,0.1591190950358215,fail,pass,known_failed_context_any,True,pass,stress_readout,
validation,100,599,280,172,147,167,432,-2.7176856996326544,-0.004537037895880892,0.026296859129741206,-11.053049611136057,7.544180020792872,0.7911838907105316,-10.112774362511423,-0.15821448593826887,0.1591190950358215,fail,pass,known_failed_context_any,True,pass,stress_readout,
validation,0,65,45,8,12,16,49,-1.8962838317783268,-0.02917359741197426,0.016209549722496382,-2.4668216921503316,0.4124312322201158,0.15810662815188903,-0.627947663574746,-0.1575139714102009,0.14329400478629006,fail,pass,non_known_failed_context,True,pass,stress_readout,
validation,25,65,45,8,12,16,49,-1.9362838317783266,-0.02978898202735887,0.016209549722496382,-2.4868216921503317,0.4024312322201158,0.14810662815188902,-0.627947663574746,-0.1575139714102009,0.14329400478629006,fail,pass,non_known_failed_context,True,pass,stress_readout,
validation,50,65,45,8,12,16,49,-1.9762838317783264,-0.030404366642743486,0.016209549722496382,-2.5068216921503317,0.3924312322201158,0.13810662815188904,-0.627947663574746,-0.1575139714102009,0.14329400478629006,fail,pass,non_known_failed_context,True,pass,stress_readout,
validation,100,65,45,8,12,16,49,-2.0562838317783267,-0.03163513587351272,0.016209549722496382,-2.5468216921503317,0.37243123222011576,0.11810662815188903,-0.627947663574746,-0.1575139714102009,0.14329400478629006,fail,pass,non_known_failed_context,True,pass,stress_readout,
