artifact_key,resolved_path,row_count,sha256,schema_status,read_status,required_flag,lineage_role,blocking_reason
upstream_16d_policy_threshold_freeze_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_threshold_freeze_audit.csv,4,555c37a8d366173cdff9506dda531c202786fc380e05ea0526918a6b50e885da,pass,pass,required,upstream_16d_policy_threshold_freeze_audit,
upstream_16d_policy_action_binding_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_action_binding_audit.csv,1,1d1596cebb6f7d12fecdcf7425b9c1eebe967caef00e7fb2aeab4297bce1dcb7,pass,pass,required,upstream_16d_policy_action_binding_audit,
upstream_16d_policy_confusion_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_confusion_readout.csv,12,33c0f7e9f211505526da2b5ae7afb2dfbb84d70971107789398e6feae117648c,pass,pass,required,upstream_16d_policy_confusion_readout,
upstream_16d_policy_tradeoff_frontier_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_tradeoff_frontier_readout.csv,12,51317f46416f8e2bf36d6a542e5fe68528ad5ee972e2fca9d24244f335e76942,pass,pass,required,upstream_16d_policy_tradeoff_frontier_readout,
upstream_16d_known_failed_context_rebuild_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/known_failed_context_rebuild_audit.csv,1,182221ce74d6c51f39b7b7c6ee36cded1bcc04e37758836dc808d44e8b50a3c9,pass,pass,required,upstream_16d_known_failed_context_rebuild_audit,
upstream_16d_policy_context_stratified_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_context_stratified_readout.csv,60,68d9098ba973f10cb4ef18a90d2b54dd5dc926fe95f9e55515f748313d0f418d,pass,pass,required,upstream_16d_policy_context_stratified_readout,
upstream_16d_neutral_policy_handling_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/neutral_policy_handling_audit.csv,3,da4a68d1fb50af0ccc708894cc091ac3c4e933571a7dc39745146c9aaab5390b,pass,pass,required,upstream_16d_neutral_policy_handling_audit,
upstream_16d_policy_stability_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/policy_stability_audit.csv,3,49f5eb67b25c63abb17187ca74dbcd316d157a229760c59e80942bed2ccb3452,pass,pass,required,upstream_16d_policy_stability_audit,
upstream_16d_search_accounting_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16D_sequential_continuation_policy_preflight/search_accounting_audit.csv,1,4ff63cc17932802490e5df59fffadc514a18489337f72f70a614653ab150b5fb,pass,pass,required,upstream_16d_search_accounting_audit,
upstream_16d_manifest,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/manifests/16D_sequential_continuation_policy_preflight_manifest.json,122,88c2ee6d4f1aea310c9b1135b049d4fa984d781f699d245fc46b27fcb0e40aa9,pass,pass,required,upstream_16d_manifest,
upstream_16d_policy_action_panel,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/local_cache/16D_sequential_continuation_policy_preflight/policy_action_panel.parquet,93620,db05ef879eea62163bfb63fa9fae320172aa28d175e66f2d9afd2555dc03feef,pass,pass,optional_cache,upstream_16d_policy_action_panel,
upstream_16b_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/sequential_continuation_label_decision.csv,1,1b3f820fe4aeb4c4da7aa0b68e6d3ec2abe6f35b216f26a657ba9131c486e3ef,pass,pass,required,upstream_16b_decision,
upstream_16b_base_rate_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/continuation_label_base_rate_readout.csv,135,50c7afd6007d62e462fb023f89ae21dee3d07911aed9201e5ec2d5ebee6ac947,pass,pass,required,upstream_16b_base_rate_readout,
upstream_16b_qfq_price_source_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16B_sequential_continuation_label_design_diagnostic/qfq_price_source_audit.csv,788,fa42a4364b06a35e71e6577573f27737eac9491179cd8e2106c4abeb3c496cf5,pass,pass,required,upstream_16b_qfq_price_source_audit,
upstream_16c_decision,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/sequential_continuation_separability_decision.csv,1,a871434a263d5d0312ca96d48a88fbaeba2256197ac411f5648f07b1a13a94d5,pass,pass,required,upstream_16c_decision,
upstream_16c_oos_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/16_winner_episode_sequential_sampling_geometry_preflight_v0/outputs/publishable/tables/16C_sequential_continuation_separability_diagnostic/oos_separability_readout.csv,9,7aab3c299a0996759710d646090883e85d02154aa4262a7666c479880c17b744,pass,pass,required,upstream_16c_oos_readout,
