baseline_id,baseline_family_id,denominator_type,candidate_id,candidate_family,stage2_budget_X,split,cell_grain,null_strength_rank,board_dimension_preserved_flag,calendar_dimension_preserved_flag,allowed_interpretation,stage1_anchor_rule_id,stage1_anchor_X,candidate_selected_n,candidate_selected_positive_n,candidate_continuation_rate,candidate_base_continuation_rate,full_candidate_selected_n,full_candidate_positive_n,full_candidate_continuation_rate,candidate_supported_cell_selected_n,candidate_supported_cell_positive_n,candidate_supported_cell_continuation_rate,requested_selected_n,requested_cell_n,supported_cell_n,unsupported_cell_n,available_random_n,sampled_random_n,shortfall_n,shortfall_rate,supported_requested_n,unsupported_requested_n,supported_weight_share,valid_seed_n,effective_seed_n,random_p05,random_p50,random_p95,delta_vs_random_p50,delta_vs_random_p50_ci95_low,delta_vs_random_p50_ci95_high,bootstrap_replicate_valid_n,replacement_draw_n,duplicate_rate,effective_n,median_seed_effective_n,cell_zero_support_n,baseline_construction_status,readout_status,diagnostic_only_flag
hierarchical_split_board_fallback_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,mixed,3,True,False,diagnostic_only,simple_0066e3511eb63515,,191,25,0.13089005235602094,0.08062418725617686,191,25,0.13089005235602094,191,25,,19100,1800,1800,0,99152,19100,0,0.0,19100,0,1.0,100,100,0.03664921465968586,0.07329842931937172,0.10471204188481675,0.05759162303664922,0.01564136125654451,0.10994764397905758,2000,0,0.0,191.0,191.0,0,pass,ok,True
hierarchical_split_board_fallback_replay,hierarchical_cell_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,mixed,3,True,False,diagnostic_only,simple_0066e3511eb63515,,279,36,0.12903225806451613,0.0932806324110672,279,36,0.12903225806451613,279,36,,27900,2500,2500,0,118217,27900,0,0.0,27900,0,1.0,100,100,0.07867383512544802,0.1039426523297491,0.13261648745519714,0.025089605734767026,-0.012589605734767017,0.06460573476702461,2000,0,0.0,279.0,279.0,0,pass,ok,True
pooled_cell_weighted_replay,pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,all,month,4,True,True,diagnostic_only,simple_0066e3511eb63515,,904,145,0.1607538802660754,0.10315265486725664,904,145,0.16039823008849557,902,145,0.1607538802660754,90400,9100,8931,169,304270,89954,446,0.00493362831858407,90210,190,0.9978982300884955,100,100,0.11202056357134049,0.12843950811903165,0.14195438707633828,0.032314372147043746,0.030203868853096314,0.03483000739098302,2000,0,0.0,900.0,900.0,169,pass,ok,True
pooled_cell_weighted_replay,pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,train,month,4,True,True,diagnostic_only,simple_0066e3511eb63515,,434,84,0.19399538106235567,0.12199747155499367,434,84,0.1935483870967742,433,84,0.19399538106235567,43400,4800,4654,146,130741,43057,343,0.007903225806451614,43246,154,0.9964516129032258,100,100,0.14643187066974594,0.16993486659358667,0.19415640087234692,0.024060514468769,0.019458344025318625,0.028486121803096398,2000,0,0.0,431.0,431.0,146,pass,ok,True
pooled_cell_weighted_replay,pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,month,4,True,True,diagnostic_only,simple_0066e3511eb63515,,191,25,0.13089005235602094,0.08062418725617686,191,25,0.13089005235602094,191,25,0.13089005235602094,19100,1800,1786,14,61810,19021,79,0.004136125654450261,19075,25,0.9986910994764397,100,100,0.03683246073298429,0.0706806282722513,0.10471204188481675,0.06020942408376964,0.057203800659298046,0.06806282722513089,2000,0,0.0,190.0,190.0,14,pass,ok,True
pooled_cell_weighted_replay,pooled_cell_weighted_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,month,4,True,True,diagnostic_only,simple_0066e3511eb63515,,279,36,0.12903225806451613,0.0932806324110672,279,36,0.12903225806451613,279,36,0.12903225806451613,27900,2500,2491,9,111719,27876,24,0.0008602150537634409,27889,11,0.9996057347670251,100,100,0.07867383512544802,0.1039426523297491,0.1296524071065728,0.025089605734767026,0.021505376344086016,0.02867383512544802,2000,0,0.0,279.0,279.0,9,pass,ok,True
with_replacement_replay,with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,all,month,5,True,True,diagnostic_only,simple_0066e3511eb63515,,904,145,0.16039823008849557,0.10315265486725664,904,145,0.16039823008849557,904,145,,90400,9100,8931,169,304270,10848,190,0.0021017699115044247,90210,190,0.9978982300884955,12,12,0.1144358407079646,0.12831858407079647,0.14214601769911503,0.03207964601769911,0.007743362831858391,0.05420353982300885,2000,200,0.008764993699491515,898.0395604395604,898.0395604395604,169,insufficient,random_replay_insufficient,True
with_replacement_replay,with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,train,month,5,True,True,diagnostic_only,simple_0066e3511eb63515,,434,84,0.1935483870967742,0.12199747155499367,434,84,0.1935483870967742,434,84,,43400,4800,4654,146,130741,6944,154,0.0035483870967741938,43246,154,0.9964516129032258,16,16,0.14573732718894009,0.16820276497695852,0.20276497695852536,0.02534562211981567,-0.013824884792626724,0.06451612903225806,2000,136,0.010202010900334922,430.0365296803653,430.0365296803653,146,insufficient,random_replay_insufficient,True
with_replacement_replay,with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,validation,month,5,True,True,diagnostic_only,simple_0066e3511eb63515,,191,25,0.13089005235602094,0.08062418725617686,191,25,0.13089005235602094,191,25,,19100,1800,1786,14,61810,16426,25,0.0013089005235602095,19075,25,0.9986910994764397,86,86,0.03795811518324607,0.0706806282722513,0.10340314136125654,0.06020942408376964,0.015706806282722516,0.10994764397905758,2000,54,0.015117581187010079,189.02072538860102,189.02072538860102,14,insufficient,random_replay_insufficient,True
with_replacement_replay,with_replacement_replay,stage1_anchor_chained_survivor,complex_stage2_score,complex_stage2_score,0.3,robustness,month,5,True,True,diagnostic_only,simple_0066e3511eb63515,,279,36,0.12903225806451613,0.0932806324110672,279,36,0.12903225806451613,279,36,,27900,2500,2491,9,111719,25389,11,0.0003942652329749104,27889,11,0.9996057347670251,91,91,0.07706093189964158,0.1003584229390681,0.13082437275985664,0.02867383512544802,-0.010752688172043001,0.06810035842293907,2000,10,0.001525491770373344,279.0,279.0,9,insufficient,random_replay_insufficient,True
