policy_id,duplicate_policy_group_id,canonical_policy_id,invalid_policy_reason,is_train_selectable,is_validation_selectable
hold_120d__no_exit__none__volatility_scaled,,hold_120d__no_exit__none__volatility_scaled,,True,True
hold_20d__time_stop__time_stop_days10__fixed_size,static_exit_offset_10__fixed_size,hold_20d__time_stop__time_stop_days10__fixed_size,,True,True
hold_20d__time_stop__time_stop_days20__fixed_size,,hold_20d__time_stop__time_stop_days20__fixed_size,time_stop_days_ge_max_holding_days,False,False
hold_20d__time_stop__time_stop_days40__fixed_size,,hold_20d__time_stop__time_stop_days40__fixed_size,time_stop_days_ge_max_holding_days,False,False
hold_20d__time_stop__time_stop_days60__fixed_size,,hold_20d__time_stop__time_stop_days60__fixed_size,time_stop_days_ge_max_holding_days,False,False
hold_40d__time_stop__time_stop_days10__fixed_size,static_exit_offset_10__fixed_size,hold_20d__time_stop__time_stop_days10__fixed_size,duplicate_equivalent_policy,False,False
hold_40d__time_stop__time_stop_days20__fixed_size,static_exit_offset_20__fixed_size,hold_20d__no_exit__none__fixed_size,duplicate_equivalent_policy,False,False
hold_40d__time_stop__time_stop_days40__fixed_size,,hold_40d__time_stop__time_stop_days40__fixed_size,time_stop_days_ge_max_holding_days,False,False
hold_40d__time_stop__time_stop_days60__fixed_size,,hold_40d__time_stop__time_stop_days60__fixed_size,time_stop_days_ge_max_holding_days,False,False
hold_60d__time_stop__time_stop_days10__fixed_size,static_exit_offset_10__fixed_size,hold_20d__time_stop__time_stop_days10__fixed_size,duplicate_equivalent_policy,False,False
hold_60d__time_stop__time_stop_days20__fixed_size,static_exit_offset_20__fixed_size,hold_20d__no_exit__none__fixed_size,duplicate_equivalent_policy,False,False
hold_60d__time_stop__time_stop_days40__fixed_size,static_exit_offset_40__fixed_size,hold_40d__no_exit__none__fixed_size,duplicate_equivalent_policy,False,False
hold_60d__time_stop__time_stop_days60__fixed_size,,hold_60d__time_stop__time_stop_days60__fixed_size,time_stop_days_ge_max_holding_days,False,False
hold_120d__time_stop__time_stop_days10__fixed_size,static_exit_offset_10__fixed_size,hold_20d__time_stop__time_stop_days10__fixed_size,duplicate_equivalent_policy,False,False
hold_120d__time_stop__time_stop_days20__fixed_size,static_exit_offset_20__fixed_size,hold_20d__no_exit__none__fixed_size,duplicate_equivalent_policy,False,False
hold_120d__time_stop__time_stop_days40__fixed_size,static_exit_offset_40__fixed_size,hold_40d__no_exit__none__fixed_size,duplicate_equivalent_policy,False,False
hold_120d__time_stop__time_stop_days60__fixed_size,static_exit_offset_60__fixed_size,hold_60d__no_exit__none__fixed_size,duplicate_equivalent_policy,False,False
hold_20d__time_stop__time_stop_days10__volatility_scaled,static_exit_offset_10__volatility_scaled,hold_20d__time_stop__time_stop_days10__volatility_scaled,,True,True
hold_20d__time_stop__time_stop_days20__volatility_scaled,,hold_20d__time_stop__time_stop_days20__volatility_scaled,time_stop_days_ge_max_holding_days,False,False
hold_20d__time_stop__time_stop_days40__volatility_scaled,,hold_20d__time_stop__time_stop_days40__volatility_scaled,time_stop_days_ge_max_holding_days,False,False
hold_20d__time_stop__time_stop_days60__volatility_scaled,,hold_20d__time_stop__time_stop_days60__volatility_scaled,time_stop_days_ge_max_holding_days,False,False
hold_40d__time_stop__time_stop_days10__volatility_scaled,static_exit_offset_10__volatility_scaled,hold_20d__time_stop__time_stop_days10__volatility_scaled,duplicate_equivalent_policy,False,False
hold_40d__time_stop__time_stop_days20__volatility_scaled,static_exit_offset_20__volatility_scaled,hold_20d__no_exit__none__volatility_scaled,duplicate_equivalent_policy,False,False
hold_40d__time_stop__time_stop_days40__volatility_scaled,,hold_40d__time_stop__time_stop_days40__volatility_scaled,time_stop_days_ge_max_holding_days,False,False
hold_40d__time_stop__time_stop_days60__volatility_scaled,,hold_40d__time_stop__time_stop_days60__volatility_scaled,time_stop_days_ge_max_holding_days,False,False
hold_60d__time_stop__time_stop_days10__volatility_scaled,static_exit_offset_10__volatility_scaled,hold_20d__time_stop__time_stop_days10__volatility_scaled,duplicate_equivalent_policy,False,False
hold_60d__time_stop__time_stop_days20__volatility_scaled,static_exit_offset_20__volatility_scaled,hold_20d__no_exit__none__volatility_scaled,duplicate_equivalent_policy,False,False
hold_60d__time_stop__time_stop_days40__volatility_scaled,static_exit_offset_40__volatility_scaled,hold_40d__no_exit__none__volatility_scaled,duplicate_equivalent_policy,False,False
hold_60d__time_stop__time_stop_days60__volatility_scaled,,hold_60d__time_stop__time_stop_days60__volatility_scaled,time_stop_days_ge_max_holding_days,False,False
hold_120d__time_stop__time_stop_days10__volatility_scaled,static_exit_offset_10__volatility_scaled,hold_20d__time_stop__time_stop_days10__volatility_scaled,duplicate_equivalent_policy,False,False
hold_120d__time_stop__time_stop_days20__volatility_scaled,static_exit_offset_20__volatility_scaled,hold_20d__no_exit__none__volatility_scaled,duplicate_equivalent_policy,False,False
hold_120d__time_stop__time_stop_days40__volatility_scaled,static_exit_offset_40__volatility_scaled,hold_40d__no_exit__none__volatility_scaled,duplicate_equivalent_policy,False,False
hold_120d__time_stop__time_stop_days60__volatility_scaled,static_exit_offset_60__volatility_scaled,hold_60d__no_exit__none__volatility_scaled,duplicate_equivalent_policy,False,False
