policy_id,policy_family_id,hold_rule_id,exit_rule_family_id,sizing_rule_id,parameter_set_id,parameter_values_json,split,event_count,replay_complete_count,censored_count,censored_share,net_return_mean,net_return_median,net_return_p10,net_return_p25,net_return_p75,net_return_p90,unweighted_net_return_mean,unweighted_net_return_p10,weighted_net_return_mean,weighted_net_return_p10,loss_le_minus5_rate,loss_le_minus10_rate,max_drawdown_p50,max_drawdown_p90,max_gain50_count,max_gain50_rate,max_gain50_retention_vs_volume_money_hold120,max_gain50_retention_wilson_lower,max_gain50_retention_wilson_upper,policy_retained_max_gain50_count,avg_holding_days,position_weight_mean,position_weight_p10,turnover_proxy,cost_bps_mean,net_return_metric_basis,volume_money_hold120_net_return_mean,volume_money_hold120_net_return_p10,volume_money_hold120_loss_le_minus5_rate,volume_money_hold120_max_gain50_rate,net_return_mean_delta_vs_volume_money_hold120,p10_delta_vs_volume_money_hold120,loss_le_minus5_delta_vs_volume_money_hold120,max_gain50_rate_delta_vs_volume_money_hold120,baseline_A_r04c_hold120_net_return_mean,baseline_A_r04c_hold120_net_return_p10,baseline_A_r04c_hold120_loss_le_minus5_rate,net_return_mean_delta_vs_baseline_A,denominator_status,winner_retention_status,matched_baseline_replay_complete_count,matched_comparator_effective_sample_size,matched_baseline_net_return_mean,matched_baseline_net_return_p10,matched_baseline_loss_le_minus5_rate,matched_comparator_status,volume_money_replay_complete_count,volume_money_net_return_mean,volume_money_net_return_p10,volume_money_loss_le_minus5_rate,net_return_mean_delta_vs_matched_baseline_A,p10_delta_vs_matched_baseline_A,loss_le_minus5_delta_vs_matched_baseline_A
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_120d,break_even_after_gain,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",train,3669,3045,624,0.17007358953393295,0.03366331968892841,-0.014004790867173777,-0.24046647486104725,-0.1183791200558365,0.11334368349972013,0.36530031215819864,0.03366331968892841,-0.24046647486104725,0.03366331968892841,-0.24046647486104725,0.3671592775041051,0.2788177339901478,-0.0970149040222168,-0.009881424903869632,482,0.13137094576178796,0.8485477178423236,0.8137959505956379,0.8777876800306751,409,108.60032840722496,1.0,1.0,2.3204349719372943,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.008518898357978935,0.013786208903355662,-0.05385789999673696,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.042754780656746386,sufficient,passed,6372,5095.044024883503,0.05468027840083265,-0.2594701795826236,0.3611232663537325,sufficient,3045,0.03366331968892841,-0.24046647486104725,0.3671592775041051,-0.02101695871190424,0.019003704721576337,0.006036011150372611
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_120d,break_even_after_gain,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",train,3669,3103,566,0.1542654674298174,0.0282024800489807,-0.014578884878417641,-0.23327492175780976,-0.09354391557061537,0.07625588131445193,0.33562541545880975,0.0282024800489807,-0.23327492175780976,0.0282024800489807,-0.23327492175780976,0.33129229777634545,0.24460199806638735,-0.07749080657958984,-0.007235920429229734,482,0.13137094576178796,0.7800829875518672,0.7409719957788452,0.8147648502601563,376,97.61875604253947,1.0,1.0,2.5814711251819844,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.013979737997926647,0.020977762006593154,-0.08972487972449661,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.0482156202966941,sufficient,passed,6372,5095.044024883503,0.04818893793403178,-0.23873523315199774,0.31428936609607605,sufficient,3103,0.0282024800489807,-0.23327492175780976,0.33129229777634545,-0.019986457885051077,0.005460311394187983,0.017002931680269395
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_20d,break_even_after_gain,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3531,138,0.03761242845461979,0.005108221651540946,-0.007112526536017692,-0.09851817007344484,-0.05066868808528199,0.04878189933395492,0.12176804379869588,0.004448064004810523,-0.12638924731857548,0.005108221651540946,-0.09851817007344484,0.25346927216086096,0.09629000283205891,-0.042708754539489746,0.0011175870895385742,482,0.13137094576178796,0.03941908713692946,0.025378747768611983,0.060742883189474364,19,20.36986689323138,0.8406667430918681,0.5489220950105743,12.371214859716932,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.037073996395366404,0.1557345136909581,-0.1675479053399811,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.07130987869413385,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.007679391673536314,-0.10110989725056652,0.2625841533433425,sufficient,3531,0.005108221651540946,-0.09851817007344484,0.25346927216086096,-0.0025711700219953684,0.0025917271771216804,-0.009114881182481549
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_20d,break_even_after_gain,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3529,140,0.03815753611338239,0.005699182503286197,-0.0061160604116291635,-0.09993275864496849,-0.053300884221303406,0.051079584539932416,0.1253357441883538,0.005310049358267635,-0.1287746225203346,0.005699182503286197,-0.09993275864496849,0.2646642108245962,0.09974497024652876,-0.04580146074295044,0.0011379718780517856,482,0.13137094576178796,0.04149377593360996,0.027019012224649894,0.06321918796335499,20,20.889203740436383,0.8405764437113592,0.5488949034548093,12.063647955723162,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.03648303554362115,0.15431992511943443,-0.15635296667624587,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.0707189178423886,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.007733604371513526,-0.10341252683826574,0.28078948736530956,sufficient,3529,0.005699182503286197,-0.09993275864496849,0.2646642108245962,-0.0020344218682273292,0.0034797681932972474,-0.016125276540713385
hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,break_even_after_gain__volatility_scaled,hold_20d,break_even_after_gain,volatility_scaled,e5f060688d17,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3529,140,0.03815753611338239,0.005513705344057015,-0.006438390530862491,-0.09894269729389694,-0.05257033584263153,0.050246563871821456,0.12408891662724626,0.005048657080677847,-0.12724968579383752,0.005513705344057015,-0.09894269729389694,0.25956361575517145,0.09776140549730802,-0.044169604778289795,0.0011379718780517856,482,0.13137094576178796,0.04149377593360996,0.027019012224649894,0.06321918796335499,20,20.659960328705015,0.8405764437113592,0.5488949034548093,12.197506480681398,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.036668512702850334,0.15530998647050598,-0.1614535617456706,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.07090439500161778,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.00773746447504239,-0.10187713639921801,0.2710757506812103,sufficient,3529,0.005513705344057015,-0.09894269729389694,0.25956361575517145,-0.002223759130985375,0.0029344391053210683,-0.011512134926038864
hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_40d,break_even_after_gain,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3426,243,0.06623058053965658,0.010106062365185154,-0.010941151257261625,-0.11865383771368186,-0.0616580422194339,0.058267459981034206,0.16308036916979246,0.009907032081124645,-0.1522419024743849,0.010106062365185154,-0.11865383771368186,0.28955049620548745,0.14098073555166374,-0.056609511375427246,-0.0029192566871643066,482,0.13137094576178796,0.1950207468879668,0.16211803751152268,0.23274628569045344,94,37.53415061295972,0.8412458693275693,0.5494300779255294,6.7138857782754755,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.032076155681722195,0.13559884605072103,-0.1314666812953546,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.06631203798048964,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.016909570964297002,-0.12215002698919097,0.28844459623177254,sufficient,3426,0.010106062365185154,-0.11865383771368186,0.28955049620548745,-0.0068035085991118485,0.0034961892755091123,0.0011058999737149078
hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_40d,break_even_after_gain,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3413,256,0.06977378032161352,0.01120372150237227,-0.010556651520450166,-0.12186213147766954,-0.06862391673185768,0.06610365500038662,0.17018476518910686,0.011269948750060795,-0.16143295932944035,0.01120372150237227,-0.12186213147766954,0.3208321125109874,0.15147963668326986,-0.06775957345962524,-0.0042440891265869115,482,0.13137094576178796,0.2074688796680498,0.1736511016160809,0.2459126369654064,100,40.1506006445942,0.8418206186508405,0.5501010232413296,6.276369368185997,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.030978496544535078,0.13239055228673335,-0.10018506498985463,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.06521437884330253,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.019704921599688154,-0.12747676554297505,0.3302460496583402,sufficient,3413,0.01120372150237227,-0.12186213147766954,0.3208321125109874,-0.008501200097315883,0.005614634065305504,-0.00941393714735278
hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,break_even_after_gain__volatility_scaled,hold_40d,break_even_after_gain,volatility_scaled,e5f060688d17,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3423,246,0.06704824202780049,0.01080900465984724,-0.010556651520450166,-0.11996538535444322,-0.06538506575463532,0.06257302317188762,0.1683704725925492,0.010942935954381339,-0.15497139108872823,0.01080900465984724,-0.11996538535444322,0.3023663453111306,0.14548641542506574,-0.061810195446014404,-0.0035617709159850874,482,0.13137094576178796,0.1991701244813278,0.16595651519991333,0.23714094646189982,96,38.79842243645925,0.8412215075320326,0.5494186580572518,6.495109444532291,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.0313732133870601,0.13428729840995968,-0.11865083218971145,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.06560909568582755,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.01813269809066124,-0.12458985769238504,0.30333657873411585,sufficient,3423,0.01080900465984724,-0.11996538535444322,0.3023663453111306,-0.007323693430814002,0.004624472337941818,-0.000970233422985245
hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_60d,break_even_after_gain,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3322,347,0.09457617879531208,0.015180799293822376,-0.012417817806851037,-0.14091329225949342,-0.07159557669817897,0.059188798601603865,0.2185560741608154,0.01803110563524131,-0.17287548846666423,0.015180799293822376,-0.14091329225949342,0.3082480433473811,0.18302227573750754,-0.0632961094379425,-0.0043844461441040015,482,0.13137094576178796,0.4211618257261411,0.37787678001792196,0.46569358924517396,203,52.80102347983143,0.842936471552668,0.5517142195674417,4.772634759556455,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.02700141875308497,0.11333939150490949,-0.11276913415346096,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.06123730105185242,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.02224149235583797,-0.14204169379923337,0.29288562531020546,sufficient,3322,0.015180799293822376,-0.14091329225949342,0.3082480433473811,-0.007060693062015592,0.0011284015397399483,0.01536241803717564
hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_60d,break_even_after_gain,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",train,3669,3295,374,0.10193513218860725,0.018228824300038488,-0.012823724635593272,-0.14803405313719747,-0.08228137744133562,0.07902960105510685,0.23016728371044629,0.022132024104039714,-0.18181851167606478,0.018228824300038488,-0.14803405313719747,0.3541729893778452,0.20576631259484066,-0.08153241872787476,-0.0059180736541748075,482,0.13137094576178796,0.45435684647302904,0.4104417642684307,0.4989937126733617,219,58.56327769347496,0.8444106506691967,0.5546216362606405,4.3030378408631575,21.0,weighted_net_return,0.04218221804690735,-0.2542526837644029,0.42101717750084205,0.13137094576178796,-0.02395339374686886,0.10621863062720543,-0.06684418812299686,0.0,0.0764181003456748,-0.2675522891050917,0.4169920349836014,-0.05818927604563631,sufficient,failed_winner_retention_gate,6372,5095.044024883503,0.026695450071903142,-0.15162606427047298,0.3498518630116714,sufficient,3295,0.018228824300038488,-0.14803405313719747,0.3541729893778452,-0.008466625771864654,0.003592011133275508,0.0043211263661737664
