policy_id,policy_family_id,hold_rule_id,hold_rule_max_days,exit_rule_family_id,exit_rule_id,sizing_rule_id,parameter_set_id,parameter_values_json,is_train_selectable,is_validation_selectable,invalid_policy_reason,duplicate_policy_group_id,canonical_policy_id,formula_text,formula_hash
hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,break_even_after_gain__fixed_size,hold_120d,120,break_even_after_gain,break_even_after_gain__f83b16bb,fixed_size,f02c6f7248ec,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_120d__break_even_after_gain__activation_gain_pct0p15__fixed_size,"hold=120;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=fixed_size",910d5fc0b3d35644ceb595f52c9386fb892840f4f6d058be1f0c315257285c4f
hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,break_even_after_gain__fixed_size,hold_120d,120,break_even_after_gain,break_even_after_gain__cadd57b9,fixed_size,36c5c0691926,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_120d__break_even_after_gain__activation_gain_pct0p1__fixed_size,"hold=120;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=fixed_size",6f8a93b23a5910a5af0d90f1443384081e7639fcfed9a717bd465722cb245615
hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_20d,20,break_even_after_gain,break_even_after_gain__5a5e43a6,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_20d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,"hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=volatility_scaled",4830d78fb995eba15baf39da03b35a482d225f58a51c117011178110c02daf61
hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_20d,20,break_even_after_gain,break_even_after_gain__f83b16bb,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_20d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,"hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=volatility_scaled",476db96292a521b93cddc782cef8ed9256f96d94494c4de66e5735ce669fca4c
hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,break_even_after_gain__volatility_scaled,hold_20d,20,break_even_after_gain,break_even_after_gain__cadd57b9,volatility_scaled,e5f060688d17,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_20d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,"hold=20;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=volatility_scaled",8a39ed051d5dd3e0c9b24c2a9fbccabeef35b4e12443024f3bede12c4e35151d
hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_40d,40,break_even_after_gain,break_even_after_gain__5a5e43a6,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_40d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,"hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=volatility_scaled",7c7f57a6f370dd90b645edd051acede2c62d8fbffb04e1ea0c3baedd1f0658e9
hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_40d,40,break_even_after_gain,break_even_after_gain__f83b16bb,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_40d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,"hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=volatility_scaled",4a6aac92704418c7f331c46570e09e4e00bc6d8d5615104b84c8409d10e7dcfc
hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,break_even_after_gain__volatility_scaled,hold_40d,40,break_even_after_gain,break_even_after_gain__cadd57b9,volatility_scaled,e5f060688d17,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_40d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,"hold=40;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=volatility_scaled",e3eac9df483d944ac66968256378689084bdf162baafb28c92c2e7714ef725d2
hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_60d,60,break_even_after_gain,break_even_after_gain__5a5e43a6,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_60d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,"hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=volatility_scaled",a670de69182782830e8c7155fd2cab9d37ec55229f8d37fcd0ee986caaf84baa
hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_60d,60,break_even_after_gain,break_even_after_gain__f83b16bb,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_60d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,"hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=volatility_scaled",ce6f668650e60ef07b2d078550d62dba10141eda8b002d36ebe45f4989e75a5b
hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,break_even_after_gain__volatility_scaled,hold_60d,60,break_even_after_gain,break_even_after_gain__cadd57b9,volatility_scaled,e5f060688d17,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_60d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,"hold=60;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=volatility_scaled",592e2aca19dff7d5b54869f9a363d1d3929faa40b2dcc2873c3445c7f3805ff3
hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,break_even_after_gain__volatility_scaled,hold_120d,120,break_even_after_gain,break_even_after_gain__5a5e43a6,volatility_scaled,3933291d856e,"{""exit"":{""activation_gain_pct"":0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_120d__break_even_after_gain__activation_gain_pct0p08__volatility_scaled,"hold=120;exit=break_even_after_gain;params={""activation_gain_pct"":0.08};sizing=volatility_scaled",42f0c841c76bfaf5feab4d2a125fd232c1609fc3f8d72429dc4b5e66d05a3557
hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,break_even_after_gain__volatility_scaled,hold_120d,120,break_even_after_gain,break_even_after_gain__f83b16bb,volatility_scaled,2eac32eb5c35,"{""exit"":{""activation_gain_pct"":0.15},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_120d__break_even_after_gain__activation_gain_pct0p15__volatility_scaled,"hold=120;exit=break_even_after_gain;params={""activation_gain_pct"":0.15};sizing=volatility_scaled",a2dabcd6ef542b05308d7b5c0b32f0de4f198bae6526c0597c48e80259b440bc
hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,break_even_after_gain__volatility_scaled,hold_120d,120,break_even_after_gain,break_even_after_gain__cadd57b9,volatility_scaled,e5f060688d17,"{""exit"":{""activation_gain_pct"":0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_120d__break_even_after_gain__activation_gain_pct0p1__volatility_scaled,"hold=120;exit=break_even_after_gain;params={""activation_gain_pct"":0.1};sizing=volatility_scaled",c3993d02c78c867cfc6ee8b03bd8c3007613b1e59a2abf21ff0b4ce1072f781e
hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,fixed_stop__fixed_size,hold_20d,20,fixed_stop,fixed_stop__78286487,fixed_size,b01cd5550023,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_20d__fixed_stop__stop_loss_pctm0p05__fixed_size,"hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size",3ea4a3a2294e316c5bc610cfb2828bf6a877909714b5e43c93b0ecdf6dcbffbf
hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,fixed_stop__fixed_size,hold_20d,20,fixed_stop,fixed_stop__84933a9b,fixed_size,97e8db6270a9,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_20d__fixed_stop__stop_loss_pctm0p08__fixed_size,"hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size",b9722d07f2a20fe1d7c44154d5b43e9bf05f62956504236241e064ed3417882b
hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,fixed_stop__fixed_size,hold_20d,20,fixed_stop,fixed_stop__f30b1382,fixed_size,44806e673ca4,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_20d__fixed_stop__stop_loss_pctm0p1__fixed_size,"hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size",aac2427c9bacf080d5c852ad4e795bfd3ca98831ef38647a23946c49e69d6346
hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,fixed_stop__fixed_size,hold_40d,40,fixed_stop,fixed_stop__78286487,fixed_size,b01cd5550023,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_40d__fixed_stop__stop_loss_pctm0p05__fixed_size,"hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size",e36a18dad99de5aa4099e5aa75ca4b4c167de0df9b147849445cde936f602fe6
hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,fixed_stop__fixed_size,hold_40d,40,fixed_stop,fixed_stop__84933a9b,fixed_size,97e8db6270a9,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_40d__fixed_stop__stop_loss_pctm0p08__fixed_size,"hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size",2feeb5a312f42c6fb7b70a91e6fc90b166141b59251e123e5b4240062660b266
hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,fixed_stop__fixed_size,hold_40d,40,fixed_stop,fixed_stop__f30b1382,fixed_size,44806e673ca4,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_40d__fixed_stop__stop_loss_pctm0p1__fixed_size,"hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size",f44ff89817ce57edc02f2812141f0982acd336bde6639279a9841213710f60c6
hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,fixed_stop__fixed_size,hold_60d,60,fixed_stop,fixed_stop__78286487,fixed_size,b01cd5550023,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_60d__fixed_stop__stop_loss_pctm0p05__fixed_size,"hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size",d7adddd9c86d35e85ba1068ba4035bf716312c6edbecbcad30dae8759423e626
hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,fixed_stop__fixed_size,hold_60d,60,fixed_stop,fixed_stop__84933a9b,fixed_size,97e8db6270a9,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_60d__fixed_stop__stop_loss_pctm0p08__fixed_size,"hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size",4f6bd13a0180a20898175904e3fe53532ffdf81b2e5659764883f85c2efcdd03
hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,fixed_stop__fixed_size,hold_60d,60,fixed_stop,fixed_stop__f30b1382,fixed_size,44806e673ca4,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_60d__fixed_stop__stop_loss_pctm0p1__fixed_size,"hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size",877aa1f95a27542a6ce837c898e762aa1f79ab6fe78c9ff82455418c139f04d0
hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,fixed_stop__fixed_size,hold_120d,120,fixed_stop,fixed_stop__78286487,fixed_size,b01cd5550023,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_120d__fixed_stop__stop_loss_pctm0p05__fixed_size,"hold=120;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=fixed_size",81e0b4f41986015439e492c735f5af6f714e3dd5520113d29e71ec20ab14cd7a
hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,fixed_stop__fixed_size,hold_120d,120,fixed_stop,fixed_stop__84933a9b,fixed_size,97e8db6270a9,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_120d__fixed_stop__stop_loss_pctm0p08__fixed_size,"hold=120;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=fixed_size",2b7c4de0553fb38229816eda929babb7302922e1614b4baac465a6203f7d5c0e
hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,fixed_stop__fixed_size,hold_120d,120,fixed_stop,fixed_stop__f30b1382,fixed_size,44806e673ca4,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""position_weight"":1.0}}",True,True,,,hold_120d__fixed_stop__stop_loss_pctm0p1__fixed_size,"hold=120;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=fixed_size",8242f59ee801586cc31c0e2b87cc7a07f0fd70f755277e1d273b931a1365736f
hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,fixed_stop__volatility_scaled,hold_20d,20,fixed_stop,fixed_stop__78286487,volatility_scaled,85cd899bf841,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_20d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,"hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=volatility_scaled",3f9f8914f1f15531f0a1227737a6768f5a47f18e87c60e1ce7b900129b5c4666
hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,fixed_stop__volatility_scaled,hold_20d,20,fixed_stop,fixed_stop__84933a9b,volatility_scaled,0bbbc56d74b3,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_20d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,"hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=volatility_scaled",d4c897ff2f52f397ac5f8bd9f642d5852456631669eda991436a898e505fab6b
hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,fixed_stop__volatility_scaled,hold_20d,20,fixed_stop,fixed_stop__f30b1382,volatility_scaled,1263158fea99,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_20d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,"hold=20;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=volatility_scaled",f549aa5f29dab3c7228201dec907f7e1d95eef993e220b0a6f735bd17033fbc9
hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,fixed_stop__volatility_scaled,hold_40d,40,fixed_stop,fixed_stop__78286487,volatility_scaled,85cd899bf841,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_40d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,"hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=volatility_scaled",abfc1cdca62e3b79ad256fd37531313638ad5858e6dcf71e9fc1a37619b7dea8
hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,fixed_stop__volatility_scaled,hold_40d,40,fixed_stop,fixed_stop__84933a9b,volatility_scaled,0bbbc56d74b3,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_40d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,"hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=volatility_scaled",5179f8e6919b6a4721b16ed483a2f320650068bfb376ba50597410925e259cab
hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,fixed_stop__volatility_scaled,hold_40d,40,fixed_stop,fixed_stop__f30b1382,volatility_scaled,1263158fea99,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_40d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,"hold=40;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=volatility_scaled",e345b190f58eb3b40c5d191a0dd9b06394b4f5e3c72c0cf9c2a10d4ea3228d8e
hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,fixed_stop__volatility_scaled,hold_60d,60,fixed_stop,fixed_stop__78286487,volatility_scaled,85cd899bf841,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_60d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,"hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=volatility_scaled",77a963571fa09941345789dbd310d8b96b3187cc8ec90dcdddf9657f7f1b5229
hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,fixed_stop__volatility_scaled,hold_60d,60,fixed_stop,fixed_stop__84933a9b,volatility_scaled,0bbbc56d74b3,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_60d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,"hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=volatility_scaled",531ff4e410a9ac03e7f6a359e14d12302e0e5d35c55c80ae5240551b6d6d322f
hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,fixed_stop__volatility_scaled,hold_60d,60,fixed_stop,fixed_stop__f30b1382,volatility_scaled,1263158fea99,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_60d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,"hold=60;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=volatility_scaled",e3d8adbd7d90eaf938065796e691f7a6967eda54c8ce6da4646fd105172cd64f
hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,fixed_stop__volatility_scaled,hold_120d,120,fixed_stop,fixed_stop__78286487,volatility_scaled,85cd899bf841,"{""exit"":{""stop_loss_pct"":-0.05},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_120d__fixed_stop__stop_loss_pctm0p05__volatility_scaled,"hold=120;exit=fixed_stop;params={""stop_loss_pct"":-0.05};sizing=volatility_scaled",17482bf784ad8a8ab1d8207b83ca4a659524ad939694901d4c868f17c390f223
hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,fixed_stop__volatility_scaled,hold_120d,120,fixed_stop,fixed_stop__84933a9b,volatility_scaled,0bbbc56d74b3,"{""exit"":{""stop_loss_pct"":-0.08},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_120d__fixed_stop__stop_loss_pctm0p08__volatility_scaled,"hold=120;exit=fixed_stop;params={""stop_loss_pct"":-0.08};sizing=volatility_scaled",758248c73f68b0516688c2c311630e8f8ab6a5e9eeba626088829d60762fd62a
hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,fixed_stop__volatility_scaled,hold_120d,120,fixed_stop,fixed_stop__f30b1382,volatility_scaled,1263158fea99,"{""exit"":{""stop_loss_pct"":-0.1},""sizing"":{""max_weight"":1.0,""min_weight"":0.25,""target_vol"":0.02}}",True,True,,,hold_120d__fixed_stop__stop_loss_pctm0p1__volatility_scaled,"hold=120;exit=fixed_stop;params={""stop_loss_pct"":-0.1};sizing=volatility_scaled",f0813d613a461f10b3f9072d6b464af1a1bf88b0544bdccd4b86abf453ef0827
hold_20d__no_exit__none__fixed_size,no_exit__fixed_size,hold_20d,20,no_exit,no_exit,fixed_size,22b62f92b190,"{""exit"":{},""sizing"":{""position_weight"":1.0}}",True,True,,static_exit_offset_20__fixed_size,hold_20d__no_exit__none__fixed_size,hold=20;exit=no_exit;params={};sizing=fixed_size,801c2bbba85017ef68c916389e5f64c15fcd022fbd3ab7a8945e6a06c42a3db5
hold_40d__no_exit__none__fixed_size,no_exit__fixed_size,hold_40d,40,no_exit,no_exit,fixed_size,22b62f92b190,"{""exit"":{},""sizing"":{""position_weight"":1.0}}",True,True,,static_exit_offset_40__fixed_size,hold_40d__no_exit__none__fixed_size,hold=40;exit=no_exit;params={};sizing=fixed_size,eb4940a4aa1678d3b61001791265b70a045a787e717390a568d4517659855bf0
