variant,seed,feature,gain,split_count
plus_momentum,20260725,RSQR20,20.72630101442337,8
plus_momentum,20260725,CORD60,47.517049397109076,17
plus_momentum,20260725,CORD10,11.257884196937084,7
plus_momentum,20260725,CORR20,35.33876442909241,4
plus_momentum,20260725,KLOW,27.62764341570437,11
plus_momentum,20260725,close_momentum_20d,64.02008807659149,19
plus_momentum,20260726,RESI5,53.84930543601513,16
plus_momentum,20260726,WVMA5,25.83454103767872,8
plus_momentum,20260726,RSQR5,26.642499923706055,8
plus_momentum,20260726,KLEN,42.101684025488794,13
plus_momentum,20260726,RSQR10,8.759429931640625,2
plus_momentum,20260726,CORR5,27.69039934873581,7
plus_momentum,20260726,CORD5,4.200189828872681,2
plus_momentum,20260726,CORR10,7.002145051956177,4
plus_momentum,20260726,ROC60,28.396729350090027,10
plus_momentum,20260726,RESI10,20.490433111786842,6
plus_momentum,20260726,VSTD5,0.0,0
plus_momentum,20260726,RSQR60,13.167168110609055,6
plus_momentum,20260726,CORR60,8.036243677139282,3
plus_momentum,20260726,WVMA60,29.218355357646942,8
plus_momentum,20260726,STD5,32.712119817733765,5
plus_momentum,20260726,RSQR20,11.94263307750225,6
plus_momentum,20260726,CORD60,33.84439319372177,9
plus_momentum,20260726,CORD10,4.2960299253463745,2
plus_momentum,20260726,CORR20,25.30705550312996,6
plus_momentum,20260726,KLOW,4.918689966201782,3
plus_momentum,20260726,close_momentum_20d,38.84201002120972,6
plus_momentum,20260727,RESI5,64.14069065451622,23
plus_momentum,20260727,WVMA5,53.51129812002182,21
plus_momentum,20260727,RSQR5,52.132524844259024,22
plus_momentum,20260727,KLEN,84.57552766799927,20
plus_momentum,20260727,RSQR10,28.06649401318282,10
plus_momentum,20260727,CORR5,58.92021646350622,22
plus_momentum,20260727,CORD5,35.352315813302994,18
plus_momentum,20260727,CORR10,22.172653801739216,16
plus_momentum,20260727,ROC60,74.79793946444988,25
plus_momentum,20260727,RESI10,60.07674916088581,19
plus_momentum,20260727,VSTD5,11.712317883968353,6
plus_momentum,20260727,RSQR60,28.290460765361786,14
plus_momentum,20260727,CORR60,36.621732994914055,18
plus_momentum,20260727,WVMA60,59.6694111675024,23
plus_momentum,20260727,STD5,57.30991421639919,23
plus_momentum,20260727,RSQR20,14.911400258541107,7
plus_momentum,20260727,CORD60,76.76976057887077,31
plus_momentum,20260727,CORD10,10.107476584613323,9
plus_momentum,20260727,CORR20,42.98946687579155,13
plus_momentum,20260727,KLOW,46.56456533074379,12
plus_momentum,20260727,close_momentum_20d,102.00311869382858,33
plus_volume,20260723,RESI5,41.13962483406067,13
plus_volume,20260723,WVMA5,20.652512073516846,8
plus_volume,20260723,RSQR5,15.67912433668971,8
plus_volume,20260723,KLEN,43.52248640358448,16
plus_volume,20260723,RSQR10,21.10889995098114,8
plus_volume,20260723,CORR5,21.155800938606262,6
plus_volume,20260723,CORD5,11.817436933517456,5
plus_volume,20260723,CORR10,7.654719948768616,4
plus_volume,20260723,ROC60,36.11670768260956,11
plus_volume,20260723,RESI10,32.34125009179115,11
plus_volume,20260723,VSTD5,6.868859112262726,4
plus_volume,20260723,RSQR60,20.8916095495224,6
plus_volume,20260723,CORR60,10.474025692092255,8
plus_volume,20260723,WVMA60,32.49750906229019,11
plus_volume,20260723,STD5,31.848040103912354,10
plus_volume,20260723,RSQR20,11.612606048583984,3
plus_volume,20260723,CORD60,46.481219470500946,13
plus_volume,20260723,CORD10,8.91868706047535,4
plus_volume,20260723,CORR20,35.44405925273895,5
plus_volume,20260723,KLOW,20.953560680150986,5
plus_volume,20260723,volume_surprise_20d,55.75561010837555,12
plus_volume,20260724,RESI5,38.24699068069458,8
plus_volume,20260724,WVMA5,11.006973028182983,6
plus_volume,20260724,RSQR5,4.258230209350586,1
plus_volume,20260724,KLEN,33.56373977661133,6
plus_volume,20260724,RSQR10,3.8679299354553223,1
plus_volume,20260724,CORR5,16.791782543063164,5
plus_volume,20260724,CORD5,4.450819939374924,3
plus_volume,20260724,CORR10,6.036240994930267,3
plus_volume,20260724,ROC60,27.993123948574066,7
plus_volume,20260724,RESI10,22.076799631118774,6
plus_volume,20260724,VSTD5,0.0,0
plus_volume,20260724,RSQR60,4.169229865074158,2
plus_volume,20260724,CORR60,5.369926929473877,3
plus_volume,20260724,WVMA60,20.411400318145752,5
plus_volume,20260724,STD5,23.252059936523438,6
plus_volume,20260724,RSQR20,2.934782028198242,2
plus_volume,20260724,CORD60,28.13601016998291,6
plus_volume,20260724,CORD10,10.142940044403076,3
plus_volume,20260724,CORR20,18.624159336090088,2
plus_volume,20260724,KLOW,1.7609000205993652,1
plus_volume,20260724,volume_surprise_20d,40.867170333862305,7
plus_volume,20260725,RESI5,98.48130378127098,21
