family_id,signal_id,split,year,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,censored_or_invalid_rate,P_good,P_bad,P_neutral,P_good_plus_P_bad_plus_P_neutral,EV_R_diagnostic,sample_sufficiency_status
oscillator,single_oscillator,validation,2023,2784,1742,672,1013,57,1042,0.3742816091954023,0.3857634902411022,0.5815154994259472,0.032721010332950634,1.0,,sufficient
price_trend,single_price_trend,robustness,2024,4129,4123,1387,2675,61,6,0.001453136352627755,0.33640552995391704,0.6487994178995877,0.01479505214649527,1.0,,sufficient
price_trend,single_price_trend,robustness,2025,4241,1345,507,813,25,2896,0.6828578165526998,0.3769516728624535,0.6044609665427509,0.01858736059479554,1.0,,sufficient
price_trend,single_price_trend,train,2017,693,693,257,428,8,0,0.0,0.3708513708513709,0.6176046176046176,0.011544011544011544,1.0,,sufficient
price_trend,single_price_trend,train,2018,2055,2053,449,1575,29,2,0.0009732360097323601,0.21870433511933757,0.7671699951290794,0.01412566975158305,1.0,,sufficient
price_trend,single_price_trend,train,2019,3082,3081,1188,1861,32,1,0.0003244646333549643,0.38558909444985395,0.6040246673158065,0.0103862382343395,1.0,,sufficient
price_trend,single_price_trend,train,2020,5528,5518,2003,3475,40,10,0.001808972503617945,0.36299383834722726,0.6297571583907213,0.007249003262051468,1.0,,sufficient
price_trend,single_price_trend,train,2021,7236,3512,984,2508,20,3724,0.5146489773355445,0.28018223234624146,0.714123006833713,0.0056947608200455585,1.0,,sufficient
price_trend,single_price_trend,validation,2022,4396,4387,1276,3075,36,9,0.0020473157415832575,0.29085935719170275,0.7009345794392523,0.008206063369044905,1.0,,sufficient
price_trend,single_price_trend,validation,2023,3232,2187,651,1509,27,1045,0.32332920792079206,0.29766803840877915,0.6899862825788752,0.012345679012345678,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,robustness,2024,6639,6627,2204,4306,117,12,0.0018075011296882061,0.332578844122529,0.6497661083446507,0.01765504753282028,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,robustness,2025,7007,2445,948,1438,59,4562,0.6510632224917939,0.38773006134969323,0.5881390593047034,0.024130879345603273,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,train,2017,1242,1241,500,726,15,1,0.0008051529790660225,0.40290088638195004,0.5850120870265915,0.012087026591458501,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,train,2018,3741,3738,781,2910,47,3,0.0008019246190858059,0.20893525949705724,0.7784911717495987,0.012573568753344035,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,train,2019,5304,5303,2142,3103,58,1,0.0001885369532428356,0.40392230812747504,0.5851404865170658,0.010937205355459174,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,train,2020,8645,8632,3160,5413,59,13,0.0015037593984962407,0.366079703429101,0.6270852641334569,0.006835032437442076,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,train,2021,10824,5246,1478,3743,25,5578,0.5153362897265337,0.2817384674037362,0.7134959969500572,0.004765535646206634,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,validation,2022,7444,7433,2132,5237,64,11,0.001477700161203654,0.2868290057850128,0.7045607426341989,0.008610251580788377,1.0,,sufficient
pullback_drawdown,single_pullback_drawdown,validation,2023,5600,3642,1108,2473,61,1958,0.34964285714285714,0.3042284459088413,0.6790225151015925,0.016749038989566173,1.0,,sufficient
range_breakout,single_range_breakout,robustness,2024,9395,9385,3588,5563,234,10,0.0010643959552953698,0.382312200319659,0.5927543953116675,0.024933404368673414,1.0,,sufficient
range_breakout,single_range_breakout,robustness,2025,10400,4646,2030,2401,215,5754,0.5532692307692307,0.43693499784761086,0.5167886353852776,0.04627636676711149,1.0,,sufficient
range_breakout,single_range_breakout,train,2017,1594,1594,729,831,34,0,0.0,0.4573400250941029,0.5213299874529486,0.02132998745294856,1.0,,sufficient
range_breakout,single_range_breakout,train,2018,4788,4784,984,3695,105,4,0.000835421888053467,0.205685618729097,0.772366220735786,0.021948160535117056,1.0,,sufficient
range_breakout,single_range_breakout,train,2019,7100,7099,2768,4132,199,1,0.00014084507042253522,0.38991407240456405,0.5820538103958304,0.028032117199605577,1.0,,sufficient
range_breakout,single_range_breakout,train,2020,8546,8534,3318,4998,218,12,0.001404165691551603,0.3887977501757675,0.5856573705179283,0.025544879306304193,1.0,,sufficient
range_breakout,single_range_breakout,train,2021,10046,4845,1231,3463,151,5201,0.5177184949233525,0.25407636738906086,0.7147574819401444,0.031166150670794635,1.0,,sufficient
range_breakout,single_range_breakout,validation,2022,8151,8142,2458,5358,326,9,0.001104158998895841,0.30189142716777206,0.658069270449521,0.04003930238270695,1.0,,sufficient
range_breakout,single_range_breakout,validation,2023,8659,5040,2043,2848,149,3619,0.417946645109135,0.40535714285714286,0.5650793650793651,0.029563492063492063,1.0,,sufficient
volatility_band,single_volatility_band,robustness,2024,4213,4210,1692,2434,84,3,0.0007120816520294327,0.40190023752969123,0.578147268408551,0.019952494061757718,1.0,,sufficient
volatility_band,single_volatility_band,robustness,2025,4455,1665,700,894,71,2790,0.6262626262626263,0.42042042042042044,0.5369369369369369,0.04264264264264264,1.0,,sufficient
volatility_band,single_volatility_band,train,2017,784,784,317,448,19,0,0.0,0.40433673469387754,0.5714285714285714,0.02423469387755102,1.0,,sufficient
volatility_band,single_volatility_band,train,2018,1671,1669,369,1262,38,2,0.0011968880909634949,0.22109047333732773,0.756141402037148,0.022768124625524265,1.0,,sufficient
volatility_band,single_volatility_band,train,2019,2776,2775,1048,1685,42,1,0.00036023054755043225,0.37765765765765763,0.6072072072072072,0.015135135135135135,1.0,,sufficient
volatility_band,single_volatility_band,train,2020,3744,3737,1370,2312,55,7,0.0018696581196581197,0.3666042279903666,0.6186780840246187,0.014717687985014717,1.0,,sufficient
volatility_band,single_volatility_band,train,2021,4183,2033,518,1476,39,2150,0.5139851781018407,0.2547958681751107,0.7260206591244466,0.019183472700442697,1.0,,sufficient
volatility_band,single_volatility_band,validation,2022,3095,3090,922,2052,116,5,0.0016155088852988692,0.29838187702265373,0.6640776699029126,0.037540453074433655,1.0,,sufficient
volatility_band,single_volatility_band,validation,2023,3290,2060,730,1278,52,1230,0.3738601823708207,0.35436893203883496,0.6203883495145631,0.02524271844660194,1.0,,sufficient
volume_money,single_volume_money,robustness,2024,2879,2876,1069,1757,50,3,0.0010420284821118443,0.37169680111265646,0.6109179415855355,0.017385257301808066,1.0,,sufficient
volume_money,single_volume_money,robustness,2025,3432,1470,633,782,55,1962,0.5716783216783217,0.4306122448979592,0.5319727891156463,0.03741496598639456,1.0,,sufficient
volume_money,single_volume_money,train,2017,535,535,230,289,16,0,0.0,0.42990654205607476,0.5401869158878505,0.029906542056074768,1.0,,sufficient
volume_money,single_volume_money,train,2018,1651,1651,347,1269,35,0,0.0,0.21017565112053302,0.7686250757116899,0.021199273167777106,1.0,,sufficient
volume_money,single_volume_money,train,2019,2442,2442,978,1409,55,0,0.0,0.4004914004914005,0.576986076986077,0.02252252252252252,1.0,,sufficient
volume_money,single_volume_money,train,2020,2898,2894,1172,1639,83,4,0.0013802622498274672,0.40497581202487903,0.5663441603317207,0.02868002764340014,1.0,,sufficient
volume_money,single_volume_money,train,2021,3277,1566,439,1083,44,1711,0.5221238938053098,0.28033205619412516,0.6915708812260536,0.0280970625798212,1.0,,sufficient
volume_money,single_volume_money,validation,2022,2657,2652,803,1755,94,5,0.001881821603312006,0.30279034690799395,0.6617647058823529,0.03544494720965309,1.0,,sufficient
volume_money,single_volume_money,validation,2023,3035,1814,722,1047,45,1221,0.4023064250411862,0.3980154355016538,0.5771775082690187,0.024807056229327454,1.0,,sufficient
