same_day_bundle_key,same_day_family_count,context_bucket_id,split,year,checkpoint,survival_definition_version,pre_checkpoint_row_count,survivor_count,non_survivor_count,survivor_rate,survivor_label_denominator_count,survivor_P_good,survivor_P_bad,survivor_P_neutral,survivor_EV_R_diagnostic,non_survivor_label_denominator_count,non_survivor_P_good,non_survivor_P_bad,non_survivor_P_neutral,non_survivor_EV_R_diagnostic,survival_lift_good_vs_pre_checkpoint,survival_lift_bad_vs_pre_checkpoint,sample_sufficiency_status
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2025|family_count=6|risk=na,robustness,2025,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,616,376,240,0.6103896103896104,121,0.45454545454545453,0.49586776859504134,0.049586776859504134,,50,0.0,1.0,0.0,,0.13290802764486975,-0.14740708520612822,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2017|family_count=6|risk=na,train,2017,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,105,73,32,0.6952380952380952,73,0.5068493150684932,0.4657534246575342,0.0273972602739726,,32,0.0,1.0,0.0,,0.15446836268754077,-0.16281800391389434,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2018|family_count=6|risk=na,train,2018,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,219,160,59,0.730593607305936,160,0.3125,0.65,0.0375,,59,0.0,1.0,0.0,,0.08418949771689499,-0.09429223744292237,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2019|family_count=6|risk=na,train,2019,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,344,232,112,0.6744186046511628,232,0.4482758620689655,0.521551724137931,0.03017241379310345,,111,0.0,1.0,0.0,,0.1450688649844174,-0.15483311551221468,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2020|family_count=6|risk=na,train,2020,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,676,395,281,0.584319526627219,395,0.5518987341772152,0.4278481012658228,0.020253164556962026,,280,0.0,1.0,0.0,,0.2289357712142523,-0.23733708391936242,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=train|year=2021|family_count=6|risk=na,train,2021,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,754,390,364,0.5172413793103449,175,0.44571428571428573,0.5428571428571428,0.011428571428571429,,181,0.0,1.0,0.0,,0.2266131621187801,-0.23242375601926168,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2022|family_count=6|risk=na,validation,2022,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,468,304,164,0.6495726495726496,304,0.35855263157894735,0.618421052631579,0.023026315789473683,,163,0.0,1.0,0.0,,0.12514792065817645,-0.13318494308576578,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band,6,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2023|family_count=6|risk=na,validation,2023,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,421,305,116,0.7244655581947743,205,0.34146341463414637,0.6341463414634146,0.024390243902439025,,92,0.0,1.0,0.0,,0.10577317894391067,-0.11332840601133287,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=7|risk=na,robustness,2024,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,529,355,174,0.6710775047258979,355,0.4704225352112676,0.5098591549295775,0.01971830985915493,,174,0.0,1.0,0.0,,0.15473255411485926,-0.16121834979632044,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=7|risk=na,robustness,2025,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,692,488,204,0.7052023121387283,185,0.4864864864864865,0.4918918918918919,0.021621621621621623,,56,0.0,1.0,0.0,,0.11304250308399688,-0.11806661433217452,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2017|family_count=7|risk=na,train,2017,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,108,80,28,0.7407407407407407,80,0.45,0.5375,0.0125,,28,0.0,1.0,0.0,,0.1166666666666667,-0.11990740740740746,thin_bucket_report_only
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=7|risk=na,train,2018,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,242,192,50,0.7933884297520661,192,0.3177083333333333,0.6770833333333334,0.005208333333333333,,50,0.0,1.0,0.0,,0.06564221763085398,-0.06671831955922858,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=7|risk=na,train,2019,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,402,302,100,0.7512437810945274,302,0.5364238410596026,0.45695364238410596,0.006622516556291391,,100,0.0,1.0,0.0,,0.13343876643273694,-0.13508615861091888,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=7|risk=na,train,2020,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,585,401,184,0.6854700854700855,400,0.585,0.4125,0.0025,,182,0.0,1.0,0.0,,0.18293814432989686,-0.18371993127147768,sufficient
momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,7,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=7|risk=na,train,2021,T+3,entry_valid_and_no_minus5_before_or_at_checkpoint_v1,692,406,286,0.5867052023121387,194,0.5154639175257731,0.4690721649484536,0.015463917525773196,,126,0.0,1.0,0.0,,0.20296391752577314,-0.20905283505154637,sufficient
