original_bucket_key,original_sample_count,fallback_level,fallback_bucket_key,fallback_sample_count,fallback_reason
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=7|risk=na,242,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=7|risk=na,242,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=7|risk=na,402,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=7|risk=na,402,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=7|risk=na,582,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=7|risk=na,582,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=7|risk=na,320,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=7|risk=na,320,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=7|risk=na,478,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=7|risk=na,478,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=7|risk=na,351,same_day_bundle_key,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=7|risk=na,351,sufficient
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2024|family_count=6|risk=na,50,same_day_family_count,family_count=6|split=robustness|year=2024,50,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2025|family_count=6|risk=na,42,same_day_family_count,family_count=6|split=robustness|year=2025,42,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2017|family_count=6|risk=na,9,same_day_family_count,family_count=6|split=train|year=2017,9,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2018|family_count=6|risk=na,42,same_day_family_count,family_count=6|split=train|year=2018,42,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2019|family_count=6|risk=na,58,same_day_family_count,family_count=6|split=train|year=2019,58,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2020|family_count=6|risk=na,92,same_day_family_count,family_count=6|split=train|year=2020,92,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2021|family_count=6|risk=na,77,same_day_family_count,family_count=6|split=train|year=2021,77,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2022|family_count=6|risk=na,117,same_day_family_count,family_count=6|split=validation|year=2022,117,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2023|family_count=6|risk=na,42,same_day_family_count,family_count=6|split=validation|year=2023,42,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=robustness|year=2024|family_count=4|risk=na,19,same_day_family_count,family_count=4|split=robustness|year=2024,19,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=robustness|year=2025|family_count=4|risk=na,10,same_day_family_count,family_count=4|split=robustness|year=2025,10,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2017|family_count=4|risk=na,8,same_day_family_count,family_count=4|split=train|year=2017,8,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2018|family_count=4|risk=na,14,same_day_family_count,family_count=4|split=train|year=2018,14,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2019|family_count=4|risk=na,34,same_day_family_count,family_count=4|split=train|year=2019,34,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2020|family_count=4|risk=na,36,same_day_family_count,family_count=4|split=train|year=2020,36,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2021|family_count=4|risk=na,24,same_day_family_count,family_count=4|split=train|year=2021,24,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=validation|year=2022|family_count=4|risk=na,35,same_day_family_count,family_count=4|split=validation|year=2022,35,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=validation|year=2023|family_count=4|risk=na,24,same_day_family_count,family_count=4|split=validation|year=2023,24,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2017|family_count=5|risk=na,1,same_day_family_count,family_count=5|split=train|year=2017,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2020|family_count=5|risk=na,4,same_day_family_count,family_count=5|split=train|year=2020,4,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2021|family_count=5|risk=na,1,same_day_family_count,family_count=5|split=train|year=2021,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=validation|year=2022|family_count=5|risk=na,1,same_day_family_count,family_count=5|split=validation|year=2022,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=validation|year=2023|family_count=5|risk=na,0,same_day_family_count,family_count=5|split=validation|year=2023,0,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|volume_money|split=robustness|year=2025|family_count=6|risk=na,0,same_day_family_count,family_count=6|split=robustness|year=2025,0,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|volume_money|split=train|year=2021|family_count=6|risk=na,0,same_day_family_count,family_count=6|split=train|year=2021,0,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=robustness|year=2024|family_count=5|risk=na,10,same_day_family_count,family_count=5|split=robustness|year=2024,10,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=robustness|year=2025|family_count=5|risk=na,4,same_day_family_count,family_count=5|split=robustness|year=2025,4,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=train|year=2018|family_count=5|risk=na,2,same_day_family_count,family_count=5|split=train|year=2018,2,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=train|year=2019|family_count=5|risk=na,6,same_day_family_count,family_count=5|split=train|year=2019,6,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=train|year=2020|family_count=5|risk=na,11,same_day_family_count,family_count=5|split=train|year=2020,11,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=train|year=2021|family_count=5|risk=na,2,same_day_family_count,family_count=5|split=train|year=2021,2,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=validation|year=2022|family_count=5|risk=na,16,same_day_family_count,family_count=5|split=validation|year=2022,16,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volume_money|split=validation|year=2023|family_count=5|risk=na,2,same_day_family_count,family_count=5|split=validation|year=2023,2,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=robustness|year=2024|family_count=4|risk=na,11,same_day_family_count,family_count=4|split=robustness|year=2024,11,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=robustness|year=2025|family_count=4|risk=na,4,same_day_family_count,family_count=4|split=robustness|year=2025,4,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=train|year=2017|family_count=4|risk=na,1,same_day_family_count,family_count=4|split=train|year=2017,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=train|year=2018|family_count=4|risk=na,7,same_day_family_count,family_count=4|split=train|year=2018,7,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=train|year=2019|family_count=4|risk=na,9,same_day_family_count,family_count=4|split=train|year=2019,9,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=train|year=2020|family_count=4|risk=na,20,same_day_family_count,family_count=4|split=train|year=2020,20,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=train|year=2021|family_count=4|risk=na,22,same_day_family_count,family_count=4|split=train|year=2021,22,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=validation|year=2022|family_count=4|risk=na,22,same_day_family_count,family_count=4|split=validation|year=2022,22,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|split=validation|year=2023|family_count=4|risk=na,3,same_day_family_count,family_count=4|split=validation|year=2023,3,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=robustness|year=2024|family_count=5|risk=na,16,same_day_family_count,family_count=5|split=robustness|year=2024,16,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=robustness|year=2025|family_count=5|risk=na,8,same_day_family_count,family_count=5|split=robustness|year=2025,8,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=train|year=2017|family_count=5|risk=na,4,same_day_family_count,family_count=5|split=train|year=2017,4,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=train|year=2018|family_count=5|risk=na,9,same_day_family_count,family_count=5|split=train|year=2018,9,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=train|year=2019|family_count=5|risk=na,7,same_day_family_count,family_count=5|split=train|year=2019,7,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=train|year=2020|family_count=5|risk=na,14,same_day_family_count,family_count=5|split=train|year=2020,14,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=train|year=2021|family_count=5|risk=na,15,same_day_family_count,family_count=5|split=train|year=2021,15,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=validation|year=2022|family_count=5|risk=na,18,same_day_family_count,family_count=5|split=validation|year=2022,18,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|split=validation|year=2023|family_count=5|risk=na,13,same_day_family_count,family_count=5|split=validation|year=2023,13,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=6|risk=na,45,same_day_family_count,family_count=6|split=robustness|year=2024,45,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=6|risk=na,27,same_day_family_count,family_count=6|split=robustness|year=2025,27,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=train|year=2017|family_count=6|risk=na,11,same_day_family_count,family_count=6|split=train|year=2017,11,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=6|risk=na,33,same_day_family_count,family_count=6|split=train|year=2018,33,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=6|risk=na,52,same_day_family_count,family_count=6|split=train|year=2019,52,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=6|risk=na,71,same_day_family_count,family_count=6|split=train|year=2020,71,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=6|risk=na,42,same_day_family_count,family_count=6|split=train|year=2021,42,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=6|risk=na,65,same_day_family_count,family_count=6|split=validation|year=2022,65,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=6|risk=na,30,same_day_family_count,family_count=6|split=validation|year=2023,30,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=robustness|year=2024|family_count=5|risk=na,28,same_day_family_count,family_count=5|split=robustness|year=2024,28,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=robustness|year=2025|family_count=5|risk=na,15,same_day_family_count,family_count=5|split=robustness|year=2025,15,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=train|year=2017|family_count=5|risk=na,2,same_day_family_count,family_count=5|split=train|year=2017,2,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=train|year=2018|family_count=5|risk=na,24,same_day_family_count,family_count=5|split=train|year=2018,24,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=train|year=2019|family_count=5|risk=na,20,same_day_family_count,family_count=5|split=train|year=2019,20,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=train|year=2020|family_count=5|risk=na,39,same_day_family_count,family_count=5|split=train|year=2020,39,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=train|year=2021|family_count=5|risk=na,23,same_day_family_count,family_count=5|split=train|year=2021,23,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=validation|year=2022|family_count=5|risk=na,54,same_day_family_count,family_count=5|split=validation|year=2022,54,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|range_breakout|volume_money|split=validation|year=2023|family_count=5|risk=na,14,same_day_family_count,family_count=5|split=validation|year=2023,14,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|split=train|year=2020|family_count=3|risk=na,1,same_day_family_count,family_count=3|split=train|year=2020,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|split=train|year=2021|family_count=3|risk=na,2,same_day_family_count,family_count=3|split=train|year=2021,2,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|volatility_band|split=robustness|year=2024|family_count=4|risk=na,1,same_day_family_count,family_count=4|split=robustness|year=2024,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|volatility_band|split=train|year=2020|family_count=4|risk=na,1,same_day_family_count,family_count=4|split=train|year=2020,1,bucket_below_n_min
bundle=momentum_rps|oscillator|price_trend|volatility_band|split=validation|year=2022|family_count=4|risk=na,1,same_day_family_count,family_count=4|split=validation|year=2022,1,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=robustness|year=2024|family_count=4|risk=na,46,same_day_family_count,family_count=4|split=robustness|year=2024,46,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=robustness|year=2025|family_count=4|risk=na,21,same_day_family_count,family_count=4|split=robustness|year=2025,21,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=train|year=2017|family_count=4|risk=na,6,same_day_family_count,family_count=4|split=train|year=2017,6,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=train|year=2018|family_count=4|risk=na,32,same_day_family_count,family_count=4|split=train|year=2018,32,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=train|year=2019|family_count=4|risk=na,33,same_day_family_count,family_count=4|split=train|year=2019,33,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=train|year=2020|family_count=4|risk=na,26,same_day_family_count,family_count=4|split=train|year=2020,26,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=train|year=2021|family_count=4|risk=na,22,same_day_family_count,family_count=4|split=train|year=2021,22,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=validation|year=2022|family_count=4|risk=na,25,same_day_family_count,family_count=4|split=validation|year=2022,25,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|split=validation|year=2023|family_count=4|risk=na,19,same_day_family_count,family_count=4|split=validation|year=2023,19,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2024|family_count=5|risk=na,53,same_day_family_count,family_count=5|split=robustness|year=2024,53,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=robustness|year=2025|family_count=5|risk=na,46,same_day_family_count,family_count=5|split=robustness|year=2025,46,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=train|year=2017|family_count=5|risk=na,12,same_day_family_count,family_count=5|split=train|year=2017,12,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=train|year=2018|family_count=5|risk=na,17,same_day_family_count,family_count=5|split=train|year=2018,17,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=train|year=2019|family_count=5|risk=na,23,same_day_family_count,family_count=5|split=train|year=2019,23,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=train|year=2020|family_count=5|risk=na,22,same_day_family_count,family_count=5|split=train|year=2020,22,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=train|year=2021|family_count=5|risk=na,4,same_day_family_count,family_count=5|split=train|year=2021,4,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2022|family_count=5|risk=na,13,same_day_family_count,family_count=5|split=validation|year=2022,13,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|split=validation|year=2023|family_count=5|risk=na,28,same_day_family_count,family_count=5|split=validation|year=2023,28,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2024|family_count=6|risk=na,23,same_day_family_count,family_count=6|split=robustness|year=2024,23,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=robustness|year=2025|family_count=6|risk=na,14,same_day_family_count,family_count=6|split=robustness|year=2025,14,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2017|family_count=6|risk=na,3,same_day_family_count,family_count=6|split=train|year=2017,3,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2018|family_count=6|risk=na,9,same_day_family_count,family_count=6|split=train|year=2018,9,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=6|risk=na,15,same_day_family_count,family_count=6|split=train|year=2019,15,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=6|risk=na,9,same_day_family_count,family_count=6|split=train|year=2020,9,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=6|risk=na,3,same_day_family_count,family_count=6|split=train|year=2021,3,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=6|risk=na,15,same_day_family_count,family_count=6|split=validation|year=2022,15,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=6|risk=na,12,same_day_family_count,family_count=6|split=validation|year=2023,12,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2024|family_count=5|risk=na,12,same_day_family_count,family_count=5|split=robustness|year=2024,12,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2025|family_count=5|risk=na,7,same_day_family_count,family_count=5|split=robustness|year=2025,7,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=train|year=2017|family_count=5|risk=na,4,same_day_family_count,family_count=5|split=train|year=2017,4,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=train|year=2018|family_count=5|risk=na,11,same_day_family_count,family_count=5|split=train|year=2018,11,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=train|year=2019|family_count=5|risk=na,14,same_day_family_count,family_count=5|split=train|year=2019,14,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=train|year=2020|family_count=5|risk=na,5,same_day_family_count,family_count=5|split=train|year=2020,5,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=train|year=2021|family_count=5|risk=na,5,same_day_family_count,family_count=5|split=train|year=2021,5,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=validation|year=2022|family_count=5|risk=na,5,same_day_family_count,family_count=5|split=validation|year=2022,5,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|range_breakout|volume_money|split=validation|year=2023|family_count=5|risk=na,12,same_day_family_count,family_count=5|split=validation|year=2023,12,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|split=robustness|year=2024|family_count=3|risk=na,12,same_day_family_count,family_count=3|split=robustness|year=2024,12,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|split=robustness|year=2025|family_count=3|risk=na,9,same_day_family_count,family_count=3|split=robustness|year=2025,9,bucket_below_n_min
bundle=momentum_rps|oscillator|pullback_drawdown|split=train|year=2017|family_count=3|risk=na,3,same_day_family_count,family_count=3|split=train|year=2017,3,bucket_below_n_min
