context_bucket_id,same_day_bundle_key,split,year,same_day_family_count,entry_risk_pct_bucket,row_count,label_denominator_count,good_count,bad_count,neutral_count,censored_or_invalid_count,censored_or_invalid_rate,P_good,P_bad,P_neutral,P_good_plus_P_bad_plus_P_neutral,EV_R_diagnostic,sample_sufficiency_status,context_bucket_definition,context_source_fields,context_field_status,fallback_level
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,train,2019,7,na,402,402,162,238,2,0,0.0,0.40298507462686567,0.5920398009950248,0.004975124378109453,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2019|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,train,2020,7,na,585,582,234,347,1,3,0.005128205128205128,0.4020618556701031,0.5962199312714777,0.001718213058419244,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2020|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,train,2021,7,na,692,320,100,217,3,372,0.5375722543352601,0.3125,0.678125,0.009375,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=train|year=2021|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,validation,2022,7,na,481,478,129,347,2,3,0.006237006237006237,0.2698744769874477,0.7259414225941423,0.0041841004184100415,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2022|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=7|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money,validation,2023,7,na,516,351,119,229,3,165,0.31976744186046513,0.33903133903133903,0.6524216524216524,0.008547008547008548,1.0,,sufficient,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volatility_band|volume_money|split=validation|year=2023|family_count=7|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_bundle_key
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2024|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,robustness,2024,6,na,51,50,7,42,1,1,0.0196078431372549,0.14,0.84,0.02,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2024|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2025|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,robustness,2025,6,na,97,42,19,23,0,55,0.5670103092783505,0.4523809523809524,0.5476190476190477,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=robustness|year=2025|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2017|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,train,2017,6,na,9,9,4,5,0,0,0.0,0.4444444444444444,0.5555555555555556,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2017|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2018|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,train,2018,6,na,42,42,3,39,0,0,0.0,0.07142857142857142,0.9285714285714286,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2018|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2019|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,train,2019,6,na,58,58,16,42,0,0,0.0,0.27586206896551724,0.7241379310344828,0.0,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2019|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2020|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,train,2020,6,na,92,92,45,47,0,0,0.0,0.4891304347826087,0.5108695652173914,0.0,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2020|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2021|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,train,2021,6,na,160,77,28,49,0,83,0.51875,0.36363636363636365,0.6363636363636364,0.0,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=train|year=2021|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2022|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,validation,2022,6,na,117,117,35,80,2,0,0.0,0.29914529914529914,0.6837606837606838,0.017094017094017096,1.0,,thin_bucket_report_only,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2022|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2023|family_count=6|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money,validation,2023,6,na,59,42,12,30,0,17,0.288135593220339,0.2857142857142857,0.7142857142857143,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|range_breakout|volume_money|split=validation|year=2023|family_count=6|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=robustness|year=2024|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,robustness,2024,4,na,19,19,4,15,0,0,0.0,0.21052631578947367,0.7894736842105263,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=robustness|year=2024|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=robustness|year=2025|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,robustness,2025,4,na,33,10,2,8,0,23,0.696969696969697,0.2,0.8,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=robustness|year=2025|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2017|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,train,2017,4,na,8,8,2,5,1,0,0.0,0.25,0.625,0.125,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2017|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2018|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,train,2018,4,na,14,14,2,12,0,0,0.0,0.14285714285714285,0.8571428571428571,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2018|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2019|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,train,2019,4,na,34,34,19,15,0,0,0.0,0.5588235294117647,0.4411764705882353,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2019|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2020|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,train,2020,4,na,36,36,13,23,0,0,0.0,0.3611111111111111,0.6388888888888888,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2020|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2021|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,train,2021,4,na,62,24,9,15,0,38,0.6129032258064516,0.375,0.625,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=train|year=2021|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=validation|year=2022|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,validation,2022,4,na,35,35,9,26,0,0,0.0,0.2571428571428571,0.7428571428571429,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=validation|year=2022|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=validation|year=2023|family_count=4|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown,validation,2023,4,na,34,24,8,16,0,10,0.29411764705882354,0.3333333333333333,0.6666666666666666,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|split=validation|year=2023|family_count=4|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2017|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,train,2017,5,na,1,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2017|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2020|family_count=5|risk=na,momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band,train,2020,5,na,4,4,2,2,0,0,0.0,0.5,0.5,0.0,1.0,,too_sparse_use_fallback,bundle=momentum_rps|oscillator|price_trend|pullback_drawdown|volatility_band|split=train|year=2020|family_count=5|risk=na,split|year|same_day_family_count|same_day_bundle_key|entry_risk_pct_bucket,entry_risk_pct_bucket_unavailable_missing_ev_r,same_day_family_count
