baseline_family,family_id,grid_cell_id,split,unmatched_candidate_rate,baseline_reuse_rate,max_standardized_mean_difference_after_matching,decision_month_coverage_delta,instrument_coverage_delta,matched_baseline_primary_row_count,primary_enrichment_denominator_row_count,baseline_matching_quality_gate,residual_alpha_claim_allowed,positive_beta_exposure_claim_allowed,baseline_quality_blocks_residual_alpha_only,cell_eligible_for_selection_under_this_baseline,blocking_reason
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,train,0.02142857142857143,0.006092436974789894,0.975703488918131,0.049579831932773114,0.0006302521008403365,4760,4760,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__df9bf4d825ee,train,0.2901260504201681,0.0798319327731093,0.41688584564913955,0.023109243697478993,0.0025210084033613447,4760,4760,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,train,0.14892344497607657,0.010466507177033457,0.8365090117058774,0.03289473684210526,0.0038875598086124405,3344,3344,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,train,0.014952153110047847,0.002093301435406647,1.0253527650899965,0.07625598086124402,0.000598086124401914,3344,3344,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c4a7c88c7377,train,0.31309808612440193,0.07535885167464118,0.4288652300441751,0.03289473684210526,0.00388755980861244,3344,3344,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,train,0.11704834605597965,0.00992366412213741,0.8260304484906988,0.027735368956743004,0.0027989821882951653,3930,3930,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,train,0.019338422391857506,0.0017811704834606035,0.9243202890073533,0.0450381679389313,0.0007633587786259542,3930,3930,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__bbfebb00d125,train,0.2918575063613232,0.06717557251908401,0.39361817416987366,0.027735368956743004,0.002544529262086514,3930,3930,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,train,0.16556047197640117,0.011061946902654829,0.7942520083351681,0.04019174041297935,0.004424778761061947,2712,2712,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,train,0.01364306784660767,0.0011061946902655162,0.9805714867355727,0.07558997050147492,0.0011061946902654867,2712,2712,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__06d51c8b5f0a,train,0.32042772861356933,0.057890855457227164,0.4019054975277073,0.04019174041297935,0.003687315634218289,2712,2712,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,train,0.11185622317596566,0.010193133047210257,0.8685227430737532,0.02575107296137339,0.0037553648068669528,3728,3728,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,train,0.019581545064377683,0.0021459227467811592,0.9677765657403161,0.04774678111587983,0.0008047210300429185,3728,3728,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__69491bd81d41,train,0.29452789699570814,0.06840128755364805,0.4173889429486851,0.02575107296137339,0.0024141630901287556,3728,3728,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,train,0.15852713178294572,0.009302325581395321,0.8405096036294049,0.037209302325581395,0.003875968992248062,2580,2580,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,train,0.013565891472868217,0.0011627906976744429,1.002147867230473,0.07790697674418605,0.0007751937984496124,2580,2580,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__fe749d056e5e,train,0.3201550387596899,0.06162790697674414,0.39274771236127715,0.037209302325581395,0.003875968992248062,2580,2580,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,train,0.11929677689409796,0.00753453327752196,0.8398641378440672,0.0301381331100879,0.0033486814566764337,2389,2389,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,train,0.015487651737128506,0.0004185851820845965,0.927747686911624,0.0703223105902051,0.0008371703641691084,2389,2389,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2f9c26c9f622,train,0.2959397237337798,0.05357890330682291,0.4414739165395005,0.0301381331100879,0.0037672666387609877,2389,2389,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,train,0.16737674984783932,0.0066950699939135605,0.8065539394371677,0.04382227632379793,0.004869141813755326,1643,1643,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,train,0.010346926354230066,0.0,0.9770214199624931,0.1046865489957395,0.0006086427267194159,1643,1643,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8570f56b69e0,train,0.3359707851491175,0.04869141813755329,0.40809665529488065,0.04382227632379793,0.005477784540474741,1643,1643,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,train,0.11780104712041885,0.003926701570680646,0.8777120495979793,0.029232111692844676,0.0034904013961605585,2292,2292,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,train,0.015706806282722512,0.0008726003490401313,0.9991852536480577,0.07111692844677138,0.0008726003490401397,2292,2292,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__48d651aca9d1,train,0.29799301919720766,0.053664921465968574,0.428947261268323,0.029232111692844676,0.003926701570680628,2292,2292,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,train,0.1648700063411541,0.007609384908053296,0.7982438527556232,0.0424857324032974,0.004438807863031071,1577,1577,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,train,0.01077996195307546,0.0,1.0476100139609803,0.10906785034876348,0.000634115409004439,1577,1577,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__d72782df07a8,train,0.3373493975903614,0.05326569435637285,0.4519577961460173,0.0424857324032974,0.004438807863031072,1577,1577,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,train,0.11407086413459087,0.019755289319398406,0.7631078886640195,0.024343614580678054,0.0033137904664797347,7846,7846,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,train,0.023069079785878153,0.009176650522559227,0.8556153562308784,0.037471322967117,0.0007647208768799389,7846,7846,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8a99080f1bc1,train,0.2897017588580168,0.11164924802447107,0.32603207145467217,0.024343614580678054,0.0019118021921998474,7846,7846,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,train,0.1554054054054054,0.02187055476529165,0.6924633993470487,0.03396159317211949,0.004089615931721195,5624,5624,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,train,0.016891891891891893,0.004267425320056861,0.8848568161056409,0.06241109530583215,0.0007112375533428165,5624,5624,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,train,0.3152560455192034,0.09566145092460887,0.32878407745985966,0.03396159317211949,0.0028449502133712657,5624,5624,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,train,0.10504908835904628,0.017531556802244053,0.8457292592145325,0.022159887798036466,0.0032258064516129032,7130,7130,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,train,0.02314165497896213,0.0072931276297335534,0.9182604544808269,0.04207573632538569,0.0007012622720897616,7130,7130,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,train,0.2894810659186536,0.11893408134642358,0.3661573087406722,0.022159887798036466,0.0025245441795231417,7130,7130,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,train,0.14437034131031778,0.014907806983130656,0.8011043520374036,0.030992546096508436,0.004119262455865046,5098,5098,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,train,0.01726167124362495,0.002942330325617859,0.9352861643051933,0.06845821890937623,0.0007846214201647705,5098,5098,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,train,0.3158101216163201,0.10376618281679095,0.3761625159109667,0.030992546096508436,0.00294233032561789,5098,5098,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,train,0.11664544875875239,0.013844684914067429,0.7448802053004475,0.02498408656906429,0.0023870146403564612,6284,6284,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,train,0.022278803309993635,0.006524506683641018,0.869525271356014,0.04105665181413113,0.0009548058561425843,6284,6284,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,train,0.29057924888605985,0.09707192870782944,0.3462740161531637,0.02498408656906429,0.0020687460216422663,6284,6284,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,train,0.16206428248076052,0.015617926663648696,0.6962192315166056,0.03553644182888185,0.0031688546853779987,4418,4418,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,train,0.016976007243096423,0.0031688546853779753,0.8658756358984308,0.06428248076052512,0.0009053870529651426,4418,4418,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,train,0.3205070167496605,0.08216387505658673,0.3547952841366492,0.03553644182888185,0.0031688546853779987,4418,4418,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,train,0.10869186552865355,0.013586483191081689,0.8335750990958068,0.02299251001567671,0.002961156592928061,5741,5741,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,train,0.02264413865180282,0.005573941821982231,0.9276733977655387,0.0416303779829298,0.000870928409684724,5741,5741,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,train,0.29071590315276086,0.09632468211113043,0.3655216980125046,0.02299251001567671,0.0020902281832433376,5741,5741,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,train,0.15083105929049864,0.011411560406846988,0.7758898826098246,0.03249813941949888,0.003225006201935004,4031,4031,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,train,0.017117340610270405,0.0034730836020838707,0.9570361279776844,0.0699578268419747,0.0007442322004465393,4031,4031,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,train,0.32076407839245846,0.08633093525179858,0.373096188969543,0.03249813941949888,0.0032250062019350038,4031,4031,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,train,0.12324929971988796,0.010949834479246245,0.7851267569230044,0.02648332060096766,0.0030557677616501145,3927,3927,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,train,0.01935319582378406,0.004074357015533492,0.8452473053276939,0.05551311433664375,0.0010185892538833714,3927,3927,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,train,0.2994652406417112,0.07053730583142348,0.3675826243874738,0.02648332060096766,0.0033104150751209578,3927,3927,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,train,0.17296296296296296,0.010740740740740717,0.72343537943209,0.03740740740740741,0.0029629629629629632,2700,2700,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,train,0.015185185185185185,0.001481481481481528,0.9462893265937472,0.08925925925925926,0.0007407407407407407,2700,2700,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,train,0.34074074074074073,0.06074074074074076,0.3901314045504667,0.03740740740740741,0.003703703703703704,2700,2700,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,train,0.11654755360087961,0.011269928532160578,0.8460230812394302,0.028037383177570093,0.0024738867509620666,3638,3638,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,train,0.019241341396371632,0.004947773501924102,0.9128590226638439,0.05607476635514019,0.0010995052226498076,3638,3638,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,train,0.29741616272677296,0.07284222100054971,0.395980488383139,0.028037383177570093,0.002748763056624519,3638,3638,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,train,0.1632571199358203,0.005214600882470943,0.7407781815428344,0.03730445246690734,0.003610108303249098,2493,2493,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,train,0.0152426795026073,0.002406738868832692,0.9788385495216919,0.09386281588447654,0.0008022462896109105,2493,2493,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,train,0.3397513036502206,0.06498194945848379,0.4233013307044043,0.03730445246690734,0.0036101083032490976,2493,2493,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,train,0.11367846348834942,0.02759091352247245,0.6934542558177226,0.02456858730622989,0.0027298430340255437,10257,10257,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,train,0.022618699424783076,0.01247928244125962,0.793916735452461,0.030808228526859705,0.000584966364434045,10257,10257,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,train,0.27980891098761823,0.12908257775177923,0.2970118995965957,0.02456858730622989,0.001949887881446817,10257,10257,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,train,0.15512540894220284,0.024809160305343525,0.6126723889976641,0.03435114503816794,0.0028625954198473287,7336,7336,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,train,0.01772082878953108,0.005725190839694694,0.8316644913550965,0.05384405670665213,0.0005452562704471102,7336,7336,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,train,0.30438931297709926,0.11164122137404575,0.29446426993349994,0.03435114503816794,0.0028625954198473287,7336,7336,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,train,0.10139187507072536,0.019689940024895325,0.7939730633050516,0.022745275545999772,0.0033948172456716077,8837,8837,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,train,0.023084757270566934,0.01052393346158198,0.9008506388514946,0.036777186828109085,0.0005658028742786014,8837,8837,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,train,0.2773565689713704,0.13115310625777976,0.34378709360298065,0.022745275545999772,0.0016974086228358038,8837,8837,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,train,0.13913455464308275,0.018477574226152926,0.7500227487576707,0.0317435249526216,0.003158559696778269,6332,6332,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,train,0.018793430195830702,0.004895767530006312,0.9241657115956766,0.060170562223626024,0.0006317119393556538,6332,6332,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,train,0.3008528111181301,0.12207833228048015,0.3345375598578651,0.0317435249526216,0.002368919772583702,6332,6332,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,train,0.11698855947841062,0.02042071595522199,0.6869665567666378,0.02497232131873539,0.0024603272235207284,8129,8129,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,train,0.022388977734038626,0.008734161643498606,0.7980838290933843,0.036904908352810926,0.0007380981670562184,8129,8129,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,train,0.28736621970722104,0.10567105425021528,0.3154368403993652,0.02497232131873539,0.001968261778816583,8129,8129,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,train,0.16304728546409808,0.020490367775831908,0.6149251756235986,0.03555166374781086,0.002626970227670753,5710,5710,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,train,0.017513134851138354,0.004728546409807355,0.8066655602672739,0.052889667250437825,0.0007005253940455342,5710,5710,fail,False,True,True,True,baseline_quality_threshold_failed
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,train,0.31418563922942205,0.09544658493870406,0.31362468649616565,0.03555166374781086,0.0021015761821366026,5710,5710,fail,False,True,True,True,baseline_quality_threshold_failed
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__b07c28a6982d,train,0.10626857223715862,0.019102872506013835,0.7913488105476391,0.02363096080373567,0.002405546908164709,7067,7067,fail,False,True,True,True,baseline_quality_threshold_failed
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__b07c28a6982d,train,0.023489458044431866,0.007216640724494128,0.8908635213299746,0.03778123673411631,0.0007075137965190322,7067,7067,fail,False,True,True,True,baseline_quality_threshold_failed
