baseline_family,family_id,grid_cell_id,split,baseline_eligible_universe_row_n,requested_same_budget_row_n,materialized_baseline_row_n,unmatched_candidate_n,baseline_sample_id_n,membership_frozen_before_label_readout,matching_bucket_frozen_before_label_readout,baseline_forward_label_read_after_membership_freeze,baseline_label_anchor_type,ready_made_event_anchored_label_used,baseline_materialization_gate,blocking_reason
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,train,433131,5624,5624,874,5611,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,train,433131,5624,5624,95,5621,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f451e23c2cad,train,433131,5624,5624,1265,5614,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,train,433131,7130,7130,749,7122,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,train,433131,7130,7130,157,7124,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__c234c2537c98,train,433131,7130,7130,1420,7115,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,train,433131,5098,5098,736,5084,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,train,433131,5098,5098,88,5095,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__6e73278055d6,train,433131,5098,5098,1116,5082,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,train,433131,6284,6284,733,6271,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,train,433131,6284,6284,135,6278,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__8bf4289d0b26,train,433131,6284,6284,1250,6272,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,train,433131,4418,4418,716,4415,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,train,433131,4418,4418,75,4418,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__88578d197de3,train,433131,4418,4418,1001,4407,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,train,433131,5741,5741,624,5736,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,train,433131,5741,5741,125,5735,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__19370b2e8696,train,433131,5741,5741,1117,5729,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,train,433131,4031,4031,608,4026,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,train,433131,4031,4031,69,4031,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__2a2c8cde859e,train,433131,4031,4031,883,4026,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,train,433131,3927,3927,484,3920,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,train,433131,3927,3927,76,3926,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__e6ec9b1cdd19,train,433131,3927,3927,778,3923,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,train,433131,2700,2700,467,2696,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,train,433131,2700,2700,41,2700,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f41161664797,train,433131,2700,2700,631,2695,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,train,433131,3638,3638,424,3635,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,train,433131,3638,3638,70,3637,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__21847a6e47c6,train,433131,3638,3638,704,3637,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,train,433131,2493,2493,407,2491,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,train,433131,2493,2493,38,2493,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__5bd8bff20be2,train,433131,2493,2493,567,2491,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,train,433131,10257,10257,1166,10230,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,train,433131,10257,10257,222,10245,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__adbeea5b4a1d,train,433131,10257,10257,2031,10216,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,train,433131,7336,7336,1138,7319,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,train,433131,7336,7336,130,7334,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__ec8bbfd09c0b,train,433131,7336,7336,1620,7312,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,train,433131,8837,8837,896,8819,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,train,433131,8837,8837,194,8828,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__29e0d33ff5b8,train,433131,8837,8837,1693,8809,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,train,433131,6332,6332,881,6318,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,train,433131,6332,6332,119,6332,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__78b1ad2aec32,train,433131,6332,6332,1335,6312,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,train,433131,8129,8129,951,8112,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,train,433131,8129,8129,173,8119,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__9b5bcec15340,train,433131,8129,8129,1602,8102,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,train,433131,5710,5710,931,5695,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,train,433131,5710,5710,100,5710,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__70011ea98696,train,433131,5710,5710,1292,5694,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__b07c28a6982d,train,433131,7067,7067,751,7055,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__b07c28a6982d,train,433131,7067,7067,157,7055,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__b07c28a6982d,train,433131,7067,7067,1355,7047,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0f3866bd844f,train,433131,4972,4972,737,4963,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0f3866bd844f,train,433131,4972,4972,91,4970,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__0f3866bd844f,train,433131,4972,4972,1075,4961,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__a4ad4a4db78c,train,433131,5016,5016,628,5011,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__a4ad4a4db78c,train,433131,5016,5016,95,5014,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__a4ad4a4db78c,train,433131,5016,5016,982,5009,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f3350859dd27,train,433131,3469,3469,608,3466,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f3350859dd27,train,433131,3469,3469,54,3469,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__f3350859dd27,train,433131,3469,3469,810,3465,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__126a0d3d0ce3,train,433131,4458,4458,515,4453,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__126a0d3d0ce3,train,433131,4458,4458,87,4457,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__126a0d3d0ce3,train,433131,4458,4458,847,4452,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__367243113bfc,train,433131,3080,3080,497,3075,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__367243113bfc,train,433131,3080,3080,50,3080,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B1_near_120d_high_plus_volume_expansion,B1-near-120d-high-plus-volume-expansion__367243113bfc,train,433131,3080,3080,690,3076,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__31226d09f5ea,train,433131,13114,13114,1585,13072,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__31226d09f5ea,train,433131,13114,13114,463,13070,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__31226d09f5ea,train,433131,13114,13114,2995,13036,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__e76f8d277b6e,train,433131,7812,7812,1408,7777,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__e76f8d277b6e,train,433131,7812,7812,265,7803,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__e76f8d277b6e,train,433131,7812,7812,2142,7786,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__57543f0e85fd,train,433131,12780,12780,1574,12737,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__57543f0e85fd,train,433131,12780,12780,454,12739,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__57543f0e85fd,train,433131,12780,12780,2962,12679,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__10a231449c89,train,433131,7776,7776,1402,7752,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__10a231449c89,train,433131,7776,7776,263,7765,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__10a231449c89,train,433131,7776,7776,2134,7736,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__c7e7179c7b8f,train,433131,10142,10142,1289,10111,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__c7e7179c7b8f,train,433131,10142,10142,397,10116,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__c7e7179c7b8f,train,433131,10142,10142,2526,10091,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__b9c9d1299022,train,433131,6055,6055,1134,6044,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__b9c9d1299022,train,433131,6055,6055,224,6049,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__b9c9d1299022,train,433131,6055,6055,1779,6034,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__8a6c15a34460,train,433131,9978,9978,1281,9953,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__8a6c15a34460,train,433131,9978,9978,395,9946,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__8a6c15a34460,train,433131,9978,9978,2504,9935,True,True,True,executable_next_open_anchored,False,pass,
calendar_time_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__4845f366eae6,train,433131,6038,6038,1131,6024,True,True,True,executable_next_open_anchored,False,pass,
instrument_matched_random_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__4845f366eae6,train,433131,6038,6038,223,6031,True,True,True,executable_next_open_anchored,False,pass,
liquidity_size_volatility_matched_same_budget,B2_relative_strength_breakout,B2-relative-strength-breakout__4845f366eae6,train,433131,6038,6038,1773,6020,True,True,True,executable_next_open_anchored,False,pass,
