input_id,path,required,status,sha256,row_count,loaded_in_full_run,loaded_row_count,loaded_column_count,loaded_schema_fingerprint
d_membership,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/local_cache/post_replay_event_to_episode_retention_source/post_replay_event_episode_membership.parquet,True,available,77979d5324d49a3522d8ad7a25aa67fa88639f7d49206de8c2e39d6f39e8b17e,357450,False,,,
d_scope_retention,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/post_replay_event_to_episode_retention_source/post_replay_scope_retention_by_split_regime.csv,True,available,d097883a4e36283dff768f42db181860e09f145a8123e30378eb7e61542b6ed8,990,False,,,
d_label_leakage_audit,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/post_replay_event_to_episode_retention_source/post_replay_label_leakage_audit.csv,True,available,12a51752e7ff76194bbc4bb1bab4c7159c02c74bf9d950d4a5b4e1cfd2f3c562,6,False,,,
e_risk_on_cost_rejector_feature_contract,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_feature_contract.csv,True,available,824a4f1247dcde3b0901921982a4065b4d920e25f1d172740796152f31f8e196,51,False,,,
e_risk_on_cost_rejector_model_registry,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_model_registry.csv,True,available,c3e565fb83923e0ec797968c779e54a3a9d955259e18b9562a963d122a8d6739,6,False,,,
e_risk_on_cost_rejector_oos_separability,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_oos_separability.csv,True,available,5cbb187d8d01b47ee15091ec8ceb67d2847c336f19705cf9481df734ab284350,18,False,,,
e_risk_on_cost_rejector_threshold_frontier,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_threshold_frontier.csv,True,available,68fabb2b499e56df81ff9b7e90e76f8a998322a8d7df865f72cb9311e2f0d1c6,54,False,,,
e_risk_on_cost_rejector_cost_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_cost_readout.csv,True,available,0dab8ef3e2eae46aea77aaa29972b783553826d31b9e6885ee816fdb555dff1d,3,False,,,
e_risk_on_cost_rejector_post_filter_retention_by_split,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_post_filter_retention_by_split.csv,True,available,1d30c9c1d1e8d3b172e8b0eab6b7755781a63cdbe28a0f72b9164af2f39c75c4,3,False,,,
e_risk_on_cost_rejector_e1_missed_retention,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_e1_missed_retention.csv,True,available,827ec4f78982b91725e958c25b04888dad5153189c3f044606425bf628620cb5,3,False,,,
e_risk_on_cost_rejector_density_readout,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_density_readout.csv,True,available,fb0da63d42da00d07f2b10724049c95825ce873b76432d80fceb2dbcce1026c2,1,False,,,
e_risk_on_cost_rejector_event_scores,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_event_scores.csv.gz,True,available,82035f0431fa4f2ac47bd89ada50acc7f36ffec44cd80f0f38d18a40ef59c86b,120150,False,,,
e_risk_on_cost_rejector_selected_events,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_selected_events.csv.gz,True,available,7e28f2aea103e4d53fe0a8d435302897b0b64275ebf2e70cfd950a8f1d158f67,25069,False,,,
e_risk_on_cost_rejector_rejected_events,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/08_risk_on_transition_recall_exploration_v0/outputs/publishable/tables/risk_on_post_filter_cost_rejector/risk_on_cost_rejector_rejected_events.csv.gz,True,available,eb920eea8f3df66ec643f79205c8282143d04b0414c11c84f35a24b611586f0b,5721,False,,,
