late_stage_bucket,scope_id,split,market_regime_bucket,event_n,selected_survival_candidate_label,selected_upper_barrier_pct,selected_lower_barrier_pct,selected_horizon_sessions,selected_upper_first_n,selected_upper_first_rate,selected_lower_first_n,selected_lower_first_rate,selected_neutral_n,selected_neutral_rate,expected_r_multiple_proxy,bigwinner_enrichment_ratio,late_stage_feature_policy_status
near_60d_high,regime_transition,robustness,transition,480,survival_U0.10_L0.20_H120,0.1,-0.2,120,348,0.725,78,0.1625,52,0.10833333333333334,0.1691238541668749,1.2013348164627362,pass
near_60d_high,regime_risk_off,robustness,risk_off,455,survival_U0.10_L0.20_H120,0.1,-0.2,120,371,0.8153846153846154,44,0.0967032967032967,40,0.08791208791208792,0.2893874930161606,1.0356394129979036,pass
near_120d_high,all_c0,all,all,10459,survival_U0.10_L0.20_H120,0.1,-0.2,120,6764,0.6467157472033656,2758,0.26369633808203463,933,0.0892054689740893,0.032151838545395967,1.3125973481471043,pass
near_120d_high,regime_risk_on,all,risk_on,6837,survival_U0.10_L0.20_H120,0.1,-0.2,120,4388,0.6418019599239433,1895,0.2771683486909463,553,0.08088342840427087,0.017168909697890075,1.3066281245502087,pass
near_120d_high,regime_transition,all,transition,2212,survival_U0.10_L0.20_H120,0.1,-0.2,120,1381,0.6243218806509946,568,0.25678119349005424,260,0.11754068716094032,0.020436989361558664,1.3955055271884218,pass
near_120d_high,regime_risk_off,all,risk_off,1410,survival_U0.10_L0.20_H120,0.1,-0.2,120,995,0.7056737588652482,295,0.20921985815602837,120,0.0851063829787234,0.12314574170046465,1.2753768844221103,pass
near_120d_high,all_c0,train,all,5198,survival_U0.10_L0.20_H120,0.1,-0.2,120,3388,0.6517891496729511,1484,0.28549442093112737,326,0.06271642939592151,0.0182246558833891,1.2589265250543613,pass
near_120d_high,regime_risk_on,train,risk_on,3693,survival_U0.10_L0.20_H120,0.1,-0.2,120,2340,0.6336311941510967,1127,0.3051719469266179,226,0.06119685892228541,-0.01164366276033946,1.2534859314726572,pass
near_120d_high,regime_transition,train,transition,889,survival_U0.10_L0.20_H120,0.1,-0.2,120,643,0.7232845894263217,197,0.2215973003374578,49,0.05511811023622047,0.12091502709405243,1.231204095764607,pass
near_120d_high,regime_risk_off,train,risk_off,616,survival_U0.10_L0.20_H120,0.1,-0.2,120,405,0.6574675324675324,160,0.2597402597402597,51,0.08279220779220779,0.04908822852139215,1.394238683127572,pass
near_120d_high,all_c0,validation,all,2128,survival_U0.10_L0.20_H120,0.1,-0.2,120,1152,0.5413533834586466,632,0.29699248120300753,344,0.16165413533834586,-0.06930577959946607,1.5429738562091504,pass
near_120d_high,regime_risk_on,validation,risk_on,850,survival_U0.10_L0.20_H120,0.1,-0.2,120,476,0.56,251,0.2952941176470588,123,0.14470588235294118,-0.052423701303062606,1.4976958525345623,pass
near_120d_high,regime_transition,validation,transition,850,survival_U0.10_L0.20_H120,0.1,-0.2,120,397,0.46705882352941175,283,0.33294117647058824,170,0.2,-0.15662813438658596,1.7247411139098796,pass
near_120d_high,regime_risk_off,validation,risk_off,428,survival_U0.10_L0.20_H120,0.1,-0.2,120,279,0.6518691588785047,98,0.22897196261682243,51,0.1191588785046729,0.07058729287041457,1.363600159299084,pass
near_120d_high,all_c0,robustness,all,3133,survival_U0.10_L0.20_H120,0.1,-0.2,120,2224,0.7098627513565273,642,0.2049154165336738,263,0.08394510054261091,0.12428840194884054,1.2525385126681263,pass
near_120d_high,regime_risk_on,robustness,risk_on,2294,survival_U0.10_L0.20_H120,0.1,-0.2,120,1572,0.6852659110723627,517,0.22537053182214473,204,0.08892763731473409,0.08937063208735864,1.3023748939779474,pass
near_120d_high,regime_transition,robustness,transition,473,survival_U0.10_L0.20_H120,0.1,-0.2,120,341,0.7209302325581395,88,0.18604651162790697,41,0.08668076109936575,0.15060800987589054,1.2021505376344086,pass
near_120d_high,regime_risk_off,robustness,risk_off,366,survival_U0.10_L0.20_H120,0.1,-0.2,120,311,0.8497267759562842,37,0.10109289617486339,18,0.04918032786885246,0.3092507805462846,1.0507579237482774,pass
extended_20d,all_c0,all,all,4086,survival_U0.10_L0.20_H120,0.1,-0.2,120,2693,0.6590797846304455,1322,0.3235438081253059,71,0.017376407244248653,-0.00041271966685344375,1.1637594220985297,pass
extended_20d,regime_risk_on,all,risk_on,2876,survival_U0.10_L0.20_H120,0.1,-0.2,120,1883,0.6547287899860917,945,0.32858136300417246,48,0.016689847009735744,-0.007488534528989967,1.1423740897285737,pass
extended_20d,regime_transition,all,transition,785,survival_U0.10_L0.20_H120,0.1,-0.2,120,525,0.6687898089171974,244,0.310828025477707,16,0.02038216560509554,0.01647245430105067,1.2189440993788818,pass
extended_20d,regime_risk_off,all,risk_off,425,survival_U0.10_L0.20_H120,0.1,-0.2,120,285,0.6705882352941176,133,0.3129411764705882,7,0.01647058823529412,0.016281826165381628,1.2781954887218043,pass
extended_20d,all_c0,train,all,2264,survival_U0.10_L0.20_H120,0.1,-0.2,120,1480,0.6537102473498233,754,0.3330388692579505,30,0.013250883392226149,-0.011176074978459776,1.1791666666666667,pass
extended_20d,regime_risk_on,train,risk_on,1671,survival_U0.10_L0.20_H120,0.1,-0.2,120,1073,0.642130460801915,571,0.3417115499700778,27,0.01615798922800718,-0.0271729054288412,1.1394994658241084,pass
extended_20d,regime_transition,train,transition,395,survival_U0.10_L0.20_H120,0.1,-0.2,120,282,0.7139240506329114,113,0.28607594936708863,0,0.0,0.07088607594936709,1.1896434470028174,pass
extended_20d,regime_risk_off,train,risk_off,198,survival_U0.10_L0.20_H120,0.1,-0.2,120,125,0.6313131313131313,70,0.35353535353535354,3,0.015151515151515152,-0.039882367573935824,1.584,pass
extended_20d,all_c0,validation,all,672,survival_U0.10_L0.20_H120,0.1,-0.2,120,411,0.6116071428571429,245,0.3645833333333333,16,0.023809523809523808,-0.06855347612358234,1.0900243309002433,pass
extended_20d,regime_risk_on,validation,risk_on,218,survival_U0.10_L0.20_H120,0.1,-0.2,120,122,0.5596330275229358,92,0.42201834862385323,4,0.01834862385321101,-0.14648548161881209,0.8934426229508197,pass
extended_20d,regime_transition,validation,transition,277,survival_U0.10_L0.20_H120,0.1,-0.2,120,161,0.5812274368231047,107,0.3862815884476534,9,0.032490974729241874,-0.10835978983386887,1.1469979296066255,pass
extended_20d,regime_risk_off,validation,risk_off,177,survival_U0.10_L0.20_H120,0.1,-0.2,120,128,0.7231638418079096,46,0.2598870056497175,3,0.01694915254237288,0.08972633232675357,1.10625,pass
extended_20d,all_c0,robustness,all,1150,survival_U0.10_L0.20_H120,0.1,-0.2,120,802,0.697391304347826,323,0.2808695652173913,25,0.021739130434782608,0.06059495404131921,1.1133929881179403,pass
extended_20d,regime_risk_on,robustness,risk_on,987,survival_U0.10_L0.20_H120,0.1,-0.2,120,688,0.6970618034447822,282,0.2857142857142857,17,0.017223910840932118,0.05653772508522748,1.1231353274173805,pass
extended_20d,regime_transition,robustness,transition,113,survival_U0.10_L0.20_H120,0.1,-0.2,120,82,0.7256637168141593,24,0.21238938053097345,7,0.061946902654867256,0.1322702514186412,0.9646341463414635,pass
extended_20d,regime_risk_off,robustness,risk_off,50,survival_U0.10_L0.20_H120,0.1,-0.2,120,32,0.64,17,0.34,1,0.02,-0.021301518438177888,1.171875,pass
extended_60d,all_c0,all,all,2667,survival_U0.10_L0.20_H120,0.1,-0.2,120,1703,0.6385451818522685,931,0.34908136482939633,31,0.011623547056617924,-0.03409150343504078,1.1442557966978886,pass
extended_60d,regime_risk_on,all,risk_on,2080,survival_U0.10_L0.20_H120,0.1,-0.2,120,1323,0.6360576923076923,729,0.3504807692307692,28,0.013461538461538462,-0.03723549096281273,1.1499723564337396,pass
extended_60d,regime_transition,all,transition,421,survival_U0.10_L0.20_H120,0.1,-0.2,120,269,0.6389548693586699,147,0.3491686460807601,3,0.007125890736342043,-0.03318385549339675,1.1458443972384493,pass
extended_60d,regime_risk_off,all,risk_off,166,survival_U0.10_L0.20_H120,0.1,-0.2,120,111,0.6686746987951807,55,0.3313253012048193,0,0.0,0.0030120481927710845,1.0468468468468468,pass
extended_60d,all_c0,train,all,1506,survival_U0.10_L0.20_H120,0.1,-0.2,120,971,0.6447543160690571,523,0.3472775564409031,12,0.00796812749003984,-0.028362718782667187,1.0992370991771072,pass
extended_60d,regime_risk_on,train,risk_on,1190,survival_U0.10_L0.20_H120,0.1,-0.2,120,742,0.6235294117647059,436,0.3663865546218487,12,0.010084033613445379,-0.059003575198904853,1.0828025477707006,pass
extended_60d,regime_transition,train,transition,226,survival_U0.10_L0.20_H120,0.1,-0.2,120,164,0.7256637168141593,62,0.2743362831858407,0,0.0,0.08849557522123894,1.1274944567627494,pass
extended_60d,regime_risk_off,train,risk_off,90,survival_U0.10_L0.20_H120,0.1,-0.2,120,65,0.7222222222222222,25,0.2777777777777778,0,0.0,0.08333333333333333,1.1076923076923078,pass
extended_60d,all_c0,validation,all,343,survival_U0.10_L0.20_H120,0.1,-0.2,120,190,0.5539358600583091,150,0.43731778425655976,3,0.008746355685131196,-0.16243163188490378,0.9026315789473685,pass
extended_60d,regime_risk_on,validation,risk_on,159,survival_U0.10_L0.20_H120,0.1,-0.2,120,95,0.5974842767295597,63,0.39622641509433965,1,0.006289308176100629,-0.09812393733802142,0.8368421052631579,pass
extended_60d,regime_transition,validation,transition,133,survival_U0.10_L0.20_H120,0.1,-0.2,120,65,0.48872180451127817,66,0.49624060150375937,2,0.015037593984962405,-0.25648378721636533,1.0230769230769232,pass
extended_60d,regime_risk_off,validation,risk_off,51,survival_U0.10_L0.20_H120,0.1,-0.2,120,30,0.5882352941176471,21,0.4117647058823529,0,0.0,-0.11764705882352941,0.85,pass
extended_60d,all_c0,robustness,all,818,survival_U0.10_L0.20_H120,0.1,-0.2,120,542,0.6625916870415648,258,0.3154034229828851,16,0.019559902200488997,0.009282411236317498,1.1933407706170085,pass
extended_60d,regime_risk_on,robustness,risk_on,731,survival_U0.10_L0.20_H120,0.1,-0.2,120,486,0.66484268125855,230,0.3146374829001368,15,0.02051983584131327,0.011444787032546828,1.228360768175583,pass
extended_60d,regime_transition,robustness,transition,62,survival_U0.10_L0.20_H120,0.1,-0.2,120,40,0.6451612903225806,19,0.3064516129032258,1,0.016129032258064516,0.0034718041340557892,0.58125,pass
extended_60d,regime_risk_off,robustness,risk_off,25,survival_U0.10_L0.20_H120,0.1,-0.2,120,16,0.64,9,0.36,0,0.0,-0.04,1.5625,pass
late_stage_composite,all_c0,all,all,3084,survival_U0.10_L0.20_H120,0.1,-0.2,120,1997,0.6475356679636836,1035,0.3356031128404669,51,0.016536964980544747,-0.018432322574174664,1.1703899675178628,pass
late_stage_composite,regime_risk_on,all,risk_on,2316,survival_U0.10_L0.20_H120,0.1,-0.2,120,1489,0.6429188255613126,788,0.34024179620034545,39,0.01683937823834197,-0.02507869589397156,1.1677512011158755,pass
late_stage_composite,regime_transition,all,transition,515,survival_U0.10_L0.20_H120,0.1,-0.2,120,340,0.6601941747572816,167,0.32427184466019415,7,0.013592233009708738,-0.0012483837285512918,1.1733637116818558,pass
late_stage_composite,regime_risk_off,all,risk_off,253,survival_U0.10_L0.20_H120,0.1,-0.2,120,168,0.6640316205533597,80,0.31620553359683795,5,0.019762845849802372,0.007498333718312297,1.2401960784313724,pass
late_stage_composite,all_c0,train,all,1858,survival_U0.10_L0.20_H120,0.1,-0.2,120,1208,0.6501614639397201,624,0.33584499461786865,26,0.013993541442411194,-0.0169975555250752,1.1701467341903646,pass
late_stage_composite,regime_risk_on,train,risk_on,1461,survival_U0.10_L0.20_H120,0.1,-0.2,120,926,0.6338124572210815,511,0.34976043805612594,24,0.01642710472279261,-0.04033863749893937,1.150445464362851,pass
late_stage_composite,regime_transition,train,transition,266,survival_U0.10_L0.20_H120,0.1,-0.2,120,194,0.7293233082706767,72,0.2706766917293233,0,0.0,0.09398496240601503,1.175257731958763,pass
late_stage_composite,regime_risk_off,train,risk_off,131,survival_U0.10_L0.20_H120,0.1,-0.2,120,88,0.6717557251908397,41,0.31297709923664124,2,0.015267175572519083,0.017964055117257304,1.275974025974026,pass
late_stage_composite,all_c0,validation,all,478,survival_U0.10_L0.20_H120,0.1,-0.2,120,281,0.5878661087866108,185,0.38702928870292885,12,0.02510460251046025,-0.1039224881697459,1.0743584941000188,pass
late_stage_composite,regime_risk_on,validation,risk_on,195,survival_U0.10_L0.20_H120,0.1,-0.2,120,113,0.5794871794871795,78,0.4,4,0.020512820512820513,-0.11504530765590273,0.7395701643489254,pass
late_stage_composite,regime_transition,validation,transition,197,survival_U0.10_L0.20_H120,0.1,-0.2,120,109,0.5532994923857868,82,0.41624365482233505,6,0.030456852791878174,-0.15406079941380055,1.1295871559633028,pass
late_stage_composite,regime_risk_off,validation,risk_off,86,survival_U0.10_L0.20_H120,0.1,-0.2,120,59,0.686046511627907,25,0.29069767441860467,2,0.023255813953488372,0.03614957130559533,1.457627118644068,pass
late_stage_composite,all_c0,robustness,all,748,survival_U0.10_L0.20_H120,0.1,-0.2,120,508,0.679144385026738,226,0.30213903743315507,13,0.017379679144385027,0.03270355691371858,1.1334617345493683,pass
late_stage_composite,regime_risk_on,robustness,risk_on,660,survival_U0.10_L0.20_H120,0.1,-0.2,120,450,0.6818181818181818,199,0.3015151515151515,11,0.016666666666666666,0.03528231013395959,1.1756613756613756,pass
late_stage_composite,regime_transition,robustness,transition,52,survival_U0.10_L0.20_H120,0.1,-0.2,120,37,0.7115384615384616,13,0.25,1,0.019230769230769232,0.0923197695694774,0.4015444015444016,pass
late_stage_composite,regime_risk_off,robustness,risk_off,36,survival_U0.10_L0.20_H120,0.1,-0.2,120,21,0.5833333333333334,14,0.3888888888888889,1,0.027777777777777776,-0.09902988671969151,1.1428571428571428,pass
