membership_date,board_bucket,listed_instrument_count,candidate_with_daily_bar_count,excluded_missing_daily_bar_count,excluded_not_listed_count,excluded_st_count,excluded_suspended_count,excluded_missing_market_cap_count,eligible_count,status_source
2017-03-17,main_board,2533,2203,330,0,57,0,0,1391,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-20,chinext,611,529,82,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-20,main_board,2535,2198,337,0,57,0,0,1388,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-21,chinext,612,531,81,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-21,main_board,2537,2202,335,0,58,0,0,1392,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-22,chinext,612,532,80,0,0,0,0,136,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-22,main_board,2537,2202,335,0,58,0,0,1393,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-23,chinext,613,535,78,0,0,0,0,136,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-23,main_board,2538,2204,334,0,58,0,0,1397,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-24,chinext,614,537,77,0,0,0,0,136,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-24,main_board,2542,2208,334,0,58,0,0,1398,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-27,chinext,614,537,77,0,0,0,0,135,stock_info_sz_change_name_asof;daily_bar_presence
2017-03-27,main_board,2543,2206,337,0,57,0,0,1396,stock_info_change_name_lifetime_st_exclusion;daily_bar_presence;stock_info_sz_change_name_asof;daily_bar_presence
2017-03-28,chinext,615,536,79,0,0,0,0,134,stock_info_sz_change_name_asof;daily_bar_presence
