membership_date,year,board_bucket,topn_count,fixed_cap_count,intersection_count,topn_only_count,fixed_cap_only_count,jaccard_overlap,topn_only_share_of_topn,fixed_cap_only_share_of_fixed_cap
2017-02-27,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-02-28,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-02-28,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-03-01,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-01,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-03-02,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-02,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-03-03,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-03,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-03-06,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-06,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-03-07,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-07,2017,main_board,400,86,86,314,0,0.215,0.785,0.0
2017-03-08,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-08,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-03-09,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-09,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-03-10,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-10,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-03-13,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-13,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-14,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-14,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-15,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-15,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-03-16,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-16,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-17,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-17,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-20,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-20,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-03-21,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-21,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-22,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-03-22,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-23,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-03-23,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-03-24,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-24,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-27,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-03-27,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-03-28,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-28,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-03-29,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-29,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-03-30,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-30,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-03-31,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-03-31,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-04-05,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-05,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-04-06,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-06,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-04-07,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-07,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-04-10,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-10,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-04-11,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-11,2017,main_board,400,93,93,307,0,0.2325,0.7675,0.0
2017-04-12,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-12,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-04-13,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-13,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-04-14,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-14,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-04-17,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-17,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-04-18,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-18,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-04-19,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-19,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-04-20,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-20,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-04-21,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-21,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-04-24,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-24,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-04-25,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-25,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-04-26,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-26,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-04-27,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-27,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-04-28,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-04-28,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-05-02,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-05-02,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-05-03,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-05-03,2017,main_board,400,86,86,314,0,0.215,0.785,0.0
2017-05-04,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-05-04,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-05-05,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-05-05,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-05-08,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-05-08,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-05-09,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-05-09,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-05-10,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-10,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-05-11,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-11,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-05-12,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-12,2017,main_board,400,81,81,319,0,0.2025,0.7975,0.0
2017-05-15,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-15,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-05-16,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-16,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-05-17,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-17,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-05-18,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-18,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-05-19,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-19,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-05-22,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-22,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-05-23,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-23,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-05-24,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-24,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-05-25,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-25,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-05-26,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-26,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-05-31,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-05-31,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-01,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-01,2017,main_board,400,81,81,319,0,0.2025,0.7975,0.0
2017-06-02,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-02,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-05,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-05,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-06-06,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-06,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-06-07,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-07,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-06-08,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-08,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-06-09,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-09,2017,main_board,400,81,81,319,0,0.2025,0.7975,0.0
2017-06-12,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-12,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-06-13,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-13,2017,main_board,400,81,81,319,0,0.2025,0.7975,0.0
2017-06-14,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-14,2017,main_board,400,79,79,321,0,0.1975,0.8025,0.0
2017-06-15,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-15,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-16,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-16,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-19,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-19,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-06-20,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-20,2017,main_board,400,84,84,316,0,0.21,0.79,0.0
2017-06-21,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-21,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-06-22,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-22,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-23,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-23,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-26,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-26,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-06-27,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-27,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-06-28,2017,chinext,100,3,3,97,0,0.03,0.97,0.0
2017-06-28,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-06-29,2017,chinext,100,4,4,96,0,0.04,0.96,0.0
2017-06-29,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-06-30,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-06-30,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-07-03,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-03,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-07-04,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-04,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-07-05,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-05,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-07-06,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-06,2017,main_board,400,82,82,318,0,0.205,0.795,0.0
2017-07-07,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-07,2017,main_board,400,86,86,314,0,0.215,0.785,0.0
2017-07-10,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-10,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-07-11,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-11,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-07-12,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-12,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-07-13,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-13,2017,main_board,400,86,86,314,0,0.215,0.785,0.0
2017-07-14,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-14,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-07-17,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-17,2017,main_board,400,80,80,320,0,0.2,0.8,0.0
2017-07-18,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-18,2017,main_board,400,83,83,317,0,0.2075,0.7925,0.0
2017-07-19,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-19,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-07-20,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-20,2017,main_board,400,85,85,315,0,0.2125,0.7875,0.0
2017-07-21,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-21,2017,main_board,400,86,86,314,0,0.215,0.785,0.0
2017-07-24,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-24,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-07-25,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-25,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-07-26,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-26,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-07-27,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-27,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-07-28,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-28,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-07-31,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-07-31,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-01,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-01,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-02,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-02,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-03,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-03,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-04,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-04,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-07,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-07,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-08,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-08,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-08-09,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-09,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-10,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-10,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-08-11,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-11,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-14,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-14,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-15,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-15,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-16,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-16,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-17,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-17,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-08-18,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-18,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-21,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-21,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-08-22,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-22,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-23,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-23,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-24,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-24,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-25,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-25,2017,main_board,400,87,87,313,0,0.2175,0.7825,0.0
2017-08-28,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-28,2017,main_board,400,88,88,312,0,0.22,0.78,0.0
2017-08-29,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-29,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-08-30,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-30,2017,main_board,400,89,89,311,0,0.2225,0.7775,0.0
2017-08-31,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-08-31,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-09-01,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-01,2017,main_board,400,93,93,307,0,0.2325,0.7675,0.0
2017-09-04,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-04,2017,main_board,400,94,94,306,0,0.235,0.765,0.0
2017-09-05,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-05,2017,main_board,400,93,93,307,0,0.2325,0.7675,0.0
2017-09-06,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-06,2017,main_board,400,93,93,307,0,0.2325,0.7675,0.0
2017-09-07,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-07,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-08,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-08,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-09-11,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-11,2017,main_board,400,93,93,307,0,0.2325,0.7675,0.0
2017-09-12,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-12,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-09-13,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-13,2017,main_board,400,93,93,307,0,0.2325,0.7675,0.0
2017-09-14,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-14,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-09-15,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-15,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-18,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-18,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-09-19,2017,chinext,100,5,5,95,0,0.05,0.95,0.0
2017-09-19,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-20,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-20,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-21,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-21,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-22,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-22,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-25,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-25,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-09-26,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-26,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-09-27,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-27,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-28,2017,chinext,100,6,6,94,0,0.06,0.94,0.0
2017-09-28,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-09-29,2017,chinext,100,7,7,93,0,0.07,0.93,0.0
2017-09-29,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-10-09,2017,chinext,100,7,7,93,0,0.07,0.93,0.0
2017-10-09,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-10-10,2017,chinext,100,7,7,93,0,0.07,0.93,0.0
2017-10-10,2017,main_board,400,92,92,308,0,0.23,0.77,0.0
2017-10-11,2017,chinext,100,7,7,93,0,0.07,0.93,0.0
2017-10-11,2017,main_board,400,91,91,309,0,0.2275,0.7725,0.0
2017-10-12,2017,chinext,100,7,7,93,0,0.07,0.93,0.0
2017-10-12,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
2017-10-13,2017,chinext,100,7,7,93,0,0.07,0.93,0.0
2017-10-13,2017,main_board,400,90,90,310,0,0.225,0.775,0.0
