fold_id,early_path_k,horizon_mode,arm,event_n,purged_rows_n,embargoed_rows_n,sample_weight_source,evaluable_n,selected_n,selected_fraction,winner_rate,fast_fail_rate,utility_per_event_mean_0bps,utility_per_event_mean_50bps,utility_per_event_mean_100bps,utility_per_selected_entry_mean_50bps,utility_per_event_median_50bps,missed_upper_in_window_n,early_lower_in_window_n,missed_upper_opportunity_cost_50bps
1,3,horizon_mode_calendar_t0,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1653,1579,0.9535024154589372,0.16719442685243824,0.13426219126029132,-0.00781624780713326,-0.01258375988442795,-0.017351271961722634,-0.013197407453206257,-0.005,24,74,0.0022207055666699136
1,3,horizon_mode_calendar_t0,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1653,828,0.5,0.1642512077294686,0.15338164251207728,-0.0060512222275563,-0.008551222227556301,-0.0110512222275563,-0.017102444455112602,0.0,24,74,0.0022207055666699136
1,3,horizon_mode_from_entry,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,24,74,0.0
1,3,horizon_mode_from_entry,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1653,1579,0.9535024154589372,0.19632678910702978,0.13426219126029132,-0.006997549345013938,-0.011765061422308624,-0.01653257349960331,-0.012338785126879723,-0.005,24,74,0.0022207055666699136
1,3,horizon_mode_from_entry,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1653,828,0.5,0.1823671497584541,0.15942028985507245,-0.006328652535074808,-0.00882865253507481,-0.011328652535074809,-0.01765730507014962,0.0,24,74,0.0022207055666699136
1,5,horizon_mode_calendar_t0,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,67,159,0.0
1,5,horizon_mode_calendar_t0,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1651,1492,0.9009661835748792,0.17292225201072386,0.13739946380697052,-0.00473378356609925,-0.009238614483973647,-0.013743445401848043,-0.01025411902510748,-0.005,67,159,0.0047725579876803466
1,5,horizon_mode_calendar_t0,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1651,828,0.5,0.19927536231884058,0.13285024154589373,-0.002098965533263615,-0.004598965533263616,-0.007098965533263614,-0.009197931066527231,0.0,67,159,0.004766519340337351
1,5,horizon_mode_from_entry,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,67,159,0.0
1,5,horizon_mode_from_entry,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1651,1492,0.9009661835748792,0.217828418230563,0.13739946380697052,-0.003978579973964317,-0.008483410891838714,-0.012988241809713108,-0.009415903778072996,-0.005,67,159,0.004442302977493374
1,5,horizon_mode_from_entry,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1651,828,0.5,0.23550724637681159,0.13285024154589373,-0.002551277871871369,-0.00505127787187137,-0.007551277871871368,-0.01010255574374274,0.0,67,159,0.0045927784156153464
1,8,horizon_mode_calendar_t0,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,115,298,0.0
1,8,horizon_mode_calendar_t0,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1647,1350,0.8152173913043478,0.1325925925925926,0.20592592592592593,-0.006397007355671499,-0.01047309431219324,-0.014549181268714977,-0.012846995689623707,-0.005,115,298,0.008511981326659068
1,8,horizon_mode_calendar_t0,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1647,828,0.5,0.19082125603864733,0.1606280193236715,0.0006005345545313458,-0.0018994654454686554,-0.004399465445468654,-0.003798930890937311,0.0,115,298,0.008406309573116713
1,8,horizon_mode_from_entry,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,115,298,0.0
1,8,horizon_mode_from_entry,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1647,1350,0.8152173913043478,0.20592592592592593,0.20592592592592593,-0.008736246351131976,-0.012812333307653717,-0.016888420264175454,-0.01571646219072189,-0.005,115,298,0.008185195922814515
1,8,horizon_mode_from_entry,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1647,828,0.5,0.2536231884057971,0.1678743961352657,-0.002198068962706399,-0.0046980689627063995,-0.0071980689627063965,-0.009396137925412799,0.0,115,298,0.008116470387561444
1,13,horizon_mode_calendar_t0,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,263,565,0.0
1,13,horizon_mode_calendar_t0,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1625,1075,0.6491545893719807,0.07069767441860465,0.25302325581395346,-0.005114584273390316,-0.00836035722025022,-0.011606130167110124,-0.012878838657427318,-0.005,263,565,0.015417559721224605
1,13,horizon_mode_calendar_t0,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1625,828,0.5,0.13647342995169082,0.14009661835748793,0.0033033760914992554,0.0008033760914992545,-0.001696623908500744,0.001606752182998509,0.0,263,565,0.01501978499394346
1,13,horizon_mode_from_entry,arm_t0_baseline,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1656,1656,1.0,0.2071256038647343,0.06823671497584541,-0.0057643587332348485,-0.010764358733234851,-0.015764358733234847,-0.010764358733234851,-0.038765493289702045,263,565,0.0
1,13,horizon_mode_from_entry,arm_gate_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1625,1075,0.6491545893719807,0.19162790697674417,0.25395348837209303,-0.009399800644966603,-0.012645573591826506,-0.01589134653868641,-0.019480064993548554,-0.005,263,565,0.01756391127525283
1,13,horizon_mode_from_entry,arm_model_delayed,1656,299,642,fold_local_exact_13f_max_event_span_average_uniqueness,1625,828,0.5,0.2693236714975845,0.15338164251207728,-0.0006564167919224797,-0.0031564167919224803,-0.005656416791922481,-0.006312833583844962,0.0,263,565,0.016939255983574514
2,2,horizon_mode_calendar_t0,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,54,16,0.0
2,2,horizon_mode_calendar_t0,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1185,1170,0.9790794979079498,0.305982905982906,0.1735042735042735,0.014657697438246695,0.009762299948706945,0.004866902459167202,0.009970896101457093,-0.005,54,16,0.004687183495762287
2,2,horizon_mode_calendar_t0,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1185,598,0.500418410041841,0.33277591973244147,0.21739130434782608,0.007544274516736083,0.005042182466526878,0.002540090416317674,0.010075933189798695,0.0,54,16,0.004687183495762287
2,2,horizon_mode_from_entry,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,54,16,0.0
2,2,horizon_mode_from_entry,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1185,1170,0.9790794979079498,0.31965811965811963,0.1735042735042735,0.015092023243634824,0.01019662575409507,0.005301228264555326,0.010414502372772316,-0.005,54,16,0.004687183495762287
2,2,horizon_mode_from_entry,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1185,598,0.500418410041841,0.35785953177257523,0.21237458193979933,0.008630016243064198,0.006127924192854993,0.0036258321426457896,0.012245601020838992,0.0,54,16,0.004687183495762287
2,3,horizon_mode_calendar_t0,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,94,30,0.0
2,3,horizon_mode_calendar_t0,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1182,1153,0.9648535564853556,0.2844752818733738,0.18820468343451865,0.011275355000756104,0.0064510872183293246,0.0016268194359025485,0.006686079120471417,-0.005,94,30,0.009803656871531936
2,3,horizon_mode_calendar_t0,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1182,598,0.500418410041841,0.3093645484949833,0.2608695652173913,0.0055209582462565155,0.00301886619604731,0.0005167741458381062,0.006032684120863771,0.0,94,30,0.009803656871531936
2,3,horizon_mode_from_entry,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,94,30,0.0
2,3,horizon_mode_from_entry,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1182,1153,0.9648535564853556,0.3026886383347788,0.18820468343451865,0.011596952170639779,0.0067726843882129975,0.001948416605786225,0.007019391018139231,-0.005,94,30,0.009803656871531936
2,3,horizon_mode_from_entry,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1182,598,0.500418410041841,0.3377926421404682,0.25752508361204013,0.0067357184185930265,0.004233626368383822,0.0017315343181746182,0.008460173094011147,0.0,94,30,0.009803656871531936
2,5,horizon_mode_calendar_t0,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,144,97,0.0
2,5,horizon_mode_calendar_t0,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1180,1086,0.9087866108786611,0.26611418047882135,0.20165745856353592,0.00904349300732734,0.004499559952934032,-4.437310145926969e-05,0.004951173244711021,-0.005,144,97,0.01770474309201518
2,5,horizon_mode_calendar_t0,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1180,598,0.500418410041841,0.2842809364548495,0.2809364548494983,0.003884570950136274,0.001382478899927069,-0.001119613150282135,0.0027626459622288406,0.0,144,97,0.01762773744070659
2,5,horizon_mode_from_entry,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,144,97,0.0
2,5,horizon_mode_from_entry,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1180,1086,0.9087866108786611,0.2918968692449355,0.20165745856353592,0.0085209583876887,0.003977025333295391,-0.0005669077210979119,0.004376192701001836,-0.005,144,97,0.01742577168883679
2,5,horizon_mode_from_entry,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1180,598,0.500418410041841,0.3177257525083612,0.2809364548494983,0.004469585137398538,0.0019674930871893324,-0.0005345989630198703,0.003931696052159285,0.0,144,97,0.017348766037528197
2,8,horizon_mode_calendar_t0,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,255,226,0.0
2,8,horizon_mode_calendar_t0,arm_gate_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1178,961,0.80418410041841,0.20707596253902186,0.21436004162330904,0.0038628959157856304,-0.00015802458630642148,-0.00417894508839847,-0.0001965029975402429,-0.005,255,226,0.027107210961140545
2,8,horizon_mode_calendar_t0,arm_model_delayed,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1178,598,0.500418410041841,0.225752508361204,0.2993311036789298,0.0014734184331083474,-0.0010286736171008586,-0.0035307656673100626,-0.002055627044206565,0.0,255,226,0.026981203729803022
2,8,horizon_mode_from_entry,arm_t0_baseline,1195,171,167,fold_local_exact_13f_max_event_span_average_uniqueness,1195,1195,1.0,0.3732217573221757,0.0502092050209205,0.023892274973695633,0.01889227497369563,0.013892274973695636,0.01889227497369563,-0.005,255,226,0.0
