split,entry_variant,horizon,upper_hit_event_count_for_comparator,matched_upper_hit_event_count,matched_event_share,matched_same_industry_share,median_size_percentile_abs_diff,comparator_coverage_status,event_weighted_mean_incremental_short_return_vs_nonlimit_high_return,date_weighted_mean_incremental_short_return_vs_nonlimit_high_return,newey_west_tstat_date_weighted_mean_incremental_short_return
train,d1_close,120,480,161,0.33541667,0.36645963,0.15384615,fail_insufficient_matched_event_share,0.027811562,0.015772034,0.67868456
train,d0_close_oracle,1,483,163,0.33747412,0.36809816,0.15207373,fail_insufficient_matched_event_share,-0.016800448,-0.015625755,-3.200599
train,d0_close_oracle,2,483,163,0.33747412,0.36809816,0.15207373,fail_insufficient_matched_event_share,-0.014407659,-0.014942545,-2.0174331
train,d0_close_oracle,5,483,162,0.33540373,0.37037037,0.15115424,fail_insufficient_matched_event_share,-0.022085377,-0.020132519,-1.8144002
train,d0_close_oracle,10,483,162,0.33540373,0.37037037,0.15115424,fail_insufficient_matched_event_share,-0.029481664,-0.024551185,-1.7287018
train,d0_close_oracle,20,482,162,0.33609959,0.37037037,0.15115424,fail_insufficient_matched_event_share,-0.025946121,-0.017252246,-0.91083875
train,d0_close_oracle,60,481,163,0.33887734,0.36809816,0.15207373,fail_insufficient_matched_event_share,-0.0263837,-0.020797909,-1.1985711
train,d0_close_oracle,120,483,163,0.33747412,0.36809816,0.15207373,fail_insufficient_matched_event_share,0.014677659,0.0051205032,0.23941378
validation,d1_open,1,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.0078057139,-0.0093506186,-1.617734
validation,d1_open,2,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.0021316631,-0.00017890644,-0.02129154
validation,d1_open,5,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.0062444187,-0.0087521711,-0.73101625
validation,d1_open,10,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0.001411492,-0.00070502512,-0.041724563
validation,d1_open,20,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.0058766664,-0.0077975641,-0.46497753
validation,d1_open,60,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.0057510824,-0.013500295,-0.36624353
validation,d1_open,120,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.014018175,-0.032708179,-0.55869961
validation,d1_close,1,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0,0,
validation,d1_close,2,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0.0061860386,0.0097901416,1.7043544
validation,d1_close,5,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0.001449678,0.00055475968,0.05480177
validation,d1_close,10,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0.010057853,0.0097625856,0.57500111
validation,d1_close,20,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0.0028033845,0.0027444896,0.16472076
validation,d1_close,60,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,0.0018187035,-0.0043370834,-0.11534474
validation,d1_close,120,186,57,0.30645161,0.31578947,0.15418502,fail_insufficient_matched_event_share,-0.0067611832,-0.023473458,-0.40248073
validation,d0_close_oracle,1,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.021720613,-0.024970809,-4.0659462
validation,d0_close_oracle,2,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.015590309,-0.015207891,-1.9697766
validation,d0_close_oracle,5,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.020525813,-0.024847261,-2.1814835
validation,d0_close_oracle,10,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.014198498,-0.018458725,-1.0226183
validation,d0_close_oracle,20,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.021165524,-0.025025877,-1.6165727
validation,d0_close_oracle,60,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.012331774,-0.019104429,-0.66529113
validation,d0_close_oracle,120,187,58,0.31016043,0.31034483,0.17112921,fail_insufficient_matched_event_share,-0.020730151,-0.038448534,-0.73966136
robustness,d1_open,1,531,173,0.32580038,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0038525342,0.002513296,0.619547
robustness,d1_open,2,531,173,0.32580038,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0097915313,-0.0018662611,-0.25099524
robustness,d1_open,5,529,173,0.32703214,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0056970868,-0.0082930454,-0.65090544
robustness,d1_open,10,530,172,0.3245283,0.46511628,0.10746579,fail_insufficient_matched_event_share,-0.014533043,-0.012693493,-0.59009642
robustness,d1_open,20,529,173,0.32703214,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0064637475,-0.00044696931,-0.032054008
robustness,d1_open,60,530,173,0.32641509,0.46242775,0.10606061,fail_insufficient_matched_event_share,0.026287622,0.028451003,1.3659025
robustness,d1_open,120,447,146,0.32662192,0.49315068,0.10016801,fail_insufficient_matched_event_share,-0.025535216,-0.0474607,-0.82878169
robustness,d1_close,1,531,173,0.32580038,0.46242775,0.10606061,fail_insufficient_matched_event_share,0,0,
robustness,d1_close,2,531,173,0.32580038,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0060770185,-0.0043250162,-0.70347217
robustness,d1_close,5,529,173,0.32703214,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0018185742,-0.010843827,-1.0098615
robustness,d1_close,10,530,172,0.3245283,0.46511628,0.10746579,fail_insufficient_matched_event_share,-0.010038962,-0.014918612,-0.74261035
robustness,d1_close,20,529,173,0.32703214,0.46242775,0.10606061,fail_insufficient_matched_event_share,-0.0021147889,-0.0031221073,-0.23523978
robustness,d1_close,60,530,173,0.32641509,0.46242775,0.10606061,fail_insufficient_matched_event_share,0.03129807,0.026697395,1.292365
robustness,d1_close,120,447,146,0.32662192,0.49315068,0.10016801,fail_insufficient_matched_event_share,-0.021428456,-0.052302851,-0.87823986
robustness,d0_close_oracle,1,538,174,0.32342007,0.45977011,0.10746579,fail_insufficient_matched_event_share,-0.022672472,-0.018998313,-3.6060472
robustness,d0_close_oracle,2,538,174,0.32342007,0.45977011,0.10746579,fail_insufficient_matched_event_share,-0.029268006,-0.024100653,-2.5175771
robustness,d0_close_oracle,5,536,174,0.32462687,0.45977011,0.10746579,fail_insufficient_matched_event_share,-0.024442695,-0.029905681,-2.1829246
robustness,d0_close_oracle,10,537,173,0.32216015,0.46242775,0.10887097,fail_insufficient_matched_event_share,-0.034093321,-0.035453158,-1.5761308
robustness,d0_close_oracle,20,536,174,0.32462687,0.45977011,0.10746579,fail_insufficient_matched_event_share,-0.027590386,-0.025723978,-1.7937489
robustness,d0_close_oracle,60,537,174,0.32402235,0.45977011,0.10746579,fail_insufficient_matched_event_share,0.0063785514,0.0038455079,0.18613729
robustness,d0_close_oracle,120,454,147,0.32378855,0.48979592,0.1026616,fail_insufficient_matched_event_share,-0.047524759,-0.073081637,-1.2105728
