date,calendar_date_split,horizon,active_event_count,active_instrument_count,max_abs_weight_per_instrument,gross_short_return,name_capped_gross_short_return
2019-04-04,train,5,3,3,0.05,0.0057404311,0.0057404311
2019-04-08,train,5,4,3,0.05,0.013885256,0.010333723
2019-04-09,train,5,3,2,0.05,0.010572369,0.019003205
2019-04-10,train,5,2,1,0.05,0.043750032,0.043750032
2019-04-11,train,5,2,1,0.05,0.045751591,0.045751591
2019-04-12,train,5,1,1,0.05,-0.017123271,-0.017123271
2019-04-18,train,5,2,2,0.05,-0.019296601,-0.019296601
2019-04-19,train,5,2,2,0.05,0.061611711,0.061611711
2019-04-22,train,5,2,2,0.05,0.023746252,0.023746252
2019-04-23,train,5,2,2,0.05,-0.0076728393,-0.0076728393
2019-04-24,train,5,2,2,0.05,-0.00016672948,-0.00016672948
2019-05-14,train,5,1,1,0.05,0.030769203,0.030769203
2019-05-15,train,5,1,1,0.05,-0.039682502,-0.039682502
2019-05-16,train,5,1,1,0.05,0,0
2019-05-17,train,5,1,1,0.05,0.038167904,0.038167904
2019-05-20,train,5,1,1,0.05,0.019841251,0.019841251
2019-06-21,train,5,1,1,0.05,-0.06657223,-0.06657223
2019-06-24,train,5,1,1,0.05,-0.020805636,-0.020805636
2019-06-25,train,5,1,1,0.05,-0.057675627,-0.057675627
2019-06-26,train,5,1,1,0.05,0.10004095,0.10004095
2019-06-27,train,5,1,1,0.05,0.073804136,0.073804136
2019-08-06,train,5,1,1,0.05,0.016270841,0.016270841
2019-08-07,train,5,1,1,0.05,-0.037997248,-0.037997248
2019-08-08,train,5,1,1,0.05,0.017657186,0.017657186
2019-08-09,train,5,1,1,0.05,-0.00043841425,-0.00043841425
2019-08-12,train,5,1,1,0.05,0,0
2019-08-13,train,5,1,1,0.05,0.0064447279,0.0064447279
2019-08-14,train,5,1,1,0.05,0.027027027,0.027027027
2019-08-15,train,5,1,1,0.05,0.0072221756,0.0072221756
2019-08-16,train,5,1,1,0.05,0.0083940413,0.0083940413
2019-08-19,train,5,2,2,0.05,-0.048925293,-0.048925293
2019-08-20,train,5,1,1,0.05,-0.0010757151,-0.0010757151
2019-08-21,train,5,1,1,0.05,0.0023640794,0.0023640794
2019-08-22,train,5,1,1,0.05,-0.019388228,-0.019388228
2019-08-23,train,5,1,1,0.05,-0.0023246114,-0.0023246114
2019-09-03,train,5,1,1,0.05,0.019999987,0.019999987
2019-09-04,train,5,2,2,0.05,-0.0082061883,-0.0082061883
2019-09-05,train,5,2,2,0.05,-0.0076702487,-0.0076702487
2019-09-06,train,5,2,2,0.05,-0.013495499,-0.013495499
2019-09-09,train,5,2,2,0.05,-0.04308453,-0.04308453
2019-09-10,train,5,2,2,0.05,0.026697556,0.026697556
2019-09-11,train,5,1,1,0.05,0.039612741,0.039612741
2019-09-12,train,5,1,1,0.05,-0.0079438478,-0.0079438478
2019-09-16,train,5,1,1,0.05,0.01273119,0.01273119
2019-09-17,train,5,1,1,0.05,0.025176534,0.025176534
2019-09-24,train,5,1,1,0.05,0.017725317,0.017725317
2019-09-25,train,5,1,1,0.05,0.083863508,0.083863508
2019-09-26,train,5,1,1,0.05,0.062373674,0.062373674
2019-09-27,train,5,1,1,0.05,0.0032319618,0.0032319618
2019-09-30,train,5,2,2,0.05,0.03134697,0.03134697
2019-10-08,train,5,1,1,0.05,0.039833537,0.039833537
2019-10-09,train,5,1,1,0.05,-0.0080496019,-0.0080496019
2019-10-10,train,5,1,1,0.05,-0.062039323,-0.062039323
2019-10-11,train,5,1,1,0.05,-0.018507789,-0.018507789
2019-10-15,train,5,1,1,0.05,-0.010828071,-0.010828071
2019-10-16,train,5,1,1,0.05,0.029825708,0.029825708
2019-10-17,train,5,1,1,0.05,0.0062783527,0.0062783527
2019-10-18,train,5,1,1,0.05,0.021132923,0.021132923
2019-10-21,train,5,1,1,0.05,-0.017582927,-0.017582927
2019-10-29,train,5,3,3,0.05,0.016590826,0.016590826
2019-10-30,train,5,4,4,0.05,0.00099200136,0.00099200136
2019-10-31,train,5,4,4,0.05,0.025332802,0.025332802
2019-11-01,train,5,4,4,0.05,-0.015146657,-0.015146657
2019-11-04,train,5,4,4,0.05,-0.0022243714,-0.0022243714
2019-11-05,train,5,1,1,0.05,-0.079981098,-0.079981098
2019-11-14,train,5,1,1,0.05,-0.04981784,-0.04981784
2019-11-15,train,5,1,1,0.05,0.01678246,0.01678246
2019-11-18,train,5,1,1,0.05,0.012360158,0.012360158
2019-11-19,train,5,1,1,0.05,0.00059596117,0.00059596117
2019-11-20,train,5,1,1,0.05,0.020274308,0.020274308
2019-12-17,train,5,1,1,0.05,-0.023227871,-0.023227871
2019-12-18,train,5,1,1,0.05,-0.021135066,-0.021135066
2019-12-19,train,5,2,2,0.05,-0.0034536247,-0.0034536247
2019-12-20,train,5,2,2,0.05,0.0059094786,0.0059094786
2019-12-23,train,5,2,2,0.05,0.026907386,0.026907386
2019-12-24,train,5,1,1,0.05,-0.047468437,-0.047468437
2019-12-25,train,5,1,1,0.05,-0.030211403,-0.030211403
2019-12-26,train,5,1,1,0.05,0.026744396,0.026744396
2019-12-27,train,5,1,1,0.05,0.049063384,0.049063384
2019-12-30,train,5,1,1,0.05,-0.036896258,-0.036896258
2019-12-31,train,5,2,2,0.05,-0.0014139738,-0.0014139738
2020-01-02,train,5,2,2,0.05,-0.040435162,-0.040435162
2020-01-03,train,5,1,1,0.05,0.030108741,0.030108741
2020-01-06,train,5,1,1,0.05,-0.01539617,-0.01539617
2020-01-07,train,5,2,2,0.05,-0.01095354,-0.01095354
2020-01-08,train,5,1,1,0.05,-0.017074947,-0.017074947
2020-01-09,train,5,1,1,0.05,-0.0058394106,-0.0058394106
2020-01-10,train,5,1,1,0.05,-0.004354167,-0.004354167
2020-01-13,train,5,1,1,0.05,-0.012283242,-0.012283242
2020-01-14,train,5,1,1,0.05,0.026881687,0.026881687
2020-01-15,train,5,1,1,0.05,0.0099222557,0.0099222557
2020-01-16,train,5,1,1,0.05,-0.0067190979,-0.0067190979
2020-01-17,train,5,1,1,0.05,0.016855179,0.016855179
2020-01-20,train,5,1,1,0.05,-0.023242395,-0.023242395
2020-01-23,train,5,1,1,0.05,0,0
2020-02-03,train,5,1,1,0.05,0.10015848,0.10015848
2020-02-04,train,5,1,1,0.05,-0.021134216,-0.021134216
2020-02-05,train,5,6,6,0.05,-0.017047793,-0.017047793
2020-02-06,train,5,7,7,0.05,-0.047568274,-0.047568274
2020-02-07,train,5,8,6,0.05,-0.018646746,-0.009100058
2020-02-10,train,5,9,7,0.05,-0.0061067075,-0.0022329959
2020-02-11,train,5,11,8,0.05,0.00022867062,-3.5057476e-05
2020-02-12,train,5,8,8,0.05,-0.033468844,-0.033468844
2020-02-13,train,5,9,8,0.05,0.010463627,0.0079626377
2020-02-14,train,5,7,6,0.05,0.0065162965,0.00282143
2020-02-17,train,5,6,5,0.05,-0.040332449,-0.033812394
2020-02-18,train,5,5,5,0.05,0.0021444063,0.0021444063
2020-02-19,train,5,3,3,0.05,0.035152476,0.035152476
2020-02-20,train,5,1,1,0.05,-0.01439171,-0.01439171
2020-02-21,train,5,2,2,0.05,-0.062090898,-0.062090898
2020-02-24,train,5,2,2,0.05,-0.059547079,-0.059547079
2020-02-25,train,5,7,7,0.05,-0.045323031,-0.045323031
2020-02-26,train,5,8,7,0.05,0.08402783,0.089204285
2020-02-27,train,5,8,7,0.05,0.021833423,0.026441205
2020-02-28,train,5,7,6,0.05,0.050044621,0.053614477
2020-03-02,train,5,7,6,0.05,-0.047475617,-0.040075841
2020-03-03,train,5,4,4,0.05,0.046645804,0.046645804
2020-03-04,train,5,3,3,0.05,-0.012867644,-0.012867644
2020-03-05,train,5,3,3,0.05,0.0049238352,0.0049238352
2020-03-06,train,5,4,4,0.05,0.018999228,0.018999228
2020-03-09,train,5,4,4,0.05,0.035098881,0.035098881
2020-03-10,train,5,1,1,0.05,-0.048313246,-0.048313246
2020-03-11,train,5,4,4,0.05,0.014767825,0.014767825
2020-03-12,train,5,4,4,0.05,0.0085852489,0.0085852489
2020-03-13,train,5,3,3,0.05,-0.020456588,-0.020456588
2020-03-16,train,5,3,3,0.05,0.089036947,0.089036947
2020-03-17,train,5,3,3,0.05,0.031616324,0.031616324
2020-03-25,train,5,1,1,0.05,-0.0089932706,-0.0089932706
2020-03-26,train,5,2,2,0.05,0.015955699,0.015955699
2020-03-27,train,5,3,3,0.05,0.012320044,0.012320044
2020-03-30,train,5,3,3,0.05,-0.0098512521,-0.0098512521
2020-03-31,train,5,3,3,0.05,0.0053722761,0.0053722761
2020-04-01,train,5,3,3,0.05,0.032735903,0.032735903
2020-04-02,train,5,2,2,0.05,-0.015820525,-0.015820525
2020-04-03,train,5,3,3,0.05,-0.0094379943,-0.0094379943
2020-04-07,train,5,3,3,0.05,-0.031192966,-0.031192966
2020-04-08,train,5,3,3,0.05,0.018430334,0.018430334
2020-04-09,train,5,2,2,0.05,0.0070583956,0.0070583956
2020-04-10,train,5,2,2,0.05,0.04610471,0.04610471
2020-04-15,train,5,2,2,0.05,0.0041598417,0.0041598417
2020-04-16,train,5,2,2,0.05,0.0017918658,0.0017918658
2020-04-17,train,5,2,2,0.05,-0.00053568656,-0.00053568656
2020-04-20,train,5,3,3,0.05,0.0061440518,0.0061440518
2020-04-21,train,5,3,3,0.05,0.010197705,0.010197705
2020-04-22,train,5,1,1,0.05,-0.016200314,-0.016200314
2020-04-23,train,5,1,1,0.05,0.010869607,0.010869607
2020-04-24,train,5,1,1,0.05,0.0051281829,0.0051281829
2020-04-29,train,5,1,1,0.05,0.044513257,0.044513257
2020-04-30,train,5,1,1,0.05,-0.037004193,-0.037004193
2020-05-06,train,5,2,2,0.05,-0.031304214,-0.031304214
2020-05-07,train,5,3,2,0.05,-0.0048468915,-0.0088749009
2020-05-08,train,5,3,2,0.05,0.015198429,0.011750362
2020-05-11,train,5,2,1,0.05,0.0028403746,0.0028403746
2020-05-12,train,5,2,1,0.05,0.011329061,0.011329061
2020-05-13,train,5,1,1,0.05,-0.005107378,-0.005107378
2020-05-20,train,5,1,1,0.05,0.026757919,0.026757919
2020-05-21,train,5,1,1,0.05,0.076154027,0.076154027
2020-05-22,train,5,1,1,0.05,0.022911727,0.022911727
2020-05-25,train,5,1,1,0.05,0.021285793,0.021285793
2020-05-26,train,5,1,1,0.05,-0.041375654,-0.041375654
2020-06-01,train,5,1,1,0.05,-0.0026609492,-0.0026609492
2020-06-02,train,5,2,2,0.05,-0.010406952,-0.010406952
2020-06-03,train,5,2,2,0.05,-0.027920847,-0.027920847
2020-06-04,train,5,2,2,0.05,-0.0012026532,-0.0012026532
2020-06-05,train,5,2,2,0.05,0.009746606,0.009746606
2020-06-08,train,5,2,2,0.05,-0.0067336636,-0.0067336636
2020-06-09,train,5,1,1,0.05,-0.015575146,-0.015575146
2020-06-10,train,5,1,1,0.05,-0.032180986,-0.032180986
2020-06-11,train,5,1,1,0.05,0.027280451,0.027280451
2020-06-12,train,5,1,1,0.05,-0.009327596,-0.009327596
2020-06-15,train,5,1,1,0.05,8.9010732e-05,8.9010732e-05
2020-06-16,train,5,1,1,0.05,-0.05420075,-0.05420075
2020-06-17,train,5,1,1,0.05,0.012832391,0.012832391
2020-06-18,train,5,1,1,0.05,-0.033609855,-0.033609855
2020-06-19,train,5,1,1,0.05,-0.013403961,-0.013403961
2020-06-30,train,5,1,1,0.05,-0.051468963,-0.051468963
2020-07-01,train,5,3,2,0.05,-0.034479498,-0.022849707
2020-07-02,train,5,4,3,0.05,-0.0085644965,-0.013696473
2020-07-03,train,5,8,7,0.05,-0.033965274,-0.024528071
2020-07-06,train,5,13,10,0.05,-0.049066076,-0.046772891
2020-07-07,train,5,29,24,0.05,0.014936778,0.011055348
2020-07-08,train,5,32,26,0.05,-0.038058976,-0.036548399
2020-07-09,train,5,33,25,0.05,-0.026136874,-0.021311013
2020-07-10,train,5,33,26,0.05,0.016794236,0.017760563
2020-07-13,train,5,29,24,0.05,-0.021540088,-0.019942491
2020-07-14,train,5,14,12,0.05,0.025571805,0.022841501
2020-07-15,train,5,9,8,0.05,0.01878226,0.018573334
2020-07-16,train,5,8,8,0.05,0.077553504,0.077553504
2020-07-17,train,5,4,4,0.05,0.011804132,0.011804132
2020-07-20,train,5,4,4,0.05,-0.020557137,-0.020557137
2020-07-21,train,5,6,6,0.05,0.019292808,0.019292808
2020-07-22,train,5,6,6,0.05,-0.0043659636,-0.0043659636
2020-07-23,train,5,5,5,0.05,-0.029698262,-0.029698262
2020-07-24,train,5,8,7,0.05,0.058258662,0.053016559
2020-07-27,train,5,7,7,0.05,-0.0175994,-0.0175994
2020-07-28,train,5,5,5,0.05,0.02389344,0.02389344
2020-07-29,train,5,5,5,0.05,-0.042080915,-0.042080915
2020-07-30,train,5,5,5,0.05,-0.014736846,-0.014736846
2020-07-31,train,5,3,3,0.05,-0.034779786,-0.034779786
2020-08-03,train,5,5,5,0.05,-0.032720108,-0.032720108
2020-08-04,train,5,9,8,0.05,0.03728864,0.029767434
2020-08-05,train,5,9,8,0.05,-0.02784374,-0.030150835
2020-08-06,train,5,10,9,0.05,-0.021829344,-0.022722458
2020-08-07,train,5,11,9,0.05,-0.022501849,-0.027415701
2020-08-10,train,5,10,9,0.05,0.018028168,0.012339769
2020-08-11,train,5,4,4,0.05,0.042611463,0.042611463
2020-08-12,train,5,4,4,0.05,0.041198914,0.041198914
2020-08-13,train,5,3,3,0.05,0.008129985,0.008129985
2020-08-14,train,5,1,1,0.05,-0.072227878,-0.072227878
2020-08-18,train,5,1,1,0.05,-0.019204752,-0.019204752
2020-08-19,train,5,1,1,0.05,0.075371347,0.075371347
2020-08-20,train,5,2,2,0.05,0.055666394,0.055666394
2020-08-21,train,5,2,2,0.05,0.0057719575,0.0057719575
2020-08-24,train,5,2,2,0.05,0.021669411,0.021669411
2020-08-25,train,5,1,1,0.05,0.033197121,0.033197121
2020-08-26,train,5,1,1,0.05,-0.012942363,-0.012942363
2020-08-27,train,5,1,1,0.05,0.0047438124,0.0047438124
2020-08-28,train,5,1,1,0.05,-0.099959094,-0.099959094
2020-08-31,train,5,2,1,0.05,0.033021195,0.033021195
2020-09-01,train,5,2,1,0.05,0.0067533943,0.0067533943
2020-09-02,train,5,3,2,0.05,0.009753052,0.011422394
2020-09-03,train,5,4,4,0.05,0.022636988,0.022636988
2020-09-04,train,5,4,4,0.05,0.037470051,0.037470051
2020-09-07,train,5,3,3,0.05,-0.0048613709,-0.0048613709
2020-09-08,train,5,3,3,0.05,0.019599424,0.019599424
2020-09-09,train,5,2,2,0.05,0.048120704,0.048120704
2020-09-14,train,5,1,1,0.05,0.010110262,0.010110262
2020-09-15,train,5,2,2,0.05,-0.0083594888,-0.0083594888
2020-09-16,train,5,2,2,0.05,-0.0029343455,-0.0029343455
2020-09-17,train,5,2,2,0.05,-0.019110512,-0.019110512
2020-09-18,train,5,3,3,0.05,-0.0077077737,-0.0077077737
2020-09-21,train,5,4,4,0.05,0.046244226,0.046244226
2020-09-22,train,5,3,3,0.05,0.0067350422,0.0067350422
2020-09-23,train,5,3,3,0.05,-0.006712962,-0.006712962
2020-09-24,train,5,5,5,0.05,0.030932683,0.030932683
2020-09-25,train,5,4,4,0.05,-0.0020795196,-0.0020795196
2020-09-28,train,5,2,2,0.05,-0.028799998,-0.028799998
2020-09-29,train,5,2,2,0.05,-0.016748869,-0.016748869
2020-09-30,train,5,2,2,0.05,0.0013049513,0.0013049513
2020-10-12,train,5,2,2,0.05,-0.0011722555,-0.0011722555
2020-10-13,train,5,4,4,0.05,-0.046507144,-0.046507144
2020-10-14,train,5,4,4,0.05,-0.0019905649,-0.0019905649
2020-10-15,train,5,5,5,0.05,0.012389326,0.012389326
2020-10-16,train,5,5,5,0.05,-0.009985937,-0.009985937
2020-10-19,train,5,3,3,0.05,0.012315457,0.012315457
2020-10-20,train,5,1,1,0.05,0.014136149,0.014136149
2020-10-21,train,5,1,1,0.05,-0.012214527,-0.012214527
2020-10-30,train,5,2,2,0.05,0.0072577346,0.0072577346
2020-11-02,train,5,3,3,0.05,-0.035649839,-0.035649839
2020-11-03,train,5,4,4,0.05,0.0050445856,0.0050445856
2020-11-04,train,5,4,4,0.05,-0.0063899281,-0.0063899281
2020-11-05,train,5,5,5,0.05,-0.023865727,-0.023865727
2020-11-06,train,5,6,5,0.05,0.0054050311,-0.0027322836
2020-11-09,train,5,5,4,0.05,-0.023436845,-0.034356446
2020-11-10,train,5,6,5,0.05,0.040371439,0.03798255
2020-11-11,train,5,8,7,0.05,0.02548783,0.026768082
2020-11-12,train,5,7,7,0.05,-0.011923764,-0.011923764
2020-11-13,train,5,5,5,0.05,0.031531053,0.031531053
2020-11-16,train,5,5,5,0.05,-0.017521622,-0.017521622
2020-11-17,train,5,3,3,0.05,0.035576964,0.035576964
2020-11-18,train,5,1,1,0.05,-0.00074327995,-0.00074327995
2020-11-19,train,5,2,2,0.05,0.065260786,0.065260786
2020-11-20,train,5,2,2,0.05,-0.030861413,-0.030861413
2020-11-23,train,5,2,2,0.05,-0.028802026,-0.028802026
2020-11-24,train,5,2,2,0.05,0.0064507883,0.0064507883
2020-11-25,train,5,2,2,0.05,-0.034838277,-0.034838277
2020-11-26,train,5,2,2,0.05,-0.025375646,-0.025375646
2020-11-27,train,5,1,1,0.05,-0.077060988,-0.077060988
2020-11-30,train,5,1,1,0.05,-0.055740357,-0.055740357
2020-12-01,train,5,2,2,0.05,-0.049144965,-0.049144965
2020-12-02,train,5,3,2,0.05,0.011996089,0.010390947
2020-12-03,train,5,2,2,0.05,0.038302561,0.038302561
2020-12-04,train,5,2,2,0.05,0.0064874135,0.0064874135
2020-12-07,train,5,2,2,0.05,0.016945516,0.016945516
2020-12-08,train,5,1,1,0.05,-0.057644074,-0.057644074
2020-12-18,train,5,1,1,0.05,0.0073710586,0.0073710586
2020-12-21,train,5,1,1,0.05,-0.025990104,-0.025990104
2020-12-22,train,5,5,5,0.05,0.03066961,0.03066961
2020-12-23,train,5,5,5,0.05,-0.021343804,-0.021343804
2020-12-24,train,5,8,8,0.05,0.0065054309,0.0065054309
2020-12-25,train,5,7,7,0.05,-0.037566601,-0.037566601
2020-12-28,train,5,8,8,0.05,-0.0054140707,-0.0054140707
2020-12-29,train,5,5,5,0.05,0.059619502,0.059619502
2020-12-30,train,5,6,6,0.05,-0.03874382,-0.03874382
2020-12-31,train,5,3,3,0.05,-0.0030338967,-0.0030338967
2021-01-04,train,5,5,5,0.05,-0.013725006,-0.013725006
2021-01-05,train,5,11,11,0.05,-0.02128254,-0.02128254
2021-01-06,train,5,17,15,0.05,0.007938401,0.0063330894
2021-01-07,train,5,18,16,0.05,-0.018070776,-0.015305117
2021-01-08,train,5,21,19,0.05,0.0087009595,0.0076273744
2021-01-11,train,5,21,18,0.05,0.026398316,0.021131314
2021-01-12,train,5,16,15,0.05,-0.042492253,-0.038651526
2021-01-13,train,5,12,9,0.05,-0.0017601223,-0.0030162883
2021-01-14,train,5,10,8,0.05,0.064549323,0.058945556
2021-01-15,train,5,7,6,0.05,-0.026487091,-0.014228289
2021-01-18,train,5,7,6,0.05,-0.061434846,-0.05711244
2021-01-19,train,5,10,8,0.05,-0.0026096856,-0.0027345162
2021-01-20,train,5,7,7,0.05,-0.041271645,-0.041271645
2021-01-21,train,5,8,7,0.05,-0.030919745,-0.027543024
2021-01-22,train,5,9,8,0.05,-0.021813955,-0.018808772
2021-01-25,train,5,10,9,0.05,0.0032470254,0.0017965456
2021-01-26,train,5,8,8,0.05,0.025697508,0.025697508
2021-01-27,train,5,8,8,0.05,0.01782816,0.01782816
2021-01-28,train,5,8,8,0.05,0.030333485,0.030333485
2021-01-29,train,5,7,7,0.05,-0.0030662524,-0.0030662524
2021-02-01,train,5,4,4,0.05,-0.011857705,-0.011857705
2021-02-02,train,5,1,1,0.05,0.0010913309,0.0010913309
2021-02-03,train,5,2,2,0.05,0.019664879,0.019664879
2021-02-04,train,5,1,1,0.05,0.034438065,0.034438065
2021-02-05,train,5,2,2,0.05,0.021576339,0.021576339
2021-02-08,train,5,2,2,0.05,-0.038796087,-0.038796087
2021-02-09,train,5,4,4,0.05,-0.027238377,-0.027238377
2021-02-10,train,5,7,7,0.05,-0.021635715,-0.021635715
2021-02-18,train,5,12,11,0.05,0.021404096,0.019872253
2021-02-19,train,5,12,11,0.05,0.017264565,0.017412242
2021-02-22,train,5,13,12,0.05,0.027637814,0.030022696
2021-02-23,train,5,11,10,0.05,-0.0065544812,0.0028037896
2021-02-24,train,5,8,7,0.05,0.061510953,0.054704669
2021-02-25,train,5,3,3,0.05,0.044335818,0.044335818
2021-02-26,train,5,3,3,0.05,0.0093323618,0.0093323618
2021-03-01,train,5,2,2,0.05,-0.015083341,-0.015083341
2021-03-02,train,5,4,4,0.05,-0.0088670621,-0.0088670621
2021-03-03,train,5,3,3,0.05,-0.020810155,-0.020810155
2021-03-04,train,5,3,3,0.05,0.0010044381,0.0010044381
2021-03-05,train,5,2,2,0.05,0.052187962,0.052187962
2021-03-08,train,5,2,2,0.05,-0.0055967915,-0.0055967915
2021-03-11,train,5,1,1,0.05,-0.059868742,-0.059868742
2021-03-12,train,5,3,3,0.05,-0.013563227,-0.013563227
2021-03-15,train,5,3,3,0.05,0.029966096,0.029966096
2021-03-16,train,5,4,4,0.05,0.0071777485,0.0071777485
2021-03-17,train,5,4,4,0.05,-0.016348568,-0.016348568
2021-03-18,train,5,4,4,0.05,0.0050903383,0.0050903383
2021-03-19,train,5,2,2,0.05,0.063380465,0.063380465
2021-03-22,train,5,3,3,0.05,-0.042287484,-0.042287484
2021-03-23,train,5,2,2,0.05,0.044622765,0.044622765
2021-03-24,train,5,2,2,0.05,0.038849187,0.038849187
2021-03-25,train,5,1,1,0.05,0.07266437,0.07266437
2021-03-26,train,5,1,1,0.05,0.0037313396,0.0037313396
2021-03-29,train,5,1,1,0.05,0.018774311,0.018774311
2021-03-30,train,5,1,1,0.05,-0.01877251,-0.01877251
2021-03-31,train,5,2,2,0.05,0.020114032,0.020114032
2021-04-01,train,5,2,2,0.05,-0.050131423,-0.050131423
2021-04-02,train,5,2,2,0.05,-0.027266485,-0.027266485
2021-04-06,train,5,1,1,0.05,-0.013243002,-0.013243002
2021-04-07,train,5,1,1,0.05,0.025531918,0.025531918
2021-04-20,train,5,6,6,0.05,0.0045851204,0.0045851204
2021-04-21,train,5,7,7,0.05,0.0026158533,0.0026158533
2021-04-22,train,5,7,7,0.05,0.0028382102,0.0028382102
2021-04-23,train,5,8,7,0.05,-0.0056987356,-0.0099012147
2021-04-26,train,5,8,7,0.05,0.005866237,0.0067042709
2021-04-27,train,5,2,2,0.05,0.048464154,0.048464154
2021-04-28,train,5,1,1,0.05,0.017817356,0.017817356
2021-04-29,train,5,3,3,0.05,0.0050329714,0.0050329714
2021-04-30,train,5,5,5,0.05,-0.0012303461,-0.0012303461
2021-05-06,train,5,6,6,0.05,-0.004381393,-0.004381393
2021-05-07,train,5,7,6,0.05,0.006109067,0.013412995
2021-05-10,train,5,7,6,0.05,-0.041835333,-0.032120014
2021-05-11,train,5,7,5,0.05,0.0053253924,-0.007582539
2021-05-12,train,5,4,2,0.05,-0.024727965,-0.016820305
2021-05-13,train,5,5,4,0.05,0.048851802,0.038598667
2021-05-14,train,5,4,4,0.05,-0.05411498,-0.05411498
2021-05-17,train,5,5,4,0.05,-0.038925188,-0.040438511
2021-05-18,train,5,6,4,0.05,-0.021823827,-0.019980476
2021-05-19,train,5,7,5,0.05,-0.014915782,-0.014908542
