split,event_type,entry_variant,horizon,entry_status,exit_label_status,event_path_row_count
robustness,regular_10pct_upper_close_hit,d1_close,5,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d1_close,5,complete,complete,529
robustness,regular_10pct_upper_close_hit,d1_close,10,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_close,10,complete,blocked_exit_missing_price,1
robustness,regular_10pct_upper_close_hit,d1_close,10,complete,complete,530
robustness,regular_10pct_upper_close_hit,d1_close,20,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_close,20,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d1_close,20,complete,complete,529
robustness,regular_10pct_upper_close_hit,d1_close,60,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_close,60,complete,blocked_exit_missing_price,1
robustness,regular_10pct_upper_close_hit,d1_close,60,complete,complete,530
robustness,regular_10pct_upper_close_hit,d1_close,120,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_close,120,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d1_close,120,complete,blocked_incomplete_future_return_label,82
robustness,regular_10pct_upper_close_hit,d1_close,120,complete,complete,447
robustness,regular_10pct_upper_close_hit,d1_open,1,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,1,complete,complete,531
robustness,regular_10pct_upper_close_hit,d1_open,2,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,2,complete,complete,531
robustness,regular_10pct_upper_close_hit,d1_open,5,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,5,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d1_open,5,complete,complete,529
robustness,regular_10pct_upper_close_hit,d1_open,10,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,10,complete,blocked_exit_missing_price,1
robustness,regular_10pct_upper_close_hit,d1_open,10,complete,complete,530
robustness,regular_10pct_upper_close_hit,d1_open,20,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,20,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d1_open,20,complete,complete,529
robustness,regular_10pct_upper_close_hit,d1_open,60,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,60,complete,blocked_exit_missing_price,1
robustness,regular_10pct_upper_close_hit,d1_open,60,complete,complete,530
robustness,regular_10pct_upper_close_hit,d1_open,120,blocked_one_price_limit_locked,complete,7
robustness,regular_10pct_upper_close_hit,d1_open,120,complete,blocked_exit_missing_price,2
robustness,regular_10pct_upper_close_hit,d1_open,120,complete,blocked_incomplete_future_return_label,82
robustness,regular_10pct_upper_close_hit,d1_open,120,complete,complete,447
train,nonlimit_high_return,d0_close_oracle,1,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d0_close_oracle,1,complete,complete,291
train,nonlimit_high_return,d0_close_oracle,2,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d0_close_oracle,2,complete,complete,291
train,nonlimit_high_return,d0_close_oracle,5,complete,blocked_exit_missing_price,2
train,nonlimit_high_return,d0_close_oracle,5,complete,complete,290
train,nonlimit_high_return,d0_close_oracle,10,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d0_close_oracle,10,complete,complete,291
train,nonlimit_high_return,d0_close_oracle,20,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d0_close_oracle,20,complete,complete,291
train,nonlimit_high_return,d0_close_oracle,60,complete,complete,292
train,nonlimit_high_return,d0_close_oracle,120,complete,complete,292
train,nonlimit_high_return,d1_close,1,blocked_entry_missing_d1_open,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_close,1,complete,complete,291
train,nonlimit_high_return,d1_close,2,blocked_entry_missing_d1_open,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_close,2,complete,complete,291
train,nonlimit_high_return,d1_close,5,blocked_entry_missing_d1_open,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_close,5,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_close,5,complete,complete,290
train,nonlimit_high_return,d1_close,10,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_close,10,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_close,10,complete,complete,290
train,nonlimit_high_return,d1_close,20,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_close,20,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_close,20,complete,complete,290
train,nonlimit_high_return,d1_close,60,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_close,60,complete,complete,291
train,nonlimit_high_return,d1_close,120,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_close,120,complete,complete,291
train,nonlimit_high_return,d1_open,1,blocked_entry_missing_d1_open,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_open,1,complete,complete,291
train,nonlimit_high_return,d1_open,2,blocked_entry_missing_d1_open,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_open,2,complete,complete,291
train,nonlimit_high_return,d1_open,5,blocked_entry_missing_d1_open,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_open,5,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_open,5,complete,complete,290
train,nonlimit_high_return,d1_open,10,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_open,10,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_open,10,complete,complete,290
train,nonlimit_high_return,d1_open,20,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_open,20,complete,blocked_exit_missing_price,1
train,nonlimit_high_return,d1_open,20,complete,complete,290
train,nonlimit_high_return,d1_open,60,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_open,60,complete,complete,291
train,nonlimit_high_return,d1_open,120,blocked_entry_missing_d1_open,complete,1
train,nonlimit_high_return,d1_open,120,complete,complete,291
train,regular_10pct_upper_close_hit,d0_close_oracle,1,complete,complete,483
train,regular_10pct_upper_close_hit,d0_close_oracle,2,complete,complete,483
train,regular_10pct_upper_close_hit,d0_close_oracle,5,complete,complete,483
train,regular_10pct_upper_close_hit,d0_close_oracle,10,complete,complete,483
train,regular_10pct_upper_close_hit,d0_close_oracle,20,complete,blocked_exit_missing_price,1
train,regular_10pct_upper_close_hit,d0_close_oracle,20,complete,complete,482
train,regular_10pct_upper_close_hit,d0_close_oracle,60,complete,blocked_exit_missing_price,2
train,regular_10pct_upper_close_hit,d0_close_oracle,60,complete,complete,481
train,regular_10pct_upper_close_hit,d0_close_oracle,120,complete,complete,483
train,regular_10pct_upper_close_hit,d1_close,1,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,1,complete,complete,480
train,regular_10pct_upper_close_hit,d1_close,2,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,2,complete,complete,480
train,regular_10pct_upper_close_hit,d1_close,5,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,5,complete,complete,480
train,regular_10pct_upper_close_hit,d1_close,10,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,10,complete,complete,480
train,regular_10pct_upper_close_hit,d1_close,20,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,20,complete,blocked_exit_missing_price,1
train,regular_10pct_upper_close_hit,d1_close,20,complete,complete,479
train,regular_10pct_upper_close_hit,d1_close,60,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,60,complete,blocked_exit_missing_price,2
train,regular_10pct_upper_close_hit,d1_close,60,complete,complete,478
train,regular_10pct_upper_close_hit,d1_close,120,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_close,120,complete,complete,480
train,regular_10pct_upper_close_hit,d1_open,1,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,1,complete,complete,480
train,regular_10pct_upper_close_hit,d1_open,2,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,2,complete,complete,480
train,regular_10pct_upper_close_hit,d1_open,5,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,5,complete,complete,480
train,regular_10pct_upper_close_hit,d1_open,10,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,10,complete,complete,480
train,regular_10pct_upper_close_hit,d1_open,20,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,20,complete,blocked_exit_missing_price,1
train,regular_10pct_upper_close_hit,d1_open,20,complete,complete,479
train,regular_10pct_upper_close_hit,d1_open,60,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,60,complete,blocked_exit_missing_price,2
train,regular_10pct_upper_close_hit,d1_open,60,complete,complete,478
train,regular_10pct_upper_close_hit,d1_open,120,blocked_one_price_limit_locked,complete,3
train,regular_10pct_upper_close_hit,d1_open,120,complete,complete,480
validation,nonlimit_high_return,d0_close_oracle,1,complete,complete,157
validation,nonlimit_high_return,d0_close_oracle,2,complete,complete,157
validation,nonlimit_high_return,d0_close_oracle,5,complete,complete,157
validation,nonlimit_high_return,d0_close_oracle,10,complete,complete,157
validation,nonlimit_high_return,d0_close_oracle,20,complete,complete,157
validation,nonlimit_high_return,d0_close_oracle,60,complete,complete,157
validation,nonlimit_high_return,d0_close_oracle,120,complete,complete,157
validation,nonlimit_high_return,d1_close,1,complete,complete,157
validation,nonlimit_high_return,d1_close,2,complete,complete,157
validation,nonlimit_high_return,d1_close,5,complete,complete,157
validation,nonlimit_high_return,d1_close,10,complete,complete,157
validation,nonlimit_high_return,d1_close,20,complete,complete,157
validation,nonlimit_high_return,d1_close,60,complete,complete,157
validation,nonlimit_high_return,d1_close,120,complete,complete,157
validation,nonlimit_high_return,d1_open,1,complete,complete,157
validation,nonlimit_high_return,d1_open,2,complete,complete,157
validation,nonlimit_high_return,d1_open,5,complete,complete,157
validation,nonlimit_high_return,d1_open,10,complete,complete,157
validation,nonlimit_high_return,d1_open,20,complete,complete,157
validation,nonlimit_high_return,d1_open,60,complete,complete,157
validation,nonlimit_high_return,d1_open,120,complete,complete,157
validation,regular_10pct_upper_close_hit,d0_close_oracle,1,complete,complete,187
validation,regular_10pct_upper_close_hit,d0_close_oracle,2,complete,complete,187
validation,regular_10pct_upper_close_hit,d0_close_oracle,5,complete,complete,187
validation,regular_10pct_upper_close_hit,d0_close_oracle,10,complete,complete,187
validation,regular_10pct_upper_close_hit,d0_close_oracle,20,complete,complete,187
validation,regular_10pct_upper_close_hit,d0_close_oracle,60,complete,complete,187
validation,regular_10pct_upper_close_hit,d0_close_oracle,120,complete,complete,187
validation,regular_10pct_upper_close_hit,d1_close,1,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,1,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_close,2,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,2,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_close,5,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,5,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_close,10,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,10,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_close,20,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,20,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_close,60,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,60,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_close,120,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_close,120,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,1,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,1,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,2,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,2,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,5,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,5,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,10,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,10,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,20,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,20,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,60,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,60,complete,complete,186
validation,regular_10pct_upper_close_hit,d1_open,120,blocked_one_price_limit_locked,complete,1
validation,regular_10pct_upper_close_hit,d1_open,120,complete,complete,186
