artifact_role,artifact_path,resolved_path,required_flag,lineage_role,read_status,row_count,column_count,sha256,schema_status,required_column_missing_list
upstream_13a_config,experiments/pending/13_full_pit_native_event_discovery_v0/configs/config_13a_full_pit_native_token_cartography_preflight.yaml,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/configs/config_13a_full_pit_native_token_cartography_preflight.yaml,True,upstream_13a_lineage,pass,,,84b320f0d93763ffbc375724211e4d3d5e8a555040628f1832bd86b73fbaa04d,not_checked,
upstream_13a_decision,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_token_cartography_decision.csv,True,upstream_13a_lineage,pass,1.0,18.0,22006d8f40c1df0b0cf8a52b6e8858e01a958b6517c62e104dac383dd7adde99,pass,
upstream_13a_universe_definition,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_universe_definition_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_universe_definition_audit.csv,True,upstream_13a_lineage,pass,32.0,11.0,ff76fd5bf1769013e1c0e3cc5e11d7d85bd7bee64a3138003075e173a9c98aab,pass,
upstream_13a_universe_thresholds,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_universe_frozen_thresholds.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/publishable/tables/13A_full_pit_native_token_cartography_preflight/native_universe_frozen_thresholds.csv,True,upstream_13a_lineage,pass,4.0,10.0,0a40b16a6771d0cf6c7a5ef46c23985726f541b318ec329dce975603207cc1bc,pass,
upstream_13a_native_universe_cache,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_universe_panel.parquet,False,upstream_13a_lineage,pass,431239.0,81.0,a9557622571efe0a06ac20f9d0fcddc1a987810febc850d0f973df242e74cd2e,pass,
upstream_13a_native_label_cache,experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_label_panel.parquet,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/13_full_pit_native_event_discovery_v0/outputs/local_cache/13A_full_pit_native_token_cartography_preflight/native_label_panel.parquet,False,upstream_13a_lineage,pass,431239.0,12.0,fa821c6fc0ea22c85dfa77f10af23def4f55d3d5caac8215896f76a1364d9e5d,pass,
upstream_12a7g_decision,experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/vol_scaled_label_separability_decision.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/vol_scaled_label_separability_decision.csv,True,upstream_12a7g_label_lineage,pass,1.0,15.0,eb9544793f0b96b8f7cd6884ca38e1d1ae1e17078b6f8126e3c64f163d2714f8,pass,
upstream_12a7g_label_formula,experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/label_formula_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/label_formula_audit.csv,True,upstream_12a7g_label_lineage,pass,75.0,12.0,c3e9df48dad00f0a1503709a5bf59fc241947b3d7b12b119848a61679e29f280,pass,
upstream_12a7g_label_selection,experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/label_selection_train_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/label_selection_train_audit.csv,True,upstream_12a7g_label_lineage,pass,75.0,15.0,f7e7044fe75533c924068cab4c3ec9ae67dbd5877ada355acbf0ac6653f2c1f8,pass,
upstream_12a7g_split_boundary,experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/full_universe_split_boundary_audit.csv,/home/xiaolv/code/a_share/topics/02_AFML_BIG_WINNER/experiments/pending/12_multi_k_winner_failure_path_morphology_research_v0/outputs/publishable/tables/12A7g_vol_scaled_label_panel_c0_separability_triage/full_universe_split_boundary_audit.csv,True,upstream_12a7g_label_lineage,pass,4.0,7.0,0fb6f08fa911e00136ddf910c19dab9a0df9da659c1a2850d09930aa54ab6678,pass,
