instrument,anchor_row_n,qfq_row_n,missing_qfq_file_flag,missing_reference_pos_n,missing_entry_pos_n,missing_entry_price_n,min_available_forward_sessions,median_available_forward_sessions,max_available_forward_sessions,price_path_status,blocking_reason
SH600549,798,2281,False,0,0,0,125.0,1094.5,2030.0,pass,
SH600556,205,2112,False,0,0,0,1092.0,1407.0,1549.0,pass,
SH600559,151,2084,False,0,0,0,750.0,1173.0,2020.0,pass,
SH600562,194,2280,False,0,0,0,136.0,237.5,1436.0,pass,
SH600563,329,2281,False,0,0,0,353.0,1083.0,1347.0,pass,
SH600566,130,2280,False,0,0,0,373.0,539.5,1061.0,pass,
SH600568,15,2123,False,0,0,0,1923.0,1930.0,1937.0,pass,
SH600570,871,2279,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600578,46,2281,False,0,0,0,208.0,231.5,1748.0,pass,
SH600580,198,2275,False,0,0,0,125.0,223.5,1549.0,pass,
SH600582,121,2281,False,0,0,0,400.0,1721.0,2030.0,pass,
SH600583,415,2281,False,0,0,0,486.0,1436.0,2030.0,pass,
SH600584,861,2263,False,0,0,0,125.0,1107.0,2025.0,pass,
SH600585,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600588,442,2279,False,0,0,0,125.0,489.5,1117.0,pass,
SH600596,21,2267,False,0,0,0,941.0,1117.0,1937.0,pass,
SH600597,137,2281,False,0,0,0,1270.0,1405.0,2030.0,pass,
SH600598,461,2281,False,0,0,0,832.0,1413.0,2030.0,pass,
SH600600,858,2281,False,0,0,0,125.0,1123.0,2030.0,pass,
SH600601,56,2277,False,0,0,0,125.0,152.5,181.0,pass,
SH600602,35,2210,False,0,0,0,195.0,280.0,309.0,pass,
SH600604,125,2281,False,0,0,0,1424.0,1619.0,2027.0,pass,
SH600606,679,2276,False,0,0,0,209.0,1270.0,2025.0,pass,
SH600612,505,2281,False,0,0,0,242.0,1359.0,2017.0,pass,
SH600621,231,2275,False,0,0,0,1286.0,1450.0,2030.0,pass,
SH600622,16,2281,False,0,0,0,1992.0,2022.5,2030.0,pass,
SH600623,98,2281,False,0,0,0,1129.0,1730.5,2018.0,pass,
SH600629,4,2281,False,0,0,0,145.0,146.5,148.0,pass,
SH600633,27,2242,False,0,0,0,1748.0,2017.0,2030.0,pass,
SH600635,103,2280,False,0,0,0,1587.0,1724.0,2029.0,pass,
SH600637,495,2274,False,0,0,0,134.0,1396.0,2030.0,pass,
SH600639,57,2281,False,0,0,0,1428.0,1724.0,1752.0,pass,
SH600640,53,2281,False,0,0,0,1434.0,1539.0,1715.0,pass,
SH600641,148,2201,False,0,0,0,915.0,1411.0,1551.0,pass,
SH600642,711,2281,False,0,0,0,125.0,927.0,2030.0,pass,
SH600643,129,2206,False,0,0,0,1550.0,1726.0,2029.0,pass,
SH600648,137,2271,False,0,0,0,1453.0,1607.0,2019.0,pass,
SH600649,76,2223,False,0,0,0,1618.0,1745.5,2030.0,pass,
SH600655,156,2069,False,0,0,0,536.0,832.5,1094.0,pass,
SH600657,18,2158,False,0,0,0,1724.0,1733.5,1745.0,pass,
SH600660,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600663,621,2271,False,0,0,0,125.0,808.0,2020.0,pass,
SH600664,6,2183,False,0,0,0,1528.0,1733.5,1736.0,pass,
SH600666,1,2020,False,0,0,0,1944.0,1944.0,1944.0,pass,
SH600667,283,2281,False,0,0,0,1316.0,1521.0,2030.0,pass,
SH600673,556,2032,False,0,0,0,116.0,919.5,1968.0,pass,
SH600674,653,2281,False,0,0,0,125.0,798.0,1426.0,pass,
SH600675,54,2273,False,0,0,0,1408.0,1721.5,1748.0,pass,
SH600681,21,2209,False,0,0,0,1753.0,2020.0,2030.0,pass,
SH600682,107,2131,False,0,0,0,1405.0,1727.0,1947.0,pass,
SH600685,834,2157,False,0,0,0,125.0,1087.5,1943.0,pass,
SH600688,628,2281,False,0,0,0,203.0,1083.5,2030.0,pass,
SH600690,396,2279,False,0,0,0,125.0,377.5,949.0,pass,
SH600699,527,2278,False,0,0,0,125.0,1362.0,2030.0,pass,
SH600702,317,2269,False,0,0,0,518.0,1071.0,1333.0,pass,
SH600703,871,2281,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600704,483,2281,False,0,0,0,208.0,1397.0,2030.0,pass,
SH600707,294,2280,False,0,0,0,288.0,1213.5,2016.0,pass,
SH600708,9,2281,False,0,0,0,2016.0,2020.0,2025.0,pass,
SH600711,86,2228,False,0,0,0,125.0,1096.5,1177.0,pass,
SH600715,19,2128,False,0,0,0,1942.0,1995.0,2004.0,pass,
SH600717,27,2281,False,0,0,0,1736.0,2017.0,2030.0,pass,
SH600718,123,2271,False,0,0,0,1495.0,1720.0,2020.0,pass,
SH600728,15,2281,False,0,0,0,1453.0,1463.0,1470.0,pass,
SH600729,9,2247,False,0,0,0,1720.0,1758.0,1940.0,pass,
SH600732,34,2177,False,0,0,0,130.0,524.5,542.0,pass,
SH600733,765,1857,False,0,0,0,125.0,1066.0,1674.0,pass,
SH600737,258,2281,False,0,0,0,125.0,1548.5,2030.0,pass,
SH600739,474,2274,False,0,0,0,1061.0,1406.0,2030.0,pass,
SH600740,40,2269,False,0,0,0,1130.0,1755.5,1953.0,pass,
SH600741,867,2281,False,0,0,0,125.0,1113.0,2030.0,pass,
SH600745,130,2095,False,0,0,0,124.0,189.5,287.0,pass,
SH600746,16,2279,False,0,0,0,1132.0,1145.5,1160.0,pass,
SH600748,45,2280,False,0,0,0,1670.0,1731.0,1753.0,pass,
SH600751,2,2110,False,0,0,0,1858.0,1858.5,1859.0,pass,
SH600754,699,2281,False,0,0,0,283.0,1220.0,2030.0,pass,
SH600760,871,2269,False,0,0,0,125.0,1100.0,2030.0,pass,
SH600763,584,2281,False,0,0,0,606.0,1308.5,1953.0,pass,
SH600764,212,2150,False,0,0,0,1063.0,1400.5,1553.0,pass,
SH600765,306,2271,False,0,0,0,292.0,812.5,1307.0,pass,
SH600771,22,2281,False,0,0,0,1174.0,2019.5,2030.0,pass,
SH600773,9,2276,False,0,0,0,1131.0,1135.0,1145.0,pass,
SH600775,2,2281,False,0,0,0,1721.0,1721.5,1722.0,pass,
SH600776,172,2281,False,0,0,0,1419.0,1545.5,1771.0,pass,
SH600777,92,2184,False,0,0,0,201.0,1695.5,1938.0,pass,
SH600779,606,2279,False,0,0,0,353.0,1311.5,2028.0,pass,
SH600782,173,2281,False,0,0,0,1129.0,1624.0,2030.0,pass,
SH600783,35,2281,False,0,0,0,1716.0,1750.0,1768.0,pass,
SH600787,23,2281,False,0,0,0,1731.0,2019.0,2030.0,pass,
SH600795,840,2217,False,0,0,0,125.0,1085.5,2030.0,pass,
SH600797,3,2266,False,0,0,0,1950.0,1953.0,2028.0,pass,
SH600801,729,2279,False,0,0,0,125.0,1202.0,2028.0,pass,
SH600803,479,2239,False,0,0,0,125.0,511.0,1177.0,pass,
SH600808,427,2281,False,0,0,0,189.0,1411.0,2030.0,pass,
SH600809,864,2270,False,0,0,0,125.0,1096.5,2020.0,pass,
SH600811,68,1929,False,0,0,0,1130.0,1464.5,1673.0,pass,
SH600812,80,2272,False,0,0,0,1358.0,1415.5,1618.0,pass,
SH600816,351,2225,False,0,0,0,162.0,1144.0,1974.0,pass,
SH600820,195,2281,False,0,0,0,1428.0,1607.0,2030.0,pass,
SH600827,273,2281,False,0,0,0,1136.0,1335.0,2030.0,pass,
SH600835,184,2281,False,0,0,0,1289.0,1614.5,2030.0,pass,
SH600839,281,2281,False,0,0,0,125.0,298.0,2030.0,pass,
SH600845,368,2279,False,0,0,0,125.0,363.5,855.0,pass,
SH600848,528,2204,False,0,0,0,374.0,1362.5,1953.0,pass,
SH600859,315,2156,False,0,0,0,754.0,1213.0,2013.0,pass,
SH600862,707,2281,False,0,0,0,170.0,1072.0,1732.0,pass,
SH600863,141,2273,False,0,0,0,332.0,515.0,1620.0,pass,
SH600864,88,2281,False,0,0,0,1542.0,1624.5,1751.0,pass,
SH600867,396,2269,False,0,0,0,1173.0,1445.5,2030.0,pass,
