checkpoint,survival_lift_grain,seed_primary_family_id_or_all,pre_checkpoint_episode_count,survivor_episode_count,non_survivor_episode_count,survivor_rate,survivor_label_denominator_count,survivor_good_count,survivor_bad_count,survivor_neutral_count,survivor_P_good,survivor_P_bad,survivor_P_neutral,survivor_P_good_lower,survivor_P_good_upper,survivor_P_bad_lower,survivor_P_bad_upper,survivor_credible_interval_width_good,survivor_credible_interval_width_bad,non_survivor_label_denominator_count,non_survivor_good_count,non_survivor_bad_count,non_survivor_neutral_count,non_survivor_P_good,non_survivor_P_bad,non_survivor_P_neutral,non_survivor_P_good_lower,non_survivor_P_good_upper,non_survivor_P_bad_lower,non_survivor_P_bad_upper,non_survivor_credible_interval_width_good,non_survivor_credible_interval_width_bad,survival_lift_good_vs_t0_same_grain,survival_lift_bad_vs_t0_same_grain,split_stability_status
T+5,by_seed_primary_family_id,momentum_rps,195,117,78,0.6,100,55,44,1,0.55,0.44,0.01,0.46534261630644,0.6271994446954114,0.35845306445929676,0.5197810456566887,0.16185682838897142,0.16132798119739195,63,0,63,0,0.0,1.0,0.0,3.083960073262363e-05,0.029679219394399915,0.9539186476235473,0.9991925577415289,0.02964837979366729,0.04527391011798165,0.21257668711656447,-0.21644171779141103,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,multi_family_bundle,6948,4895,2053,0.7045192861255037,3823,1890,1786,147,0.4943761443892231,0.4671723777138373,0.038451477896939576,0.4810182935942018,0.5076110525776352,0.4538612114589975,0.48039811180569153,0.026592758983433384,0.026536900346694037,1553,0,1553,0,0.0,1.0,0.0,1.2653700599344591e-06,0.001235425679816896,0.9980734820211972,0.9999669826536217,0.0012341603097569616,0.0018935006324245496,0.14281364438922312,-0.1539213722861627,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,oscillator,32,27,5,0.84375,22,9,12,1,0.4090909090909091,0.5454545454545454,0.045454545454545456,0.24566286074887383,0.5723134286533889,0.36415890210453294,0.6965145047007333,0.326650567904515,0.33235560259620034,5,0,5,0,0.0,1.0,0.0,0.0003415449316947667,0.28346339458861836,0.5800281772294446,0.9907172992374312,0.2831218496569236,0.4106891220079867,0.0757575757575758,-0.08417508417508424,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,price_trend,235,139,96,0.5914893617021276,109,61,47,1,0.5596330275229358,0.43119266055045874,0.009174311926605505,0.4785459988467013,0.6334065480112083,0.35343176056076114,0.5077470604361591,0.15486054916450703,0.154315299875398,80,0,80,0,0.0,1.0,0.0,2.43472028646622e-05,0.02350520874346988,0.9634698676038699,0.9993630191772641,0.023480861540605216,0.03589315157339423,0.23688170477161302,-0.24076501140721324,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,pullback_drawdown,449,271,178,0.6035634743875279,226,117,106,3,0.5176991150442478,0.4690265486725664,0.01327433628318584,0.4620066313713557,0.5707952451485603,0.4139786254447966,0.5226044123600715,0.10878861377720456,0.10862578691527491,146,0,146,0,0.0,1.0,0.0,1.3397301351453849e-05,0.013003121743992034,0.9797589720441714,0.9996499364101962,0.01298972444264058,0.019890964366024777,0.20318298601198975,-0.20839280616614325,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,range_breakout,2316,1933,383,0.8346286701208981,1523,689,743,91,0.45239658568614577,0.48785292186474066,0.05975049244911359,0.431353474217141,0.47327660621100465,0.4666586842770743,0.5087614395670272,0.04192313199386366,0.04210275528995294,309,0,309,0,0.0,1.0,0.0,6.347257850612393e-06,0.006181711557818695,0.9903674290923206,0.9998342841867038,0.0061753642999680825,0.009466855094383275,0.07630488262937724,-0.0863828859955213,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,volatility_band,238,186,52,0.7815126050420168,147,74,67,6,0.5034013605442177,0.4557823129251701,0.04081632653061224,0.434376027405802,0.5689651023981955,0.38788026740037135,0.5219092192032043,0.13458907499239353,0.13402895180283297,44,0,44,0,0.0,1.0,0.0,4.3932873624689306e-05,0.042011782722771104,0.9348961490733708,0.9988480057545679,0.041967849849146414,0.06395185668119707,0.11596680557039568,-0.1253695195355629,same_grain_recomputed_r03a
T+5,by_seed_primary_family_id,volume_money,590,469,121,0.7949152542372881,367,173,180,14,0.4713896457765668,0.4904632152588556,0.03814713896457766,0.4281976657015869,0.5136379826663446,0.4470706965697744,0.5326394134379564,0.08544031696475773,0.08556871686818202,92,0,92,0,0.0,1.0,0.0,2.119721844921216e-05,0.020495552806723744,0.9681325252278618,0.9994456316174787,0.020474355588274533,0.03131310638961693,0.0944833276937781,-0.10212937733373695,same_grain_recomputed_r03a
T+10,global,all,11003,6560,4443,0.5962010360810688,5149,3068,1817,264,0.5958438531753738,0.352884055156341,0.05127209166828511,0.5844997128276062,0.6069928018592661,0.34195947801065146,0.36386220859789564,0.02249308903165992,0.02190273058724418,3460,0,3460,0,0.0,1.0,0.0,5.681050166599661e-07,0.000554849813322043,0.9991346811285334,0.9999851776002769,0.0005542817083053831,0.0008504964717435115,0.23947261377474655,-0.2600791229131212,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,momentum_rps,195,96,99,0.49230769230769234,81,55,25,1,0.6790123456790124,0.30864197530864196,0.012345679012345678,0.5858673752324401,0.754797003846873,0.2285677784179245,0.3949079198277449,0.16892962861443284,0.16634014140982042,82,0,82,0,0.0,1.0,0.0,2.375876326650302e-05,0.022943687074537596,0.9643394629717849,0.9993784563366703,0.02291992831127109,0.03503899336488547,0.3415890327955768,-0.34779974248276907,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,multi_family_bundle,6948,3957,2991,0.5695164075993091,3084,1890,1047,147,0.6128404669260701,0.33949416342412453,0.047665369649805445,0.5982403120945583,0.6270857807108315,0.3255302532727709,0.3535704005328971,0.02884546861627324,0.028040147260126214,2292,0,2292,0,0.0,1.0,0.0,8.575157105390873e-07,0.0008373896293050195,0.998694099985113,0.9999776258579874,0.0008365321135944804,0.0012835258728743915,0.2612779669260701,-0.28159958657587547,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,oscillator,32,26,6,0.8125,21,9,11,1,0.42857142857142855,0.5238095238095238,0.047619047619047616,0.25835100311341747,0.5941329635855814,0.34053289082682825,0.6805405099371662,0.33578196047216397,0.34000761911033794,6,0,6,0,0.0,1.0,0.0,0.000291027984323447,0.24731627674955173,0.6307271692954114,0.9921397783193865,0.24702524876522827,0.3614126090239751,0.09523809523809523,-0.10582010582010581,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,price_trend,235,111,124,0.4723404255319149,88,61,26,1,0.6931818181818182,0.29545454545454547,0.011363636363636364,0.6046011642605071,0.7649188487998153,0.2197819515086881,0.37760620711142956,0.16031768453930817,0.15782425560274146,101,0,101,0,0.0,1.0,0.0,1.93223102051437e-05,0.0186997662704385,0.9709166985805634,0.9994947750150811,0.018680443960233356,0.028578076434517707,0.3704304954304955,-0.3765031265031265,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,pullback_drawdown,449,209,240,0.46547884187082406,175,117,55,3,0.6685714285714286,0.3142857142857143,0.017142857142857144,0.6064067854166837,0.7228966056983608,0.2583258757103938,0.3729667993089725,0.11648982028167709,0.11464092359857869,197,0,197,0,0.0,1.0,0.0,9.942142368298253e-06,0.009665881811153848,0.9849461940064579,0.9997403208394964,0.00965593966878555,0.01479412683303849,0.35405529953917053,-0.36313364055299535,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,range_breakout,2316,1622,694,0.7003454231433506,1281,689,501,91,0.5378610460577674,0.3911007025761124,0.07103825136612021,0.5146961175882243,0.5604808101686947,0.36872454137893895,0.41353502911409423,0.045784692580470354,0.04481048773515528,551,0,551,0,0.0,1.0,0.0,3.5633281287672117e-06,0.0034751058562148183,0.9945827549961976,0.9999069974448833,0.0034715425280860512,0.005324242448685679,0.16176934300099888,-0.18313510528414956,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,volatility_band,238,157,81,0.6596638655462185,125,74,45,6,0.592,0.36,0.048,0.5164254231048206,0.6598347803096668,0.29102562773693047,0.4308747040899705,0.14340935720484616,0.13984907635304,66,0,66,0,0.0,1.0,0.0,2.9453591598257535e-05,0.02836446829678108,0.9559510161145639,0.999228969661618,0.02833501470518282,0.043277953547054104,0.20456544502617796,-0.221151832460733,same_grain_recomputed_r03a
T+10,by_seed_primary_family_id,volume_money,590,382,208,0.6474576271186441,294,173,107,14,0.5884353741496599,0.36394557823129253,0.047619047619047616,0.5397641500059798,0.6338449228900273,0.31835414558629493,0.41027629465537957,0.09408077288404748,0.09192214906908464,165,0,165,0,0.0,1.0,0.0,1.186157526623264e-05,0.011521197801561413,0.9820617395706485,0.9996901187518913,0.01150933622629518,0.017628379181242826,0.21152905606687117,-0.22864701436130003,same_grain_recomputed_r03a
