feature_name,orientation_selected_on_train,split,budget,selected_n,selected_continuation_rate,frontier_status
primary_family_is_B5,asc,train,0.5,1554,0.1615186615186615,ok
primary_family_is_B5,asc,validation,0.5,646,0.07120743034055728,ok
primary_family_is_B5,asc,robustness,0.5,1393,0.10839913854989232,ok
has_B5_trigger,asc,all,0.5,3593,0.12246033954912329,ok
has_B5_trigger,asc,train,0.5,1554,0.15637065637065636,ok
has_B5_trigger,asc,validation,0.5,646,0.07120743034055728,ok
has_B5_trigger,asc,robustness,0.5,1393,0.10839913854989232,ok
primary_family_is_B6,desc,all,0.5,3593,0.10659615919844141,ok
primary_family_is_B6,desc,train,0.5,1554,0.14285714285714285,ok
primary_family_is_B6,desc,validation,0.5,646,0.0696594427244582,ok
primary_family_is_B6,desc,robustness,0.5,1393,0.0832735104091888,ok
has_B6_trigger,desc,all,0.5,3593,0.11021430559421097,ok
has_B6_trigger,desc,train,0.5,1554,0.1435006435006435,ok
has_B6_trigger,desc,validation,0.5,646,0.06346749226006192,ok
has_B6_trigger,desc,robustness,0.5,1393,0.09475951184493898,ok
primary_family_is_B8,desc,all,0.5,3593,0.10937934873364877,ok
primary_family_is_B8,desc,train,0.5,1554,0.14671814671814673,ok
primary_family_is_B8,desc,validation,0.5,646,0.058823529411764705,ok
primary_family_is_B8,desc,robustness,0.5,1393,0.09117013639626705,ok
has_B8_trigger,desc,all,0.5,3593,0.11912051210687448,ok
has_B8_trigger,desc,train,0.5,1554,0.15637065637065636,ok
has_B8_trigger,desc,validation,0.5,646,0.05263157894736842,ok
has_B8_trigger,desc,robustness,0.5,1393,0.10839913854989232,ok
ret_5d,desc,all,0.5,3593,0.14138602838853326,ok
ret_5d,desc,train,0.5,1554,0.16666666666666666,ok
ret_5d,desc,validation,0.5,646,0.0696594427244582,ok
ret_5d,desc,robustness,0.5,1393,0.1464465183058148,ok
ret_10d,desc,all,0.5,3593,0.13498469245755637,ok
ret_10d,desc,train,0.5,1554,0.15894465894465895,ok
ret_10d,desc,validation,0.5,646,0.07120743034055728,ok
ret_10d,desc,robustness,0.5,1393,0.13783201722900215,ok
ret_20d,desc,all,0.5,3593,0.14194266629557473,ok
ret_20d,desc,train,0.5,1554,0.1640926640926641,ok
ret_20d,desc,validation,0.5,646,0.09287925696594428,ok
ret_20d,desc,robustness,0.5,1393,0.1399856424982053,ok
ret_60d,desc,all,0.5,3593,0.13414973559699417,ok
ret_60d,desc,train,0.5,1554,0.15315315315315314,ok
ret_60d,desc,validation,0.5,646,0.0913312693498452,ok
ret_60d,desc,robustness,0.5,1393,0.13280689160086145,ok
volatility_20d,desc,all,0.5,3593,0.1536320623434456,ok
volatility_20d,desc,train,0.5,1554,0.1833976833976834,ok
volatility_20d,desc,validation,0.5,646,0.07739938080495357,ok
volatility_20d,desc,robustness,0.5,1393,0.15577889447236182,ok
volatility_60d,desc,all,0.5,3593,0.16003339827442248,ok
volatility_60d,desc,train,0.5,1554,0.20270270270270271,ok
volatility_60d,desc,validation,0.5,646,0.07894736842105263,ok
volatility_60d,desc,robustness,0.5,1393,0.15003589375448673,ok
distance_to_20d_high,asc,all,0.5,3593,0.1450041747843028,ok
distance_to_20d_high,asc,train,0.5,1554,0.16666666666666666,ok
distance_to_20d_high,asc,validation,0.5,646,0.08359133126934984,ok
distance_to_20d_high,asc,robustness,0.5,1393,0.14931801866475233,ok
distance_to_60d_high,asc,all,0.5,3593,0.12580016699137211,ok
distance_to_60d_high,asc,train,0.5,1554,0.1537966537966538,ok
distance_to_60d_high,asc,validation,0.5,646,0.07430340557275542,ok
distance_to_60d_high,asc,robustness,0.5,1393,0.11844938980617373,ok
distance_to_120d_high,asc,all,0.5,3593,0.13414973559699417,ok
distance_to_120d_high,asc,train,0.5,1554,0.15572715572715573,ok
distance_to_120d_high,asc,validation,0.5,646,0.07585139318885449,ok
distance_to_120d_high,asc,robustness,0.5,1393,0.13711414213926776,ok
distance_to_20d_low,desc,all,0.5,3593,0.15029223490119678,ok
distance_to_20d_low,desc,train,0.5,1554,0.17503217503217502,ok
distance_to_20d_low,desc,validation,0.5,646,0.08668730650154799,ok
distance_to_20d_low,desc,robustness,0.5,1393,0.15218951902368988,ok
distance_to_60d_low,desc,all,0.5,3593,0.15112719176175898,ok
distance_to_60d_low,desc,train,0.5,1554,0.18082368082368083,ok
distance_to_60d_low,desc,validation,0.5,646,0.09287925696594428,ok
distance_to_60d_low,desc,robustness,0.5,1393,0.14501076812634603,ok
distance_to_120d_low,desc,all,0.5,3593,0.16198163094906765,ok
distance_to_120d_low,desc,train,0.5,1554,0.1969111969111969,ok
distance_to_120d_low,desc,validation,0.5,646,0.08823529411764706,ok
distance_to_120d_low,desc,robustness,0.5,1393,0.15721464465183058,ok
turnover_zscore_20d,asc,all,0.5,3593,0.1288616754801002,ok
turnover_zscore_20d,asc,train,0.5,1554,0.1640926640926641,ok
turnover_zscore_20d,asc,validation,0.5,646,0.07585139318885449,ok
turnover_zscore_20d,asc,robustness,0.5,1393,0.11414213926776741,ok
gap_open_prev_day,asc,all,0.5,3593,0.12413025327024771,ok
gap_open_prev_day,asc,train,0.5,1554,0.15572715572715573,ok
gap_open_prev_day,asc,validation,0.5,646,0.07275541795665634,ok
gap_open_prev_day,asc,robustness,0.5,1393,0.11270638908829864,ok
trend_ma_5_20_spread,desc,all,0.5,3593,0.14138602838853326,ok
trend_ma_5_20_spread,desc,train,0.5,1554,0.16666666666666666,ok
trend_ma_5_20_spread,desc,validation,0.5,646,0.08359133126934984,ok
trend_ma_5_20_spread,desc,robustness,0.5,1393,0.1399856424982053,ok
trend_ma_20_60_spread,desc,all,0.5,3593,0.13971611466740885,ok
trend_ma_20_60_spread,desc,train,0.5,1554,0.16602316602316602,ok
trend_ma_20_60_spread,desc,validation,0.5,646,0.09597523219814241,ok
trend_ma_20_60_spread,desc,robustness,0.5,1393,0.1306532663316583,ok
max_drawdown_20d,asc,all,0.5,3593,0.14472585583078207,ok
max_drawdown_20d,asc,train,0.5,1554,0.18018018018018017,ok
max_drawdown_20d,asc,validation,0.5,646,0.0696594427244582,ok
max_drawdown_20d,asc,robustness,0.5,1393,0.1399856424982053,ok
rebound_from_20d_low,desc,all,0.5,3593,0.15029223490119678,ok
rebound_from_20d_low,desc,train,0.5,1554,0.17503217503217502,ok
rebound_from_20d_low,desc,validation,0.5,646,0.08668730650154799,ok
rebound_from_20d_low,desc,robustness,0.5,1393,0.15218951902368988,ok
max_drawdown_60d,asc,all,0.5,3593,0.1480656832730309,ok
max_drawdown_60d,asc,train,0.5,1554,0.18983268983268983,ok
max_drawdown_60d,asc,validation,0.5,646,0.07585139318885449,ok
max_drawdown_60d,asc,robustness,0.5,1393,0.1349605168700646,ok
rebound_from_60d_low,desc,all,0.5,3593,0.15112719176175898,ok
rebound_from_60d_low,desc,train,0.5,1554,0.18082368082368083,ok
rebound_from_60d_low,desc,validation,0.5,646,0.09287925696594428,ok
rebound_from_60d_low,desc,robustness,0.5,1393,0.14501076812634603,ok
return_sign_entropy_20d,asc,all,0.5,3593,0.1466740885054272,ok
return_sign_entropy_20d,asc,train,0.5,1554,0.18404118404118405,ok
return_sign_entropy_20d,asc,validation,0.5,646,0.08359133126934984,ok
return_sign_entropy_20d,asc,robustness,0.5,1393,0.1342426417803302,ok
binned_return_entropy_20d,desc,all,0.5,3593,0.12496521013080991,ok
binned_return_entropy_20d,desc,train,0.5,1554,0.15765765765765766,ok
binned_return_entropy_20d,desc,validation,0.5,646,0.06811145510835913,ok
binned_return_entropy_20d,desc,robustness,0.5,1393,0.11486001435750179,ok
up_down_transition_entropy_20d,asc,all,0.5,3593,0.14472585583078207,ok
up_down_transition_entropy_20d,asc,train,0.5,1554,0.18082368082368083,ok
up_down_transition_entropy_20d,asc,validation,0.5,646,0.08359133126934984,ok
up_down_transition_entropy_20d,asc,robustness,0.5,1393,0.13280689160086145,ok
return_sign_entropy_60d,asc,all,0.5,3593,0.14723072641246868,ok
return_sign_entropy_60d,asc,train,0.5,1554,0.17631917631917632,ok
return_sign_entropy_60d,asc,validation,0.5,646,0.08204334365325078,ok
return_sign_entropy_60d,asc,robustness,0.5,1393,0.14501076812634603,ok
binned_return_entropy_60d,desc,all,0.5,3593,0.1313665460617868,ok
binned_return_entropy_60d,desc,train,0.5,1554,0.1776061776061776,ok
binned_return_entropy_60d,desc,validation,0.5,646,0.06811145510835913,ok
binned_return_entropy_60d,desc,robustness,0.5,1393,0.10911701363962671,ok
up_down_transition_entropy_60d,asc,all,0.5,3593,0.14862232118007238,ok
up_down_transition_entropy_60d,asc,train,0.5,1554,0.17824967824967825,ok
up_down_transition_entropy_60d,asc,validation,0.5,646,0.07739938080495357,ok
up_down_transition_entropy_60d,asc,robustness,0.5,1393,0.14860014357501794,ok
intraday_range_bin_entropy_20d,desc,all,0.5,3593,0.15558029501809073,ok
intraday_range_bin_entropy_20d,desc,train,0.5,1554,0.1833976833976834,ok
intraday_range_bin_entropy_20d,desc,validation,0.5,646,0.08823529411764706,ok
intraday_range_bin_entropy_20d,desc,robustness,0.5,1393,0.15577889447236182,ok
volume_direction_entropy_20d,asc,all,0.5,3593,0.12941831338714166,ok
volume_direction_entropy_20d,asc,train,0.5,1554,0.15508365508365507,ok
volume_direction_entropy_20d,asc,validation,0.5,646,0.08204334365325078,ok
volume_direction_entropy_20d,asc,robustness,0.5,1393,0.12275664034458005,ok
log_volume_accel_5d,asc,all,0.5,3593,0.12663512385193432,ok
log_volume_accel_5d,asc,train,0.5,1554,0.1640926640926641,ok
log_volume_accel_5d,asc,validation,0.5,646,0.06501547987616099,ok
log_volume_accel_5d,asc,robustness,0.5,1393,0.11342426417803302,ok
volume_z_accel_5d,desc,all,0.5,3593,0.13637628722516004,ok
volume_z_accel_5d,desc,train,0.5,1554,0.15701415701415702,ok
volume_z_accel_5d,desc,validation,0.5,646,0.08513931888544891,ok
volume_z_accel_5d,desc,robustness,0.5,1393,0.13711414213926776,ok
turnover_z_accel_5d,desc,all,0.5,3593,0.1360979682716393,ok
turnover_z_accel_5d,desc,train,0.5,1554,0.15444015444015444,ok
turnover_z_accel_5d,desc,validation,0.5,646,0.09287925696594428,ok
turnover_z_accel_5d,desc,robustness,0.5,1393,0.135678391959799,ok
log_volume_accel_10d,asc,all,0.5,3593,0.1313665460617868,ok
log_volume_accel_10d,asc,train,0.5,1554,0.1640926640926641,ok
log_volume_accel_10d,asc,validation,0.5,646,0.07430340557275542,ok
log_volume_accel_10d,asc,robustness,0.5,1393,0.12132089016511127,ok
volume_z_accel_10d,desc,all,0.5,3593,0.13915947676036738,ok
volume_z_accel_10d,desc,train,0.5,1554,0.15637065637065636,ok
volume_z_accel_10d,desc,validation,0.5,646,0.08668730650154799,ok
volume_z_accel_10d,desc,robustness,0.5,1393,0.14429289303661164,ok
turnover_z_accel_10d,desc,all,0.5,3593,0.1399944336209296,ok
turnover_z_accel_10d,desc,train,0.5,1554,0.15508365508365507,ok
turnover_z_accel_10d,desc,validation,0.5,646,0.08978328173374613,ok
turnover_z_accel_10d,desc,robustness,0.5,1393,0.1464465183058148,ok
recent_log_volume_slope_5d,asc,all,0.5,3593,0.12691344280545505,ok
recent_log_volume_slope_5d,asc,train,0.5,1554,0.16602316602316602,ok
recent_log_volume_slope_5d,asc,validation,0.5,646,0.06811145510835913,ok
recent_log_volume_slope_5d,asc,robustness,0.5,1393,0.11055276381909548,ok
prior_log_volume_slope_15d,asc,all,0.5,3593,0.13080990815474533,ok
prior_log_volume_slope_15d,asc,train,0.5,1554,0.15315315315315314,ok
prior_log_volume_slope_15d,asc,validation,0.5,646,0.07585139318885449,ok
prior_log_volume_slope_15d,asc,robustness,0.5,1393,0.13137114142139267,ok
volume_slope_accel_5_15d,asc,all,0.5,3593,0.12719176175897579,ok
volume_slope_accel_5_15d,asc,train,0.5,1554,0.1628056628056628,ok
volume_slope_accel_5_15d,asc,validation,0.5,646,0.0696594427244582,ok
volume_slope_accel_5_15d,asc,robustness,0.5,1393,0.11414213926776741,ok
volume_slope_decay_ratio_5_15d,asc,all,0.5,3593,0.13275814082939047,ok
volume_slope_decay_ratio_5_15d,asc,train,0.5,1554,0.16924066924066924,ok
volume_slope_decay_ratio_5_15d,asc,validation,0.5,646,0.06501547987616099,ok
volume_slope_decay_ratio_5_15d,asc,robustness,0.5,1393,0.12347451543431442,ok
momentum_percentile_20d,desc,all,0.5,3593,0.145839131644865,ok
momentum_percentile_20d,desc,train,0.5,1554,0.17696267696267695,ok
momentum_percentile_20d,desc,validation,0.5,646,0.08204334365325078,ok
momentum_percentile_20d,desc,robustness,0.5,1393,0.1407035175879397,ok
momentum_percentile_60d,desc,all,0.5,3593,0.1480656832730309,ok
momentum_percentile_60d,desc,train,0.5,1554,0.17374517374517376,ok
momentum_percentile_60d,desc,validation,0.5,646,0.08359133126934984,ok
momentum_percentile_60d,desc,robustness,0.5,1393,0.14931801866475233,ok
universe_up_share,asc,all,0.5,3593,0.12357361536320624,ok
universe_up_share,asc,train,0.5,1554,0.16216216216216217,ok
universe_up_share,asc,validation,0.5,646,0.07585139318885449,ok
universe_up_share,asc,robustness,0.5,1393,0.10265613783201723,ok
universe_up_share_z,asc,all,0.5,3593,0.1232952964096855,ok
universe_up_share_z,asc,train,0.5,1554,0.1615186615186615,ok
universe_up_share_z,asc,validation,0.5,646,0.07585139318885449,ok
universe_up_share_z,asc,robustness,0.5,1393,0.10265613783201723,ok
universe_up_share_change_5d,desc,all,0.5,3593,0.13192318396882827,ok
universe_up_share_change_5d,desc,train,0.5,1554,0.15765765765765766,ok
universe_up_share_change_5d,desc,validation,0.5,646,0.08204334365325078,ok
universe_up_share_change_5d,desc,robustness,0.5,1393,0.12634601579325197,ok
board_relative_cusum_20d,desc,all,0.5,3593,0.12440857222376844,ok
board_relative_cusum_20d,desc,train,0.5,1554,0.15315315315315314,ok
board_relative_cusum_20d,desc,validation,0.5,646,0.08204334365325078,ok
board_relative_cusum_20d,desc,robustness,0.5,1393,0.11198851399856424,ok
board_return_20d,asc,all,0.5,3593,0.1168939604787086,ok
board_return_20d,asc,train,0.5,1554,0.1537966537966538,ok
board_return_20d,asc,validation,0.5,646,0.0696594427244582,ok
board_return_20d,asc,robustness,0.5,1393,0.09763101220387653,ok
stock_vs_board_20d,desc,all,0.5,3593,0.1377678819927637,ok
stock_vs_board_20d,desc,train,0.5,1554,0.17245817245817247,ok
stock_vs_board_20d,desc,validation,0.5,646,0.07739938080495357,ok
stock_vs_board_20d,desc,robustness,0.5,1393,0.12706389088298636,ok
evaluated_member_count,desc,all,0.5,3593,0.13359309768995267,ok
evaluated_member_count,desc,train,0.5,1554,0.18468468468468469,ok
evaluated_member_count,desc,validation,0.5,646,0.06656346749226007,ok
evaluated_member_count,desc,robustness,0.5,1393,0.10768126346015794,ok
sessions_since_last_c0_event_same_instrument,desc,all,0.5,3593,0.11411077094350125,ok
sessions_since_last_c0_event_same_instrument,desc,train,0.5,1554,0.1537966537966538,ok
sessions_since_last_c0_event_same_instrument,desc,validation,0.5,646,0.06346749226006192,ok
sessions_since_last_c0_event_same_instrument,desc,robustness,0.5,1393,0.09332376166547021,ok
prior_c0_event_count_20d_same_instrument,desc,all,0.5,3593,0.12635680489841358,ok
prior_c0_event_count_20d_same_instrument,desc,train,0.5,1554,0.1492921492921493,ok
prior_c0_event_count_20d_same_instrument,desc,validation,0.5,646,0.07430340557275542,ok
prior_c0_event_count_20d_same_instrument,desc,robustness,0.5,1393,0.1249102656137832,ok
same_day_c0_event_count_all,asc,all,0.5,3593,0.1313665460617868,ok
same_day_c0_event_count_all,asc,train,0.5,1554,0.16795366795366795,ok
same_day_c0_event_count_all,asc,validation,0.5,646,0.08204334365325078,ok
same_day_c0_event_count_all,asc,robustness,0.5,1393,0.11342426417803302,ok
same_day_family_event_count,asc,all,0.5,3593,0.13359309768995267,ok
same_day_family_event_count,asc,train,0.5,1554,0.1653796653796654,ok
same_day_family_event_count,asc,validation,0.5,646,0.0804953560371517,ok
same_day_family_event_count,asc,robustness,0.5,1393,0.12275664034458005,ok
freshness_decay_tau_5,asc,all,0.5,3593,0.11494572780406345,ok
freshness_decay_tau_5,asc,train,0.5,1554,0.1525096525096525,ok
freshness_decay_tau_5,asc,validation,0.5,646,0.06656346749226007,ok
freshness_decay_tau_5,asc,robustness,0.5,1393,0.09547738693467336,ok
freshness_decay_tau_10,asc,all,0.5,3593,0.11494572780406345,ok
freshness_decay_tau_10,asc,train,0.5,1554,0.1525096525096525,ok
freshness_decay_tau_10,asc,validation,0.5,646,0.06656346749226007,ok
freshness_decay_tau_10,asc,robustness,0.5,1393,0.09547738693467336,ok
freshness_decay_tau_20,asc,all,0.5,3593,0.11494572780406345,ok
freshness_decay_tau_20,asc,train,0.5,1554,0.1525096525096525,ok
freshness_decay_tau_20,asc,validation,0.5,646,0.06656346749226007,ok
freshness_decay_tau_20,asc,robustness,0.5,1393,0.09547738693467336,ok
freshness_decay_tau_40,asc,all,0.5,3593,0.11494572780406345,ok
freshness_decay_tau_40,asc,train,0.5,1554,0.1525096525096525,ok
freshness_decay_tau_40,asc,validation,0.5,646,0.06656346749226007,ok
freshness_decay_tau_40,asc,robustness,0.5,1393,0.09547738693467336,ok
prior_r_core_event_count_5d,desc,all,0.5,3593,0.12496521013080991,ok
prior_r_core_event_count_5d,desc,train,0.5,1554,0.15186615186615188,ok
prior_r_core_event_count_5d,desc,validation,0.5,646,0.07275541795665634,ok
prior_r_core_event_count_5d,desc,robustness,0.5,1393,0.1191672648959081,ok
prior_r_core_event_count_10d,desc,all,0.5,3593,0.12580016699137211,ok
prior_r_core_event_count_10d,desc,train,0.5,1554,0.15508365508365507,ok
prior_r_core_event_count_10d,desc,validation,0.5,646,0.07430340557275542,ok
prior_r_core_event_count_10d,desc,robustness,0.5,1393,0.11701363962670495,ok
prior_r_core_event_count_20d,asc,all,0.5,3593,0.11299749512941831,ok
prior_r_core_event_count_20d,asc,train,0.5,1554,0.148005148005148,ok
prior_r_core_event_count_20d,asc,validation,0.5,646,0.06191950464396285,ok
prior_r_core_event_count_20d,asc,robustness,0.5,1393,0.09763101220387653,ok
sessions_since_prior_r_core_event,asc,all,0.5,3593,0.13637628722516004,ok
sessions_since_prior_r_core_event,asc,train,0.5,1554,0.15315315315315314,ok
sessions_since_prior_r_core_event,asc,validation,0.5,646,0.08204334365325078,ok
sessions_since_prior_r_core_event,asc,robustness,0.5,1393,0.14285714285714285,ok
has_r_core_same_day_at_t0_close,desc,all,0.5,3593,0.12273865850264402,ok
has_r_core_same_day_at_t0_close,desc,train,0.5,1554,0.1492921492921493,ok
has_r_core_same_day_at_t0_close,desc,validation,0.5,646,0.07275541795665634,ok
has_r_core_same_day_at_t0_close,desc,robustness,0.5,1393,0.11629576453697056,ok
has_prior_r_core_within_5_sessions,desc,all,0.5,3593,0.12496521013080991,ok
has_prior_r_core_within_5_sessions,desc,train,0.5,1554,0.15186615186615188,ok
has_prior_r_core_within_5_sessions,desc,validation,0.5,646,0.07275541795665634,ok
has_prior_r_core_within_5_sessions,desc,robustness,0.5,1393,0.1191672648959081,ok
sessions_since_nearest_prior_r_core_event,asc,all,0.5,3593,0.12941831338714166,ok
sessions_since_nearest_prior_r_core_event,asc,train,0.5,1554,0.1537966537966538,ok
sessions_since_nearest_prior_r_core_event,asc,validation,0.5,646,0.0804953560371517,ok
sessions_since_nearest_prior_r_core_event,asc,robustness,0.5,1393,0.1249102656137832,ok
c0_after_prior_r_core_within_5_sessions,desc,all,0.5,3593,0.11578068466462565,ok
c0_after_prior_r_core_within_5_sessions,desc,train,0.5,1554,0.1492921492921493,ok
c0_after_prior_r_core_within_5_sessions,desc,validation,0.5,646,0.06191950464396285,ok
c0_after_prior_r_core_within_5_sessions,desc,robustness,0.5,1393,0.10337401292175162,ok
r_core_active_same_risk_on_scope,desc,all,0.5,3593,0.12496521013080991,ok
r_core_active_same_risk_on_scope,desc,train,0.5,1554,0.15186615186615188,ok
r_core_active_same_risk_on_scope,desc,validation,0.5,646,0.07275541795665634,ok
r_core_active_same_risk_on_scope,desc,robustness,0.5,1393,0.1191672648959081,ok
source_interaction_bucket,asc,all,0.5,3593,0.10381296966323407,ok
source_interaction_bucket,asc,train,0.5,1554,0.138996138996139,ok
source_interaction_bucket,asc,validation,0.5,646,0.0696594427244582,ok
source_interaction_bucket,asc,robustness,0.5,1393,0.08040201005025126,ok
instrument_prior_252d_ff10_event_count,desc,all,0.5,3593,0.1466740885054272,ok
instrument_prior_252d_ff10_event_count,desc,train,0.5,1554,0.16924066924066924,ok
instrument_prior_252d_ff10_event_count,desc,validation,0.5,646,0.07430340557275542,ok
instrument_prior_252d_ff10_event_count,desc,robustness,0.5,1393,0.15506101938262742,ok
instrument_prior_252d_fr20_event_count,desc,all,0.5,3593,0.15057055385471751,ok
instrument_prior_252d_fr20_event_count,desc,train,0.5,1554,0.1628056628056628,ok
instrument_prior_252d_fr20_event_count,desc,validation,0.5,646,0.08668730650154799,ok
instrument_prior_252d_fr20_event_count,desc,robustness,0.5,1393,0.1665470208183776,ok
family_prior_train_ff10_rate,asc,all,0.5,3593,0.12246033954912329,ok
family_prior_train_ff10_rate,asc,train,0.5,1554,0.14864864864864866,ok
family_prior_train_ff10_rate,asc,validation,0.5,646,0.07585139318885449,ok
family_prior_train_ff10_rate,asc,robustness,0.5,1393,0.11486001435750179,ok
family_prior_train_fr20_rate,asc,all,0.5,3593,0.12607848594489285,ok
family_prior_train_fr20_rate,asc,train,0.5,1554,0.1537966537966538,ok
family_prior_train_fr20_rate,asc,validation,0.5,646,0.08359133126934984,ok
family_prior_train_fr20_rate,asc,robustness,0.5,1393,0.11486001435750179,ok
family_prior_train_badside_rate,asc,all,0.5,3593,0.12607848594489285,ok
family_prior_train_badside_rate,asc,train,0.5,1554,0.1537966537966538,ok
family_prior_train_badside_rate,asc,validation,0.5,646,0.08359133126934984,ok
family_prior_train_badside_rate,asc,robustness,0.5,1393,0.11486001435750179,ok
realized_max_high_return_0_20d,desc,all,0.5,3593,0.1655997773448372,ok
realized_max_high_return_0_20d,desc,train,0.5,1554,0.18983268983268983,ok
realized_max_high_return_0_20d,desc,validation,0.5,646,0.09442724458204334,ok
realized_max_high_return_0_20d,desc,robustness,0.5,1393,0.1715721464465183,ok
realized_min_low_return_0_20d,desc,all,0.5,3593,0.13414973559699417,ok
realized_min_low_return_0_20d,desc,train,0.5,1554,0.15508365508365507,ok
realized_min_low_return_0_20d,desc,validation,0.5,646,0.08823529411764706,ok
realized_min_low_return_0_20d,desc,robustness,0.5,1393,0.13208901651112706,ok
realized_close_to_max_high_drawup_0_20d,asc,all,0.5,3593,0.128026718619538,ok
realized_close_to_max_high_drawup_0_20d,asc,train,0.5,1554,0.1525096525096525,ok
realized_close_to_max_high_drawup_0_20d,asc,validation,0.5,646,0.07894736842105263,ok
realized_close_to_max_high_drawup_0_20d,asc,robustness,0.5,1393,0.12347451543431442,ok
realized_close_to_min_low_drawdown_0_20d,desc,all,0.5,3593,0.16420818257723352,ok
realized_close_to_min_low_drawdown_0_20d,desc,train,0.5,1554,0.18532818532818532,ok
realized_close_to_min_low_drawdown_0_20d,desc,validation,0.5,646,0.0913312693498452,ok
realized_close_to_min_low_drawdown_0_20d,desc,robustness,0.5,1393,0.17444364680545585,ok
realized_path_volatility_0_20d,desc,all,0.5,3593,0.17561925967158362,ok
realized_path_volatility_0_20d,desc,train,0.5,1554,0.20012870012870013,ok
realized_path_volatility_0_20d,desc,validation,0.5,646,0.10061919504643962,ok
realized_path_volatility_0_20d,desc,robustness,0.5,1393,0.18305814788226848,ok
realized_up_session_ratio_0_20d,desc,all,0.5,3593,0.14277762315613693,ok
realized_up_session_ratio_0_20d,desc,train,0.5,1554,0.1731016731016731,ok
realized_up_session_ratio_0_20d,desc,validation,0.5,646,0.08359133126934984,ok
realized_up_session_ratio_0_20d,desc,robustness,0.5,1393,0.1363962670495334,ok
realized_max_consecutive_up_sessions_0_20d,desc,all,0.5,3593,0.1288616754801002,ok
realized_max_consecutive_up_sessions_0_20d,desc,train,0.5,1554,0.16023166023166024,ok
