split,J,K,first_evaluable_signal_month_by_JK,first_evaluable_first_holding_month_by_JK,last_evaluable_first_holding_month_by_JK,evaluable_first_holding_month_count,candidate_first_holding_month_count,min_signal_eligible_instrument_count,min_intermediate_month_coverage_share,primary_local_decision_cell,cell_status
robustness,48,1,2023-12,2024-01,2025-12,24,24,177.0,0.6595744680851063,True,complete
robustness,48,6,2023-12,2024-01,2025-11,23,24,177.0,0.6595744680851063,True,complete
robustness,48,12,2023-12,2024-01,2025-05,17,24,177.0,0.6595744680851063,True,complete
robustness,48,18,2023-12,2024-01,2024-11,11,24,177.0,0.6595744680851063,False,complete
robustness,48,24,2023-12,2024-01,2024-05,5,24,177.0,0.6595744680851063,False,complete
robustness,48,30,,,,0,24,,,False,blocked
robustness,48,36,,,,0,24,,,False,blocked
robustness,48,42,,,,0,24,,,False,blocked
robustness,48,48,,,,0,24,,,False,blocked
train,1,1,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,6,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,12,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,18,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,24,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,30,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,36,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,42,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,1,48,2018-06,2018-07,2021-12,41,42,120.0,1.0,False,complete
train,6,1,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,6,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,12,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,18,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,24,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
train,6,30,2018-06,2018-07,2021-12,39,42,124.0,0.6,False,complete
