datetime,n,ic,rank_ic,variant,seed,split,label_lane
2022-05-18,203,0.024964030683180448,0.033867596619419245,flattened_mlp,20260723,validation,paper_proxy
2022-05-19,200,0.13280938350221025,0.13188606678815448,flattened_mlp,20260723,validation,paper_proxy
2022-05-20,204,0.0892208465406787,0.07879797259118478,flattened_mlp,20260723,validation,paper_proxy
2022-05-23,207,0.001114449630846761,-0.027193861883526318,flattened_mlp,20260723,validation,paper_proxy
2022-05-24,211,-0.07154148157168914,-0.05950336998074768,flattened_mlp,20260723,validation,paper_proxy
2022-05-25,199,0.07470306125410758,0.06885628672536133,flattened_mlp,20260723,validation,paper_proxy
2022-05-26,200,0.08555472788363394,0.04522108017965997,flattened_mlp,20260723,validation,paper_proxy
2022-05-27,200,0.03511609925273526,0.075862033190251,flattened_mlp,20260723,validation,paper_proxy
2022-05-30,200,0.06252473986531062,0.061767489893825134,flattened_mlp,20260723,validation,paper_proxy
2022-05-31,203,0.109179214304909,0.0806937723262231,flattened_mlp,20260723,validation,paper_proxy
2022-06-01,210,0.020395523135755857,-0.02819456619611043,flattened_mlp,20260723,validation,paper_proxy
2022-06-02,211,-0.03245809411485482,-0.004190145749595742,flattened_mlp,20260723,validation,paper_proxy
2022-06-06,215,0.008247656706564013,0.0366825694217739,flattened_mlp,20260723,validation,paper_proxy
2022-06-07,221,0.004984582678669765,0.06776926764787512,flattened_mlp,20260723,validation,paper_proxy
2022-06-08,221,0.05166966090592044,-0.017667168817291974,flattened_mlp,20260723,validation,paper_proxy
2022-06-09,224,0.08227623637207004,-0.019259042557177922,flattened_mlp,20260723,validation,paper_proxy
2022-06-10,217,-0.10690120121374554,-0.05186804101437857,flattened_mlp,20260723,validation,paper_proxy
2022-06-13,226,0.05103878872357079,0.10232527194097789,flattened_mlp,20260723,validation,paper_proxy
2022-06-14,219,0.0008484307903069929,-0.003991352355543114,flattened_mlp,20260723,validation,paper_proxy
2022-06-15,219,-0.060722045330520794,-0.027285866955152716,flattened_mlp,20260723,validation,paper_proxy
2022-06-16,220,0.040595190568334695,0.057551337937140165,flattened_mlp,20260723,validation,paper_proxy
2022-06-17,218,-0.128148116528257,-0.11326038569400569,flattened_mlp,20260723,validation,paper_proxy
2022-06-20,223,0.07306946130438025,0.09078238436729907,flattened_mlp,20260723,validation,paper_proxy
2022-06-21,230,0.05739045952762409,0.05703122226119821,flattened_mlp,20260723,validation,paper_proxy
2022-06-22,226,-0.0878740857998729,-0.10896156673035216,flattened_mlp,20260723,validation,paper_proxy
2022-06-23,224,-0.056476472353009746,-0.059714243667541723,flattened_mlp,20260723,validation,paper_proxy
2022-06-24,227,-0.015504814181376543,-0.035395111382997065,flattened_mlp,20260723,validation,paper_proxy
2022-06-27,228,0.1500974859701555,0.14904683415407347,flattened_mlp,20260723,validation,paper_proxy
2022-06-28,233,-0.10057968305927104,-0.05640412126893232,flattened_mlp,20260723,validation,paper_proxy
2022-06-29,234,-0.02926515152740177,0.0019851430392562016,flattened_mlp,20260723,validation,paper_proxy
2022-06-30,228,-0.020963318801965662,0.0004141412548184905,flattened_mlp,20260723,validation,paper_proxy
2022-07-01,236,0.041962844000773485,0.11697484117483908,flattened_mlp,20260723,validation,paper_proxy
2022-07-04,235,-0.03544100200126178,-0.04256152333433388,flattened_mlp,20260723,validation,paper_proxy
2022-07-05,241,0.054386840104477835,0.0057646820792863875,flattened_mlp,20260723,validation,paper_proxy
2022-07-06,237,0.015663737186358436,0.02753314424065292,flattened_mlp,20260723,validation,paper_proxy
2022-07-07,235,-0.06536300275783283,-0.041996638826521694,flattened_mlp,20260723,validation,paper_proxy
2022-07-08,241,-0.03705603852935469,0.004597806590261073,flattened_mlp,20260723,validation,paper_proxy
2022-07-11,236,-0.07624776908015009,-0.11677007130217171,flattened_mlp,20260723,validation,paper_proxy
2022-07-12,236,-0.0074559322343501645,0.01579432682404412,flattened_mlp,20260723,validation,paper_proxy
2022-07-13,231,0.013138406943030617,0.0419984812788411,flattened_mlp,20260723,validation,paper_proxy
2022-07-14,229,-0.01690627577927437,-0.03877471384625401,flattened_mlp,20260723,validation,paper_proxy
2022-07-15,234,-0.05062047569079998,-0.04459289544395466,flattened_mlp,20260723,validation,paper_proxy
2022-07-18,228,-0.02457655367438667,0.006585515521206929,flattened_mlp,20260723,validation,paper_proxy
2022-07-19,235,-0.018293806168230002,-0.04879936456802974,flattened_mlp,20260723,validation,paper_proxy
2022-07-20,234,0.0576135512620492,0.051977591665507215,flattened_mlp,20260723,validation,paper_proxy
2022-07-21,240,0.09691047217031465,0.11479907250692499,flattened_mlp,20260723,validation,paper_proxy
2022-07-22,232,0.05706784513319398,0.02741026089069796,flattened_mlp,20260723,validation,paper_proxy
2022-07-25,228,-0.06840743981508986,-0.04416868826550133,flattened_mlp,20260723,validation,paper_proxy
2022-07-26,228,-0.017215856038777688,0.03990837851750155,flattened_mlp,20260723,validation,paper_proxy
2022-07-27,232,-0.23933159486640904,-0.21637939298608935,flattened_mlp,20260723,validation,paper_proxy
2022-07-28,226,0.06369994115336036,0.02904153324227944,flattened_mlp,20260723,validation,paper_proxy
2022-07-29,231,0.21058054430865986,0.22067423967146962,flattened_mlp,20260723,validation,paper_proxy
2022-08-01,231,-0.03954233161920864,-0.17014981679670382,flattened_mlp,20260723,validation,paper_proxy
2022-08-02,235,-0.045369322164662905,-0.09521702585998554,flattened_mlp,20260723,validation,paper_proxy
2022-08-03,226,0.03427237363250258,0.07568107876872181,flattened_mlp,20260723,validation,paper_proxy
2022-08-04,225,-0.13139813157620578,-0.1260756581848906,flattened_mlp,20260723,validation,paper_proxy
2022-08-05,224,-0.07418965665397648,-0.038837460113670626,flattened_mlp,20260723,validation,paper_proxy
2022-08-08,229,-0.014869047861676749,0.034910955109349585,flattened_mlp,20260723,validation,paper_proxy
2022-08-09,234,0.03129070506920393,0.10825058120247952,flattened_mlp,20260723,validation,paper_proxy
2022-08-10,237,0.23723216740789943,0.27676823606634926,flattened_mlp,20260723,validation,paper_proxy
2022-08-11,235,-0.12850877945592698,-0.09389643844178364,flattened_mlp,20260723,validation,paper_proxy
2022-08-12,237,-0.049853878100373956,-0.020510199198774743,flattened_mlp,20260723,validation,paper_proxy
