raw_event_arm_id,family_id,parameter_set_id,split_bucket,event_n,rank_source,top20_event_n,bottom20_event_n,rank_ic_winner,rank_ic_fast_fail,rank_ic_utility_50bps,top_bottom_winner_delta,top_bottom_fast_fail_delta,top_bottom_utility_delta_50bps,readout_role
F2_compression_to_directional_expansion__ratio2p0,F2_compression_to_directional_expansion,ratio2p0,train,918,secondary_raw_intensity_percentile_rank,184,184,-0.02776268231203679,-0.003911172457017286,-0.019227022979972242,-0.043478260869565216,0.03260869565217389,-0.008229874724098,diagnostic_secondary_not_for_selection
F2_compression_to_directional_expansion__ratio2p0,F2_compression_to_directional_expansion,ratio2p0,validation,317,secondary_raw_intensity_percentile_rank,63,63,-0.07641004664892428,-0.04474535505012994,-0.01459395637559596,-0.09523809523809523,-0.031746031746031744,-0.011964893412063896,diagnostic_secondary_not_for_selection
F3_controlled_damage_first_reclaim__damage20,F3_controlled_damage_first_reclaim,damage20,robustness,1490,secondary_raw_intensity_percentile_rank,298,298,0.005941018059523762,-0.1814249356313509,0.07611702995516315,-0.0033557046979865723,-0.19463087248322147,0.04225596797251421,diagnostic_secondary_not_for_selection
F3_controlled_damage_first_reclaim__damage20,F3_controlled_damage_first_reclaim,damage20,train,3248,secondary_raw_intensity_percentile_rank,650,650,-0.012812706769165233,-0.06244760340978241,-0.04800219567794878,-0.009230769230769223,-0.07384615384615384,0.0020257367605682666,diagnostic_secondary_not_for_selection
F3_controlled_damage_first_reclaim__damage20,F3_controlled_damage_first_reclaim,damage20,validation,686,secondary_raw_intensity_percentile_rank,137,137,-0.06549026035772801,-0.04886690125792569,-0.05361099063938565,-0.0364963503649635,-0.03649635036496346,-0.0020916938181457824,diagnostic_secondary_not_for_selection
F3_controlled_damage_first_reclaim__damage60,F3_controlled_damage_first_reclaim,damage60,robustness,1101,secondary_raw_intensity_percentile_rank,220,220,0.05764309811973324,-0.1388863712139588,0.03251010292952667,0.03181818181818183,-0.14545454545454545,0.022389262645856632,diagnostic_secondary_not_for_selection
F3_controlled_damage_first_reclaim__damage60,F3_controlled_damage_first_reclaim,damage60,train,2591,secondary_raw_intensity_percentile_rank,518,518,-0.058378759840431615,-0.10763201136748518,-0.05495828766457654,-0.055984555984555984,-0.13706563706563707,0.007336894372943886,diagnostic_secondary_not_for_selection
F3_controlled_damage_first_reclaim__damage60,F3_controlled_damage_first_reclaim,damage60,validation,770,secondary_raw_intensity_percentile_rank,154,154,0.01176745965958015,-0.13450687485709797,-0.08032962633532643,0.006493506493506496,-0.18831168831168832,0.002882876070284014,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret20_jump2,F4_board_relative_strength_rank_jump,ret20_jump2,robustness,1394,secondary_raw_intensity_percentile_rank,279,279,0.039700586030871524,-0.04096344476781688,-0.04183294835077246,0.03225806451612903,-0.017921146953404965,-0.004594609166162423,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret20_jump2,F4_board_relative_strength_rank_jump,ret20_jump2,train,2861,secondary_raw_intensity_percentile_rank,572,572,-0.015319903916155087,-0.052908298079834395,0.0173584379293767,-0.01573426573426573,-0.08566433566433568,0.01711946838818755,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret20_jump2,F4_board_relative_strength_rank_jump,ret20_jump2,validation,791,secondary_raw_intensity_percentile_rank,158,158,-0.06850142850797158,-0.11365867083430171,-0.03693795965594966,-0.056962025316455694,-0.10126582278481011,-0.006864034524356341,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret20_jump3,F4_board_relative_strength_rank_jump,ret20_jump3,robustness,997,secondary_raw_intensity_percentile_rank,199,199,0.06568471403165861,-0.010942488877588015,0.0031524603875805347,0.06030150753768844,-0.03517587939698494,0.008799262141177993,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret20_jump3,F4_board_relative_strength_rank_jump,ret20_jump3,train,2149,secondary_raw_intensity_percentile_rank,430,430,-0.009771349241849837,-0.024427866472293426,0.014997928093518593,-0.020930232558139528,-0.044186046511627886,0.0050001005392663195,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret20_jump3,F4_board_relative_strength_rank_jump,ret20_jump3,validation,688,secondary_raw_intensity_percentile_rank,138,138,-0.05676478667839068,-0.07511239419900807,-0.010600174236971682,-0.02898550724637681,-0.13043478260869562,0.009116045571436325,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump2,F4_board_relative_strength_rank_jump,ret60_jump2,robustness,812,secondary_raw_intensity_percentile_rank,162,162,0.1870930573100427,-0.10254428019197213,0.10959709759861541,0.2222222222222222,-0.09876543209876543,0.04376415334138169,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump2,F4_board_relative_strength_rank_jump,ret60_jump2,train,1903,secondary_raw_intensity_percentile_rank,381,381,0.053084789498498715,-0.05209192874626659,0.049589751099442615,0.055118110236220486,-0.05249343832020997,0.02179533786061279,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump2,F4_board_relative_strength_rank_jump,ret60_jump2,validation,715,secondary_raw_intensity_percentile_rank,143,143,-0.05653834503572957,-0.16649842575436988,0.042836282185231625,-0.020979020979020983,-0.21678321678321677,0.02187308508183437,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,F4_board_relative_strength_rank_jump,ret60_jump3,robustness,534,secondary_raw_intensity_percentile_rank,107,107,0.19970850431371276,-0.0655114256172104,0.11169817384352124,0.205607476635514,-0.01869158878504673,0.03321007524719833,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,F4_board_relative_strength_rank_jump,ret60_jump3,train,1061,secondary_raw_intensity_percentile_rank,212,212,0.011199708701103003,-0.008418669194092317,0.002234804852511139,0.014150943396226412,-0.023584905660377353,0.011190241367978918,diagnostic_secondary_not_for_selection
F4_board_relative_strength_rank_jump__ret60_jump3,F4_board_relative_strength_rank_jump,ret60_jump3,validation,553,secondary_raw_intensity_percentile_rank,111,111,-0.10923792552923355,-0.037096201301598214,-0.008041886369677958,-0.09909909909909909,-0.06306306306306303,0.005939545744302513,diagnostic_secondary_not_for_selection
F5_participation_ignition_with_price_control__window20_ratio1p5,F5_participation_ignition_with_price_control,window20_ratio1p5,robustness,3161,secondary_raw_intensity_percentile_rank,632,632,0.03165697716761226,-0.06184427708752922,0.038720386495210736,0.028481012658227833,-0.09177215189873417,0.015237540628911184,diagnostic_secondary_not_for_selection
F5_participation_ignition_with_price_control__window20_ratio1p5,F5_participation_ignition_with_price_control,window20_ratio1p5,train,5507,secondary_raw_intensity_percentile_rank,1101,1101,0.0031913294262074926,-0.027668633370731995,0.009065354151449951,-0.004541326067211637,-0.03360581289736603,0.0044452491103447265,diagnostic_secondary_not_for_selection
F5_participation_ignition_with_price_control__window20_ratio1p5,F5_participation_ignition_with_price_control,window20_ratio1p5,validation,1584,secondary_raw_intensity_percentile_rank,317,317,0.03816052569576764,-0.0668117165497018,0.03443418556664779,0.012618296529968459,-0.09148264984227128,0.010431664783874785,diagnostic_secondary_not_for_selection
F5_participation_ignition_with_price_control__window60_ratio2p0,F5_participation_ignition_with_price_control,window60_ratio2p0,robustness,1861,secondary_raw_intensity_percentile_rank,372,372,-0.0003334867466080492,-0.05995647415932521,-0.03165643548976673,0.0,-0.06451612903225809,0.0022045221292921217,diagnostic_secondary_not_for_selection
F5_participation_ignition_with_price_control__window60_ratio2p0,F5_participation_ignition_with_price_control,window60_ratio2p0,train,3471,secondary_raw_intensity_percentile_rank,694,694,-0.04447099597203175,-0.017080733757440836,-0.04635263297791647,-0.04466858789625361,-0.023054755043227626,-0.012616424102426672,diagnostic_secondary_not_for_selection
F5_participation_ignition_with_price_control__window60_ratio2p0,F5_participation_ignition_with_price_control,window60_ratio2p0,validation,1061,secondary_raw_intensity_percentile_rank,212,212,0.010632103533827526,-0.07820600874159275,-0.014220599277921124,0.004716981132075471,-0.09905660377358494,-0.003514999521026435,diagnostic_secondary_not_for_selection
F6_low_volatility_range_expansion_first_trigger__ratio1p5,F6_low_volatility_range_expansion_first_trigger,ratio1p5,robustness,937,secondary_raw_intensity_percentile_rank,187,187,-0.01881841928841624,-0.08488353701196247,0.03293959525075371,-0.021390374331550804,-0.11229946524064172,0.0026771406273026193,diagnostic_secondary_not_for_selection
F6_low_volatility_range_expansion_first_trigger__ratio1p5,F6_low_volatility_range_expansion_first_trigger,ratio1p5,train,1394,secondary_raw_intensity_percentile_rank,279,279,-0.026707102776254165,0.012161330117289069,-0.02933243376686885,-0.02867383512544802,-0.010752688172043001,-0.004155181618290704,diagnostic_secondary_not_for_selection
F6_low_volatility_range_expansion_first_trigger__ratio1p5,F6_low_volatility_range_expansion_first_trigger,ratio1p5,validation,535,secondary_raw_intensity_percentile_rank,107,107,0.05639160899159913,-0.0976960178674874,0.052336645535644384,0.05607476635514018,-0.1495327102803738,0.014864817476370348,diagnostic_secondary_not_for_selection
F6_low_volatility_range_expansion_first_trigger__ratio2p0,F6_low_volatility_range_expansion_first_trigger,ratio2p0,robustness,645,secondary_raw_intensity_percentile_rank,129,129,-0.010167405280031374,0.05303841197751334,-0.030529388404351765,-0.06201550387596899,0.13178294573643412,-0.01529430296003539,diagnostic_secondary_not_for_selection
F6_low_volatility_range_expansion_first_trigger__ratio2p0,F6_low_volatility_range_expansion_first_trigger,ratio2p0,train,902,secondary_raw_intensity_percentile_rank,180,180,-0.028049491252211848,-0.003300993577224947,-0.023632903243010237,-0.03888888888888886,0.033333333333333326,-0.00813268595017812,diagnostic_secondary_not_for_selection
F6_low_volatility_range_expansion_first_trigger__ratio2p0,F6_low_volatility_range_expansion_first_trigger,ratio2p0,validation,315,secondary_raw_intensity_percentile_rank,63,63,-0.08433695669487139,-0.05140848826714296,-0.012631353842134435,-0.1111111111111111,-0.031746031746031744,-0.01277398080816999,diagnostic_secondary_not_for_selection
