year,instrument,episode_rank,low_date,high_date,industry_name,primary_profile_anchor_date,primary_profile_anchor_type,benchmark_ret_during_episode,industry_target_ret_during_episode,avg_daily_amplitude,avg_turnover_money,forward_gain_intraday,forward_gain_close_confirmed
2017,SZ000002,1,2017-08-17,2017-11-29,房地产,2017-08-18,first_ema60_reclaim,0.08934457176931465,0.06924168608345704,0.04103589430451393,1436662912.0,0.6105859893043051,0.6105859893043051
2017,SZ000063,1,2017-08-14,2017-11-22,通信,2017-08-14,first_ema60_reclaim,0.1442298258272814,0.17401411531949695,0.04085741192102432,2408632576.0,0.9619929178291255,0.9034413292388523
2017,SZ000333,1,2017-08-07,2017-12-25,家用电器,2017-08-07,first_ema60_reclaim,0.08445469012675444,0.19989190746113605,0.04600442945957184,1578396160.0,0.9019248661971313,0.879926720049119
2017,SZ000568,1,2017-07-17,2017-11-16,食品饮料,2017-07-17,first_ema60_reclaim,0.12049891396545576,0.3965537788307305,0.03438467159867287,642045376.0,0.5224704721873474,0.5187911189033643
2017,SZ000725,1,2017-08-10,2017-11-08,电子,2017-08-23,first_ema60_reclaim,0.08936813185038828,0.20897973556999716,0.03562479466199875,4326870528.0,0.8473519494915074,0.8193146676593595
2017,SZ000858,1,2017-09-11,2017-12-21,食品饮料,2017-09-12,first_ema60_reclaim,0.06331041719941988,0.2808717215174492,0.03488289564847946,1861945472.0,0.6501571408295193,0.6218893028108392
2017,SZ002027,1,2017-07-17,2017-12-29,传媒,2017-07-27,first_ema60_reclaim,0.10025703158746646,-0.03576322564571044,0.03902219980955124,512809728.0,0.7255277745286954,0.6928982015825869
2017,SZ002230,1,2017-07-17,2017-11-22,计算机,2017-07-17,first_ema60_reclaim,0.1539512072623399,0.11762916279161795,0.05031894892454147,4137050368.0,1.0119389497694375,0.9156030064022207
2017,SZ002304,1,2017-07-17,2017-11-22,食品饮料,2017-07-20,first_ema60_reclaim,0.1539512072623399,0.3358367436439518,0.03557224199175835,529961568.0,0.5396901547057438,0.506787979846993
2017,SZ002415,1,2017-08-04,2017-11-14,电子,2017-08-04,first_ema60_reclaim,0.10566769759980321,0.2575884524183085,0.030525246635079384,1197067904.0,0.5579896644320046,0.5343642683478862
2017,SZ002460,1,2017-08-22,2017-09-12,有色金属,2017-08-22,first_ema60_reclaim,0.022822307823099353,0.09878144465260763,0.06869813799858093,3090457856.0,0.5729561515744113,0.5198344850346162
