feature_name,feature_family_id,comparison_split,split_comparison,train_row_n,comparison_row_n,train_mean,comparison_mean,mean_diff,train_std,standardized_mean_diff,train_missing_rate,comparison_missing_rate,diagnostic_only,used_to_remove_feature,split_drift_readout_gate,blocking_reason
m1_up_down_run_imbalance_20,M1,validation,train_vs_validation,20245,664,-0.011075384065737763,-0.3130016051364366,-0.30192622107069883,2.140148982814017,-0.14107719766018587,0.032205482835267966,0.061746987951807226,True,False,pass,
m3_asymmetric_range_position_t0,M3,robustness,train_vs_robustness,20245,2496,-0.2218134649784234,0.00799862272173027,0.22981208770015368,0.528710630576002,0.4346651540745184,0.032205482835267966,0.08173076923076923,True,False,pass,
m3_asymmetric_range_position_t0,M3,validation,train_vs_validation,20245,664,-0.2218134649784234,-0.2828980883972971,-0.06108462341887366,0.528710630576002,-0.11553507700861855,0.032205482835267966,0.061746987951807226,True,False,pass,
m3_failed_breakout_count_pre_t0,M3,robustness,train_vs_robustness,20245,2496,5.043382194438457,4.538204393505253,-0.505177800933204,4.41119212201747,-0.11452183150484946,0.08342800691528772,0.16105769230769232,True,False,pass,
m3_failed_breakout_count_pre_t0,M3,validation,train_vs_validation,20245,664,5.043382194438457,2.8318425760286225,-2.211539618409834,4.41119212201747,-0.5013473812150311,0.08342800691528772,0.15813253012048192,True,False,pass,
m3_upper_shadow_pressure_share_20,M3,robustness,train_vs_robustness,20245,2496,0.2856374154631478,0.30167312148364595,0.01603570602049814,0.05062145604026654,0.3167768625174004,0.032254877747591996,0.08173076923076923,True,False,pass,
m3_upper_shadow_pressure_share_20,M3,validation,train_vs_validation,20245,664,0.2856374154631478,0.29623070803960516,0.010593292576457358,0.05062145604026654,0.20926487314057077,0.032254877747591996,0.061746987951807226,True,False,pass,
m3_upside_downside_room_ratio_t0,M3,robustness,train_vs_robustness,20245,2496,6.717347571359047,5.1203222628144,-1.597025308544647,29.986637582624542,-0.05325789876054751,0.03388490985428501,0.0829326923076923,True,False,pass,
m3_upside_downside_room_ratio_t0,M3,validation,train_vs_validation,20245,664,6.717347571359047,20.223232872532765,13.505885301173718,29.986637582624542,0.45039678970207614,0.03388490985428501,0.061746987951807226,True,False,pass,
m3_upside_room_to_episode_high,M3,robustness,train_vs_robustness,20245,2496,0.5763655475408547,0.24089576801440293,-0.33546977952645174,0.5867376003200924,-0.5717543572176685,0.032205482835267966,0.08173076923076923,True,False,pass,
m3_upside_room_to_episode_high,M3,validation,train_vs_validation,20245,664,0.5763655475408547,0.5911914654505344,0.014825917909679687,0.5867376003200924,0.025268395789858133,0.032205482835267966,0.061746987951807226,True,False,pass,
m5_bars_since_episode_high_t0,M5,robustness,train_vs_robustness,20245,2496,325.9818812841321,71.19153577661432,-254.79034550751777,356.0667266607953,-0.7155690954247521,0.032205482835267966,0.08173076923076923,True,False,pass,
m5_bars_since_episode_high_t0,M5,validation,train_vs_validation,20245,664,325.9818812841321,254.96468699839485,-71.01719428573725,356.0667266607953,-0.19944911716896063,0.032205482835267966,0.061746987951807226,True,False,pass,
m5_bars_since_episode_low,M5,robustness,train_vs_robustness,20245,2496,241.26774868575512,96.36823734729494,-144.89951133846017,274.8898685289333,-0.5271184133263497,0.032205482835267966,0.08173076923076923,True,False,pass,
m5_bars_since_episode_low,M5,validation,train_vs_validation,20245,664,241.26774868575512,109.5521669341894,-131.7155817515657,274.8898685289333,-0.4791576439555178,0.032205482835267966,0.061746987951807226,True,False,pass,
m5_episode_age_to_t0,M5,robustness,train_vs_robustness,20245,2496,538.0717603225642,172.83595113438045,-365.2358091881837,429.9517272690102,-0.8494809673358159,0.032205482835267966,0.08173076923076923,True,False,pass,
m5_episode_age_to_t0,M5,validation,train_vs_validation,20245,664,538.0717603225642,322.4398073836276,-215.63195293893654,429.9517272690102,-0.5015259603876902,0.032205482835267966,0.061746987951807226,True,False,pass,
m5_high_to_t0_age_ratio,M5,robustness,train_vs_robustness,20245,2496,0.6020745440212111,0.48019380245685617,-0.12188074156435491,0.352570695776377,-0.3456916386541084,0.032205482835267966,0.08173076923076923,True,False,pass,
m5_high_to_t0_age_ratio,M5,validation,train_vs_validation,20245,664,0.6020745440212111,0.7200630045393288,0.11798846051811773,0.352570695776377,0.33465192068303257,0.032205482835267966,0.061746987951807226,True,False,pass,
m5_low_to_t0_age_ratio,M5,robustness,train_vs_robustness,20245,2496,0.4632997366351644,0.5225861180777825,0.05928638144261816,0.30987628309058285,0.19132274613377753,0.032205482835267966,0.08173076923076923,True,False,pass,
m5_low_to_t0_age_ratio,M5,validation,train_vs_validation,20245,664,0.4632997366351644,0.36630610264093316,-0.09699363399423122,0.30987628309058285,-0.31300760750985934,0.032205482835267966,0.061746987951807226,True,False,pass,
m5_nonoverlap_step_index_to_t0,M5,robustness,train_vs_robustness,20245,2496,26.90358801612821,8.641797556719023,-18.261790459409188,21.497586363450548,-0.8494809673358146,0.032205482835267966,0.08173076923076923,True,False,pass,
m5_nonoverlap_step_index_to_t0,M5,validation,train_vs_validation,20245,664,26.90358801612821,16.12199036918138,-10.781597646946832,21.497586363450548,-0.5015259603876894,0.032205482835267966,0.061746987951807226,True,False,pass,
m2_flow_concentration_top3_share_20,M2,robustness,train_vs_robustness,20245,2496,0.2930549675531016,0.280476784226243,-0.012578183326858616,0.06052440115278218,-0.2078200376589835,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_flow_concentration_top3_share_20,M2,validation,train_vs_validation,20245,664,0.2930549675531016,0.2874776457833488,-0.005577321769752841,0.06052440115278218,-0.09214997031815263,0.032205482835267966,0.061746987951807226,True,False,pass,
m2_flow_price_divergence_persistence_20,M2,robustness,train_vs_robustness,20245,2496,0.17267008625529526,0.16988438045375218,-0.0027857058015430813,0.10718979733806998,-0.02598853501660366,0.032205482835267966,0.08173076923076923,True,False,pass,
m2_flow_price_divergence_persistence_20,M2,validation,train_vs_validation,20245,664,0.17267008625529526,0.16552969502407705,-0.007140391231218207,0.10718979733806998,-0.06661446712785411,0.032205482835267966,0.061746987951807226,True,False,pass,
