feature_name,model_ready_feature_name,feature_family_id,raw_dtype,preprocessing_kind,fit_split,fit_row_n,imputer_value,center_value,scale_value,train_iqr,zero_iqr_flag,preprocessing_uses_target_columns,preprocessing_uses_robustness_rows,preprocessing_uses_validation_rows,split_local_imputation_used,split_local_scaling_used,status,blocking_reason
board_rank_pct,mr_board_rank_pct,F3,float64,train median,train,20245,0.97,0.97,0.325,0.325,False,False,False,False,False,False,pass,
board_rank_by_market_cap,mr_board_rank_by_market_cap,F3,int64,train median,train,20245,175.0,175.0,295.0,295.0,False,False,False,False,False,False,pass,
volatility_20d,mr_volatility_20d,F4,float64,train median,train,20245,0.0236523663705921,0.0236523663705921,0.0146849395267207,0.0146849395267207,False,False,False,False,False,False,pass,
volatility_60d,mr_volatility_60d,F4,float64,train median,train,20245,0.0257071767085828,0.0257071767085828,0.0127145010299701,0.0127145010299701,False,False,False,False,False,False,pass,
max_drawdown_20d,mr_max_drawdown_20d,F4,float64,train median,train,20245,-0.0869565217391303,-0.0869565217391303,0.077505270885353,0.077505270885353,False,False,False,False,False,False,pass,
max_drawdown_60d,mr_max_drawdown_60d,F4,float64,train median,train,20245,-0.1757322175732217,-0.1757322175732217,0.1162067481503333,0.1162067481503333,False,False,False,False,False,False,pass,
intraday_range_20d_mean,mr_intraday_range_20d_mean,F4,float64,train median,train,20245,0.0364213279259815,0.0364213279259815,0.0199161046186555,0.0199161046186555,False,False,False,False,False,False,pass,
board_bucket_chinext,mr_board_bucket_chinext,F5,float64,train mode or 0,train,20245,0.0,0.0,1.0,1.0,False,False,False,False,False,False,pass,
board_bucket_main_board,mr_board_bucket_main_board,F5,float64,train mode or 0,train,20245,1.0,0.0,1.0,1.0,False,False,False,False,False,False,pass,
log_total_market_cap_cny,mr_log_total_market_cap_cny,F5,float64,train median,train,20245,23.389528732298693,23.389528732298693,0.9038873221307284,0.9038873221307284,False,False,False,False,False,False,pass,
tradability_status_ok,mr_tradability_status_ok,F5,bool,train mode or 0,train,20245,1.0,0.0,1.0,0.0,False,False,False,False,False,False,pass,
m1_close_location_episode_range,mr_m1_close_location_episode_range,M1,float64,train_median_impute_then_robust_scale,train,20245,0.33663366336633654,0.33663366336633654,0.41602374873308745,0.41602374873308745,False,False,False,False,False,False,pass,
m1_close_location_trailing60_range,mr_m1_close_location_trailing60_range,M1,float64,train_median_impute_then_robust_scale,train,20245,0.44036697247706447,0.44036697247706447,0.48178137651821906,0.48178137651821906,False,False,False,False,False,False,pass,
m1_episode_drawdown_pre_t0,mr_m1_episode_drawdown_pre_t0,M1,float64,train_median_impute_then_robust_scale,train,20245,-0.45531197301854975,-0.45531197301854975,0.22778973887407117,0.22778973887407117,False,False,False,False,False,False,pass,
m1_failed_repair_count_low_to_t0,mr_m1_failed_repair_count_low_to_t0,M1,float64,train_median_impute_then_robust_scale,train,20245,6.0,6.0,13.0,13.0,False,False,False,False,False,False,pass,
m1_path_transition_entropy_episode,mr_m1_path_transition_entropy_episode,M1,float64,train_median_impute_then_robust_scale,train,20245,0.7492822675838897,0.7492822675838897,0.08296952114721712,0.08296952114721712,False,False,False,False,False,False,pass,
m1_pullback_from_episode_high_t0,mr_m1_pullback_from_episode_high_t0,M1,float64,train_median_impute_then_robust_scale,train,20245,-0.2991452991452992,-0.2991452991452992,0.2556712415410247,0.2556712415410247,False,False,False,False,False,False,pass,
m1_repair_path_efficiency_episode,mr_m1_repair_path_efficiency_episode,M1,float64,train_median_impute_then_robust_scale,train,20245,0.08064516129032266,0.08064516129032266,0.13168371998420764,0.13168371998420764,False,False,False,False,False,False,pass,
m1_up_down_run_imbalance_20,mr_m1_up_down_run_imbalance_20,M1,float64,train_median_impute_then_robust_scale,train,20245,0.0,0.0,2.0,2.0,False,False,False,False,False,False,pass,
m3_asymmetric_range_position_t0,mr_m3_asymmetric_range_position_t0,M3,float64,train_median_impute_then_robust_scale,train,20245,-0.3267326732673269,-0.3267326732673269,0.8320474974661749,0.8320474974661749,False,False,False,False,False,False,pass,
m3_failed_breakout_count_pre_t0,mr_m3_failed_breakout_count_pre_t0,M3,float64,train_median_impute_then_robust_scale,train,20245,4.0,4.0,5.0,5.0,False,False,False,False,False,False,pass,
m3_upper_shadow_pressure_share_20,mr_m3_upper_shadow_pressure_share_20,M3,float64,train_median_impute_then_robust_scale,train,20245,0.2849871319400207,0.2849871319400207,0.06848781511395663,0.06848781511395663,False,False,False,False,False,False,pass,
m3_upside_downside_room_ratio_t0,mr_m3_upside_downside_room_ratio_t0,M3,float64,train_median_impute_then_robust_scale,train,20245,1.963099630996311,1.963099630996311,4.2123886746189205,4.2123886746189205,False,False,False,False,False,False,pass,
m3_upside_room_to_episode_high,mr_m3_upside_room_to_episode_high,M3,float64,train_median_impute_then_robust_scale,train,20245,0.426829268292683,0.426829268292683,0.543836837600527,0.543836837600527,False,False,False,False,False,False,pass,
m5_bars_since_episode_high_t0,mr_m5_bars_since_episode_high_t0,M5,float64,train_median_impute_then_robust_scale,train,20245,191.0,191.0,439.0,439.0,False,False,False,False,False,False,pass,
m5_bars_since_episode_low,mr_m5_bars_since_episode_low,M5,float64,train_median_impute_then_robust_scale,train,20245,146.0,146.0,296.0,296.0,False,False,False,False,False,False,pass,
m5_episode_age_to_t0,mr_m5_episode_age_to_t0,M5,float64,train_median_impute_then_robust_scale,train,20245,420.0,420.0,580.0,580.0,False,False,False,False,False,False,pass,
m5_high_to_t0_age_ratio,mr_m5_high_to_t0_age_ratio,M5,float64,train_median_impute_then_robust_scale,train,20245,0.6935483870967742,0.6935483870967742,0.677807486631016,0.677807486631016,False,False,False,False,False,False,pass,
m5_low_to_t0_age_ratio,mr_m5_low_to_t0_age_ratio,M5,float64,train_median_impute_then_robust_scale,train,20245,0.45,0.45,0.5515151515151515,0.5515151515151515,False,False,False,False,False,False,pass,
m5_nonoverlap_step_index_to_t0,mr_m5_nonoverlap_step_index_to_t0,M5,float64,train_median_impute_then_robust_scale,train,20245,21.0,21.0,29.0,29.0,False,False,False,False,False,False,pass,
m2_flow_concentration_top3_share_20,mr_m2_flow_concentration_top3_share_20,M2,float64,train_median_impute_then_robust_scale,train,20245,0.279523958807563,0.279523958807563,0.06729766864994047,0.06729766864994047,False,False,False,False,False,False,pass,
m2_flow_price_divergence_persistence_20,mr_m2_flow_price_divergence_persistence_20,M2,float64,train_median_impute_then_robust_scale,train,20245,0.1875,0.1875,0.1875,0.1875,False,False,False,False,False,False,pass,
m2_money_flow_persistence_trailing20,mr_m2_money_flow_persistence_trailing20,M2,float64,train_median_impute_then_robust_scale,train,20245,0.4444444444444444,0.4444444444444444,0.16666666666666669,0.16666666666666669,False,False,False,False,False,False,pass,
m2_money_flow_reversal_accel_5v20,mr_m2_money_flow_reversal_accel_5v20,M2,float64,train_median_impute_then_robust_scale,train,20245,0.0,0.0,0.33333333333333337,0.33333333333333337,False,False,False,False,False,False,pass,
m2_net_signed_money_flow_trailing20,mr_m2_net_signed_money_flow_trailing20,M2,float64,train_median_impute_then_robust_scale,train,20245,0.070095304652181,0.070095304652181,0.3182817138994427,0.3182817138994427,False,False,False,False,False,False,pass,
m2_positive_money_flow_share_trailing20,mr_m2_positive_money_flow_share_trailing20,M2,float64,train_median_impute_then_robust_scale,train,20245,0.5211684686090424,0.5211684686090424,0.16597264782308424,0.16597264782308424,False,False,False,False,False,False,pass,
m2_turnover_compression_20_vs_60,mr_m2_turnover_compression_20_vs_60,M2,float64,train_median_impute_then_robust_scale,train,20245,0.9651468049972807,0.9651468049972807,0.4468173631899559,0.4468173631899559,False,False,False,False,False,False,pass,
