candidate_family_id,candidate_feature_id,expected_18e_role,expected_primary_model_feature,expected_appendix_only,expected_residualization_control_set_id,observed_18d_candidate_inventory_row_found,observed_18d_lineage_row_found,observed_18d_pit_row_found,observed_18d_train_prior_row_found,observed_18d_recommended_family,observed_candidate_primary_allowed_after_lineage,observed_pit_primary_allowed,observed_candidate_appendix_only,observed_recommendation_eligible_residualization,observed_dedup_group_representative,observed_orthogonal_payoff_candidate,observed_residualization_control_set_id,observed_blocking_reason,replay_status,blocking_reason
M3,m3_downside_room_to_episode_low_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,dedup alias / failed train-prior orthogonality,pass,
M3,m3_failed_breakout_count_pre_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M3,m3_upper_shadow_pressure_share_20,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M3,m3_upside_downside_room_ratio_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M3,m3_upside_room_to_episode_high,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M3,m3_vol_adjusted_repair_strength,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,
M4,m4_regime_context_deferred,deferred,False,True,base_vol_participation,True,True,True,True,False,False,False,True,True,False,False,base_vol_participation,m4_deferred_by_default,pass,
M5,m5_bars_since_episode_high_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M5,m5_bars_since_episode_low,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M5,m5_bars_since_reclaim,appendix_only,False,True,base_vol_participation,True,True,True,True,True,False,False,True,True,False,False,base_vol_participation,candidate_finite_rate_below_floor,pass,
M5,m5_episode_age_to_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M5,m5_high_to_t0_age_ratio,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M5,m5_lifecycle_progress_to_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,False,False,True,True,False,False,base_vol_participation,full_episode_boundary_after_t0,pass,
M5,m5_low_before_high_t0,appendix_only,False,True,base_vol_participation,True,True,True,True,True,True,True,False,True,False,False,base_vol_participation,failed train-prior orthogonality,pass,
M5,m5_low_to_t0_age_ratio,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
M5,m5_nonoverlap_step_index_to_t0,primary_refresh,True,False,base_vol_participation,True,True,True,True,True,True,True,False,True,True,True,base_vol_participation,,pass,
