column_name,column_role,feature_family_id,raw_feature_name,model_ready_feature_name,source_artifact_alias,dtype,nullable,primary_raw_feature,primary_model_feature,appendix_only,target_column,metadata_column,forbidden_as_model_feature,preprocessing_fit_split,preprocessing_param_id,blocking_reason
ma_5_20_spread,raw_feature,F1,ma_5_20_spread,mr_ma_5_20_spread,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
ma_20_60_spread,raw_feature,F1,ma_20_60_spread,mr_ma_20_60_spread,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
distance_to_20d_high,raw_feature,F1,distance_to_20d_high,mr_distance_to_20d_high,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
distance_to_60d_high,raw_feature,F1,distance_to_60d_high,mr_distance_to_60d_high,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
turnover_rate_20d_mean,raw_feature,F2,turnover_rate_20d_mean,mr_turnover_rate_20d_mean,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
turnover_rate_60d_mean,raw_feature,F2,turnover_rate_60d_mean,mr_turnover_rate_60d_mean,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
turnover_rate_20d_zscore,raw_feature,F2,turnover_rate_20d_zscore,mr_turnover_rate_20d_zscore,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
volume_20d_zscore,raw_feature,F2,volume_20d_zscore,mr_volume_20d_zscore,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
money_20d_zscore,raw_feature,F2,money_20d_zscore,mr_money_20d_zscore,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
board_rank_pct,raw_feature,F3,board_rank_pct,mr_board_rank_pct,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
board_rank_by_market_cap,raw_feature,F3,board_rank_by_market_cap,mr_board_rank_by_market_cap,ep18_current_feature_matrix,int64,False,True,False,False,False,False,False,,,
volatility_20d,raw_feature,F4,volatility_20d,mr_volatility_20d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
volatility_60d,raw_feature,F4,volatility_60d,mr_volatility_60d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
max_drawdown_20d,raw_feature,F4,max_drawdown_20d,mr_max_drawdown_20d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
max_drawdown_60d,raw_feature,F4,max_drawdown_60d,mr_max_drawdown_60d,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
intraday_range_20d_mean,raw_feature,F4,intraday_range_20d_mean,mr_intraday_range_20d_mean,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
board_bucket_chinext,raw_feature,F5,board_bucket_chinext,mr_board_bucket_chinext,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
board_bucket_main_board,raw_feature,F5,board_bucket_main_board,mr_board_bucket_main_board,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
log_total_market_cap_cny,raw_feature,F5,log_total_market_cap_cny,mr_log_total_market_cap_cny,ep18_current_feature_matrix,float64,False,True,False,False,False,False,False,,,
tradability_status_ok,raw_feature,F5,tradability_status_ok,mr_tradability_status_ok,ep18_current_feature_matrix,bool,False,True,False,False,False,False,False,,,
mr_ret_5d,model_ready_feature,F1,ret_5d,mr_ret_5d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:ret_5d:train,
mr_ret_10d,model_ready_feature,F1,ret_10d,mr_ret_10d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:ret_10d:train,
mr_ret_20d,model_ready_feature,F1,ret_20d,mr_ret_20d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:ret_20d:train,
mr_ma_5_20_spread,model_ready_feature,F1,ma_5_20_spread,mr_ma_5_20_spread,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:ma_5_20_spread:train,
mr_ma_20_60_spread,model_ready_feature,F1,ma_20_60_spread,mr_ma_20_60_spread,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:ma_20_60_spread:train,
mr_distance_to_20d_high,model_ready_feature,F1,distance_to_20d_high,mr_distance_to_20d_high,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:distance_to_20d_high:train,
mr_distance_to_60d_high,model_ready_feature,F1,distance_to_60d_high,mr_distance_to_60d_high,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:distance_to_60d_high:train,
mr_turnover_rate_20d_mean,model_ready_feature,F2,turnover_rate_20d_mean,mr_turnover_rate_20d_mean,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:turnover_rate_20d_mean:train,
mr_turnover_rate_60d_mean,model_ready_feature,F2,turnover_rate_60d_mean,mr_turnover_rate_60d_mean,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:turnover_rate_60d_mean:train,
mr_turnover_rate_20d_zscore,model_ready_feature,F2,turnover_rate_20d_zscore,mr_turnover_rate_20d_zscore,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:turnover_rate_20d_zscore:train,
mr_volume_20d_zscore,model_ready_feature,F2,volume_20d_zscore,mr_volume_20d_zscore,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:volume_20d_zscore:train,
mr_money_20d_zscore,model_ready_feature,F2,money_20d_zscore,mr_money_20d_zscore,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:money_20d_zscore:train,
mr_board_rank_pct,model_ready_feature,F3,board_rank_pct,mr_board_rank_pct,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:board_rank_pct:train,
mr_board_rank_by_market_cap,model_ready_feature,F3,board_rank_by_market_cap,mr_board_rank_by_market_cap,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:board_rank_by_market_cap:train,
mr_volatility_20d,model_ready_feature,F4,volatility_20d,mr_volatility_20d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:volatility_20d:train,
mr_volatility_60d,model_ready_feature,F4,volatility_60d,mr_volatility_60d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:volatility_60d:train,
mr_max_drawdown_20d,model_ready_feature,F4,max_drawdown_20d,mr_max_drawdown_20d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:max_drawdown_20d:train,
mr_max_drawdown_60d,model_ready_feature,F4,max_drawdown_60d,mr_max_drawdown_60d,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:max_drawdown_60d:train,
mr_intraday_range_20d_mean,model_ready_feature,F4,intraday_range_20d_mean,mr_intraday_range_20d_mean,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:intraday_range_20d_mean:train,
mr_board_bucket_chinext,model_ready_feature,F5,board_bucket_chinext,mr_board_bucket_chinext,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train mode or 0:board_bucket_chinext:train,
mr_board_bucket_main_board,model_ready_feature,F5,board_bucket_main_board,mr_board_bucket_main_board,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train mode or 0:board_bucket_main_board:train,
mr_log_total_market_cap_cny,model_ready_feature,F5,log_total_market_cap_cny,mr_log_total_market_cap_cny,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train median:log_total_market_cap_cny:train,
mr_tradability_status_ok,model_ready_feature,F5,tradability_status_ok,mr_tradability_status_ok,ep18_current_feature_matrix,float64,False,False,True,False,False,False,False,train,train mode or 0:tradability_status_ok:train,
m1_close_location_episode_range,raw_feature,M1,m1_close_location_episode_range,mr_m1_close_location_episode_range,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_close_location_trailing60_range,raw_feature,M1,m1_close_location_trailing60_range,mr_m1_close_location_trailing60_range,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_episode_drawdown_pre_t0,raw_feature,M1,m1_episode_drawdown_pre_t0,mr_m1_episode_drawdown_pre_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_failed_repair_count_low_to_t0,raw_feature,M1,m1_failed_repair_count_low_to_t0,mr_m1_failed_repair_count_low_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_path_transition_entropy_episode,raw_feature,M1,m1_path_transition_entropy_episode,mr_m1_path_transition_entropy_episode,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_pullback_from_episode_high_t0,raw_feature,M1,m1_pullback_from_episode_high_t0,mr_m1_pullback_from_episode_high_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_repair_path_efficiency_episode,raw_feature,M1,m1_repair_path_efficiency_episode,mr_m1_repair_path_efficiency_episode,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m1_up_down_run_imbalance_20,raw_feature,M1,m1_up_down_run_imbalance_20,mr_m1_up_down_run_imbalance_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m3_asymmetric_range_position_t0,raw_feature,M3,m3_asymmetric_range_position_t0,mr_m3_asymmetric_range_position_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m3_failed_breakout_count_pre_t0,raw_feature,M3,m3_failed_breakout_count_pre_t0,mr_m3_failed_breakout_count_pre_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m3_upper_shadow_pressure_share_20,raw_feature,M3,m3_upper_shadow_pressure_share_20,mr_m3_upper_shadow_pressure_share_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m3_upside_downside_room_ratio_t0,raw_feature,M3,m3_upside_downside_room_ratio_t0,mr_m3_upside_downside_room_ratio_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m3_upside_room_to_episode_high,raw_feature,M3,m3_upside_room_to_episode_high,mr_m3_upside_room_to_episode_high,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m5_bars_since_episode_high_t0,raw_feature,M5,m5_bars_since_episode_high_t0,mr_m5_bars_since_episode_high_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m5_bars_since_episode_low,raw_feature,M5,m5_bars_since_episode_low,mr_m5_bars_since_episode_low,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m5_episode_age_to_t0,raw_feature,M5,m5_episode_age_to_t0,mr_m5_episode_age_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m5_high_to_t0_age_ratio,raw_feature,M5,m5_high_to_t0_age_ratio,mr_m5_high_to_t0_age_ratio,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m5_low_to_t0_age_ratio,raw_feature,M5,m5_low_to_t0_age_ratio,mr_m5_low_to_t0_age_ratio,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m5_nonoverlap_step_index_to_t0,raw_feature,M5,m5_nonoverlap_step_index_to_t0,mr_m5_nonoverlap_step_index_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_flow_concentration_top3_share_20,raw_feature,M2,m2_flow_concentration_top3_share_20,mr_m2_flow_concentration_top3_share_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_flow_price_divergence_persistence_20,raw_feature,M2,m2_flow_price_divergence_persistence_20,mr_m2_flow_price_divergence_persistence_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_money_flow_persistence_trailing20,raw_feature,M2,m2_money_flow_persistence_trailing20,mr_m2_money_flow_persistence_trailing20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_money_flow_reversal_accel_5v20,raw_feature,M2,m2_money_flow_reversal_accel_5v20,mr_m2_money_flow_reversal_accel_5v20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_net_signed_money_flow_trailing20,raw_feature,M2,m2_net_signed_money_flow_trailing20,mr_m2_net_signed_money_flow_trailing20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_positive_money_flow_share_trailing20,raw_feature,M2,m2_positive_money_flow_share_trailing20,mr_m2_positive_money_flow_share_trailing20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
m2_turnover_compression_20_vs_60,raw_feature,M2,m2_turnover_compression_20_vs_60,mr_m2_turnover_compression_20_vs_60,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,True,True,False,False,False,False,False,,,
mr_m1_close_location_episode_range,model_ready_feature,M1,m1_close_location_episode_range,mr_m1_close_location_episode_range,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_close_location_episode_range:train,
mr_m1_close_location_trailing60_range,model_ready_feature,M1,m1_close_location_trailing60_range,mr_m1_close_location_trailing60_range,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_close_location_trailing60_range:train,
mr_m1_episode_drawdown_pre_t0,model_ready_feature,M1,m1_episode_drawdown_pre_t0,mr_m1_episode_drawdown_pre_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_episode_drawdown_pre_t0:train,
mr_m1_failed_repair_count_low_to_t0,model_ready_feature,M1,m1_failed_repair_count_low_to_t0,mr_m1_failed_repair_count_low_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_failed_repair_count_low_to_t0:train,
mr_m1_path_transition_entropy_episode,model_ready_feature,M1,m1_path_transition_entropy_episode,mr_m1_path_transition_entropy_episode,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_path_transition_entropy_episode:train,
mr_m1_pullback_from_episode_high_t0,model_ready_feature,M1,m1_pullback_from_episode_high_t0,mr_m1_pullback_from_episode_high_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_pullback_from_episode_high_t0:train,
mr_m1_repair_path_efficiency_episode,model_ready_feature,M1,m1_repair_path_efficiency_episode,mr_m1_repair_path_efficiency_episode,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_repair_path_efficiency_episode:train,
mr_m1_up_down_run_imbalance_20,model_ready_feature,M1,m1_up_down_run_imbalance_20,mr_m1_up_down_run_imbalance_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m1_up_down_run_imbalance_20:train,
mr_m3_asymmetric_range_position_t0,model_ready_feature,M3,m3_asymmetric_range_position_t0,mr_m3_asymmetric_range_position_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m3_asymmetric_range_position_t0:train,
mr_m3_failed_breakout_count_pre_t0,model_ready_feature,M3,m3_failed_breakout_count_pre_t0,mr_m3_failed_breakout_count_pre_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m3_failed_breakout_count_pre_t0:train,
mr_m3_upper_shadow_pressure_share_20,model_ready_feature,M3,m3_upper_shadow_pressure_share_20,mr_m3_upper_shadow_pressure_share_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m3_upper_shadow_pressure_share_20:train,
mr_m3_upside_downside_room_ratio_t0,model_ready_feature,M3,m3_upside_downside_room_ratio_t0,mr_m3_upside_downside_room_ratio_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m3_upside_downside_room_ratio_t0:train,
mr_m3_upside_room_to_episode_high,model_ready_feature,M3,m3_upside_room_to_episode_high,mr_m3_upside_room_to_episode_high,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m3_upside_room_to_episode_high:train,
mr_m5_bars_since_episode_high_t0,model_ready_feature,M5,m5_bars_since_episode_high_t0,mr_m5_bars_since_episode_high_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m5_bars_since_episode_high_t0:train,
mr_m5_bars_since_episode_low,model_ready_feature,M5,m5_bars_since_episode_low,mr_m5_bars_since_episode_low,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m5_bars_since_episode_low:train,
mr_m5_episode_age_to_t0,model_ready_feature,M5,m5_episode_age_to_t0,mr_m5_episode_age_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m5_episode_age_to_t0:train,
mr_m5_high_to_t0_age_ratio,model_ready_feature,M5,m5_high_to_t0_age_ratio,mr_m5_high_to_t0_age_ratio,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m5_high_to_t0_age_ratio:train,
mr_m5_low_to_t0_age_ratio,model_ready_feature,M5,m5_low_to_t0_age_ratio,mr_m5_low_to_t0_age_ratio,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m5_low_to_t0_age_ratio:train,
mr_m5_nonoverlap_step_index_to_t0,model_ready_feature,M5,m5_nonoverlap_step_index_to_t0,mr_m5_nonoverlap_step_index_to_t0,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m5_nonoverlap_step_index_to_t0:train,
mr_m2_flow_concentration_top3_share_20,model_ready_feature,M2,m2_flow_concentration_top3_share_20,mr_m2_flow_concentration_top3_share_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_flow_concentration_top3_share_20:train,
mr_m2_flow_price_divergence_persistence_20,model_ready_feature,M2,m2_flow_price_divergence_persistence_20,mr_m2_flow_price_divergence_persistence_20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_flow_price_divergence_persistence_20:train,
mr_m2_money_flow_persistence_trailing20,model_ready_feature,M2,m2_money_flow_persistence_trailing20,mr_m2_money_flow_persistence_trailing20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_money_flow_persistence_trailing20:train,
mr_m2_money_flow_reversal_accel_5v20,model_ready_feature,M2,m2_money_flow_reversal_accel_5v20,mr_m2_money_flow_reversal_accel_5v20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_money_flow_reversal_accel_5v20:train,
mr_m2_net_signed_money_flow_trailing20,model_ready_feature,M2,m2_net_signed_money_flow_trailing20,mr_m2_net_signed_money_flow_trailing20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_net_signed_money_flow_trailing20:train,
mr_m2_positive_money_flow_share_trailing20,model_ready_feature,M2,m2_positive_money_flow_share_trailing20,mr_m2_positive_money_flow_share_trailing20,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_positive_money_flow_share_trailing20:train,
mr_m2_turnover_compression_20_vs_60,model_ready_feature,M2,m2_turnover_compression_20_vs_60,mr_m2_turnover_compression_20_vs_60,pit_price_path_panel|pit_money_flow_proxy_panel|episode_geometry_panel,float64,False,False,True,False,False,False,False,train,train_median_impute_then_robust_scale:m2_turnover_compression_20_vs_60:train,
