feature_index,feature_name,expression,direct_fields,max_trailing_window,uses_vwap,uses_volume,uses_money,uses_future_offset,qlib_distribution_version,qlib_source_file,qlib_source_file_sha256,canonical_order,route_inclusion_full,route_inclusion_no_vwap,status
72,RSV60,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)",$close|$high|$low,60,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,72,true,true,pass
73,IMAX5,"IdxMax($high, 5)/5",$high,5,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,73,true,true,pass
74,IMAX10,"IdxMax($high, 10)/10",$high,10,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,74,true,true,pass
75,IMAX20,"IdxMax($high, 20)/20",$high,20,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,75,true,true,pass
76,IMAX30,"IdxMax($high, 30)/30",$high,30,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,76,true,true,pass
77,IMAX60,"IdxMax($high, 60)/60",$high,60,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,77,true,true,pass
78,IMIN5,"IdxMin($low, 5)/5",$low,5,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,78,true,true,pass
79,IMIN10,"IdxMin($low, 10)/10",$low,10,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,79,true,true,pass
80,IMIN20,"IdxMin($low, 20)/20",$low,20,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,80,true,true,pass
81,IMIN30,"IdxMin($low, 30)/30",$low,30,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,81,true,true,pass
82,IMIN60,"IdxMin($low, 60)/60",$low,60,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,82,true,true,pass
83,IMXD5,"(IdxMax($high, 5)-IdxMin($low, 5))/5",$high|$low,5,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,83,true,true,pass
84,IMXD10,"(IdxMax($high, 10)-IdxMin($low, 10))/10",$high|$low,10,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,84,true,true,pass
85,IMXD20,"(IdxMax($high, 20)-IdxMin($low, 20))/20",$high|$low,20,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,85,true,true,pass
86,IMXD30,"(IdxMax($high, 30)-IdxMin($low, 30))/30",$high|$low,30,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,86,true,true,pass
87,IMXD60,"(IdxMax($high, 60)-IdxMin($low, 60))/60",$high|$low,60,false,false,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,87,true,true,pass
88,CORR5,"Corr($close, Log($volume+1), 5)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,88,true,true,pass
89,CORR10,"Corr($close, Log($volume+1), 10)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,89,true,true,pass
90,CORR20,"Corr($close, Log($volume+1), 20)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,90,true,true,pass
91,CORR30,"Corr($close, Log($volume+1), 30)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,91,true,true,pass
92,CORR60,"Corr($close, Log($volume+1), 60)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,92,true,true,pass
93,CORD5,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 5)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,93,true,true,pass
94,CORD10,"Corr($close/Ref($close,1), Log($volume/Ref($volume, 1)+1), 10)",$close|$volume,1,false,true,false,false,0.9.7,topics/02_AFML_BIG_WINNER/.venv/lib/python3.11/site-packages/qlib/contrib/data/handler.py,b621481c6009c39066c67c71390fd2bea635f56daf9f2c4e38817eff268e3232,94,true,true,pass
