scope,instrument,year,board_bucket,qfq_key_n,raw_key_n,overlap_key_n,overlap_rate,base_row_n,factor_pass_n,factor_fail_n,factor_unknown_n,factor_pass_rate,auditable_row_n,auditable_row_rate,in_range_n,out_of_range_n,unknown_n,range_pass_rate,coverage_threshold,range_threshold,status
instrument_year,SH600016,2018,main_board,243,243,243,1,243,8,235,0,0.0329218106996,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2019,main_board,244,244,244,1,244,1,243,0,0.00409836065574,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2020,main_board,243,243,243,1,243,3,240,0,0.0123456790123,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2021,main_board,243,243,243,1,243,2,241,0,0.0082304526749,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2022,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2023,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2024,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2025,main_board,243,243,243,1,243,71,172,0,0.292181069959,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600016,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2017,main_board,244,244,244,1,244,0,244,0,0,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2018,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2019,main_board,244,244,244,1,244,0,244,0,0,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2020,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2021,main_board,243,243,243,1,243,0,243,0,0,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2022,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2023,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2024,main_board,242,242,242,1,242,0,242,0,0,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2025,main_board,243,243,243,1,243,92,151,0,0.378600823045,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600017,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2017,main_board,241,241,241,1,241,0,241,0,0,241,1,241,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2018,main_board,243,243,243,1,243,3,240,0,0.0123456790123,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2019,main_board,244,244,244,1,244,1,243,0,0.00409836065574,244,1,244,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2020,main_board,243,243,243,1,243,2,241,0,0.0082304526749,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2021,main_board,243,243,243,1,243,1,242,0,0.00411522633745,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2022,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2023,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2024,main_board,242,242,242,1,242,1,241,0,0.00413223140496,242,1,242,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2025,main_board,243,243,243,1,243,97,146,0,0.399176954733,243,1,243,0,0,1,0.9,0.995,pass
instrument_year,SH600018,2026,main_board,95,95,95,1,95,95,0,0,1,95,1,95,0,0,1,0.9,0.995,pass
