candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,event_count,canonical_event_count,event_instances_per_instrument_year,canonical_events_per_instrument_year,events_per_instrument_year_mean,events_per_instrument_year_p50,events_per_instrument_year_p95,density_full_denominator,density_eligible_gated_denominator,density_increase_over_e1_full_denominator,density_vs_e1_full_denominator,density_vs_same_gated_denominator,density_by_split,density_by_event_regime_bucket,density_by_board,triggered_family_share,top_triggered_family_share,same_day_merge_rate,selected_variant_flag,density_share_of_selected_union,focus_incremental_recall_for_density_drag,focus_incremental_captures_for_density_drag,family_density_mean_gate_pass,family_density_p95_gate_pass,family_density_share_gate_pass,density_drag_flag
R5_growth_or_small_style_confirmation__event_regime_gated,candidate_family_variant,R5_growth_or_small_style_confirmation,event_regime_gated,diagnostic_only,board_style_cluster,1907,1907,0.5264429791937567,0.5264429791937567,2.0010493179433366,2.0,4.0,0.5264429791937567,0.7239862905351964,-1.356273915458273,0.2796187683284458,0.38658017433610375,"{""robustness"":{""event_count"":602,""events_per_instrument_year"":0.16618703380946068},""train"":{""event_count"":972,""events_per_instrument_year"":0.26832856621726875},""validation"":{""event_count"":333,""events_per_instrument_year"":0.09192737916702726}}","{""risk_on"":{""event_count"":1286,""events_per_instrument_year"":0.3550108396660572},""transition"":{""event_count"":621,""events_per_instrument_year"":0.17143213952769948}}","{""chinext"":{""event_count"":1907,""events_per_instrument_year"":0.5264429791937567}}","{""R5_growth_or_small_style_confirmation"":1.0}",1.0,0.0,False,0.9243819680077557,0.14361991535006946,33.0,True,False,True,False
R6_market_breadth_thrust__ungated,candidate_family_variant,R6_market_breadth_thrust,ungated,runnable_existing_data,breadth_cluster,19754,19754,5.453253597794164,5.453253597794164,3.7842911877394636,4.0,7.0,5.453253597794164,5.453253597794164,3.570536703142134,2.8964809384164223,2.8964809384164223,"{""robustness"":{""event_count"":4934,""events_per_instrument_year"":1.3620711375679053},""train"":{""event_count"":9710,""events_per_instrument_year"":2.6805250802157197},""validation"":{""event_count"":5110,""events_per_instrument_year"":1.4106573800105384}}","{""risk_off"":{""event_count"":5209,""events_per_instrument_year"":1.4379871413845193},""risk_on"":{""event_count"":9137,""events_per_instrument_year"":2.5223437340814656},""transition"":{""event_count"":5408,""events_per_instrument_year"":1.4929227223281782}}","{""chinext"":{""event_count"":4138,""events_per_instrument_year"":1.1423288137932697},""main_board"":{""event_count"":15616,""events_per_instrument_year"":4.3109247840008935}}","{""R6_market_breadth_thrust"":1.0}",1.0,0.0,False,9.57537566650509,1.200633662886498,271.0,False,False,True,False
R6_market_breadth_thrust__event_regime_gated,candidate_family_variant,R6_market_breadth_thrust,event_regime_gated,runnable_existing_data,breadth_cluster,16204,16204,4.4732470030705995,4.4732470030705995,3.2356230031948883,3.0,6.0,4.4732470030705995,6.151795412602162,2.59053010841857,2.3759530791788857,3.2848165416582202,"{""robustness"":{""event_count"":4329,""events_per_instrument_year"":1.1950559291713543},""train"":{""event_count"":7978,""events_per_instrument_year"":2.2023922852688993},""validation"":{""event_count"":3897,""events_per_instrument_year"":1.075798788630346}}","{""risk_on"":{""event_count"":9260,""events_per_instrument_year"":2.5562988921521694},""transition"":{""event_count"":6944,""events_per_instrument_year"":1.91694811091843}}","{""chinext"":{""event_count"":3486,""events_per_instrument_year"":0.96233887019897},""main_board"":{""event_count"":12718,""events_per_instrument_year"":3.5109081328716294}}","{""R6_market_breadth_thrust"":1.0}",1.0,0.0,False,7.854580707707222,1.1973441892022876,270.0,False,False,True,False
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,11987,11987,3.3091095918172844,3.3091095918172844,2.588984881209503,2.0,5.0,3.3091095918172844,3.3091095918172844,1.4263926971652547,1.757624633431085,1.757624633431085,"{""robustness"":{""event_count"":3075,""events_per_instrument_year"":0.848878951767594},""train"":{""event_count"":5696,""events_per_instrument_year"":1.5724274826888505},""validation"":{""event_count"":3216,""events_per_instrument_year"":0.8878031573608398}}","{""risk_off"":{""event_count"":3271,""events_per_instrument_year"":0.9029863581241626},""risk_on"":{""event_count"":5357,""events_per_instrument_year"":1.4788437543476427},""transition"":{""event_count"":3359,""events_per_instrument_year"":0.9272794793454792}}","{""chinext"":{""event_count"":2634,""events_per_instrument_year"":0.7271372874653147},""main_board"":{""event_count"":9353,""events_per_instrument_year"":2.58197230435197}}","{""R7_cross_sectional_momentum_rank_jump"":1.0}",1.0,0.0,False,5.81047018904508,1.1010985105489322,248.0,False,False,True,False
R7_cross_sectional_momentum_rank_jump__event_regime_gated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,event_regime_gated,runnable_existing_data,relative_strength_cluster,9786,9786,2.7015055030886748,2.7015055030886748,2.262658959537572,2.0,4.0,2.7015055030886748,3.7152227788030583,0.8187886084366451,1.4348973607038122,1.9837826880194607,"{""robustness"":{""event_count"":2666,""events_per_instrument_year"":0.7359711497276116},""train"":{""event_count"":4659,""events_per_instrument_year"":1.2861551337512913},""validation"":{""event_count"":2461,""events_per_instrument_year"":0.679379219609772}}","{""risk_on"":{""event_count"":5568,""events_per_instrument_year"":1.537092033639663},""transition"":{""event_count"":4218,""events_per_instrument_year"":1.1644134694490118}}","{""chinext"":{""event_count"":2192,""events_per_instrument_year"":0.6051195649673385},""main_board"":{""event_count"":7594,""events_per_instrument_year"":2.0963859381213363}}","{""R7_cross_sectional_momentum_rank_jump"":1.0}",1.0,0.0,False,4.743577314590402,1.086654066104488,246.0,False,False,True,False
R8_persistent_distance_above_ema__ungated,candidate_family_variant,R8_persistent_distance_above_ema,ungated,runnable_existing_data,persistent_trend_cluster,13881,13881,3.8319638144669828,3.8319638144669828,2.8415557830092117,3.0,6.0,3.8319638144669828,3.8319638144669828,1.9492469198149531,2.0353372434017594,2.0353372434017594,"{""robustness"":{""event_count"":3867,""events_per_instrument_year"":1.0675170427594427},""train"":{""event_count"":7270,""events_per_instrument_year"":2.00694308271558},""validation"":{""event_count"":2744,""events_per_instrument_year"":0.7575036889919603}}","{""risk_off"":{""event_count"":1679,""events_per_instrument_year"":0.46350171057489115},""risk_on"":{""event_count"":9167,""events_per_instrument_year"":2.530625479952369},""transition"":{""event_count"":3035,""events_per_instrument_year"":0.8378366239397229}}","{""chinext"":{""event_count"":2987,""events_per_instrument_year"":0.8245858305462775},""main_board"":{""event_count"":10894,""events_per_instrument_year"":3.0073779839207053}}","{""R8_persistent_distance_above_ema"":1.0}",1.0,0.0,False,6.728550654386815,1.111164259636199,252.0,False,False,True,False
R8_persistent_distance_above_ema__event_regime_gated,candidate_family_variant,R8_persistent_distance_above_ema,event_regime_gated,runnable_existing_data,persistent_trend_cluster,12896,12896,3.560046491705656,3.560046491705656,2.7270035948403466,2.0,6.0,3.560046491705656,4.895924070656473,1.6773295970536264,1.8909090909090909,2.614230691262923,"{""robustness"":{""event_count"":3722,""events_per_instrument_year"":1.0274886043834097},""train"":{""event_count"":6798,""events_per_instrument_year"":1.8766436143467005},""validation"":{""event_count"":2376,""events_per_instrument_year"":0.6559142729755458}}","{""risk_on"":{""event_count"":9242,""events_per_instrument_year"":2.551329844629627},""transition"":{""event_count"":3654,""events_per_instrument_year"":1.0087166470760287}}","{""chinext"":{""event_count"":2783,""events_per_instrument_year"":0.7682699586241347},""main_board"":{""event_count"":10113,""events_per_instrument_year"":2.791776533081521}}","{""R8_persistent_distance_above_ema"":1.0}",1.0,0.0,False,6.251090644692196,1.1078747859519886,251.0,False,False,True,False
T3_style_rotation_break__ungated,candidate_family_variant,T3_style_rotation_break,ungated,diagnostic_only,board_style_cluster,630,630,0.17391666328897049,0.17391666328897049,1.202290076335878,1.0,2.0,0.17391666328897049,0.17391666328897049,-1.708800231363059,0.09237536656891496,0.09237536656891496,"{""robustness"":{""event_count"":297,""events_per_instrument_year"":0.08198928412194323},""train"":{""event_count"":333,""events_per_instrument_year"":0.09192737916702726}}","{""risk_off"":{""event_count"":45,""events_per_instrument_year"":0.012422618806355035},""risk_on"":{""event_count"":556,""events_per_instrument_year"":0.15348835680740885},""transition"":{""event_count"":29,""events_per_instrument_year"":0.008005687675206577}}","{""chinext"":{""event_count"":630,""events_per_instrument_year"":0.17391666328897049}}","{""T3_style_rotation_break"":1.0}",1.0,0.0,False,0.3053805138148328,0.05646053439307292,11.0,True,True,True,False
T3_style_rotation_break__event_regime_gated,candidate_family_variant,T3_style_rotation_break,event_regime_gated,diagnostic_only,board_style_cluster,629,629,0.1736406050932737,0.1736406050932737,1.2026768642447419,1.0,2.0,0.1736406050932737,0.23879778539414712,-1.709076289558756,0.09222873900293255,0.12750861544698966,"{""robustness"":{""event_count"":297,""events_per_instrument_year"":0.08198928412194323},""train"":{""event_count"":332,""events_per_instrument_year"":0.09165132097133047}}","{""risk_on"":{""event_count"":558,""events_per_instrument_year"":0.15404047319880243},""transition"":{""event_count"":71,""events_per_instrument_year"":0.019600131894471275}}","{""chinext"":{""event_count"":629,""events_per_instrument_year"":0.1736406050932737}}","{""T3_style_rotation_break"":1.0}",1.0,0.0,False,0.3048957828405235,0.05646053439307292,11.0,True,True,True,False
T4_entropy_compression_then_directional_expansion__ungated,candidate_family_variant,T4_entropy_compression_then_directional_expansion,ungated,runnable_existing_data,compression_break_cluster,1658,1658,0.4577044884652588,0.4577044884652588,1.1602519244226732,1.0,2.0,0.4577044884652588,0.4577044884652588,-1.4250124061867708,0.24310850439882697,0.24310850439882697,"{""robustness"":{""event_count"":431,""events_per_instrument_year"":0.11898108234531155},""train"":{""event_count"":894,""events_per_instrument_year"":0.24679602695292002},""validation"":{""event_count"":333,""events_per_instrument_year"":0.09192737916702726}}","{""risk_off"":{""event_count"":236,""events_per_instrument_year"":0.06514973418443974},""risk_on"":{""event_count"":1059,""events_per_instrument_year"":0.2923456292428885},""transition"":{""event_count"":363,""events_per_instrument_year"":0.10020912503793061}}","{""chinext"":{""event_count"":349,""events_per_instrument_year"":0.09634431029817571},""main_board"":{""event_count"":1309,""events_per_instrument_year"":0.3613601781670831}}","{""T4_entropy_compression_then_directional_expansion"":1.0}",1.0,0.0,False,0.8036839554047503,0.16216673128493425,40.0,True,True,True,False
T4_entropy_compression_then_directional_expansion__event_regime_gated,candidate_family_variant,T4_entropy_compression_then_directional_expansion,event_regime_gated,runnable_existing_data,compression_break_cluster,1463,1463,0.403873140304387,0.403873140304387,1.1358695652173914,1.0,2.0,0.403873140304387,0.5554231479040337,-1.4788437543476427,0.21451612903225806,0.29657409284411107,"{""robustness"":{""event_count"":379,""events_per_instrument_year"":0.10462605616907907},""train"":{""event_count"":833,""events_per_instrument_year"":0.22995647701541652},""validation"":{""event_count"":251,""events_per_instrument_year"":0.06929060711989142}}","{""risk_on"":{""event_count"":1064,""events_per_instrument_year"":0.2937259202213724},""transition"":{""event_count"":399,""events_per_instrument_year"":0.11014722008301464}}","{""chinext"":{""event_count"":309,""events_per_instrument_year"":0.08530198247030457},""main_board"":{""event_count"":1154,""events_per_instrument_year"":0.3185711578340824}}","{""T4_entropy_compression_then_directional_expansion"":1.0}",1.0,0.0,True,0.709161415414445,0.16216673128493425,40.0,True,True,False,False
T5_volume_regime_shift__ungated,candidate_family_variant,T5_volume_regime_shift,ungated,runnable_existing_data,volume_regime_cluster,15003,15003,4.141701110038769,4.141701110038769,2.975604918683062,3.0,6.0,4.141701110038769,4.141701110038769,2.258984215386739,2.199853372434018,2.199853372434018,"{""robustness"":{""event_count"":3705,""events_per_instrument_year"":1.0227956150565645},""train"":{""event_count"":7715,""events_per_instrument_year"":2.1297889798006464},""validation"":{""event_count"":3583,""events_per_instrument_year"":0.9891165151815575}}","{""risk_off"":{""event_count"":3117,""events_per_instrument_year"":0.8604733959868587},""risk_on"":{""event_count"":8147,""events_per_instrument_year"":2.2490461203416547},""transition"":{""event_count"":3739,""events_per_instrument_year"":1.032181593710255}}","{""chinext"":{""event_count"":3187,""events_per_instrument_year"":0.8797974696856332},""main_board"":{""event_count"":11816,""events_per_instrument_year"":3.261903640353135}}","{""T5_volume_regime_shift"":1.0}",1.0,0.0,False,7.272418807561803,1.1876292365351684,262.0,False,False,True,False
T5_volume_regime_shift__event_regime_gated,candidate_family_variant,T5_volume_regime_shift,event_regime_gated,runnable_existing_data,volume_regime_cluster,12497,12497,3.4498992716226415,3.4498992716226415,2.632055602358888,2.0,5.0,3.4498992716226415,4.744445030319008,1.567182376970612,1.8324046920821115,2.5333468477599834,"{""robustness"":{""event_count"":3199,""events_per_instrument_year"":0.8831101680339946},""train"":{""event_count"":6554,""events_per_instrument_year"":1.8092854145966866},""validation"":{""event_count"":2744,""events_per_instrument_year"":0.7575036889919603}}","{""risk_on"":{""event_count"":8267,""events_per_instrument_year"":2.282173103825268},""transition"":{""event_count"":4230,""events_per_instrument_year"":1.1677261677973731}}","{""chinext"":{""event_count"":2638,""events_per_instrument_year"":0.7282415202481017},""main_board"":{""event_count"":9859,""events_per_instrument_year"":2.7216577513745395}}","{""T5_volume_regime_shift"":1.0}",1.0,0.0,False,6.057682985942802,1.1710502891667474,259.0,False,False,True,False
T6_stock_vs_market_CUSUM_break__ungated,candidate_family_variant,T6_stock_vs_market_CUSUM_break,ungated,fallback_variant,relative_strength_cluster,13536,13536,3.7367237369515944,3.7367237369515944,2.7489845653939886,2.0,6.0,3.7367237369515944,3.7367237369515944,1.8540068422995648,1.98475073313783,1.98475073313783,"{""robustness"":{""event_count"":3334,""events_per_instrument_year"":0.9203780244530596},""train"":{""event_count"":6921,""events_per_instrument_year"":1.9105987724174043},""validation"":{""event_count"":3281,""events_per_instrument_year"":0.9057469400811304}}","{""risk_off"":{""event_count"":3689,""events_per_instrument_year"":1.018378683925416},""risk_on"":{""event_count"":6344,""events_per_instrument_year"":1.751313193500363},""transition"":{""event_count"":3503,""events_per_instrument_year"":0.9670318595258153}}","{""chinext"":{""event_count"":3144,""events_per_instrument_year"":0.8679269672706718},""main_board"":{""event_count"":10392,""events_per_instrument_year"":2.8687967696809227}}","{""T6_stock_vs_market_CUSUM_break"":1.0}",1.0,0.0,False,6.561318468250121,1.1542739329908565,263.0,False,False,True,False
T6_stock_vs_market_CUSUM_break__event_regime_gated,candidate_family_variant,T6_stock_vs_market_CUSUM_break,event_regime_gated,fallback_variant,relative_strength_cluster,10775,10775,2.974527058632789,2.974527058632789,2.3880762411347516,2.0,5.0,2.974527058632789,4.090693382546797,1.0918101639807594,1.5799120234604107,2.1842692073788768,"{""robustness"":{""event_count"":2705,""events_per_instrument_year"":0.746737419359786},""train"":{""event_count"":5716,""events_per_instrument_year"":1.577948646602786},""validation"":{""event_count"":2354,""events_per_instrument_year"":0.6498409926702167}}","{""risk_on"":{""event_count"":6481,""events_per_instrument_year"":1.7891331663108216},""transition"":{""event_count"":4294,""events_per_instrument_year"":1.1853938923219671}}","{""chinext"":{""event_count"":2599,""events_per_instrument_year"":0.7174752506159274},""main_board"":{""event_count"":8176,""events_per_instrument_year"":2.2570518080168616}}","{""T6_stock_vs_market_CUSUM_break"":1.0}",1.0,0.0,False,5.222976248182259,1.1221262640948595,257.0,False,False,True,False
T7_board_relative_strength_break__ungated,candidate_family_variant,T7_board_relative_strength_break,ungated,fallback_variant,board_style_cluster,630,630,0.17391666328897049,0.17391666328897049,1.202290076335878,1.0,2.0,0.17391666328897049,0.17391666328897049,-1.708800231363059,0.09237536656891496,0.09237536656891496,"{""robustness"":{""event_count"":297,""events_per_instrument_year"":0.08198928412194323},""train"":{""event_count"":333,""events_per_instrument_year"":0.09192737916702726}}","{""risk_off"":{""event_count"":45,""events_per_instrument_year"":0.012422618806355035},""risk_on"":{""event_count"":556,""events_per_instrument_year"":0.15348835680740885},""transition"":{""event_count"":29,""events_per_instrument_year"":0.008005687675206577}}","{""chinext"":{""event_count"":630,""events_per_instrument_year"":0.17391666328897049}}","{""T7_board_relative_strength_break"":1.0}",1.0,0.0,False,0.3053805138148328,0.05646053439307292,11.0,True,True,True,False
T7_board_relative_strength_break__event_regime_gated,candidate_family_variant,T7_board_relative_strength_break,event_regime_gated,fallback_variant,board_style_cluster,629,629,0.1736406050932737,0.1736406050932737,1.2026768642447419,1.0,2.0,0.1736406050932737,0.23879778539414712,-1.709076289558756,0.09222873900293255,0.12750861544698966,"{""robustness"":{""event_count"":297,""events_per_instrument_year"":0.08198928412194323},""train"":{""event_count"":332,""events_per_instrument_year"":0.09165132097133047}}","{""risk_on"":{""event_count"":558,""events_per_instrument_year"":0.15404047319880243},""transition"":{""event_count"":71,""events_per_instrument_year"":0.019600131894471275}}","{""chinext"":{""event_count"":629,""events_per_instrument_year"":0.1736406050932737}}","{""T7_board_relative_strength_break"":1.0}",1.0,0.0,True,0.3048957828405235,0.05646053439307292,11.0,True,True,True,False
