candidate_scope_id,candidate_scope_type,family_id,variant_id,family_input_status,mechanism_cluster,event_split,event_regime_bucket,board_bucket,event_count,executable_event_count,outcome_complete_120d_count,label_completeness_rate,next_open_executable_rate,event_big_winner_120d_rate,near_winner_rate,confirm_20_rate,failure_10_rate,forward_20_return_mean,forward_60_return_mean,mfe_120d_median,mae_120d_median
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_off,chinext,106,106,106,1.0,1.0,0.5566037735849056,0.16981132075471697,0.3490566037735849,0.29245283018867924,0.07977104206305342,0.24330281117298302,0.5326356216847862,-0.13167531748866995
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_off,main_board,515,513,513,0.996116504854369,0.996116504854369,0.1793372319688109,0.2787524366471735,0.30214424951267055,0.17543859649122806,0.03800084032464242,0.13330742696690548,0.2771867612293142,-0.09518477043673013
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,chinext,420,419,419,0.9976190476190476,0.9976190476190476,0.30071599045346065,0.16706443914081145,0.3341288782816229,0.3198090692124105,0.0020396512458751514,0.03943054136576393,0.2672451193058569,-0.21269907795473597
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,main_board,1381,1377,1376,0.99637943519189,0.997103548153512,0.16715116279069767,0.16497093023255813,0.27814088598402326,0.1888162672476398,0.006471829271743691,0.027989086234727806,0.20251883176952545,-0.14081879539570025
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,robustness,transition,chinext,160,160,158,0.9875,1.0,0.41139240506329117,0.16455696202531644,0.34375,0.2125,0.02688766212181748,0.0869909795767306,0.38191569508493284,-0.15445606716270766
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,robustness,transition,main_board,493,493,483,0.9797160243407708,1.0,0.18426501035196688,0.16977225672877846,0.19675456389452334,0.11359026369168357,0.0001980480240623173,0.030672757593146013,0.22381195707715884,-0.1227098423519386
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,train,risk_off,chinext,338,338,338,1.0,1.0,0.24260355029585798,0.1804733727810651,0.3165680473372781,0.2514792899408284,-0.010835338304751866,-0.0017420570140532074,0.23901537867953893,-0.21004041248606464
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,train,risk_off,main_board,1245,1243,1243,0.9983935742971888,0.9983935742971888,0.16894609814963799,0.19308125502815768,0.2236524537409493,0.17216411906677392,-0.0016196573806308583,0.01855135775014676,0.1983173076923077,-0.14356743318831577
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,train,risk_on,chinext,636,636,636,1.0,1.0,0.20911949685534592,0.18238993710691823,0.3867924528301887,0.3663522012578616,-0.0023551772990900747,-0.04837593122045641,0.22968791954499967,-0.25362590647661915
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,train,risk_on,main_board,2065,2056,2056,0.9956416464891041,0.9956416464891041,0.17217898832684825,0.1561284046692607,0.31809338521400776,0.3005836575875486,-0.00464854150591273,-0.0200585458316671,0.18838323623483422,-0.207381940840685
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,train,transition,chinext,314,314,314,1.0,1.0,0.27070063694267515,0.19745222929936307,0.3375796178343949,0.3375796178343949,0.018787353691681025,0.05628792830307978,0.2719346432222812,-0.20617450725872183
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,train,transition,main_board,1098,1098,1098,1.0,1.0,0.20947176684881602,0.17759562841530055,0.30510018214936246,0.18761384335154827,0.02183903887243029,0.05332291669265642,0.22245236687116243,-0.16345474109315988
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,validation,risk_off,chinext,225,225,225,1.0,1.0,0.1511111111111111,0.18666666666666668,0.3022222222222222,0.27555555555555555,-0.0009127869395548796,-0.002843300192962556,0.19310054690786704,-0.23968503937007868
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,validation,risk_off,main_board,842,840,840,0.997624703087886,0.997624703087886,0.10476190476190476,0.16904761904761906,0.24642857142857144,0.24642857142857144,-0.0008767896280360534,0.023651428739507926,0.19174353634180652,-0.16991634772821057
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,validation,risk_on,chinext,173,173,173,1.0,1.0,0.10404624277456648,0.12716763005780346,0.24855491329479767,0.26011560693641617,-0.024278467922663215,-0.06097842611445907,0.10642919200695045,-0.26051873198847264
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,validation,risk_on,main_board,682,680,680,0.9970674486803519,0.9970674486803519,0.061764705882352944,0.10882352941176471,0.22205882352941175,0.16470588235294117,-0.015719125565620298,-0.04957472440896834,0.11830758385368922,-0.1900417641657534
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,validation,transition,chinext,262,262,262,1.0,1.0,0.06870229007633588,0.12213740458015267,0.25190839694656486,0.2900763358778626,-0.020919148209395527,-0.1093290330123984,0.12461789548497204,-0.30571458654137224
R7_cross_sectional_momentum_rank_jump__ungated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,ungated,runnable_existing_data,relative_strength_cluster,validation,transition,main_board,1032,1031,1031,0.999031007751938,0.999031007751938,0.05140640155189137,0.09020368574199807,0.18622696411251213,0.18913676042677013,-0.019035250621434536,-0.05535949224475834,0.11140408701384308,-0.20088261253309792
R7_cross_sectional_momentum_rank_jump__event_regime_gated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,chinext,428,427,427,0.9976635514018691,0.9976635514018691,0.2997658079625293,0.1686182669789227,0.3395784543325527,0.3231850117096019,0.0031517397433542664,0.04006997346109416,0.2801822323462415,-0.21214260501235438
R7_cross_sectional_momentum_rank_jump__event_regime_gated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,risk_on,main_board,1396,1392,1391,0.9964183381088825,0.997134670487106,0.1667864845434939,0.16462976276060387,0.27873563218390807,0.18893678160919541,0.006512356860358844,0.027877432552943,0.20248447204968922,-0.1410891089108911
R7_cross_sectional_momentum_rank_jump__event_regime_gated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,transition,chinext,187,187,185,0.9893048128342246,1.0,0.40540540540540543,0.1837837837837838,0.3582887700534759,0.2192513368983957,0.032901129261416265,0.09022242294878258,0.394871794871795,-0.15301204819277114
R7_cross_sectional_momentum_rank_jump__event_regime_gated,candidate_family_variant,R7_cross_sectional_momentum_rank_jump,event_regime_gated,runnable_existing_data,relative_strength_cluster,robustness,transition,main_board,655,654,644,0.983206106870229,0.9984732824427481,0.18012422360248448,0.17546583850931677,0.23700305810397554,0.11009174311926606,0.005238555645297991,0.045669308255449126,0.22386250027770993,-0.11880752409102924
